1695177795# #看到有网友说，五百年后，放张伍佰的照片，这演唱会还能开允悲
1692162696# #哆啦A梦害怕
1701745306# #哪家工厂，还招人不苦涩
1690262840# #哈哈哈哈哈哈哈哈哈哈哈
1692168566# #『陪审团传达的信息是，如果你以在情感上毁掉某人的余生为己任，那么你将面临在经济上毁掉你的余生的判决。』
1699944980# #哆啦A梦害怕
1692588758# #前几天大姐接受采访还说，有好些人掏10块钱把她这当自助餐吃，拿了好多最后吃不完全扔了浪费微笑
1688435628# #额
1696924483# #这把公司当自助餐了？？？？
1692607510# #发布了头条文章：《外卖员送餐途中得知孩子跳楼后续！孩子情况曝光，原来误会一场》外卖员深夜得知孩子跳楼当街大哭
1702967546# #果然是辣精
1692767900# #允悲
1701239829# #最新消息：被捅伤的实际为两男生，一人已不幸去世苦涩
1702110301# #发布了头条文章：《武大教授遭妻子举报后续，妻子长文称名门出身非捞女，其好友发声》女子实名举报武汉大学教授
1701335541# #发布了头条文章：《奔驰停斑马线24小时车主离世无人发现，身份曝光，亲属发声透内情》奔驰司机在车内离世后被发现
1697089194# #辟谣了！
1703841361# #发布了头条文章：《假鸡蛋、硼砂面条竟全是造谣，太空能量早餐为你揭秘食品安全谣言》
1694761759# #发布了头条文章：《一西落万物生！国货受追捧直播间卷疯了，太空方便餐带你围观》活力28回应老年主播团意外爆火
1696840482# #发布了头条文章：《四川一男童泳池眼睁睁溺亡，疑舅舅带去托人照看，旁观男子遭网暴》男孩游泳池溺亡10分钟无人救援
1698902765# #怎么还有这么厚颜无耻的人呀！。。湖北某地，一大妈骑车不慎撞倒外卖小哥，外卖小哥还没说啥呢，大妈先急了。。。张口就让小哥给她赔钱，说自己被撞了，浑身不舒服。。。小哥也是着急送餐，加上大妈蛮横不讲理，让他着实有些怕了，便给了大妈500块。。。谁知大妈还嫌少，直接坐到小哥的电动车上不下车，非要小
1701250999# #好家伙
1698809533# #允悲
1694744553# #哈哈哈哈哈哈哈哈哈哈哈
1700550029# #哈哈哈哈哈哈哈哈哈
1687165212# #发布了头条文章：《入户门被邻居封死后续，邻居与开发商疑是亲属，女子维权4年未果》房屋入户门被邻居封死当事人再发声入户门被邻居封死房子涉一房二押
1700025117# #允悲
1691116462# #你吃的醋，可能是冰乙酸勾兑的！。。近日，山西太原人民检察院向社会通报。2020年至2021年，山西太原清徐县某公司的武某，在明知冰乙酸不可用于食醋的情况下，仍然购买冰乙酸，用其勾兑食醋后销往全国各地。。。短短一年时间内，武某就靠这冰乙酸食醋牟利67万多元。。。2022年10月，清徐检察院对该公司及武某
1691991413# #活该怒
1691547418# #穿吊带的能是什么正经猫呀doge
1699242703# #苦涩
1689737198# #都13岁了，我还当是多小的孩子呢，这么大了往小女孩脸上打钢珠，肯定是故意的怒
1698818121# #这个是重点！并且这是让主家办证，还是请的做酒席的人办证呢？
1701399585# #看着太爽了，以后那些霸座的就应该这么处理！
1690767322# #允悲
1697428321# #看得我心惊胆战哆啦A梦害怕
1691139998# #发布了头条文章：《大爱践于行！企业、网红纷纷发声，航天员能量餐与涿州守望相助》涿州涿州面向社会接受资金和物资捐赠
1703038189# #这是一丢丢贵吗？？？
1701239941# #允悲
1690648200# #涂磊疑似强奸的事情有后续了，杭州警方发通报了！。。警方找到那位号称遭到知名主持人涂磊性侵的女子进行调查，发现该女子在被询问过程中思维散漫、表达前后矛盾。。。而且那女网友自己也说，只在电视上见过涂磊，从来没在生活中跟涂磊见过面。。。随后警方通过询问其家属，并调取相关资料核实，发现女网友在
1701422594# #发布了头条文章：《女航天员王亚平香港露面，一身粉衣被赞有气质，能量早餐：美又飒》
1689387214# #两周前就曾发生过一起树砸汽车事件，学校为啥不加强点管理呢
1688626500# #这个商家也太坏了，明明是自己的责任，还殴打外卖员。。。上海一商家，自己接太多外卖单，导致做不过来。。。有骑手等了半个小时没拿到餐，等餐期间他把其他餐都送完了这个商家的餐就是死活出不来。。。眼看快没时间送了，骑手无奈催了下，劝说卖家实在做不完就取消订单。。。谁知卖家急了，几个人把骑手拉到后
1687341414# #转发微博
1697160252# #实业救国
1693982332# #发布了头条文章：《地铁判官疑反转，同学爆其性骚扰当地臭名远扬，其母发声》地铁判官找到了地铁判官解说警方称地铁判官精神有问题
1687660604# #好多血，希望小哥没事
1701163117# #发布了头条文章：《喜茶无语佛联名遭疯抢，多门店售罄，航天员同款能量早餐你不get》喜茶我佛持杯喜茶佛喜杯
1692452542# #哆啦A梦害怕
1700194149# #如今天气逐渐变冷，火锅瞬间成了这冬日的热宠。。但最近，爱吃鹅肠的朋友们可得注意了，你吃的可能是被注入了甲醛和食用色素的“毒鹅肠”。
1687829974# #早餐是人类历史上最重要的饮食之一，可以追溯到远古时代。。最早的人们通常在清晨起床后就食用一些简单的食物来补充能量，以应对一天的生活和工作。。早餐通常有包子、豆浆和油条稀饭，各地也有自己极具特色的早点。。比如河南的胡辣汤、武汉的热干面、西安的甑糕等，但这些早点无不有一个缺点，食用并
1687159801# #川大张薇的瓜又又又来了！。。被爆脚踩两只船，还和副校长儿子同居三年！。。张薇可真是个“宝藏”呀，黑料多得根本挖不完，比看连续剧还精彩。。。这次爆料张薇的是她前男友，据前男友称，他跟张薇谈了6年，两人高二就在一起了，大学毕业才分手。。。分手的原因是，张薇在外面一直说自己单身，还被他发现有个
1699702874# #哈哈哈哈哈哈哈哈哈
1694157660# #从未见过如此厚颜无耻之人呀！。。一对夫妻捡了一学生的手机，非要学生给他们500元才肯归还。。。学生不愿意，这对夫妻把人小孩按在地上辱骂。女的还抓着小孩的脖子，语气凶得不行，活像小孩欠了她500块似的。。。周围人瞧见了纷纷劝阻，称这还是个孩子，让夫妻俩把人放了。。。谁知这夫妻俩还怪有理的，男的怒
1690522291# #这才是人民教师苦涩
1695610229# #允悲
1703729796# #我也不懂
1693799770# #多好啊！
1700840315# #好恐怖衰
1689213844# #老人怕味大影响乘客高铁上干吃泡面。有老人为抢座位大闹飞机，有老人坐高铁怕影响别人干吃泡面！。。高铁上究竟能不能吃泡面？。。专门查了下，高铁上虽然并没有明文告知可以吃，但也没禁止旅客吃泡面，可见是可以吃的，只要不是味道特别大的就行。。。老人上次吃泡面，估计有些乘客不喜欢车厢内飘着的泡面
1700039338# #哈哈哈哈哈和
1688217441# #好吧高校男生被女生喷不明液体双方已和解
1701658372# #噗
1701077316# #这便利店老板可真刑呀！。。11月26日，江苏太仓一网友在洛阳东路一生鲜店买了一份榴莲千层蛋糕。可回家一看，蛋糕竟然发霉了，于是男子前往超市找老板理论，谁知老板比他还横。。。在看到蛋糕发霉后，店老板一把抢过男子手里的小票，并将那份发霉的蛋糕连盒一起扔到店外。。。网友举着手机质问店老板这是在干
1697102755# #这个新闻真的把我看迷惑了。。。工地男门卫，多次偷取工地女工的内衣。被女工男友安装的监控拍下全过程，证据确凿。。。谁知工地的处理方式竟是，把女工给开除了，我真的看不懂了。。。据女工的男友称，女生的内衣一共丢了得有10多次。报警后，民警在男门卫的房间内搜出来5件。。。人证、物证都在，这个偷东西
1699000629# #近日，载人月球车的研制方案初选已经结束，载人航天工程办公室也向大众公布了初选结果。。一款由清华大学团队研制，名叫“望舒之辇”的载人登月车脱颖而出。。这辆月球车的造型灵感主要来源于秦始皇陵出土的铜车马，有三种驾驶模式，并实现主副共架。
1699408619# #评论区看得人不寒而栗
1701929287# #我天
1688461570# #发布了头条文章：《冰箱放3天的馒头不能吃，或有致癌物黄曲霉素？太空方便餐揭秘》黄曲霉素食品安全
1692257536# #看得人莫名有点爽吃瓜
1695283168# #那个郎某已经第二次了，屡教不管，真的可恨
1697506781# #笑cry
1694482457# #已经不指望我交的养老金了苦涩
1700199727# #高跟袜
1702455515# #发布了头条文章：《周海媚前经纪人失声痛哭，怒斥助理没照顾好她，同小区业主发声》周海媚的任性五十年周海媚去世周海媚
1692854912# #急死了泪
1697425850# #为什么对一辆小喵咪恶意这么大……
1688032045# #有点讽刺！。。有位网友在瑞典的恶心食物博物馆内发现我们的三鹿奶粉，该博物馆详细介绍了一下当年闻名全国的三聚氰胺事件，还将此事件命名为中国牛奶事件。。。真是丢脸丢到国外了，当年三鹿事件闹得沸沸扬扬，将差不多30万的儿童变成大头娃娃。即便如此，犯下如此恶行的三鹿奶粉董事长仅被判处10年有期徒
1689579782# #发布了头条文章：《南京光头男身份曝光，被打女子闺蜜发声：遭其一路尾随后殴打》光头男当街暴打年轻情侣
1698199305# #除夕之夜不放假，感觉年味少了一大半泪
1702714608# #发布了头条文章：《男子搀扶逆行摔倒老人被判次责，合肥交警火了，账号遭网友攻陷》
1703237265# #阿姨也太酷了吧
1696742622# #别说了，快别说了泪
1697768506# #广东揭阳锡场恶婆婆和妈宝男把儿媳妇逼跳楼的事情大家看到没，真的太惨了！。网传跳楼女子今年只有27岁，还有一个三个月大的孩子。因忍受不了婆家的磋磨，绝望下从19楼一跃而下。。据当地网友爆料，女子跟其老公是相亲认识的，谈了一年就领证了。。结婚后女子发现，自己老公竟是个妈宝男，事事都听她那个
1697164375# #啊，有没有搞错呀？？？
1689500104# #小杨哥直播间刚上架就被瞬间被卖爆的太空方便餐是什么？。。经常关注小杨哥直播间的人应该都知道，昨天小杨哥的直播间上了不少新品，也为粉丝带来了许多福利。。。其中最受瞩目的，便是太空方便餐。。。“太空方便餐”许多人没有听过，可听完小杨哥的介绍，着实让人吓了一大跳。。。这个“太空方便餐”可真来头
1691548809# #还真是。相对来说，普通人没什么容错的空间，从选专业到找工作，每一步都战战兢兢，不是不勇敢，是错不起。
1700557430# #发布了头条文章：《烤红薯也有科技狠活，诱人香甜薯香竟是香精，太空早餐拒绝添加剂》
1695177678# #太过分了，优衣库的员工是准备上天呢！。有位西宁的网友爆料，自己与朋友前往万达商场负一层的优衣库购物。。在买好东西朝外走时，被两名优衣库员工掐着脖子拖回柜台。。两位员工之所以如此对她，就是因为怀疑女子没结账。。在女子掏出自己的购物小票后，两位员工这才松开手。但对于刚刚自己的施暴行为，却
1692348376# #好家伙，小伙子这精神状态领先我十几年。。。近日，浙江一地铁上。一男子背着双肩包不慎撞了女子一下，女子便开始抱怨。。。男子也不跟人对骂，反倒对着女子一直说对不起。据拍视频的网友称，大概念叨了大概10分钟，说得女子都无语了。。。嘴闭得紧紧的，一句话也不敢多说。。。真的笑死，这男子怪厉害的。。。人
1697016268# #那个冷眼旁观男孩泳池溺亡的男子貌似发声了！。。有个网友发文称自己就是四川游泳馆溺亡男孩旁边的男子，对于自己眼睁睁看着男孩溺亡，该男子理直气壮地表示自己确实没有伸出援助之手，但自己的行为并不违法。。。并且，他还表示他也没有责任伸出援助之手。。。男子还指责网友不去谴责男孩的父母，有什么权力
1703488107# #情绪好稳定的一只猫
1690857851# #看得人眼睛尿尿了！。。内蒙古呼和浩特，一8岁男孩在公园意外走丢，彻夜未归。。。孩子家长担心得不行，赶紧报警并查看了公园的监控录像，发现孩子竟被一个黄头发的少年带走了。。。孩子家长下意识以为黄毛少年是拐孩子的人贩子，吓得腿都软了。。。后经过警方调查、寻找，终于找到了8岁男孩。。。男孩并没有被拐
1691743260# #允悲
1692768652# #哈哈哈哈哈哈哈
1689231089# #好家伙，一半没了，开发商也太狠了
1702979322# #哈尔滨冰雪大世界致歉。这事吧，很多当地网友认为，冰雪大世界主要是看冰雕的，感受的是师傅们精湛的冰雕手艺。。。不能因为园区免费为游客提供的滑冰项目没排上队就大喊退票，对园区也不尊重。。。当地人说得有一定道理，但对于游客来讲，到了冰雪大世界，不光是为了看冰雕，肯定什么项目都想体验一二。
1701941397# #发布了头条文章：《司机过收费站通行证遭执法人员撕毁，事后嚣张否认，官方：正核实》山西吕梁离石口高速口货车司机男子过收费站超限通行证疑似被撕
1701828476# #夺笋呐
1691719697# #一公里耗费两个大馒头
1703820179# #准备好了！
1690874700# #这小伙太倒霉了，吃着饭呢，让女流氓亲了一口！。。近日，福建泉州，一小伙正坐在店里吃早饭。突然进来个女的，双手亲昵地搭在小伙肩膀上，上去就在小伙侧脸上亲了一口。。。小伙还没反应过来，女子已经大摇大摆地离开了。。。小伙子从头到尾整个人都是懵的，根本不知作何反应，只能眼睁睁看着女子离开了。。。
1698888279# #二哈
1691986242# #停小区公共停车位，还要被小区老头、老太太上门骚扰。。。据媒体报道，有一上海网友，遭到同小区一对老人的上门骚扰，只因自己将车停在了小区公共停车位上。。。网友称，上周他开车回家，将车停在小区公共停车位上。这时有一男业主看见了，告诉他这是他家的停车位，让网友把车开走。网友称这是公共停车位，
1699409598# #苦涩
1693885964# #好恶心
1688370997# #人才笑cry
1690514208# #夫妻深夜摆摊，妻子跳河身亡的新闻大家都看了吗？如今事件迎来大反转，救人的好心摊主，被跳河女子丈夫指认为凶手。。先捋一下整件事，夫妻在大桥上摆摊卖烧烤，中途收摊离开了，后面又回来了。。有报道说因为城管来了小夫妻这才收摊走了，不过都是些自媒体的说法，目前真假未知。。小夫妻回来接着摆摊后
1697769876# #哈哈哈哈哈哈哈哈哈哈
1700035145# #发布了头条文章：《河南新县一城管脚踢老人菜篮，拳打路人手机，官方：停职赔偿》官方通报城管踢翻菜摊打落拍摄手机城管踢翻摆摊老人菜篮被停职
1701939298# #还有那种酒后打妻女的，怎么没见他酒后打老板的🙏心里门清谁能惹谁不能惹
1693460410# #允悲
1694404775# #这样的父母太自私，目光太短浅了。。。山东潍坊，一位父亲私藏了女儿的中考录取通知书整整17年年。。。直到现在女儿才发现，原来自己当初没落榜，她考上高中了，但录取通知书被她最敬爱的父亲藏了起来。。。女儿心寒、失望、愤怒地质问父亲，但父亲只是淡淡回了一句。。。“说了也白搭，那时候没钱。”。。这个父
1703920971# #发布了头条文章：《小土豆吐槽锅包肉68元仅13片，东北人迅速清理门户，店铺已关门》
1701828990# #哈哈哈哈哈
1690769885# #起不来，真的起不来
1701395043# #哈哈哈哈哈哈哈哈哈哈
1701943045# #这事可太逗了，头一次见告白拿的花，是顺人家店面开业放门口的大花篮！。。许昌职业技术学院一男生冲喜欢的妹子表白，专门拿的花和戒指，穿了一身黑色西装，单膝下跪，是不听着还挺浪漫的。。。但这个男的拿的花，竟然是人家店面开张，摆在门口的庆祝大花篮，还是康乃馨。。。谁家拿这花表白呀，都买戒指了，
1690443100# #允悲
1695202865# #这不是闹婚，这不是闹婚，这不是闹婚，重要的事情说三遍！灭火器对着人喷会造成人窒息死亡！灭火器对着人喷也是犯法的！这属于故意伤人，犯故意伤害罪！建议伴娘立即前往医院检查身体，并且报警！
1687685239# #压缩食品的历史可以追溯到19世纪初，当时一些制造商开始使用压缩方法来制作包装更小、更轻便的食品，以便更容易存储和运输。。。最早的压缩食品包括压缩饼干和压缩肉类，这些产品可以在长时间内保持新鲜，并具有较长的保质期，因此在军队、探险队和旅行者中使用广泛。。。航天员能量餐也属于压缩食品，但
1693877216# #女明星税，男明星睡，哈哈哈哈哈哈哈和
1694410840# #高喊“国货当自强”，其实就是想多捞钱
1692327590# #西安出租逃单女被抓了！。。有当地网友发视频，疑似前几天被爆料的长期打出租不付钱的女子被抓了。。。这下西安的出租车司机可以放心拉人了，大家也别骂警察不作为了，人家现在把人处理了，就是不知道关几天。
1693962794# #转发微博
1698300357# #哈哈哈哈哈哈哈哈哈哈哈哈
1692093050# #转发微博
1703742661# #哈哈哈哈哈哈哈哈哈，过于好笑
1690450028# #发布了头条文章：《男子饮酒过量生命垂危，父亲崩溃紧拥儿子惹人泪目》贵州饮酒过量酗酒
1701853993# #允悲
1695560206# #真是世界之大无奇不有啊，还有人抱着孩子在高铁的座位上大便的！。。9月22日，一趟从信阳开往武汉段的高铁列车上，一位抱着孩子的乘客，竟然让孩子直接在座椅上大便。。。据媒体报道，该乘客坐在车厢前面，距离厕所就两步路。可这位家长不知道怎么想，就不带孩子去厕所，让孩子在座椅上就拉起来了。。。一旁
1695622196# #转发微博
1691389093# #希望没事呀
1688692948# #哈哈哈哈哈
1697611497# #？？？
1703662277# #？？？
1702208809# #哈尔滨最近这是咋了，前有缺斤少两，后有阴阳菜单。。。近日，黑龙江哈尔滨。。。一男子在铁锅炖餐馆就餐时，意外发现一铁锅炖餐馆竟有阴阳菜单。。。同样一份鸡，卖给男子是258，但在另一名本地顾客那里，这锅鸡只要158。。。男子当即气得不行，大声询问老板这是啥情况。。。这时同样有几个来哈尔滨游玩的外地顾
1689732960# #苦涩
1694581539# #泪
1697599471# #哈哈哈哈哈哈哈和
1698051204# #真是开了眼界了，就1个小时，黄金就要收折旧费了吗？。。安徽安庆，一男子在一家金店购买了一万六千元的金饰。。。但买了没一会男子突然后悔了，想去金店换个款式。这本来很简单一个事，毕竟距离男子付款才没过去一个小时，而且金饰的包装盒他都没拆了，好好的在里面。。。谁知金店不愿意，问男子要5600元的
1691032632# #这女的没事吧？。。这几天河北地区泄洪、发大水的新闻大家应该都看了。。。近日河北多地都发了泄洪撤退通知，河北廊坊一女子，在接到当地发送的撤退通知后却死不撤退，拍视频炫耀自己囤的物资，称誓死要和自己的猫在一起。。。看视频女子囤了不少东西，一楼梯的矿泉水、移动电源和手电筒，还高兴地在视频里喊
1701914202# #抖音职业技术学院
1689656963# #？？？
1692755719# #大妈有毛病吧，不理解小姑娘穿啥不看就是了，欺负小姑娘未免太横了
1692687663# #这么多显眼包吗666
1689421605# #发布了头条文章：《阿斯巴甜成2B致癌物，无糖饮料能不能喝，太空方便餐坚守食品安全》
1699953994# #真是缺了大德了
1691113787# #早上刚看到救援人员的帖子，这是传送门
1697076027# #还是个惯犯？？？
1691380876# #肯德基大夫从来没有失手过
1693273657# #苦涩
1693907450# #消食健胃片和健胃消食片竟然不是一个东西！！！。。今天才知道，原来消食健胃片和健胃消食片不是一个东西，两种药疗效都不一样。。。健胃消食片用于平时吃的少、胃口较差的人开胃，而消食健胃片是给暴饮暴食后消食用的。。。合着我这么多年都吃错药啦，就说怎么越吃越多，越来越胖了，原来整天吃开胃药，能不
1695938411# #发布了头条文章：《西安旅游怎么能不爬华山，华山攻略奉上，太空食品让你游玩更活力》华山攻略
1700019763# #这开大货车的也太没素质了吧！。。湖北武汉高架桥上，三辆渣土车并排行驶，还不停打着双闪，把后车堵得死死的。。。无论后车车主怎么按喇叭、闪灯都没用，三辆渣土车说啥都不让，简直嚣张至极。。。高架桥上，并排行驶，这三辆渣土车可真刑呀。。。并排开车一般是不违法的，但如果蓄意制造障碍使得其他车辆不能
1687326054# #关注一下！
1698896450# #发布了头条文章：《湖北大学情侣被打事件，目击者透关键细节，保安一旁淡定拍照引热议》湖北大学保卫处回应情侣与校外人冲突湖北大学图书馆社会人骚扰殴打学生
1695698891# #太狠了，这大爷以后怕是不敢乱碰瓷了！。。9月24日，网传黑龙江富锦市一大爷被人持刀追赶。。。据目击者称，持刀砍人的是一位年轻小伙，大爷碰瓷他的车，趟车前面咋说都不走。小伙子急了，直接从车里掏出一把刀，追着大爷砍了起来。。。把大爷吓得是抱头逃窜，刚刚还被撞瘫痪的身子突然就痊愈了，两腿扑棱得
1689311871# #哆啦A梦吃惊
1702262092# #转发微博
1700731769# #80岁老人乞讨被女子狂打耳光，女子：心情不好！。。11月23日，江苏镇江。。。一80岁的乞讨老人颤颤巍巍走到一女子店铺门前讨钱，本以为善良的女子能给他一些零钱，谁料女子上来抓着老人连扇了他7、8个耳光。。。好心路人上前制止，怒问女子为何要殴打一位90岁的乞讨老人。。。女子一脸无所谓，“我心情不好，想
1697508553# #什么鬼？？？
1695719579# #发布了头条文章：《现烤糕点一天发霉，男子索赔千元遭骂敲诈，0防腐看航天员能量餐》九如斋
1693275384# #允悲
1702882049# #这是有团伙？
1700326660# #孕妇火锅店拉凳子手指被切断，店老板：你也有责任！。最近河南郑州出现了一件令人十分气愤的事情，一女子前往当地一家火锅店就餐。。吃饭的过程突觉凳子有些滑，女子下意识拉了下。只觉手指一痛，女子抬起一看，自己食指指尖竟被切断了一小节。。女子顿时惊慌失措，手忙脚乱地捡起自己的断指赶往医院治疗
1690354110# #哈哈哈哈哈哈哈和
1687314144# #粽子馅料都掉地上了，竟然捡回去接着用？。。近日，有网友爆料西安大业食品有限公司粽子加工车间环境肮脏不堪，粽子馅料都掉地上了，员工若无其事地用手捡起来接着用，甚至都没有再清洗一下。。。煮烂的粽子员工直接用脏手套拆开二次包装，煮粽子的铁盖上还有不明物质的残留物，并且不要求临时工体检办理健
1703123435# #说实话感觉有些敷衍，就算真的不知道，第一反应也应该是去查一下啥情况。而不是笑嘻嘻说跟自己有什么关系，还反复在直播间重复，我没钱、没钱、没钱，不然我就捐了，一副生怕自己掏钱的样子。没人逼她捐钱，她倒也不必如此冷血。面对别人的痛苦，一点该有的同理心都没有。希望是真的认识到错误了！
1688693534# #转发微博
1693876660# #哈哈哈哈哈哈哈哈哈哈哈哈哈
1694058358# #脑浆出来了？？？这老师也太狠了吧！！！
1698053769# #哈哈哈哈哈哈哈哈哈哈哈
1702002206# #虽然不知发生了什么，但车流车往的大街上，把抱着孩子的妻子硬生生拽下车，一点也不顾及妻孩的生命安全，未免有些太过分了吧！
1701844614# #转发微博
1693301331# #这不是误人子弟吗裂开
1700445345# #哈哈哈哈哈哈哈和
1700038759# #这个驾照还是别考了吧，脾气也太大了，不适合上路。。。广东佛山，一女子因练车导致情绪崩溃，暴砸教练车。。。从网友拍摄的视频能看到，女子手持一个小高凳，不停地猛砸教练车车头和前挡风玻璃。。。驾校工作人员上前阻拦，女子也不听劝。高凳被夺走后，开始用手使劲掰车门、掰后视镜，还用脚踹，一天天使不
1699500329# #哈哈哈哈哈哈哈，还怪可爱嘞
1690108074# #小男孩持刀威胁摊主，疑似为母亲出头的视频大家看了吗？。。看视频男孩年纪不大，也就十几岁的样子。虽然年纪不大，但脾气挺大，敢当街拿刀与人对峙。。。有网友透露，男孩之所以拿刀，是因为自己母亲遭人欺负，在为母亲出头。。。原来男孩趁着暑假跟母亲外出摆摊，母子俩一大早就出门，占了个极好的位置。。。
1703234098# #发布了头条文章：《神十七首次舱外维修成功，历时7.5小时，高体力运动怎没太空早餐》首次空间站舱外试验性维修作业
1701337387# #这个新闻大家一定要看看，真的太恐怖了。马上就要过年了，有些人已经不满足于小偷小摸，开始入室抢劫了！。。河北石家庄一女子，晚上11点多回到家，发现家中停电了。出门查看发现，自家的电闸被人拉下来了。。。不光是她家，对门的也一样。。。两个电闸同时落下引起了女子的怀疑，随后女子查看了门口的监控，
1688014919# #午饭应该怎样合理搭配才能保证营养均衡？。午饭应合理选择主食、蛋白质、蔬菜水果和脂肪的来源，保证各类营养物质的摄入，维持身体的健康和营养平衡。。如果加班没时间吃午饭，或者外出游玩没办法保证午餐营养的均衡，又想让身体活力满满，可以考虑食用航天员能量餐。。航天员能量餐是中国航天员科研训
1693198936# #日本不是抗议我们不再进口日产海鲜吗，他们自己人都不吃怎么不说呢。。。有位在日华人拍摄了日本超市现状，海鲜区几乎没人了。。。平常颇受日本民众欢迎的海鲜，如今都被贴上了打折促销的标签。可即便如此，依旧没吸引来多少顾客。。。许多民众对日本当地的海鲜已经弃如敝屣，哪怕是低价出售也没办法吸引他们
1696927898# #发布了头条文章：《神十七将于10月底发射，他或将出征，太空能量早餐为你揭晓》神舟十七号
1695706682# #哆啦A梦害怕
1689730142# #孩子坐那好好的，上去就是几巴掌，精神真的没问题吗怒
1689645153# #这到底是个啥，有人能认得出来吧
1699926173# #哈哈哈哈哈哈哈哈哈哈哈哈
1697099809# #额，这是在干嘛？？？
1701747990# #每天工作12个小时，大学生疑因不堪重负离世！。。11月29日，有网友爆料，一大三学生在广东江门一物流公司工作近6个月后不堪负荷离世。。。12月4日，学生家属发声。称孩子每天早上五点半上班，晚上七八点才下班。从早到晚，每天要工作长达12个小时。。。10月份还曾因撞到货架上受伤，但即便如此，公司都没让孩
1703237661# #额，倒也不必吧……
1695116161# #女子拒绝换座，被一家三口殴打的事情有后续了！。。网传打人的两位两人身份不简单，老头是公职人员，老太太是名教师。。。真是无语，这样没素质、没教养、没品德的人，竟然还是教师和公职人员，都不知道混上那个位置的。。。让座本来就是情分，人家小姑娘不愿意让有啥不对，还出手伤人。。。这就算了，老头还拽
1696734531# #这边网红黄老师5场直播销售额超百万，那边一位货车司机因为交不起租金，死在车内好几日后才被人发现。。。国庆期间，云南昆明一座停车场。有人发现一辆大红色的大货车已经在此停放多日，车内还时不时散发阵阵恶臭，并有许多苍蝇围绕不散。。。路人心生疑惑报了警，民警到场后，竟发现司机已死在车内。并且
1692847137# #？？？
1703210587# #都穿成这样了也好意思退呀费解
1701668699# #这个女生是不精神状态有那么点问题呀！。。12月3日，上海。。。一女生坐公交车，因为没坐到座位，在公交车上破口大骂。。。据知情人称，女生上车后没有座位，于是拍视频吐槽。旁边一女子在给大妈让座时，不小心碰到了女生的背包，女生趁机破口大骂。。。“有病啊，碰我的包。”。。“脑残！”。。女子回怼女生你才
1697680936# #物业和狗主人不是说了会支付孩子所有医疗费用和后续治疗费用吗，为什么还要筹款呀，还一筹就是200万？？？
1689658465# #笑cry
1693805564# #清代：指清仓代doge
1689387705# #哈哈哈哈哈哈哈哈哈
1692252285# #太开心
1702013486# #哆啦A梦害怕
1701148600# #啊
1693876273# #笑cry
1701931669# #既然这样不如家长睡楼道吧，还能避免孩子病情加重了
1690966783# #这很难评……。都不知道该夸他勇敢善良，还是缺心眼了……
1697189978# #妈呀，现在学校的老师都这么拽吗？。。重庆一学校举办研学旅行，总共5天时间，去仙女山+816+际华园+三峡博物馆+张飞古道基地这5个地方，问家长要1200元。。。有位家长在家长群内表示自己孩子不参加，结果直接被老师踢出群了。。。现在老师脾气这么大吗？研学旅行学生家长都没有拒绝的权力是吗，老师说去就必
1689311706# #额，真的假的呀哆啦A梦害怕
1703748033# #可以
1689226292# #这女的也太猛了
1701316246# #这是什么公务车这么厉害的，大街上就敢别停公交车了！。。11月29日，浙江绍兴。。。有网友拍到一辆印有“公务”字样的黑色车辆，在马路上两次别停公交车。。。都是在公交车将要靠边停车时，黑色公务车硬往公交车车道上挤，将其两次逼停后扬长而去。。。逼停是很危险的驾驶行为，何况是逼停公交车。。。车上那么多
1694053991# #女子穿汉服拍照被认作日本服饰驱赶。。这是在干嘛，这工作人员未免也太无知了些吧。。。就算不了解我国传统文化服饰，但这么明显的唐代齐胸襦裙难道都看不出来吗。。。哪里像日本的了，日本的和服哪有这么好看，真的怀疑工作人员是不是故意的。。。如果是因为不想女生在公园拍照，觉得影响其他游客，大可直
1702029004# #专家又发奇葩言论了，让大家工作到寿命终结！。。近日，在2023年全球财富管理论坛上，经济学家姚余栋劝大家。。。“一定要工作到健康寿命终结，就是不瘫到床上那一天不要结束工作。”。。还称这是他根据整个生命周期测算的，并举例美国著名投资家，沃伦·巴菲特的黄金搭档查理·芒格，称他离去世一个月还在工作
1701165015# #男子洗浴中心搓澡，因过胖遭搓澡人员歧视取笑！。。11月27日，辽宁沈阳。一男子高高兴兴到澡堂搓澡，没成想因为自己太胖，竟被搓澡人员歧视并狠狠嘲笑了一番。。。据男子称，他刚躺到搓澡床上，搓澡师傅立马就跟同事嬉笑起来。。。一人意味深长地看了男子一眼，冲为他搓澡的师傅调侃，你这活接的值呀。。。这话
1690521898# #花开富贵号沉了
1689127039# #连导游资质都没有就敢办团了，罚得好。但云南旅游存在许多这样类似的问题，能否趁机好好严整一下云南旅游业。年轻人旅游可以不跟团，老年人却是必须跟的，他们遇见这样的旅行团，往往只有忍气吞声的份
1697823122# #发布了头条文章：《揭阳女子跳楼后续，警方辟谣家暴女子抑郁症，女子闺蜜发声》广东通报女子产后跳楼身亡
1699408893# #训诫、家庭指导，我两眼一黑裂开
1689240158# #发布了头条文章：《北京铁路晒女员工高温天铁轨工作，反遭网友群嘲：拍完快让人回去》北京铁路高温下坚守的人
1694485172# #不是买不起眉笔，只是蜂花更有性价比
1690439887# #哆啦A梦害怕
