1697015644# #真的假的？？？？？
1689220759# #他真被忽悠瘸了
1701316373# #　　中央纪委国家监委网站讯据广西壮族自治区纪委监委消息：广西壮族自治区纪委监委驻自治区司法厅纪检监察组原组长、一级巡视员何江涉嫌严重违纪违法，目前正接受广西壮族自治区纪委监委纪律审查和监察调查。
1697186574# #涉辱骂护士拒配合调查中国女子庭上道歉|联合早报网Weibo
1691932908# #看看吧，今天就看到了三个造谣辟谣的新闻！。。男子要女孩微信被拒后对其爸爸动手？警方：系编造，已拘造谣者。。河北“武安某村道路被冲断，多人被困，没吃没喝”？警方：系谣言。。邓亚萍发律师声明辟谣：有关“涉贪腐被带走调查”等消息纯属造谣污蔑……。。很明显，这些造谣者都有自己的私利，如蹭流量涨粉
1697808495# #美国最新一次核爆试验，被曝发生在“俄方撤销批准《全面禁止核试验条约》数小时后”
1692424854# #公司欠工资停社保，记者采访被怼“跟你有什么关系”
1700730383# #陕西榆林原副市长王长安被决定逮捕：当了12年副市长，被查时已退休近7年
1702375094# #12月12日，万达集团官网发布消息，太盟投资集团（PAG）与大连万达商管集团共同宣布签署新投资协议。太盟将联合其他投资者，在其2021年的投资赎回期满时，经大连万达商管集团赎回后，对珠海万达商管再投资。现有投资人于2021年8月对珠海万达商管的投资额约为380亿人民币，其中太盟的投资额约为28亿美元
1699761492# #刚退休数月，陕西投资集团有限公司董事长袁小宁被查
1690437563# #要转。
1689256085# #可怜啊！被美英耍了，当了炮灰，还被要求说声谢谢。你以为乌克兰人都是傻子啊！泽莲司机也不傻啊！当初要不是你英美许诺支援强硬对抗大俄，乌克兰哪有今日之惨况，一个总统又怎么会如此低三下四。想当初，谈判了，做个中立国，两边通吃，两边都哄着，如今日之东盟，不香吗？。英美罕见齐喷乌克兰不知感
1690275742# #我国拟修改刑法：加大力度惩治行贿犯罪
1695001742# #9月17日，东方时尚驾驶学校股份有限公司发布关于免去公司董事、董事长职务的公告：。。东方时尚驾驶学校股份有限公司（以下简称“公司”）于2023年9月17日召开了公司第五届董事会第五次会议，审议并通过了《关于免去公司董事、董事长职务的议案》。。。公司董事、董事长徐雄先生因涉嫌操纵证券市场罪被批准
1699940926# #据路透社消息，英国首相苏纳克任命前首相卡梅伦担任外交大臣。这是卡梅伦在2016年辞去首相职务后首次担任英国政府职务。。但立场保守的英国保守党分子对苏纳克的这项任命表示怀疑，他们认为卡梅伦具有严重的亲中立场，他被任命为英国的外交大臣，将会拉近英国与中国的关系，会对英国的利益与安全构成威
1701523504# #转发微博
1692182646# #是不是士兵自己点的。突发！美军一驱逐舰起火
1689651166# #杨利伟：新一代飞船预计2027-2028年飞行，可载4-7名航天员。杨利伟透露，目前我国正在研制新一代飞船，预计新一代飞船将在2027年～2028年飞行。“现在我们飞船有三个人的承载能力，能把三个航天员送到太空中去并返回地面。将来新一代飞船，会有承载4至7个航天员的运输能力。而且，将来载人登月也会用新
1693363654# #华为手机全面回归?Mate60Pro悄然发布,分析师看好销量超600万台
1696771785# #舒默来访凸显中美力量发生质变。。据CGTN等媒体报道，美国国会参议院多数党领袖舒默率两党参议员代表团于10月7日下午抵达上海，开始访华行程。中国外交部发言人4日表示，中方欢迎美国国会参议院多数党领袖舒默率两党参议员代表团访华。。那么，为什么说此次舒默之访突显两国力量的变化呢？。首先，我们都清
1690858455# #富士康签署协议在印度投资设新厂，十多天前曾否认相关传闻
1692500280# #看了凤凰卫视记者在夏威夷毛依岛的采访，太令人震惊了。。。现场的惨状真是不敢想象。这个记者说，岛上有数千具尸体没有被确认。这就是美国政府经常玩的把戏。到目前，被确认的才100多人，那数千具尸体，如果不能确认身份，估计就都算失踪了，而且还有海上漂的，那更不能被确认。。。超霸的美国，居然有这
1690530245# #刀郎终于反击了，一首新歌《罗刹海市》，到底讽刺了谁？刀郎新歌上线罗刹海市山歌音乐
1695719861# #北京市政协原副主席于鲁明受贿案一审宣判
1695128498# #如果没有沙滩，他们怎么发声。“伙房都没肉！”马祖台军抗议“断粮”，追查后发现多军官私吞64箱军用罐头
1703075600# #美国科罗拉多州开第一枪：特朗普参与叛乱，没资格参加总统初选
1692063930# #湖南祁阳上访村民收劝返干部路费被判寻衅滋事，永州中院指令再审
1693711196# #北京时间9月2日，男篮世界杯最后一战，中国队大战菲律宾队，中国队大败，中国队蒙羞。这是中国男篮在世界大赛中第一次被亚洲队打败，创造了历史，也是在中菲南海交锋之际，菲律宾男篮以21分的大胜教训了中国队。。因此，本届杯赛，中国队四战皆败，无法直通巴黎奥运会了。。为何如此大败？有的剑指王哲林
1701938040# #坠海致8死后，美军宣布停飞CV-22型“鱼鹰”运输机
1702368296# #习近平抵达河内对越南进行国事访问
1700138913# #转发微博
1701142688# #龙芯上新！我国自主研发的新一代通用处理器在京发布
1699593652# #黄智贤老师告诉了我们两个历史。。今天看司马老师与黄智贤老师的访谈视频，黄女士如此地描述了两个发生在台湾的历史事实：。。一,台湾人如何才能改成日本名字？。。她说，日本殖民台湾时期，不是谁想改名字就能改的，必须有个流程。首先，得让日本鬼子看上眼，要求由汉姓改成日本姓的家庭的确很效忠日本鬼子
1693122926# #河南鲁山县715万元牛郎织女雕塑疑先施工后招标，政府办称已关注到舆情，相关工作正进行
1699964158# #云南保山警方：非法滞留缅北地区人员，年底前必须回国返乡
1689416343# #现在，中国处于相对有利的位置，因为市场在中国，你禁了，中国的市场足以培养自己的芯片。。美媒：英特尔等美国三大芯片巨头CEO将前往华盛顿，游说拜登放弃对华出口新限制
1697186723# #据证券时报网消息，10月13日早间，碧桂园在其官方微信公众号发布一则《杨国强、莫斌到顺德北滘南平路项目工地调研指导工作》的文章，这也是杨国强自今年上半年“退休交棒”后再度进入公众视野。该消息发布后即得到众多碧桂园员工的广泛转发，亦侧面对相关传闻进行了澄清。。该文章显示，2023年10月11日
1703253119# #亡羊补牢为时未晚。北京住建委公开征求意见：商品房预售资金监管主体调整为政府
1695719932# #大同通报“小学生遭男同学极端欺辱”处理情况：校长解职、多人辞退
1697890293# #埃及外交部：埃及对加沙外国人出境障碍不承担任何责任
1689409747# #问得好这些留学生不来上课，基本都是在打工，或者做生意，或者在社会游荡，学校为什么不对他们进行有效的管理？。我是浙江高校教师，上的课偶尔有留学生来修学分，他们都不来上课基本在打工
1700968103# #刚刚！中植系，被抓了！
1690377422# #这可如何是好，难不成要拿国内的钱去印度交罚款。印度指控小米、OPPO和vivo等手机厂商累计逃税800亿卢比，称仅追回18%！
1691844492# #进去的都在哭泣，没进去的呢?有的在发抖，有的在赌博，有的正在尝试！
1700569955# #贵州政协原副主席李再勇被捕，此前被批“肆意违规举债融资，造成重大债务风险”
1704036643# #转发微博
1694870590# #我国已成为高级别持续性威胁（APT）攻击的主要受害国
1690347885# #“他来偷牛，被牛踢死，凭什么要我赔34万！”且看法院怎么判
1702016818# #伊朗成功发射能搭载生物的太空舱
1701938021# #累计非法吸收公众存款超千亿，“红岭创投”非法集资案主犯周世平被判无期
1697943626# #据《环球时报》星期天（10月22日）报道，消息人士透露，税务部门近期依法对富士康集团在广东、江苏等地的重点企业进行税务稽查，自然资源部门对富士康在河南、湖北等地的重点企业用地情况进行现场调查。
1692114246# #步步惊心。上港集团原总裁严俊被查，或涉及足协原主席陈戌源案
1704121573# #韩国2023年出口额同比减少7.4%，对中国出口减少19.9%
1694870742# #时刻与时俱进啊。。张先生说：“是我在8月份发（邮件）出来的，反正比较新的（版本），这只是其中一个，还有其他的。诈骗的人也是每天不断学习新知识，包括国内宣传的那些反诈的东西，他们都会看，会针对那些进行改进。他会要求（我们）每天都看一段时间，时间长了就会慢慢记下来。如果记不下来，公司会
1702888637# #中远海运、东方海外等已通知暂停红海航线货物接载
1690722059# #上海市超导材料及系统工程中心主任洪智勇：韩国团队公布的超导体“极大概率”不能实现室温超导
1697633434# #拜登抵达以色列，称加沙医院遇袭“似乎是另一方干的”
1692978623# #日媒采访中国游客，两女子奇怪言论让人愤怒，竟然完全无视核污水
1694064299# #转发微博
1693103189# #河南鲁山县715万元牛郎织女雕塑疑先施工后招标，政府办称已关注到舆情，相关工作正进行
1698737437# #潮妈的精彩专场，给大家分享，直播读稿的国际价格，海外的洗地费
1689833769# #要严查。莱荣高铁被举报偷工减料，中国建筑回应
1693638889# #折扣收回优惠取消深夜涨价开发商神操作引声讨。。近日，全国多个城市如广州、深圳、上海、南宁等都推出了“认房不认贷”的房贷新政。。据媒体报道，9月1日晚，北京也官宣全面执行购买首套房贷款“认房不认贷”，这一超预期的房贷新政必然提振房市信心，降低购房门槛，减轻购房成本，缓解开放商压力。。
1690896794# #天晓得明年的中国，又是哪个地方被淹呢？人类有史以来的洪灾，当代中国能否有解？。十一年前的7.21到今天的北京和河北的水患，都有一个共同特点，雨量短时间集中暴发。。其实从古至今的水患洪灾，大部分都跟短时强降雨有关。值得庆幸的是，大河大江的水患在新中国以来的历年治理中得到基本解决，并形成了
1700827671# #财政部：10月份全国彩票销售额同比增长59.3%，浙粤苏鲁贡献大
1700898876# #王健林再迎“大考”，这次能过关吗？
1703926144# #央视前“名嘴”段暄向体育总局原高官行贿逾950万元
1695040992# #转发微博
1700573313# #这几方面的题材应当挖掘出来拍成电视剧或电影：一，西藏解放时的农奴翻身故事，这都是真实的，不需夸张，要让人们看到西藏过去的历史，是谁解放了谁。二，新疆的是多民族共建的，而且其历史很长，关键要强调融合的趋势。三，香港反殖民的抗争，抗英和抗日。四，台湾抗日的英雄故事和汉奸嘴脸，日裔台湾
1693192105# #国家税务总局征管和科技发展司原巡视员赵国际被查
1690644990# #车队未经批准穿越新疆一保护区，已致3死1失踪。。。一川牌车队，据说游客基本都是90后，自驾穿越“死亡之海”罗布泊，没想到车辆抛锚，出现悲剧。。。7月27日，一越野车在罗布泊自然保护区抛锚，当救援队赶到时，其中的2男1女已失去了呼吸，另外一位疑似组织者的人则处于失联状态。。。以下为网络据传的事件
1702990343# #继续龟缩，眼睁睁看着小日本不断发展进攻型武器吗，二战的战果就这样被侵蚀？。。日本新财年防卫预算7.7万亿日元，将提前部署国产远程导弹
1690193427# #美中情局称在华情报网络重建已取得进展，我外交部：将采取一切必要措施
1698420566# #民营医院的院长也是民营企业家。重庆永川两家民营医院涉嫌骗保3.3亿元，警方抓获143人
1702176364# #转发微博
1691833835# #该走尽走，各保各的纯洁
1702817774# #李强签署国务院令，公布《非银行支付机构监督管理条例》
1695629909# #云南一企业发生生产安全事故3人死亡
1698374995# #9个阿拉伯国家发表联合声明，谴责以色列对巴勒斯坦人实施“集体惩罚”
1692612422# #转发微博
1692845714# #湖北前首富兰世立无罪后申请国赔获立案曾为“红通”人员
1698287098# #中方投反对票，张军：美国所提决议草案严重失衡、混淆基本是非
1696990467# #咋咋咋咋咋咋办？？？？？？？。求解特定问题比超算快一亿亿倍！我国成功研制“九章三号”量子计算原型机
1697681756# #第三届“一带一路”国际合作高峰论坛务实合作项目清单，共369项
1697724466# #河南一百万粉丝网红遇害：3名嫌疑人已到案，系熟人绑架勒索
1701432184# #马斯克：中国车企极具竞争力，未来十大车企九家或将来自中国
1702265821# #新疆维吾尔自治区党委原副书记李鹏新接受中央纪委国家监委审查调查
1695125144# #普京：俄罗斯顶住了制裁压力，今年经济有望增长2.8%
1692687111# #泰国前总理他信被判三项罪名成立，累计10年刑期实际服刑8年
1692758244# #泰国前总理他信被送医治疗
1690896736# #美国人对媒体、司法、大企业的信心都不到20%，对国会的信心更只剩8%。。。盖洛普民调：美国人对美军信心指数降至60%，对国会信心指数仅为8%
1691337323# #美情报官员曝出惊人消息！美方计划暗杀泽林斯基，并栽赃给俄罗斯
1690767442# #看看吧，他们自己都不信！。日本福岛渔民：绝对不相信所谓的“处理水”安全
1690767308# #西共体在声明中强调，巴祖姆依然是西共体、非洲联盟和国际社会承认的尼日尔领导人，西共体只承认巴祖姆或得到其正式授权的官员。声明强烈谴责政变行为，要求尼日尔军方立即恢复总统巴祖姆的职务和尼日尔宪法秩序。。这是个严肃的问题啊，如果总统卫队的人都这样造反，那哪个总统能放心？。西共体要求尼日
1695566788# #韩国选手在亚运会柔道比赛中掌掴哈萨克斯坦队选手被直接罚下赛台。真是奇葩国度的奇葩人物。是不是以为在大韩呢！
1698546663# #美国总统拜登会见王毅：愿同中方保持沟通，共同应对全球性挑战
1701938030# #与英伟达正面交锋，AMD发布“最先进AI加速器”MI300
1697632879# #对付恶狗不能手软
1702046558# #【中文字幕】奥巴马资深幕僚谈基辛格：歌颂基辛格是个错误
1700535845# #路都是自己走出来的，好在，他还在路上！
1692498738# #牛人啊可以做发言人
1693467992# #如果华为在后续的新闻发布会上表明mate60pro是全自主自产的手机，将加速中美再高科技上的脱钩。因为美国的行为敲醒了中国企业，而华为是自生更生则鼓舞了中国企业。如果通过加大研发能获得高科技的成果，那干嘛还要依赖别人给别人打死自己的机会呢？？？
1695120688# #凤凰城街头的大神睡姿，美国人民的适应能力真的强
1698220024# #明天我们的神州十七号就要升空了，我有个建议，能不能带上德国外长，那个会蹦床的女士，让她从中国的空间站出发，向别的星球进发吧，因为，她不想跟我们在同一个星球上。
1699276800# #上海，特别包容，真的
1697986349# #搬运了两段以色列和加沙的素材，让更多的人知道
1692870909# #不少媒体称，该楼盘打响了新房降价第一枪。。珠海新房五折？开发商：售价合理合规
1692872720# #将来，我们必须向日本提起国家赔偿。现在，日本死心塌地要向大海排核污水，大家抗议，中国内地以及港澳都宣布对其水产品限制进口，韩国也有反制措施。。但排污要成事实，谁也阻挡不了。如果在未来的日子里，在中国的海产品中检测出对中国人健康构成严重威胁的物质，那肯定要对日本提起诉讼的。。还有个别
1691931014# #刚才看新闻说，中国工程师在巴基斯坦去往瓜达尔港的路上又遇袭了。。袭击的是巴基斯坦俾路支解放军——一个在巴基斯坦十分活跃的恐怖组织。。这已经不是中国工程师在巴基斯坦的第一次遭袭了。。这样在准确的时间准确的路段对准确的目标进行武装袭击表明，必定有人向恐怖组织泄露了车队的行程，也充分说明
1701071279# #第三邻国都嗝屁了。蒙古国官员：计划建设七个陆港，扩大与中俄贸易
1700015882# #美国10月CPI低于预期！中国资产、全球股市猛拉美元直线跳水。其实还有一个原因，这边飞机一起飞，那边股价就拉升，道理就是这么个道理。
1693194486# #中国恒大复牌跌近90%上半每股基本亏损2.972元
1703312242# #我跟许多网友一样，希望郑教授退而不休，继续为我们育人事业添砖加瓦！。太原理工大学：因年龄原因，郑强不再担任太原理工大学党委书记
1692611576# #贝尔纳多·阿雷瓦洛赢得危地马拉总统选举，曾表态“寻求发展对华友好关系”
1700901298# #如此官官相护，何以彻底反腐？
1693634601# #折扣收回！北京官宣认房不认贷后开发商深夜调价
1698154867# #新时代中国的周边外交政策展望（全文）
1693209887# #转发微博
1704203867# #我投给了“安全”~应当比欧美安全
1693457124# #好声音这个事情比较可怕的是，一切的黑幕，一切的受害者，都选择沉默，选择承受，而发声的李玟，已经去世了，而且是在她去世后的声音发出来，才有这么大的作用，活着的都不敢说话还是不愿说话还是？？？吃瓜群众，非专业人士，不靠音乐吃饭的人，看几天热闹就了事了。但想过没有，这种捅不破的黑幕，都
1699234459# #上个月突然离职，现在主动投案！浙江千亿级国企原董事长落马，年薪超百万元
1693209577# #转发微博
1690122105# #遭举报高铁项目偷工减料后，中建八局再陷“工程质量”疑云
1699077192# #“内鬼”边巴次仁、李超、马松滨，同日被查
1691476865# #8月8日，澎湃新闻（www.thepaper.cn）从知情人士处获悉，万达集团高级副总裁刘海波因涉及贪腐被公安机关带走，被带走的更具体原因目前不详。除了刘海波之外，万达集团还有多人因牵扯贪腐也被带走。。万达集团多人涉贪腐被公安机关带走，包括高级副总裁刘海波等
1703593630# #热烈祝贺《建国以来毛泽东文稿》（1－20册）、《毛泽东年谱》（1－9卷）出版发行。可以说，特别是文稿的发行，肯定能让大家了解到一个更全面的毛泽东，也会让许多污蔑和误解得到澄清。
1692857268# #南方电网回应妻子举报丈夫后遭威胁：系私人电话，不代表单位立场
1692623342# #日本天天说，马上要让核污水排海了。这次岸田文雄说，最快24日排放。。看来，没人管得了日本。。韩国早就投降了，还催着日本早点干，免得烦他们。。东南亚，也说不上话，因为有的还看重日本的小钱钱，比如越南菲律宾等，现在就南太还有些小国跟朝中两国声量最大。但现在看来，日本不在乎！他们即使面临国
1700019377# #知名女演员晒处罚单：拘留10日！
1700021533# #赖岳谦：最近在挑选大陆宜居的城市，赖清德当选的话，如果两岸紧张，将移居大陆
1700298509# #马航MH370事件即将开庭！原告代理律师：仍存在诸多难点
1704037038# #转发微博
1691469575# #国际足联将世界杯500万奖金直接打入女足个人账户，这是真的吗
1702176845# #转发微博
1703596560# #中国证券集体诉讼和解第一案7000余名投资者获赔逾2.8亿元
1699752531# #这是他们所能做的最大可能的事，以色列扑哧一声，笑了。阿拉伯-伊斯兰国家领导人联合特别峰会通过关于巴勒斯坦问题的决议
1701432130# #马斯克：中国车企极具竞争力，未来十大车企九家或将来自中国
1699622176# #查“内鬼”，证监会巡视办专职副主任等4人落马、被处理
1691739455# #转发微博
1698726707# #北京购房贷款新政：明起北京公积金认房不认商贷
1695567048# #二人作为高知分子和专技人才，枉顾法律，通过网购零部件，在高校内制造并持有枪支，对校园及社会公共安全造成了严重威胁。。重庆高院发布涉枪爆典型案例：一高校教师校内制枪被判刑3年半
1700711072# #评论总是有味些。转述一位台湾朋友的看法
1693540247# #英国官员访华电脑将被“清理”，一次性手机被销毁
1689424736# #郭台铭说可以开专机参战，你信吗。郭台铭连续两晚造势参选总统箭在弦上|联合早报网Weibo
1698501330# #苦难可以令一个家庭更加团结，这对于一个族群来说，同样如此。而来自外部的压迫，更容易让一个族群紧紧地团结在一起。比如，巴以冲突，以色列比以前更加团结了，同样的，阿拉伯世界也展现出团结的样子。。对于中国来说，现在最大的问题还是团结。建国以来，我们总体是团结的，所以我们可以勒紧腰带团结
1701001876# #内蒙古阿尔山警方：3人组织串联12人至京意图以访施压被处罚
1698567634# #真是快，机械化下，再加上今后的智能化，多少地都不是事。想起当年的手工劳作，真是汗流浃背，痛苦不堪啊。全国秋粮收获已过八成半，冬小麦播种进度过六成半
1697620742# #再不卖，就卖不出去了。奇货可居多好，做不到了。加速对华出货，光刻机巨头ASML单季一半销售额来自中国大陆
1692954974# #转发微博
1692868262# #现场实拍！日本福岛核电站附近渔港宛如无人区:停着渔船空无一人
1702089732# #国家安全部：国家安全机关严格依法办案，加方间谍内讧自我打脸
1703821708# #涉受贿、故意泄露国家秘密、内幕交易三宗罪，央行原司长孙国峰获刑16年半
1701423637# #外交部：欢迎任何有意愿的国家成为金砖大家庭一员
1692623649# #这都急成啥样了！也不讲究风度了！。重庆市长胡衡华：紧盯“金九银十”，有利于房地产市场的政策能出尽出
1699446829# #中粮集团有限公司原党组成员、副总经理周政被查
1689573355# #澳洲表示中国短期内不可能加入CPTPP。。据澳洲财经新闻消息，澳洲政府表示，中国短期内不可能加入主要区域贸易协定，而成员国准备在本周末欢迎英国加入。。。澳洲贸易部长助理艾尔斯（TimAyres）正在新西兰与CPTPP成员举行会议。。。英国将加入印太地区视为其“倾斜”印度太平洋地区的一部分，并将于周六被
1689424491# #所以，不要过分炒作失业率，炒作年轻人找不到工作，不是找不到，是找不到懒人高薪的工作。现在普遍缺乏勤奋精神了，上山下乡，有必要来一波。。。现在大学生毕业找工作真是不容易，确实需要想各种办法帮助他们
1693316295# #我只说一点，瓦格纳集团的头头包括普里格任在内，为什么要做一架飞机，为什么要把所有鸡蛋放一个篮子里，更何况这些人都知道他们时刻在危险之中。我觉得道理很简单，他们肯定是被一个他们很信任的人所召唤，然后就都上了这架飞机升天了。成也萧何，败也萧何。就这么简单。。克宫：普京不会参加普里戈任
1697199984# #布林肯在以色列语出惊人：从人口比例看，哈马斯袭击“相当于10次9·11”
1701253954# #美国人工智能判断美国登月照片有假，普京笑了！。据环球时报援引俄新社、《报纸报》网站等多家俄媒24日报道，俄罗斯总统普京在莫斯科出席“人工智能世界之旅”国际会议期间参观了关于人工智能产品的展览。他在展览上被告知，美国谷歌公司的神经网络（人工智能技术）曾判定关于美国登月任务的照片存在虚
1691672017# #斯蒂德曼还表示，美国在这一方面仍发力不足，甚至暗示构陷中国的可能，“我们需要在中国设置更多的耳目。必要时可以拍摄一些照片或制作视频。”。美军前情报高官竟称：要利用舆论造势，多拍照片视频给中国声誉造成负面影响
1691123225# #三趟列车被困事件证明，即使过去60年，中国人本色仍然不会改变
1701238576# #知名咨询公司麦肯锡：大举投资下，生成式AI每年将为中国释放2万亿美元经济效益
1691747216# #多人因生产间谍器材被立案
1697621584# #中华人民共和国和印度尼西亚共和国关于深化全方位战略合作的联合声明
1689222112# #！！！。李家超首次在立法会用普通话回应议员提问
1697723711# #陕西省政协原党组书记、主席韩勇接受审查调查，曾在吉林、新疆任职
1699446951# #广州迈出了这一步，希望民营企业好好珍惜。全国首个！广州发布民营企业首次违法合规免责清单
1691335144# #美国在全领域挑战中国，中国偏偏沉得住气，不跟在预设的战场干架！。菲律宾官员：预计年底前开展美菲南海联合巡逻，仍有后勤问题未解决
1696380281# #分裂和走向分裂，是美国的未来。史上首次，美国众议院投票罢免议长麦卡锡
1691120632# #文字越来越好了，看来不是我那个兄弟刘涛
1702089843# #广州市原副市长王东被查
1698220421# #我就想问下，这些抓来的狗怎么处理，一个个供着，要花费大量财政的钱，一个个杀了，有让狗权人士上蹿下跳，不如让那些非法养狗的违规遛狗的，一旦狗子被抓，就要交出十年的饲养费用，或者按年缴，否则，全体公民的财政钱干嘛要为少数人的不端买单！。上海通报网传“民警上门抓德牧”：主人无证饲养烈性
1694055321# #被实名举报高速大桥偷工减料，中铁五局五公司声明回应
1698735186# #河北赵州桥景区停止售票，免费开放！
1702368559# #阿根廷新任总统米莱会见习近平主席特使，外交部介绍有关情况
1697180473# #Bundeswehr专业度可以
1693573894# #俄前财长称卢布暴跌部分因俄持有太多卢比，俄能源部：与实际情况不符
1694161869# #加拿大发起“外国干预选举”公开调查，涉及中俄印等国
1694242362# #主人都认了，狗们不认，跟正义半毛钱关系都没有，望广而告之
1696298721# #著名企业家、创维创始人黄宏生视频揭恒大真相
1691471566# #这样的大鸣大放还有谁不服！。K396次抗击水害英雄集体每人获奖1万，向乘客喊话的赵阳被提拔
1695720001# #中国足协原主席陈戌源涉嫌受贿案被提起公诉
1689686344# #这样的韩国，赶快去火星吧！。。在国际上以偷窃中国文化著名的韩国最近又在找事，他们国内很权威的电视台sbs居然把韩国连日的暴雨与中国扯在一起。取个题目叫从中国飘来的暴雨。可见韩国国内的反华情绪高涨与当地媒体的兴风作浪有必然的联系。。。看新闻都知道，最近韩国的暴雨十分猛烈，造成几十人的死亡
1694149153# #事实证明，只要有决心，就会有效果。重拳再出击！1207名缅北涉我国电诈犯罪嫌疑人移交我方
1701870436# #开工仪式仅过了3天！自称600亿的“大项目”，涉嫌违法
1692591995# #转发微博
1692355391# #转发微博
1697768419# #在安理会再搞提案继续向美国施压。中国特使：巴以冲突根本原因在于巴勒斯坦人民的民族合法权利没得到保障
1694699239# #拆迁办主任指使手下造假骗取补偿款：编造两百平假房还嫌太小
1695559978# #转发微博
1700454804# #“阿根廷版特朗普”当选：35年后，我们将再次成为世界强国
1690119999# #失德的日本以小欺大的恶果是什么？。。它的美国主子有个沙利文的前些天说，美国必须清醒认识到，必须与中国长期共存。这是什么意思，就是说，从现在看来，美国想捏死中国，那是不可能了，做不到就是做不到，否则就不用与中国长期共存，要么抹掉她，要么让她成为美国的奴才。但现实不行，必须与中国长期共
1699111912# #中美举行外交政策磋商
1691848833# #估计菲律宾还会为那破船送物资，而且说不定身后就有美国跟着。那个时候，我们会不会为一个岛礁干一仗？我觉得要干就干大的，否则就适当忍忍。干大的，南海方向，至少要跟美国一样在菲律宾驻军，这样相互盯着，三家都放心。东海方向，中美都在日本驻军，这个应当是必须实现的小目标。这样，大家都平等了
1690775829# #转发微博
1693487451# #两部门：降低存量首套住房贷款利率，调整最低首付比例
1698300278# #巴以冲突已造成2704名巴勒斯坦儿童死亡
1690530381# #印度一男子无力偿还贷款，债主当面强奸其妻子，警方：嫌疑人录下全程并上传网络，已逮捕
1692890516# #中盐集团发布声明：井矿盐占我国食盐的87%，不受日本核污染影响
1691399702# #转发微博
1695381265# #转发微博
1692197725# #转发微博
1692697166# #长江证券融资被香港证监会罚款2000万港元，并暂时吊销牌照
1700060619# #这段录音我希望14亿人都能听到！
1692113888# #李尚福：妄图“以台制华”必将以失败告终
1695783319# #律师：为缓和未成年人恶性犯罪趋势，建议引入恶意补足年龄制度
1692846009# #大火两周后，毛伊岛仍有至少1000人失踪，已造成115人死亡
1700712504# #中植集团致歉：负债规模超4200亿，严重资不抵债
1693235088# #贵州省委原书记孙志刚接受中央纪委国家监委纪律审查和监察调查
1692008407# #那些充满睿智和良知的公知大V们，睁开你那锐利的双眼，为可怜的夏威夷灾民找回真相吧！。关于夏威夷大火，目前看到有90多人死亡。但从网上的信息看，好像这不是一场简单的山火。。首先，有人说这是人为的火灾。。其次，有人说看到一束激光射向火场发生地。。第三，据说被烧的小镇曾面临征收，因居民嫌价格
1695609131# #第五届国际道教论坛在中国茅山开幕，宣布世界道教联合会成立
1699623250# #转发微博
1693033197# #扭亏为盈，融创服务预计全年规模提升15%-20%
1692502659# #暑期档电影东升西降。有趣的事情来了。暑期档的电影，中国和美国的大片同台竞技，然而，美国大片虽不是一败涂地，但也算是乏善可陈。。究其原因，外国人认为这是由于中美关系紧张，国内爱国情绪高涨所致。当然，这是其中之一。。其二呢，也是主要的原因，我们看看美国好莱坞的大片名称吧，碟中谍都到碟
1698291780# #美国在停火上是属于本能的抵制，他们从来不主张停火，自从阿富汗撤军后，就想着找个地方拱火，如今俄乌冲突实现了他的愿望，巴以冲突加强了他的愿望，还想在南海东海拱火，哪里想着要停火呢！到处都停火了，世界一片祥和，他就被需要了！。中方投反对票，张军：美国所提决议草案严重失衡、混淆基本是非
1696827936# #我刚刚在“10月会员抽抽乐”活动中抽中了【3天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1699939117# #欧盟就《关键原材料法案》达成政治协议，以减少对中国的“依赖”
1689515344# #看来让子弹飞一会是多么的正确！
1695295146# #被控受贿1647余万，国家粮储局原局长张务锋当庭认罪悔罪
1701227172# #芬兰将关闭俄罗斯边境最后一个正在运行的检查站
1692687679# #转发微博
1693361426# #加拿大又一原住民寄宿学校旧址发现93个疑似无标记儿童和婴儿墓穴
1696578363# #日本再出食物中毒事件：流水面致892人食物中毒
1692843665# #突发坠机！瓦格纳集团创始人普里戈任身亡，几乎所有高层领导都在失事飞机上
1697082306# #允悲允悲
1692354943# #有什么大惊小怪的，又不是一夜之功。美媒炒作我中建岛建设：进展令人震惊
1698298311# #重磅！秦始皇帝陵陵西墓葬罕见发现！
1699065372# #违法转运火化遗体，蓄意瞒报4死4伤事故，36人被问责！
1701064527# #曹原赴美任教，你很失望吗？。。“石墨烯驾驭者”、95后天才少年曹原将赴加州大学伯克利分校任教。。。之前，很多自媒体不断宣扬曹原的天才，这没问题，还宣扬曹原很爱国，不愿加入美国籍。。。那么，这次他赴美国任教，会不会让大家失望呢？。。我觉得没必要失望。。。首先，对于人才，我们没有办法做出硬性规定
1692360046# #正视问题勇于承担责任。厦门一医院穿刺操作失误，致4岁女童命丧手术台
1689311766# #乌克兰巴不得马上停战，美国说，不行，你一停战，就要加入北约啊！！！扑哧。美防长称：乌克兰“毫无疑问”将在冲突结束后加入北约
1697890304# #多项涉华议题始终谈不拢，美欧峰会整了份“折中”联合声明…
1696298437# #著名企业家、创维创始人黄宏生视频揭恒大真相
1697978259# #院长被指骚扰女教师，北京化工大学回应
1692760106# #海南省委巡视组原副组长吴杰接受纪律审查和监察调查
