1698541152# #有梦想的人了不起
1697181009# #京东辟谣刘姓商人被抓真的是造谣！刘姓商人这么多，一点也不准确。
1692510700# #现在的智能刹车系统是鸡肋还是智障？
1686898388# #原城管局局长受贿200W被查，落马后上交175瓶茅台酒，法院：从轻处罚，判了3年半。社会新闻
1696595536# #上海失踪4岁女童母亲发声希望宝贝健康长大，别说和我女儿还有点像
1695787419# #叙利亚总统夫妇用中文道别铁汉柔情“再见了，美丽的中国、热情友好的中国人民”。。据消息称，9月26日晚，巴沙尔一家乘坐中国政府准备的包机回国。巴沙尔录制了视频，在视频中深情说道：谢谢中国！再见！夫人阿萨德也动容说道：再见！中国。。。他们一家人又回到自己家园，相信他们齐心协力、共度困难，
1697002527# #近日，山东枣庄一中学运动会表演“刺杀安倍”？市教育局：允许学生犯错误。这是错误吗？？？
1699666745# #中国女子在意大利街头穿汉服，被大妈问“不难为情吗？”反而外国人声声夸赞：太美了！
1697517278# #转发微博
1688266468# #最后的使鹿部落
1701925115# #山西一个女子网上举报两任局长收受贿赂，现任局长与女性有不正当关系，纪委：肯定会关注，但办案保密。（来源：纵览新闻）
1700359220# #女子开车路遇交警指挥交通，看不懂手势一直不敢走。网友：最后一个手势看懂了！
1702822936# #奇葩
1698204973# #转发微博
1702783279# #坚守初心，尽补遗憾，“七仙女”惊艳亮相，“芳华弦歌”组合“云端”绽芳华！
1694356128# #来自网友：公务员未来会一直吃香吗？
1699929735# #挖掘师父，谢谢你啦！晚救了一个家庭，和负担，挖掘师父强强强像你们致敬
1698673473# #90年代五路口环形大桥。在许多西安市民眼中，五路口天桥不单单是一座冰冷的建筑。是“桥上看风景”的青春；是一次次到达、出发的见证；更是无数人步履匆匆人生岁月的印记……地标建筑
1699630177# #孩子说外卖大叔身上有难闻的味道，大叔尴尬沉默，妈妈智慧解围社会百态
1698501069# #男子常年在外开大车，很少有时间回家照顾老婆孩子，老婆一直心生埋冤，觉得缺少陪伴！但是男子挣得钱都会交给妻子保管，没想到男子需要用钱时，发现几十万的存款都没了……情感生活婚姻
1692602792# #熊孩子背后一定有个熊家长汗
1699688714# #甘肃一小学校长9年间强暴猥亵儿童多人，被注射执行死刑，知情人：布告张贴一天就撤了
1692715242# #魏大勋连续两年七夕没露脸估计忙着和秦L过七夕呢？笑cry笑cry笑cry
1699261698# #网传榆林一煤矿发生事故致人死亡曾因安全问题被多次处罚。。近日，有网友爆料“陕西省榆林市神木张家峁煤矿发生顶板事故致1人死亡。”网友称，2023年11月1日14时25分，该煤矿3104综采工作面174支架处发生顶板事故，导致1人死亡。。。11月6日下午，榆林市神木能源局相关负责人对网传信息的真实性暂未回
1702362076# #河南郑州一夜下起了暴雪，市民推着电动车穿着棉袄，在雪地里艰难前行……这个门非出不可吗？
1699667048# #网友在飞机上拍到西安夜景：“太震撼了！”结果引来众多网友感叹：原来这就是标准的棋盘式格局（剪辑：荆星编辑：王玥瑶王若辰）
1699666846# #小朋友们轮流向老师告状，老师一句“知道了，去玩吧”全解决.
1696599595# #儿子说朋友挂了被父亲举报吸毒大义灭亲的好父亲，警察走后估计要断绝父子关系笑cry笑cry笑cry
1694140236# #转发微博
1694013230# #【幼童4根手指被绞断交警狂飙送医】近日，山东济南，两岁孩子4根手指被绞断，急需乘机转院手术，济南交警“狂飙”送医。网友：危急时刻可以永远相信人民警察！（闪电新闻）
1688522224# #电池厂家倒闭了不是理由吧，人家买的是汽车不是电池。
1687005100# #停车923天，收费27720元，这也是个不差钱哼停车
1687142391# #班主任暗示初三学生弃考情况属实暗示学生弃考，劝导上技校，这不是全国学校普遍的常规操作吗？。一切为了升学率，升学率，升学率，重要事情说三遍。还有更差劲的，最后一学期直接把差生放在一个班级里，自生自灭，没人管。反正就想各种办法，让你自己弃考……
1702525840# #粉丝发视频称：早晨偶遇一男子为竹子清雪，“有时候用力鞭策你的人，才是真正帮你挺直腰杆，抬起头来的人”董宇辉曾称俞敏洪给的钱挺多已够花了
1701998342# #一辆汽车停在车来车往的马路中，男子竟直接把女子和孩子拖出车外，孩子在来往的车流中无助大哭。
1700380683# #学点传统文化。
1694516484# #【俩老人高铁上霸占座位还怼乘警：我们是交税养你的话筒】9月12日，上海虹桥开往西安北站的G360列车上，俩老人因占用乘警办公席与其发生争执。其中一老人喊话：“你是为我们服务的，我们交税养你们。”其他乘客纷纷出言支持乘警，两位老人也回到自己的座位。据12306客服称，乘警座位为专门为乘警和列
1698583743# #女生花2小时面试3轮，一问工资1900元。当事人：被气笑了
1687361790# #转发微博
1700928810# #简单点的也许可以，但凡情况复杂或需要数据支撑的中长篇，能脱稿演讲或接受采访的真不是很多，这体现了我们工作严谨认真，不像欧美那些官员很少起草文稿而夸夸其谈胡说八道，这也体现了它们缺少…很多吧挖鼻
1693931546# #住在南方的同学来学校报到，看到学校的大澡堂后崩溃了，南方人：这跟在街上裸奔有什么区别。
1702626041# #这是男的女的
1699889668# #转发微博
1689387036# #【多地烟草局要求直系三代血脉不得应聘】近些年来，垄断性国企的关注度越来越高，已然成为大家公认的高收入和福利优厚的行业，是毕业生眼中的“香饽饽”。但是对于大部分毕业生来说，进入这些领域难度较大，此前关于体制内的职位似乎变成了“世袭”的说法，让未出社会的毕业生不无忧虑。。近日，山东
1687653870# #瓦格纳同意停止在俄领土上的行动儿子外出打工赚了一点钱，回来就要和老爹吵几句，说几句就没啥了。
1688365203# #转发微博
1703917541# #老家的高标准农田太美了，以后没有田埂之争了乡村振兴
1695821641# #【吃货的最高境界！666666666女儿用父亲600块买的整只牛头做火锅】近日，重庆，父亲用600块从菜市场买回来一只完整牛头，女儿随后独自上手完成了一道“牛头宴”用来招待邻居们。整个收拾制作的过程行云流水，最终呈现出来的吃法也是五花八门……偷笑偷笑偷笑网友:这就是吃货的最高境界！
1699668592# #“兼职都比这挣得多！”985硕士吐槽求职被开3400月薪，对方称硕士一抓一大把。对此你怎么看？
1699587837# #转发微博
1687076391# #女子吐槽某知名水果连锁超市，区别对待客户，看不起团购用户，店员：你不就是贪便宜吗？贪便宜就是不甜的挖鼻挖鼻女子团购3斤西瓜被店员疯狂嘲讽
1692374008# #转发微博
1694357649# #转发微博
1698759749# #大爷在校外隔着栅栏卖红薯，被校内人员喷灭火器
1694014602# #现在广场舞越来越年轻化了！广场舞
1687523889# #希望媒体能来报道一下@头条新闻
1696565662# #这个场景可以说是人山人海了吧！下雨天都挡不住他们的热情，作为陕西本地人，从来没有上过城墙、上过大雁塔、去过兵马俑，看过华清池，没吃过肉夹馍凉皮，羊肉泡，真是连个外地游客都不如呐。西安
1702103449# #张雪峰回应文科都是服务业简直是放P，自己看看文科专业出来的领导有多少？理科就没有执政水平的能力！
1694233037# #讨要工资这是个好办法good
1701927356# #浙江台州一对新人结婚为何都要去市府门口绕圈？网友：这就叫“官宣“！你怎么看？
1698514782# #榆林横山区殿市众源煤矿附近范家渠沟内整体填埋煤矸石及煤泥污染严重。。各位读者们好，我们将向您揭示一个不容忽视的环境问题，位于榆林横山区殿市众源煤矿附近的范家渠沟内，整体填埋煤矸石及煤泥的现象严重，污染问题亟待解决。。。榆林市横山区众源煤矿，作为陕西省内的重要能源企业之一，其生产过程中
1698587115# #女子婚后点了个想吃却不好吃的菜，被丈夫当场指责生活
1688444805# #梦中情院，世外桃源goodgood
1687011947# #长春身边事【店门前摆放50多花篮一夜被偷空！】6月17日，吉林长春。李先生火锅店新开业，花3000多块钱的花，为助兴在门前摆放50多花篮，一夜被偷空……
1699892022# #水果商贩街头卖力叫卖，红心火龙果10块钱12个！网友热议洛阳物价
1687361765# #转发微博
1700364224# #女子花1.8万买衣服，一年不发货也不退款。买了一年多也不发货也不退款，找到后台工作人员就一直在说在审核中，这种拖沓式的售后肯定都经历过，但是这一年了都没给处理确实是有点离谱。。后来发现还有许多消费者也有类似的事情发生，平台被投诉了好多次，大多数都是平台不发货不退货的申诉。。这样的情况确
1700897819# #转发微博
1688266521# #转发微博
1701074598# #口渴了尽量少喝，不能替代饮水。摊手
1686913416# #失去双臂的小孩，在用脚努力练习日常生活方式，“加油孩子你是最棒的！”
1693977204# #过去30年全球50岁以下人群癌症激增越来越多的年轻人癌症早发，已经不再是危言耸听！
1699669734# #11月10日，广东，一车厢人看两男孩玩纸牌网友：他们只是在看已经逝去的童年。地铁
1688357675# #转发微博
1700965349# #女子上网购买了条冬季时尚女裤，试穿后太丑决定：没有运费险也要退
1698579449# #10月29日（通报事件）湖南长沙。警方通报长沙一公园多人持械打架：网上对骂升级为持械斗殴。14名涉案人员全部抓获。（来源：今日关注）
1695647825# #小区夫妻停车占两位，一个是自家车位一个是公共车位，另一男子想停公共车位要求其挪车被无视，直接停车堵住夫妻的车辆，这事你怎么看？
1699889613# #转发微博
1693891172# #为这位JC哥哥竖大拇指goodgoodgood
1687574219# #孕妈斜着躺床上记录胎动瞬间，肚子被顶的凹凸不平，网友：生命的悸动，痛并快乐着。
1702951267# #西安地震西安震感强烈，我和我的室友们笑cry笑cry笑cry
1697512368# #iPhone15Pro被曝生产成本523美元523美元折合人民币也就4000来元，我是中国人我支持华为！
1695649682# #【网传高中生入厕需带通行证教育局：确实存在，会向学校了解情况】如何看待高中生入厕需通行证近日，广东阳江。有网友发视频称一学校高中生要带通行证才能进厕所，并且牌子上印有学校盖章。对此，学校工作人员回应称，这是学校内部管理。9月25日，阳江市教育局工作人员回应称，已经和学校确认，确
1695103595# #转发微博
1703063690# #人民网评哈尔滨的真诚值得点赞闽大评无论是真的排队时间过长，还是有人“恶意”玩笑，从哈尔滨市文旅局领导赶赴现场督导，到哈尔滨冰雪大世界公开致歉，再到园区连夜整改，这番操作拉满了“仪式感”，也展现了足够诚意。哈尔滨的真诚，我们都看见了，值得点赞。哈尔滨强势“出圈”！
1699693082# #3岁小孩尿急尿在别人车轮上，司机全程坐在车里笑，没有责怪。孩子妈妈赶快道歉：大哥，对不起！头条热搜
1696686301# #网传常熟虞山森林防火指挥中心大屏监控播放野外不雅画面，街道办：采访需联系市委宣传部。森林防火指挥中心大屏播放不雅画面
1693836501# #这学校收费真便宜666
1703496832# #年轻人如何直面社会的焦虑，88岁的中国工程院院士金涌教授用自己的留学经历证明，或许珍惜当下的机会，全力以赴，是解药之一。他50年代留学苏联时，所有的留学生都在苦读。他留学5年，没看过一场电影，早上7点去学校，直到半夜12点图书馆关门才离开，绝大部分同学的学业都是60余门功课门门全5分。
1686984521# #转发微博
1687480681# #6月18日，荷宝高速一辆车发生着火，现场浓烟滚滚。
1702030340# #太幸福了！90岁太奶奶给15个月曾孙子煮鸡蛋吃，一老一少，一个慢慢做，一个愿意等，温馨的画面
1702982153# #贵州一男子凌晨筹备300床棉被，连夜奔赴甘肃震区，给灾民取暖，“汶川地震时还小，这次一定要出力”。
1695190903# #【官方回应银川西夏300多亩农田变垃圾场，镇干部当众抢村民手机】蛟龙军事镇干部：手机给我，你想录谁就录谁？把东西必须给我删了！
1703677204# #跑的慢，听到是笑声，跑的快，听到是风声，烦恼有点多，皆因咱努力不够，在这岁月静好的和平年代，咱们珍惜每一天，过好每一天！
1699890966# #火锅店上演川剧变脸，不小心甩到了客人脸上。这怪谁呢？
1699929369# #槽罐车冒黄烟后喷射大量液体，后车猛摁喇叭倒车，当地：到场后未见车辆只发现残留物
1687237924# #福建商人在长春的遭遇据了解，李跃进是2000年被招商引资到长春的投资商，也是第一批进入长春的投资商。据李跃进说：从这事发生以后，福建商人到长春投资逐渐减少了。
1699929464# #凌晨五点的北京，外卖小哥在街头啃着冷面包唏嘘：“花一百块跟玩一样，挣一百块玩命一样”
1700549898# #男子和女友旅游，男子给女友拍旅游照，气得女友破口大骂，“看照片前：无理取闹看完照片后：她算脾气好的”
1700841318# #【最近网络热播：希望有关部门严格彻查，给老百姓解释，维权】长城网·冀云客户端讯（记者吴新光迟霄航）陕西延安子长市秀延街道上冯家庄村村民冯先生，平日里在地里种点粮食、在院里种点菜，自从一家洗煤厂建到自家屋旁，平静的生活就被打乱了。。。“这两天，双顺洗煤厂停产没开工，可能是听到风声说
1700897799# #鼠头鸭脖涉事高校党政领导去职鼠头鸭脖事发5个月后―――这个利益输送链终于斩断了？鼠头鸭脖涉事高职院校党政领导双双去职
1686905526# #烧烤店老板娘用高跟鞋开啤酒，真飒！
1698761560# #婚礼现场婚礼当天这也太幸福了吧！新郎结婚喝多了，新娘把他抱在怀里不停的拍打
1696601432# #接个亲从新娘村里出发发了30条烟，衰震惊我了！接亲
1690206559# #不论是租房，还是买房，都必须看房，而看房一要双方有空的时间；二是路上花费时间；三是房屋现场花费时间；四是有时要看好几趟。而自如的VR看房很好地解决了这些问题。打开手机，线上就能清晰地看到房间实情，从而挑选。这个真不错，方便，快捷！
1692511325# #美女350w租了一个北京二环价值一个亿的四合院，大家觉得值吗？
1692631055# #可怕的空难！
1687361781# #转发微博
1702347245# #夜晚女子在马路上被男子上前言语骚扰：“给你5000块钱，我想把你玩到明天早上，当你半天男朋友，男朋友该干的我都想都干。”大家怎么看？？
1698716961# #家里只有儿媳和孙子在家，公公担心不方便蹲在门口等，儿媳：你在我心里就是爸爸啊！感动瞬间
1699630687# #陕西发布暴雪黄色预警部分地方今夜降雪量将达6毫米以上西安
1692942417# #转发微博
1687238758# #网曝广东一女生在学校厕所门口被打下跪，磕头，当地教育局证实:此事属实，正在调查。哼。。某些人就是缺少社会的毒打怒怒怒反对校园暴力拳头拳头拳头
1687236147# #网上很火但是你不懂的梗沸羊羊，老有人评论我沸羊羊疑问疑问疑问
1698564235# #深圳欢乐谷回应具体受伤人数深圳欢乐谷回应：4人进ICU，均无生命危险。我怎么看不懂？还玩文字游戏呢？
1701918003# #新娘下车后遭朋友婚闹，关键时刻大姨一把推开扫兴小伙。。网友：大姨是亲大姨啊！
1698483979# #你有多久没吃到过甘蔗了…
1687447902# #四川广安，人行道突然坍塌，老人躲闪不及掉入坑内，所幸老人已获救身体并无大碍。
1700359347# #小男孩被爸爸忘在地铁上，拉着好心大哥哥一脸懵，"以后你们就是我二爸、三爸"
1698538400# #兵马俑二号坑出土秦剑，展现秦朝发达的铸剑技术！文物考古
1693033969# #打倒小日本！重庆的网友拍摄的，一男子站在闹市区抗议日本排放核污染水。
1690383216# #女人狠起来没男人啥事666666
1699604247# #女子在校门口摆摊卖饮料，简单便捷，一元一杯，“孩子一元钱就买到一天的快乐”孩子
1699677560# #网友：看门面可能是为了以后报恩感动瞬间
1692631068# #转发微博
1700294790# #恶俗的社交文化
1702525325# #【西安市临潼区、灞桥区两区交界处，多家选沙场涉嫌非法占用土地，夜间生产噪音扰民严重距村民房屋仅一路之隔多家选沙场存在已久】。。近日，有群众反映称，在西安临潼区西泉街办河上村和灞桥区新合街办占家村多家选沙场涉嫌非法占用土地，夜间生产噪音严重扰民，距离村民房屋仅一路之隔，并称
1700370655# #近日，河南宜阳一对夫妻，投资2千万救活烂尾楼后被指非法吸收公众存款，本以为“名利双收”却以刑事涉案收场。网友：这个回手掏，绝了！
1693035147# #这下不好办了
1698507008# #男子带女友深夜“拉车门”，得手后激动拥抱亲吻。民警将其抓获后发现还是惯犯。网友：是怎样说服女友的！
1690466206# #整治网络暴力，追责施暴者，震慑违法行为，共建清朗网络家园。
1698501773# #女子收到男性朋友寄来的化妆镜中，暗藏四个针孔摄像头、5张32G的存储卡和一个录音器.
1700928889# #没网络发酵，啥事都没有，可惜要求删除的太慢了dogedogedoge
1699667852# #11月10日，四川妇联回应哺乳期宝妈遭公公殴打：不在四川，已报告全国妇联（来源：北京广电时间视频）
1687257254# #咸阳身边事西安超话2023年5月14日，在咸阳秦都区下帝王村一老人被陕U5956T轿车所撞，经交警认定对方全责。事情已过一个多月秦都区交警队无任何联系处理，而车主保险公司一拖再拖推诿扯皮，至始至终不解决问题请尽快处理！
1693211174# #转发微博
1696570453# #【四平陈佳鹏把金牌挂到妈妈脖子上！】10月5日，吉林长春。四平陈家鹏夺冠归来，见到妈妈的第一件事，陈佳鹏把金牌挂到妈妈脖子上❤️
1699630484# #好心人去大山里的学校，大山里的孩子给310个孩子改善伙食，孩子：这个咋吃、这是我第一次吃虾......心酸
1690770904# #转发微博
1694646750# #转发微博
1701072980# #合肥伍佰演唱会被粉丝喊话“演唱会不要聊天！”合肥不惯他，伍佰蒙圈了！伍佰伍佰演唱会不要聊天
1698762496# #新人结婚路边放烟花。俩大妈不顾危险争抢纸箱
1687615245# #圣彼得堡卡德罗夫表示要“进京勤王”，能相信吗？。车臣武装是小卡的私人武装，卡禄山应该知道唇亡齿寒的道理，绍伊古信不过瓦格纳，就能相信卡禄山不反？绍伊古一旦摆平了普里戈金，下一个该轮到小卡了吧？。当年董卓也是说要进京勤王的。。俄罗斯今天发生的一切不过是中国老祖宗玩剩下的，我们搬好小
1688523989# #学生高考结束后，拿起扫帚帮环卫工妈妈扫地，“孩子知道感恩，懂得父母的辛苦，拿起扫把那一刻已经不错了”。
1694956692# #转发微博
1695708498# #转发微博
1687308679# #转发微博
1694013714# #西安交大校长王树国点评华为发布新手机的意义华为
1687576540# #河南郑州，音乐节现场众人踹掉护栏翻进场，现场一片混乱，平常娇滴滴的女生像狼一样，很恐怖！郑州超话
1694354724# #俱往矣……揣手
1700325186# #希望早日上映
1702256572# #有点艺术细菌笑cry
1696656386# #祝福一对新人今天喜结良缘，晚上上面嘴对嘴，下面腿绞腿，中间拧螺丝………婚礼
1698676822# #员工厕所蹲坑吸烟被拍照负激励500元公司回应：我们是做食品的，公司明文规定不允许抽烟吸烟有害健康员工厕所蹲坑吸烟被拍照负激励500元
1694179426# #中国经济稳中向好基本面不变中国经济在今年上半年面临了前所未有的困难和挑战，受到新冠疫情、全球贸易摩擦、国内结构调整等多重因素的影响，经济增速放缓至6.1%，创下近30年来的新低——在韩国穿睡衣出门被嘲笑了揣手
1689075151# #【男子忘拉手刹眼看汽车掉入深坑】7月9日，陕西安康，男子忘记拉手刹回屋换鞋，眼睁睁看着汽车掉进路边深坑。安康地点
1694095851# #转发微博
1693805186# #转发微博
1696240624# #湘西一剧场演出变大型吃席现场一场别具一格的文旅实景演出与游客见面了。这部戏剧开创性的亮点是以“宴+演+剧”新模式，让游客坐在大峡谷露天剧场，移步换景中主动参与到戏剧中，还可以一边观看演出，一边品尝各种原汁原味的湘西美食。
1695281712# #转发微博
1699367828# #两个女孩列车上误认为被男子偷拍，要求查看男子手机。乘警过来查看后证实男子并未偷拍偷拍
1697515240# #“网红”安保大叔说陕西方言，这是大唐不夜城新推的节目吗？西安大唐不夜城
1702550186# #大哥新婚快乐！年年有今日，岁岁有今朝goodgood
1699890783# #网曝商场金店工作人员因客户原因发生冲突，双方大打出手网友：一个月3000块拼什么命！
1703393571# #太可怕了！进来听听声音微笑
1693034149# #大一新生入学军训，“板凳男孩”方宇翔和同学们一起站军姿，参加军训科目训练，据悉，学校已允许他可以不参加军训，但他依然和其他同学一样，坚持到了军训最后一刻，为坚强的孩子点赞！
1700897875# #转发微博
1698636062# #女学生到讲台给老师背课文，老师后面的男生翻着课文“神助攻”，网友：一个真敢看一个真敢帮
1696676819# #10月6日广西贺州，一幼儿园园长与男子开房，钟山县教育局：将进一步调查。男子妻子：我没管好丈夫。
1693034401# #日媒宣称日本针对中方措施开展外交攻势日前，中国政府宣布全面禁运日本水产品后，日本民众纷纷慌了手脚，痛骂岸田内阁:“无能！”、“麻木不仁！”、“毫无责任心！”
1700476879# #丈夫拍下喂奶时的妻子。网友：生完孩子都这么美，不敢想象没结婚之前她有多美。
1693843097# #这么活泼的吗？
1702348608# #开特斯拉女司机加塞不成，别停后车发生争吵，女驾驶员：活该开哈弗
1693033648# #再动员、再部署，市政园林部门全力以赴做好暴雨大暴雨防御工作
1699890546# #儿媳为带公婆吃自助餐谎称仅需10元，店家暖心回应：立马推出了老人10元就餐活动，未来考虑将每年的11月作为“孝顺月”
1701918238# #瞎鸡吧搞
1694483157# #去旅游，但是不瞎游，要游出花样，游到顶端，游成“专家”，看来，无论玩什么，都要玩到最顶级的水平，这不，他就把爱好“玩”成事业，算牛人！
1696563643# #结婚当天，新郎到新娘家接亲，被要求把玉米剥完才能进门，拍摄者：正值农忙时节，这样做很有意义，比那些低俗的有趣多了。
1701326000# #女子：远嫁的苦，我是吃遍了。出差回家晚了一小时，把我衣服放进行李袋里泼了豆瓣酱，放在储藏室门口。羽绒服全部给我绞烂。我真的不知道自己为什么这么倒霉摊上这么个玩意？
1693978354# #女主播户外涉黄直播当场被抓拥有千万粉丝曾经的KS户外直播一哥祁天道，户外直播低俗、下流。2019年因某某罪被抓捕，现在仍在户外直播，是否应该管管了？
1693843131# #文化的软实力
1702687119# #每个律师都坚守良心，坚法律公正，天下不会有如此遭遇数不尽的冤案
1693984946# #余华之所以成为余华，不是因为《活着》，而是因为《在细雨中呼喊》，那是余华的第一部长篇小说。
1703324099# #方寸小核，勾勒世间万物人生百态，巧夺天工，郑州非遗人历时5年再现“核舟记”！
1692455117# #唱的真好，在继续唱下去要赏你鸡蛋吃……
1699601508# #大学生体验7秒明星，气质拿捏很到位
1694164886# #转发微博
1693801910# #网友拍下心酸一幕，新学期开学一个班仅有三名学生，网友：农村小学现状，有一种莫名的心酸。
1686984707# #转发微博
1693033882# #自从日本核污水排海后，这位网友的反应是不是太大了～
1687193698# #高速上轿车被横推出去几百米，大货车丝毫没有减去的意思，“以为只能等死了，很绝望”
1692510810# #大妈摆地摊摆到美国去了，不收摊位费吗？
1692888799# #一有事就商场抢盐，国人这是什么习惯费解费解费解
1688444812# #转发微博
1695790255# #好好地新鲜蔬菜都吃不完，为什么偏偏要滋生一个预制菜的行业呢？晕
1699889568# #转发微博
1687573518# #近日，一男子去房管局办业务因不满意，评价服务时发现不满意按键无法使用，惊不惊喜，意不意外。。网友：那是给你看的，不是给你按的。doge
1700326265# #11月16日(发布)湖南永州“老板，给他点一份吧，请不要辣”~热心男子请乞讨老人吃饭网友怒赞！善良的人，走到哪就会暖到哪！暖新闻
1702028372# #goodgoodgood
1694602314# #对孩子是有好处，但是这样闹腾，响声挺大，楼上楼下邻居家受得了？当然，除非是独栋自家房屋！
1700897843# #转发微博
1687072308# #【年轻城管辱骂老人和“狗”一样话筒】近日网友爆料在陕西宝鸡市金台区，一位年轻城管竟然辱骂70岁的老人跟狗一样，围观群众纷纷上来劝阻时，该城管还冲过来大声说骂你咋了，一副气势汹汹、高高在上官老爷的样子。。。期待公布事实原由，别冤枉了好人喵喵喵喵喵喵
1699769968# #11月12日（采访时间）黑龙江省黑河北安市。8岁男娃扎针手法娴熟“一针见血”。真不愧是老天爷赏饭吃。
1702549463# #董总在格力电器公司大学生入职仪式上再提孟羽童：只想用格力平台去当网红。。。网友：人家都走了，你还句句不离别人消费人家，这格局是否太小？？？
1699889602# #转发微博
1703592388# #转发微博
1695790809# #多地医生降薪终于出手了！一个副骨科主任财产就有几千万哪来的？？？
1699604102# #丈夫去世28天后，女子独自参加儿子婚礼。
1703342197# #美女去医院看病，竟然当众撩起医生，抬腿的那一刻才知道有多霸道
1693446773# #转发微博
1698553961# #高铁车站上演现实版“人在囧途”，白酒带不上车上，哥们几个当场喝完。
1701157275# #食客吐槽带娃去海底捞看到科目三很不适：“这种事情为什么会火？”你觉得服务员跳科目三是创新还是辣眼睛？科目三
1693800246# #【上班第一天的工作是抓小孩？！开学小朋友直接跑出大门老师猛追】9月1日陕西西安，开学季开学第一天总会遇到不愿意上学的小朋友。在一家幼儿园门口，一名小朋友哭闹着不愿意进门，突然冲出大门跑向马路。幸好老师眼疾腿快，赶紧跑上去及时抱了回来。网友：也没人告诉我
1692599604# #古稀老人被烈犬咬伤多方维权被踢皮球。近日，多名网友发帖反映：家住安康市汉滨区花园乡牛岔湾村1组的73岁老妇金良云，在自家院子做家务时被邻居陈俊业家豢养的大型烈犬咬伤，伤者亲属先后多次找有关部门要求处理均被解释为不归其管。。据受害当事人陈述：事发十五分钟后犬主陈俊业将伤者送至五里镇
1700383820# #女子晒自己“脏兮兮”的老公：托了5个媒人后成功嫁给他当初可费老劲了
1693797786# #小区老人半夜不睡觉在小区疯狂敲盆，声音"震天动地"，"白天敲晚上也敲影响了其他人休息"。遇到这种人真的就没办法了吗？
1686902351# #韩国酒店里，各国国旗只有中国国旗被捆绑，网友忍无可忍果断出手，“五星红旗必须飘扬！”
1693211087# #太恶心了
1699601760# #四川成都。老婆婆因为只有一站，不愿意坐下，谢谢这位善良的小伙子，一个小举动，隔着屏幕都能感受到温暖正能量
1693211202# #转发微博
1699628578# #男孩第一次带女朋友回家，看见满屋家人怕女友紧张，随后一番话马上化解尴尬
1687565973# #传统文化魅力
1696740811# #婚礼现场新娘身穿校服，“十一年的恋爱长跑，有了新的篇章”，网友：看别人幸福，真的会流泪。
1693035284# #长沙三位女生在橘子洲头深情合唱《灯火里的中国》，网友：身为中国人真的很自豪。
1699770357# #女子婚后一直不上班，说老公养自己是里所以当，网友：这是娶了个祖宗啊生活
1696682178# #妇联主任发挥了工作之外的作用笑cry笑cry
1693798962# #这要不是监控，谁敢相信这是发生在幼儿园的一幕啊！
1699622719# #迟律师大骂“宣威融媒”是史上少有的无良、骗子，该融媒没有采访过她，令人震骇。百度百科显示，宣威市融媒体中心2019年4月成立，由宣威市广播电视台与曲靖日报宣威记者站合并组成，为宣威市委直属正科级全额拨款公益类事业单位，归口宣威市委宣传部管理。
1696589854# #揭露偷东西=抹黑微笑。真的是醉了，偷换概念南阳女主持人含泪控诉
1699688503# #网友分享在哈尔滨坐公交车，花2块钱坐了5站下去推了3次。
1701322593# #胖哥论坛超话闽大讲不管是如何立案的，都不能证明一个无罪的人有罪。
1687096449# #南宁地铁一男子赤裸上身，把一女子压在身底并且大声叫喊，吓坏旁人……南宁
1700381024# #11月17日，湖北武汉一家医院候诊安排植物大战僵尸，目击者：还以为在排队挂号…
1702085372# #希望没有人员伤亡
1699605216# #11月7日，Z390次列车上，一男子跨车厢“搭讪”两名女子，自称是其叔叔被女孩否认后，立马“教育”乘警：“是你扒拉我了是吧？”
1701860483# #【庄河大郑镇银窝村分红155万】12月6日，辽宁省庄河。大郑镇银窝村分红155万，户均4000元。庄河大郑镇银窝村合作社首次分红！155万，户均收益4000元！。12月1日，庄河市大郑镇银窝村在村委会召开了首次股份经济合作社分红大会，今年银窝村通过土地托管项目经营收益共计175万元，此次共发放分红款155万
1701918429# #拉走7斤煤，送来100斤生意做亏了允悲允悲
1700372923# #大妈到卫生院做雾化时不愿排队，将小孩正在使用的雾化器电源拔掉并称：自己昨天先来的！
1695647622# #【妈妈眼里孩子是最美的！女孩因外貌质疑自己妈妈拥吻回应】近日，浙江。“你是我妈妈吗？为什么你那么好看，我那么丑……”女孩对外貌不自信质疑自己非亲生，妈妈听完立刻拥吻女儿，用行动暖心回应。女儿倾诉自己长相ugly被妈妈拥吻（人民视频）
1696646598# #国籍一换，倒手千万亚运村的床垫都被带走了
1687361757# #转发微博
1699689357# #起猛了！火车上吃“满汉大餐”，鸡鸭鱼肉虾样样都有！拍摄者：太过分了！馋死人了！火车
1698505946# #数学是体育老师教的卧龙凤雏互相砍价老师
1687479896# #转发微博
1687145674# #好死不如赖活着，跳下去你可又要喊救命。幸亏白衣大哥跳水去救了你，还忙活了这么多警察叔叔。珍惜生命，远离爱情，搬砖才是王道！
1699673738# #原来他们是河南人！浙江嘉兴2岁女童穿着尿不湿凌晨3点独自跑上大街，河南人包子铺夫妇把孩子抱进店内，找来衣服给孩子穿上，随即报警
1698501955# #怪不得每次小姑子回来都看不顺眼我，不管我怎么对她好，她都冷眼相对，好像我欠她的一样，原来这才是根源……情感
1686908353# #合肥六中毕业典礼上，校长：三年没让你们带手机，今天你们带了吗？全场星光璀璨，气氛很好。
1702264268# #转发微博
