1695353395# #这是哪个白痴拍的？
1698191414# #免职。
1690111676# #人狠话不多，不必讲武德。
1696853453# #本狼敢打赌，这位不仅爱苹果、喷华为、力挺以色列，而且还一定是个乌粉。
1703308276# #一定要让她的晚年不得安宁
1698158410# #以色列驻广州总领事馆微博评论区，一条被高赞的评论：“坚定支持以色列！”笑而不语
1694667334# #殖蛆已经沦落到要靠印度和越南打鸡血的程度了摊手
1703927976# #哈马斯公布的，人家有视频。以色列不服气也公布视频吗，另外劳驾批准一下士兵战死，别光军官了。
1702073332# #【白白白酒】。一个行业最大的失败是年轻人不和你玩了。
1701418309# #温柔只给意……？
1698277760# #中俄美，大博弈。
1694834740# #【刘备与曹操】。古往今来，所有中国人都在向往着，建立一个真正伟大的国家。
1689589502# #期待23小白杨！心
1691914700# #并不是说和黑人在一起我们都反对，你们双方应该都奔着抚养自己的后代去。
1691905845# #山东某地血案，嘴欠活该被砍。。女孩捍卫尊严，过度应该罚款。
1695820575# #9月26日，叙利亚总统夫人在北京外国语大学发表演讲，全文如下：。“我的国家，叙利亚，打了一场战争，并将继续为捍卫自己的生存而战，仍然坚定不移地，重建被摧毁的，种植被烧毁的，展望光明的未来，不管现在有多困难。。从历史上最古老的有人居住的首都大马士革，到最古老的文明之都北京，从第一个字母
1700743292# #润人踩内地，当场翻了车摊手
1698965870# #11月1日，好莱坞女星安吉丽娜·朱莉在个人Instagram上发布了一张加沙北部的杰巴利耶难民营遭遇空袭的照片，指控以色列此举是针对无处可逃的受困民众的一场“蓄意轰炸”。她表示，在全世界的注视下，在许多国家政府的同流合污下，包括妇女儿童在内的数百万巴勒斯坦平民正在遭受集体惩罚和非人待遇，他们
1696173723# #亚运会赛艇比赛，琉球选手勇踩日本旗。
1693456458# #【日式报恩】。1943年3月，台籍“日军士兵”杨坤荣在海南五指山扫荡时受伤，被当地百姓救出。康复后，他带着大股日军血洗村庄，杀害了300多善良无辜的中国百姓……
1692946068# #南方某城市地铁上，素不相识的女士默契配合，踢腿健身。
1692083661# #中国大妈在美国，即将发挥战斗力。
1694658889# #胖揍阿三！。本狼觉得，国内不同行业，都应该向边防军学习，向华为看齐。
1696050727# #9月28日，东航与商飞签署增订100架C919购机的协议。目前C919订单数已经达到1061架，并且已经交付2架。。那啥欧洲不是要跟中国的新能源汽车过不去吗，小心空客的狗头。
1700713588# #不愧是《读者》，矢志毒鸡汤，从未改变过！
1692155234# #小区偶遇，原来真的有种树叫朴树。
1700979256# #《如何评价当今中国的男性群体》。一个字：累。两个字：孤独。……
1701695362# #回敬公知，一发入魂阴险
1697854481# #是的呀，我们一直在呼吁和组织领养流浪狗狗
1703319036# #由于谴责以军轰炸巴勒斯坦平民，瑞典环保少女被以色列大叔认定是一名哈马斯！
1696911430# #以色列啊，你不该让巴勒斯坦人没有水喝……
1700439872# #甜甜圈发现，身在美国，言论自由反而被限制了摊手
1700967031# #【英国佬误导乌克兰】。据《乌克兰真理报》11月24日报道，乌克兰执政党“人民公仆”议会党团主席阿拉哈米亚当天表示，俄罗斯去年3月曾承诺，若乌克兰保持中立且不加入北约，俄罗斯便停火。拉哈米亚称，出于对俄罗斯的不信任，以及英国时任首相约翰逊的反对，乌克兰最终选择继续战斗。。去年3月，在俄乌冲
1695271354# #9月20日，山东青岛。一对新人的婚礼上，一名伴娘被多名男子持灭火器喷倒在地，失声痛哭。新郎站在旁边乐的不行，有邻居来阻止时，他还对人家说：不关你事！。几条山东大汉膀大腰圆，欺负起女生来生龙活虎，当真十分有种。
1690765371# #这是哪里？
1690423927# #我堂堂大中传，居然排在第四档，属实被低估。。中传的芳邻北二外，居然排到第八档，简直是恶意打压！。不如中传二外携起手，报团取暖待深秋……
1697601711# #被纳粹戏弄的犹太人。。被以军戏弄的巴勒斯坦人。
1691812887# #遍地火烧夏威夷，人命关天灾情急。。公知美粉全瞎眼，稀宗祸水要东移。
1704120674# #【润人吹牛】。上嘴唇接天，下嘴唇挨地。。那脸呢？。润人还要啥脸裂开
1694743682# #香港凤凰记者用英语向委内瑞拉总统马杜罗提问，被直接打断：“说普通话，这儿没有英语翻译。这是一个新世界。”。记者改用中文后，气场直线下降。人家委内瑞拉的官方语言也不是英语呀，上来就拽英文。
1702100939# #君为臣纲，君不正，臣投他国；。国为民纲，国不正，民起攻之。。父为子纲，父不慈，子奔他乡；。子为父望，子不正，大义灭亲。。夫为妻纲，夫不正，妻可改嫁；。妻为夫助，妻不贤，夫则休之。
1692613979# #乌克兰士兵瓦西里，在巴赫穆特前线受伤，双腿截肢。他在病床上迎来了自己的20岁生日。。然而这场战争本来可以避免的。
1703038700# #【卷不过】。普林斯顿大学的研究表明，在加州经济发达的郊区，每当1名亚裔学生进入某个学区，就会有1.5名白人学生离开该学区。这主要是因为白人家长担心自己的孩子在学校内的竞争中无法获胜。
1701782687# #【穷人四大荤菜】。沈阳的鸡架，四川的兔头，武汉的鸭脖，北京的卤煮……
1695626933# #据说是中国年轻人最喜欢的十大步行街。。本狼身为北京土著，竟不知北京还有个北京路。哪位朋友指条道，改天一定去步行一下。
1690109646# #日本人评选的亚洲一线城市排名。
1699284456# #每个人都背朝铃木，望向隔壁的比亚迪展台。。所以都是被挤过来的咯摊手
1703301395# #彩礼只向穷人要，富贵处处真感情。
1702893217# #东北人民爱斯基允悲
1697639019# #【可可西里网红狼】。原本是瘦骨嶙峋快要饿死一老狼，现如今拦车讨食卖萌摇尾胖嘟嘟的网红狼🐺
1688292563# #【薇里薇气】。川大男生打个篮球，莫名其妙地被小仙女挂了。。所以那边是仙女培训中心吗？
1702513109# #给德国驻华使馆提供辱华漫画的翔凤文化节，崇拜慈禧，崇拜汉奸川岛芳子，得到西方大力扶持。
1698809719# #常凯申很牛逼啊，居然能坚持四年！。（而本狼这图甚至坚持不了半天）
1700026647# #美国有X战警，我们有手撕鬼子。
1696777463# #10月7日，巴勒斯坦伊斯兰抵抗运动（哈马斯）宣布，对以色列展开新一轮名为“阿克萨洪水”（Al-AqsaFlood）的军事行动，随后巴勒斯坦伊斯兰圣战组织（杰哈德）也宣布加入。。以色列境内顿时烽烟滚滚，也算是几十年难得一见的奇景了。
1696495249# #电影志愿军雄兵出击本狼已迅猛地看了两遍，正准备看第三遍。是部非常好的电影，把抗美援朝二次战役中至关重要的松骨峰战斗完整地呈现给观众，气壮山河，血脉贲张！。可喜的是，两次在电影厅里都遇到不少家长带孩子来看。这是最好的民间战备动员方式。
1693962783# #新闻传播领域确实需要整顿。
1689234563# #7月11日，著名作家米兰·昆德拉去世，终年94岁。。读过他好几本书，谨此哀悼致意蜡烛
1702558884# #中传播音主持进修班。23秋季班结业汇报演出！话筒音乐
1689141732# #年年诅咒年年空，岁岁逼逼岁岁懵。。诅咒逼逼成礼赞，女王归西乘东风。
1687595925# #瓦格纳大军威武入城，俄罗斯大妈淡定扫街。
1696853987# #明末以色列🇮🇱
1699283905# #西方的工业明珠被我们摘得差不多了
1703306301# #然也！
1702190302# #12月10日，俄空天军战机发射远程巡航导弹打击了乌克兰导弹生产基地，包括乌克兰国产的赤杨和雷霆两种远程导弹装药及组装车间均被炸毁！
1697089584# #【摩萨德出了大问题】。10月11日，美国众议院外交事务委员会主席迈克尔·麦考尔透露，埃及在事发三天前确实向以方通风报信过，警告他们哈马斯可能将发起攻击。。一名埃及匿名情报官员10月9日接受美媒采访时曾声称，在哈马斯对以色列发动突袭前，埃及曾向以色列方面多次警告称哈马斯“正在酝酿搞大事情”，
1690448070# #温馨时刻：周总理和他的朋友们
1689247135# #【加拿大野火】。英国《卫报》报道，加拿大野火还在烧，已经烧掉了一个葡萄牙的面积。。好消息是再烧三个月应该就能结束了。
1694154258# #今天上午10:08，华为Mate60Pro+及华为新款折叠屏手机MateX5正式开启预定销售！。秒光。
1695798649# #想看华为的笑话，结果自己成了阿三眼中的笑话。
1693532364# #过去岁月的拍照姿势📸
1689904890# #所以呢呆哥，难道还没有取消？
1694671141# #英军为何敢争马岛，却不敢争香港？
1694512617# #印度人觉得，中国人不愿殖民印度，就是看不起印度！裂开
1702361497# #韩国是否正在衰落？是！
1699411349# #你永远可以相信解放军
1700137940# #为何中国人往往能一眼识别出美国出生的华裔？
1697016717# #巴勒斯坦女孩李可可之前被莫名其妙删掉的微博。
1689639571# #在国内会勃然大怒胡搅蛮缠张嘴就喷，去国外立马温良恭俭让性格大变样热脸贴冷屁。
1700733781# #这些跪舔阿三讥讽战狼的殖蛆们，现在可怎么办？
1691311698# #反应太快允悲
1702893768# #郭台铭要哭晕在三哥的厕所了摊手
1702027214# #辅导作业这件事，最容易让人现原形猪头
1701304648# #著名润物甜甜圈夸美国什么都好……就是太苦辣允悲
1695611129# #公平地说，纽约以前不这样……
1699067792# #10月27日，一位成都小姐姐在网上发视频，哭诉自己找了4个“旅游搭子”，结果被“抛弃”在了稻城亚丁。。而对方的反馈则是，小姐姐自己的性格和所作所为导致了被“抛弃”……
1687067926# #加拿大副总理兼财政部长弗里兰的豪放坐姿，非常适合慕洋犬盘腿效仿。
1702525507# #国家公祭日，某大学的官方号转发韩国明星的机场图，为哥哥的颜值打call。
1700142696# #活要见人，死要见尸。。缅北明家，灰飞烟灭！。（后两张是明学昌死鬼图）
1696942468# #阿三乱入巴以冲突！允悲
1703925010# #民主的沙滩🏖️会不会迎来越来越多的沙币呢？
1687847619# #姐弟熊猫熊猫
1700304356# #土地，属于留下来的人。。祖国，属于忠诚她的人。
1698059101# #如果穿越时空去刺杀婴儿时的希特勒，你会动手吗？衰
1694611357# #可以扔掉献给他的鲜花，却扔不掉人们心中对他的敬意。
1691462293# #美国人不愿意来中国？这不是没有原因的。
1702569087# #国家公祭日，阿拉伯网友的评论。
1701712309# #哈马斯设置的假地道入口，成功引来以军士兵。然后……。轰！！！
1702817235# #兔子的工业大摸底😎
1698580861# #港人执意北上，无惧排队。
1697639320# #现如今的初中生，大庭广众秀恩爱。。路人大叔不淡定，谁有女儿不担心？
1691844882# #很显然，联合国应该搬到中国才对。
1690612379# #杀人如麻的反贼算哪门子英雄。
1692692359# #资本主义嘛，需要更多润人过去添砖加瓦，当牛做马。
1696306824# #希望中国台北金牌超越阿三，希望日本金牌继续压制韩国，本狼等着看韩国人嚷嚷奖牌总数更重要。
1703519154# #斯特林达号油轮挂着挪威国旗驶向以色列，被胡赛武装一发导弹直接命中，燃起熊熊大火🔥
1699586388# #1936年冬，四川。一位不到30岁的母亲怕冻到孩子，把孩子放到自己怀里……
1691734342# #卢克文说韩国釜山像个小县城，评论区一堆精韩破防。好吧好吧，像个地级市，可行？
1701778839# #医生一开始疑心是怀孕，所以发问。后来意识到是便秘，于是说随便问问。
1696943410# #【哈马斯，也惊讶】。10月9日，哈马斯高级官员巴拉克在黎巴嫩接受采访时表示，“我们对以色列军队的大溃败感到惊讶。以色列军队是纸老虎。”
1703424181# #对呀，星辰大海，大海留给你们星辰我们去去先
1690597536# #2023世界泳联锦标赛，男子200米蛙泳决赛中覃海洋以2分05秒48夺冠并打破世界纪录！他收获了个人本届世锦赛第三枚蛙泳项目金牌，并为中国游泳队夺得本届世界泳联锦标赛第五金！
1699182698# #坐着那动车去台湾，就在那2035年！
1691810896# #曾参加19年黑暴的27岁港女硕士黄丝，投奔英国后，食不果腹，靠翻拣路边有机食物为生，经常一天只吃一顿。最后因支付不起食品和房租而自杀身亡。
1694512329# #【颜值即正义】。运20及其高大上的机舱。
1690549398# #为什么中国人民不支持乌克兰？。中国人民支持乌克兰。。中国人民支持乌克兰人民。
1691049170# #近日，杭州动物园的一头马来熊因其独特的站立方式而走红，被人们称为“人里人气”。有人怀疑这是动物园工作人员穿着熊皮进行表演，是一头假熊。
1701828634# #据英国《金融时报》和路透社报道，当地时间12月5日，德国大众汽车发布声明称，审计机构经委托进行独立审查后，没有发现大众新疆工厂存在任何“强迫劳动”的迹象或证据。大众汽车在声明中表示，此次审计由德国人权调查公司洛宁和两名中国律师共同完成。。“我们找不到任何‘强迫劳动’的迹象或证据，”洛
1689907381# #上海地铁上，女青年在读毛选。
1703814875# #【无可奈何花落去】。日本共同社12月28日援引日本汽车工业协会当天公布的最新数据报道称，2023年中国汽车出口量预计将超过日本，首次成为世界第一。。共同社28日从日本汽车工业协会处获悉，今年1至11月日本汽车出口量为399万辆。报道称，据中国汽车工业协会此前统计，1至11月中国汽车出口量达441.2万辆，
1699870790# #《三体》为什么被捧到这么高的高度？。二向箔。
1702618465# #咦，乌粉居然知道这个道理。
1688789007# #广州本地人晒黑点，能否达到隐身效果？
1694135695# #【同室操戈】。洛阳理工学院近期发生了两起悲剧，但是本狼发现很多自媒体都把这两件事混为一谈了。。9月4日发生在宿舍的凶案，行凶者纪某和受害者雷某等应该都是一个宿舍的舍友，行凶者以一对三，杀死杀伤三名舍友后选择跳楼自杀。。而就在两个月前，洛阳理工还有一名男生刘某豪坠亡，在坠亡前还给自己的
1691837448# #弯弯在撒娇，快翻脸了啦，要抗争了啦！
1691137902# #这是某参加大运会弯弯选手的真实内心。。成都干净、整洁、发达，他们就会失望。只有我们永远肮脏、混乱、落后，他们才满意。
1687849276# #舔狗心，垫底命允悲
1700743453# #北京各大医院的儿科现在都是爆满，发烧发热的孩子特别多。
1694169860# #广西高校的硬核军训确实有“备战”的感觉，其他某些地区的军训却有“备孕”的味道。
1695612187# #据说1450近期的主攻方向是预制菜。
1691830441# #【奇文共赏】。精韩五内俱焚，就仿佛韩国超导本来已经成功了，生是被中国人给喷回去了摊手
1694156298# #重拳出击，重大战果，1207名缅北涉我国电诈犯罪嫌疑人移交我方！。那些阴阳怪气问战狼在哪里的恨国党呢？那些编造谣言说什么印度出动战机轰炸缅北的慕洋犬呢？
1694094150# #润人一行四人，老婆怀孕八个月，外加两个孩子，准备润到米国。在墨西哥被劫匪抓住，打算把他们卖掉。老婆受惊动了胎气，劫匪把他们送到医院，估计扣着两个孩子当人质。润人在医院用仅剩的手机发信息向四面八方求助，并且想到了中国驻墨西哥大使馆……
1704117603# #哈尔滨不仅吸引了南方小土豆，现在来自俄罗斯的北方小列巴也在纷纷南下。
1693101012# #来了来了，我说什么来着，这种货色永远不会给人让座，却会跳着脚的满嘴脏话，说你让他让座就是道德绑架摊手
1690514402# #今年3月，总部位于荷兰海牙的国际刑事法院（ICC）对俄罗斯总统普京发出逮捕令。据俄新社和塔斯社7月27日报道，俄罗斯内政部决定通缉国际刑事法院日本籍法官赤根智子。俄联邦调查委员会认定，赤根智子是裁定向普京发出逮捕令的法官之一。。赤根智子现年67岁，曾任日本名古屋大学法学教授、日本法务省法学
1688280559# #英雄之名蜡烛
1697787137# #中国式浪漫，银联是懂的！。我们对于时间的最远想象，不过是海枯石烂，于是我们把人记于石头上，希望石头带着他们穿越历史，抵达时间的终点，这是属于中国人的浪漫。。为新丝绸之路再绘敦煌壁画，这次在西安惊现地下石窟，石窟上记载的不是人名，而是画像，把普通人变成敦煌新壁画的主角。当
1692027210# #上海小哥挺身而出，制止破坏公共秩序的外籍人士。
1690110183# #殖蛆王伟恒，一心润到美国当汉奸。结果现在在美国被热到中暑，依然幻想以后能当个厕所议员。
1696903559# #多年以前，这位巴勒斯坦父亲曾经竭尽全力保护自己的儿子。然而最终，以色列军队的枪弹依然无情地夺走了孩子的生命。
1693047555# #本狼就是爱看笑话哟
1700970046# #吴亦凡二审维持原判，评论区网友乐翻了天允悲
1700619435# #【不要再谈论杀死阿拉伯人】。11月20日，以色列人质家属吉尔·迪克曼在以色列议会听证会上发言，“上周我已经提出过请求，我请求你们停下来，不要利用我们的痛苦推动立法……不要举行关于绞刑架的听证会，不要举行关于死刑的听证会。在我们所爱之人依然生死未定的时候，不要这样做。”。另一位名叫亨·阿维
1700910215# #视力好，远拳师。
1701168182# #猜猜现在全世界，谁最像日本鬼子？
1701779590# #明时周边列国悉仿明制，清时可就没啥人仿了。
1695798930# #唉，清华。
1702525755# #一个小女孩，前世造了什么孽，会拥有这么一对韩国父母。
1700742668# #中国男生加你微信的时候，你也会这么兴奋期待吗？
1689683346# #你们都是被反复过滤后，才聚到一起的。
1689895458# #韩联社近日报道，数据显示，韩国2022年的GDP为1.673万亿美元，时隔三年跌出前10，目前居全球第13。。韩国网友疯狂吐槽……
1702640764# #年轻人在寻找方向。
1691454740# #偶尔会，思念某地。
1692148846# #“她如果讲夏威夷大火我就信她。”。民智已开，公知无法继续垄断话语权，然后指定一个人，逼着我们非得喜欢她。
1690528355# #双标何以服人心？
1690415792# #身在曹营心在汉
1691452993# #【接盘侠的春天】。挖，居然可以留30%的工资耶✌🏻。这么优厚的条件哪里找，接盘侠冲冲冲！。也希望xxn放眼四海，黑人留学生怎么样？
1704119957# #单身狗在东北阴险
1696238708# #这个国庆，有多少人曾这样堵在路上？
1698561215# #加沙版的自由女神
1698393938# #武汉反超杭州
1693566716# #【美国梦，已骨折】。8月29日，34岁的女性华人徐亚男在乘坐纽约地铁时，在曼哈顿下城钱伯斯街车站被一名壮汉突然推倒并重重摔在了地铁铁轨上。她的腿当场骨折，无法站立，被抬离轨道。徐亚男3个月前为了实现“美国梦”来到纽约，事发当天在一家足疗店工作到晚上10点多才下班。医生警告她需要手术才能正
1691578061# #最新票房：《封神》在京沪继续封神，《孤注一掷》作为一部优秀的反诈宣传片正火遍各地。其实京沪也该好好看看，在这两座中国最发达的城市里，一骗就上当拦都拦不住的笨蛋依然有很多。
1700705053# #原来如此
1700740171# #只怪同学惹到他，一句脏话成誓言笑而不语
1699700646# #耶稣也被他们杀了……
1700932644# #韩国国防部长申元植表示：如果韩国和朝鲜再次爆发战争，一些在上世纪50年代初战争中支持朝鲜的国家，如果再次试图帮助朝鲜，那么韩国就会对其展开报复！。好可怕好豪迈呀，大家快把喝彩的手势送给大寒冥国的防长吧👌🏻
1694515615# #皇帝陛下将于今日抵达他忠实的巴黎。
1689831201# #韩国近期遭遇持续特大暴雨灾害，已致44人死亡，6人失踪。大邱市市长洪准杓却被爆出在此期间去打了高尔夫球，而不是在应急救援前线坐镇，引发非议。。据KBS报道，大邱所在的韩国庆北地区是此次暴雨全国伤亡人数最多的地方，共有19人遇难。然而韩国民众却发现，此时此刻的大邱市市长洪准杓却在冒雨打高尔
1703228784# #美式内耗，登峰造极。。打破神话，相信自己。
1700146069# #完了，CNN又有诋毁我们的新素材了啦允悲
1695179804# #本狼宁愿纵容xxn，不愿看到这样的暴力狂疯狂输出。
1691234677# #MD，xxn的世界咱不懂。。国籍一换，跟踪骚扰成荣耀？
1690415159# #吴公公阴险
1699503839# #【色魔特工】。11月7日，现年47岁的美国中央情报局前常驻外国使馆“色魔特工”布莱恩-杰弗里-雷蒙德，在联邦法院出庭受审。。该色魔精通拉丁语、汉语等6种外语，被控2006年至2020年在美国驻墨西哥等国大使馆工作期间，经常将驻在国女性带到公寓，用药物迷奸并在女性失去意识的情况下，拍下各种淫秽裸体视
1700722434# #武汉大学的校门牌匾气势拉满：学大汉，武立国。
1688785675# #中国小伙立当中，黑妞白妞立两旁，犯忌讳吗？
1703047973# #所有的不留下，往往都是因为留不下。
1689140955# #【红军英烈，请别睁眼】。近日，俄军在前线修筑战壕时，意外发现了一具卫国战争时期苏联红军战士的遗骸。。他曾为乌克兰而战，为苏联而战。他不会相信，今天的乌克兰依然在战争中……
1691487376# #一名弯弯大学生在成都观看大运会时发信息，被后排网友发现其内容，居然自称“身在曹营心在汉”。。我呸！你们还好意思自称为“汉”吗？
1699089146# #11月3日，河南南阳。一网友拍摄自家高粱被村民抢，20多个上岁数的村民无惧危险，与收割机争抢高粱，还与户主对骂。。仔细想想，村民对音乐节还算客气，一生只抢一回。这同村的只怕是年年挨抢。
1698950600# #中国的某些知识分子，总是押注自己的国家输！
1699682489# #【水浒红楼】。林黛玉倒拔垂杨柳，贾宝玉怒杀阎婆惜允悲
1696491899# #比麒麟9000更不可思议的事，你知道是什么吗？
1701062096# #当一座城市同时被认为最幸福和最不幸福……那错不了就是北京。
1690708385# #不肯全面反省、不肯彻底改造，那么这座城市就迎接全面彻底的没落吧，并不可惜。
1700051328# #怼人一句死允悲
1701396945# #对于大学老师而言，你穿什么样并不重要，你学什么样才重要。
1690949559# #韩国研究团队实现室温超导的消息震惊全球，中国的精韩公知正在高唱颂歌。韩联社7月28日报道称，该研究团队成员透露，相关论文其实还没有完成且“存在很多缺陷”，是一名团队成员未经其他作者许可擅自发表的，目前已要求网站下架论文。
1697372764# #暖风熏得游人醉，直把汴州作加州。
1698157515# #以色列陆军现役坦克部队一共490辆坦克，包括330辆梅卡瓦IV型坦克，160辆梅卡瓦III型坦克。在本次巴以冲突中，巴勒斯坦哈马斯摧毁和击伤了35辆梅卡瓦IV型坦克，黎巴嫩真主党摧毁和击伤了七八辆梅卡瓦IV型坦克。也就是说，以军现役坦克的十分之一已经被干掉了。
1692170760# #弯媒：大陆挖到最大金矿床，总价值近9000亿！。山东黄金集团在山东探测的「西岭金矿」区，恐是目前大陆发现深度最大的单体金矿床，查明金矿石量1.47亿吨，如按矿山生产规模330万吨／年排产，可服务矿山40余年，预估里面更有592吨以上的黄金，白银则是有590吨。
1693455522# #40万……一个司机断送一代人。
1695896630# #9月27日，亚运会1/8决赛国足对阵卡塔尔，伤停补时阶段两队爆发激烈冲突，蒋圣龙和对手双双被罚下。
1700152436# #早知如此，何必当初？
1689251733# #虎毒不食子，人……
1696941855# #【北极鲶鱼，大义灭亲】。据廉洁深圳10月10日消息，日前，深圳市纪委监委对深圳市原交通局货运管理分局局长钟庚赐严重违纪违法问题进行了立案审查调查。。经查，钟庚赐对党不忠诚不老实，多次串供对抗组织审查；借机敛财，违规从事营利活动；未经批准，违规兼职取酬；利用职务便利为他人谋取利益，非法收
1695120921# #9月19日，印度外交部宣布驱逐加拿大一名高级外交官。此前一天，加拿大宣布驱逐一名“印度重要外交官”。印度外交部指出，这一决定反映了印度政府对加拿大外交官干涉该国内政及其参与反印活动的日益增长的担忧，并表示加拿大对“印度政府涉嫌在加拿大不列颠哥伦比亚省谋杀锡克族领袖”的指控是荒谬的。。
1693702809# #我赌你眼中无原版，心中有原版doge
1704117780# #南方小土豆要求哈尔滨店老板在豆腐脑里加糖，引发网络大乱斗！允悲
1688721788# #xxn出征亚平宁！。这个值得点赞，无论国男白男，统统不要放过顶
1702088638# #清澈的爱，只为中国——生日快乐心
1701738910# #《黑人留学生对中国发展的帮助在哪？》
1700567944# #11月19日，也门胡塞武装宣布，所有在阿拉伯海和红海航行的船只，无论是军舰还是商船，只要与以色列有任何关联，包括悬挂以色列国旗或运输给以色列的武器和物资，都将成为导弹袭击的目标。。11月20日，一艘由日本方面运营的商船“银河领袖号”悬挂以色列旗🇮🇱进入红海，结果船只和船员全都被扣押。
1695223168# #曾经，一名身型矮小的北朝鲜战士不慎漂流到南朝鲜。遭到扣押后，南朝鲜方面各种威逼利诱，然而北朝鲜战士坚定表示：要回北方。为了羞辱他，南朝鲜军和美军专门派出两名健壮高大的士兵把他夹在中间，让媒体拍照。然而北朝鲜战士并不在意，他眼中闪烁着坚定的光芒：回家！。最终，这名战士回到了北朝鲜，
1694050258# #新传确实是重灾区。
1689251271# #韩国网友提问：“为什么中国人不愿意承认我们的海军是亚洲第一？”。网络上顿时充满了快活的空气允悲
1704120449# #据说许多南方小土豆玩完哈尔滨，直接转战辽宁了……等一下，本狼怎么记得黑龙江和辽宁之间还有一个省？
1700912981# #《千万不要给中国人看科幻片，他们会当真！》
1703675244# #以军真够威风的！弱
1703135180# #为了当国际大都市，不惜回民国？哪怕国家贫弱人民流离失所，哪怕国都被攻破被屠杀？自封的所谓国际大都市，无非是有洋人的租界而已，所有企图挟洋人以自重、把殖民地当荣耀的殖蛆，本狼只能送上一句：我呸！
1694938462# #有些人想用谣言裹挟民意，吓退官方管控，然后自己继续赚他个盆满钵满。至于孩子们卷成什么样，他们才不管。
1701390727# #【乌军把手伸向老人】。传单上的口号：。“你已经活了很久了，去前线吧！”。“报名参军，什么时候都不晚！”。“幸福的晚年是可能的。加入乌克兰军队！”。为啥幸福，可以在前线直接火葬？
1691764994# #【凶多吉少】。美国“世界新闻网”和加州地方媒体“Hi-DesertStar”8月10日报道，一名中国籍女子于7月携带数千美元前往美国见美国男网友，却与家人失去联络。。失踪女子金芳来自中国广东，现年47岁。半年多前，金芳在网上认识了居住在加州圣伯纳汀诺县的男网友约翰·鲁特·菲茨帕特里克，二人相约7月中旬
1702191484# #关于下一艘075两栖攻击舰的命名，据说现在一些省份唯恐避之不及，担心因此失去航母命名权。。本狼觉得，不如我们北京大朝阳和东北的朝阳市一起申报，就叫“朝阳舰”如何？
1699618544# #中国帮埃及在沙漠中兴建的新首都CBD，这座大厦将成为非洲第一高楼！
1697534732# #本狼的小课组里，有三位女同学来自同一个宿舍鲜花鲜花鲜花她们今天以三人十五秒的播报速度震撼了我……
1698188837# #好莱坞影星杰森·斯坦森，在自己的车上覆盖了巴勒斯坦国旗。这人还真是条硬汉！
1698621980# #上海的万圣节之夜👻
1701434726# #山西警方：造谣“郑强婚内出轨包养情妇”者被采取刑事强制措施。
1690517877# #转帖，诚实的茶百道外卖小哥允悲
1696247887# #莫非乌粉都在七月份欢度国庆？
1699694351# #中国技术落后？
1692318663# #涨学问了
1687144037# #请问海西是哪里
1695652484# #五胡乱法
1692335712# #这个夏天，深圳突然“沦为”了旅游城市思考
1695567296# #让老挝和柬埔寨飞一会，其他人终究会认清谁是大哥的。
1703404341# #【走你】。哈尔滨，一位南方小土豆玩冰滑梯，被东北大哥当成小孩，直接推进儿童滑道允悲
1695363232# #弯弯到大陆，拼命吃蛋，因为在台湾那边不大吃得起茶叶蛋的摊手
1692439903# #超过99%的中国民众反感日本，日本大使不如切腹谢罪吧。
1696992549# #【印度眼中的中国】。距中国两百多公里的印度旁遮普邦，天气晴朗的时候，喜马拉雅山脉清晰可见。。就像在默默地凝视着印度次大陆……
1697360094# #10月12日，美国CNN记者莎拉·西德纳公开道歉，承认自己散播了有关以色列婴儿被阿拉伯人斩首的虚假信息。西德纳表示，以色列总理内塔尼亚胡办公室首先表示确认有关卡法阿扎社区儿童被斩首的数据，但随后又改变了立场。她强调：“从现在开始，我需要更小心自己的措辞，我道歉。”。道歉有啥用，谣言已传遍
1689412959# #【南朝鲜往事】。抗美援朝某次战役，南朝鲜一支伪军给自己起的呼号是“童男”，给志愿军的呼号是“处女”，给自己炮兵部队的呼号是“老妈妈”。。然后……
1701051148# #【硬核闯关】。天下武功，唯快不破！
1692252585# #夏威夷大火中诡异的幸存者……
1691995091# #本狼一直觉得，让润物应润尽润，能够有效提升国内平均智商。
1701394308# #那喷子岂不很失落？
1691758098# #古有花木兰替父从军，今有你大爷代女上岗。
1696052157# #杭州亚运会女子4x100米混合泳接力预赛，中国队派出汪雪儿、朱蕾桔、王一淳、程玉洁参赛。游第一棒仰泳的汪雪儿出发时抢跳犯规，被判（DSQ）取消比赛成绩，无缘决赛。金牌原本已是囊中之物，此刻却飘然而去。。话说2014年和2018年的亚运会，中国队女子混合泳原本也可以轻松拿到金牌。但是那两届都是第3棒
1697005524# #人家一个巴勒斯坦女孩，在中国的微博为家乡父老说几句话，为什么就要被删？她重发一次本狼就再转一次。
1687252245# #建议某乎主动报警并提供该匿名用户信息。色狼必抓，口嗨要治。
1702627304# #前面莫非是于少保？
1692956753# #台湾人有够悲情！
1692940599# #浙江卫视：暂停播出《中国好声音》——资本的力量难得受挫。
1690424783# #厉害，考遍了东南西北。
1695259095# #制度优势。
1691573969# #中国承建的印尼雅万高铁，在日本网站是这样展示的。显然，日本的摄影记者使出了洪荒之力，实在没有更好的丑化角度了。
1697641996# #四万多的裤衩子，是不是有很多钻石，会不会揦屁屁？
1694658438# #不让我活？那你们都别活了酷。有点像他们研制的跑步机确实太先进，于是我们盖了个体育场。
1703302362# #据说大批南方小土豆正在北伐哈尔滨允悲
