1702782518# #董宇辉若想创业俞敏洪愿意投资董宇辉单干会成为类似李佳琦一样的带货主播？
1699767476# #浙江选调考完散场出来每个人都这么安静。。哪里难了？这么多年都是这个难度！从出题看得出来，浙江选调想选出运气最好的考生。
1689202996# #索尼发布会索尼官博还处在禁言状态。。发布A6700旗舰APS-C相机整理了一下之前曝光的参数：传感器为26MP、视频支持4k120、存储为单SD卡槽、支持AI功能、机身稍大，前拨盘位于快门按钮下方、有microHDMI端口。
1693498190# #雨哥看盘超话降存量首套房贷利率从政策原文看，直接受益群体是首套房、但是没那么优质当时没享受到最低加点的客群。。。存量按揭利率政策的重点。。几个核心点：1）只降存量【首套房】按揭。2）借款人得提出申请（不是一刀切）。3）可以原机构借新还旧or直接协商调整合同利率。4）利率底线要求：【原
1699828585# #商场回应老鼠砸中女子头部安排上，本周狗屎运最旺的星座。
1696515462# #苏炳添：说出来你们可能不信，我在备战2024年巴黎奥运会期间，2023年举办的2022年杭州亚运会上，拿到了2021年举办的2020年东京奥运会的奖牌。。奖牌迟到但努力从不缺席
1701732036# #手机贴膜智商税手机贴膜真不是智商税。至少少更换几次屏幕。
1703376404# #美国谋划没收3000亿俄海外资产果然是海盗成立的国家，什么都靠抢。。。
1693360192# #A股半导体也就这个能量了，拉不起大盘，看来10点后板块要轮动了。。。。重磅提醒。10：08华为商城可以抢meta60！！！。华为mate60
1696208894# #台湾奶茶的价格台湾除了奶茶，其他食品类美食都比大陆贵。。因为台湾平均工资，45357元！台币除以5差不多就是人民币。。粗略对比大陆、台湾人均“月薪”，难怪会说大陆人：吃不起茶叶蛋。
1690041277# #网传一外籍男子踢倒藏区玛尼堆应该也是一个外网的网红，在吸引流量吧！。这种白皮中国不欢迎你。
1689905476# #飞机延误6小时工作人员发现金补贴登机时工作人员发现金补贴。。乘客：收了钱气都消了，最简单最直接的方式。
1697437666# #华为MateX5《锋行任务》明日见！华为谢霆锋锋华绝代，遥遥领先。
1690081507# #【龙虎榜解读】机构清仓式高位跑路。。。凯格精机(301338)(-17.63%)/工业母机。。三家机构合计买入1484万,合计卖出3343万。。中国银河北京中关村大街1823万卖出。。周四尾盘拉升必有妖孽，当晚该股已连续三日机构出货，机构累计净流出5866万，占流通市值的4.58%。。。周五机构再度大幅流出，已连续四日流出。。机
1702693319# #“玩弄女性”“腰里别着一支手枪”“没有倭寇词条”！有网友质疑新华字典释义不当有网友正式起诉新华字典大部分人恐怕都不知道有多少年没用新华字典了，如果不是这两位学者曝光，真不知现在的新华字典居然漏洞百出。
1692147874# #A股行业里面，今年年报至少旅游餐饮数据相对比较稳妥，就看能扭亏，盈利多少了。
1700094154# #中国终将统一也必然统一对这一点我坚信不疑！
1690333073# #上海、北京、南京和青岛地铁不准喝水。十大地铁公司中4个明确不准喝水有记者咨询国内十大城市地铁公司（上海、北京、广州、深圳、成都、杭州、武汉、重庆、南京和青岛）的客服热线，其中上海、北京、南京和青岛地铁的客服人员明确表示“不准喝水”，其他则表示，可以喝水，但不能吃东西。
1703464739# #教育局通报小学教师殴打学生致脑震荡这种事情频发，导致大部分老师这样的心态：。反正我啥事也不会管，我上完课就回家，哈哈哈哈，小心驶得万年船，他们成绩好不好和我没有半毛钱关系，他们怎么睡觉怎么玩手机我都不管，告诉自己他们不是我的孩子，尽量不生气。。现在的教师岗位是多么难考啊。
1693463946# #给力北向资金出45亿！！！。做空实力依旧在！！！。A股，继续震荡下去，明天也不例外！！！。如何跑赢量化
1696256499# #【华为无线重磅发布即将来袭】5G：将于10月10日至11日华为在迪拜举行论坛，这次发布的新品包括TDD、FDD、毫米波、DIS、天线和微波。引领5.5G技术进入现实5G-A将于2024年进入商用阶段。该论坛主题定为“将5G-A带入现实”。。UBB5.5G，释放网络潜能，助力运营商构筑万智互联的目标网，千行万业生产力升级
1688708102# #每日一餐分享苗家酸汤鱼，自己做的哦！鱼用江团。。。
1691589940# #【龙虎榜解析】北向、机构卖出。。华森制药(002907)(+10.03%)/中药。。财通证券杭州上塘路1964万买入。。深股通937万买入,2073万卖出。。两家机构合计买入261万,合计卖出1609万。。股价两连板，游资炒作，北向、机构卖出。今日看盘
1692594558# #雨哥看盘超话大盘红了。
1699610382# #特斯拉回应降价传闻：为不实消息。
1703117869# #雨哥看盘超话要知道债券市场往往是带有大量的杠杆，动辄五倍、十倍、甚至百倍。。换句话说，全球债券市场的实际交易规模可能数倍于股票市场，数十倍于美国GDP。
1693201092# #听雨哥的，今天开心了吧！开盘追涨的，现在已经跌去三分之二了，今日开盘空仓的朋友，雨哥建议不要追涨A股！
1687138448# #机器人相关个股收益5%了，先止盈再说。
1687927982# #又是外媒报道，限制英伟达出口AI芯片到中国！。A股芯片股还得继续国产替代！把技术掌握在自己手里。。等收盘猜一猜老胡胡锡进会不会吐槽A股？嘻嘻
1686896126# #泡白酒的
1691978739# #【机构抱团的价值股跳水了】金龙鱼跌超10%，股价创出上市以来新低，成交超5.7亿元。
1690951204# #京东方A(sz000725)超话今天，大A隆重宣布：超导所有科研经费都由a股买单！还包括核聚变的。（段子）
1693275717# #同在A股玩股票，人家玩量化基金量化私募大佬2.85亿元拍得上海一豪宅。。同样是股市，美股，日股，再不济印度股市。。。都花枝招展，而A股呢？。翠花上A股。。。
1693791943# #北证50指数大涨逾5%。上证50指数盘中一度涨逾1%。。这就是A股，哪里宽松，哪里钱进。
1686870598# #对对对，性骚扰鼓掌鼓掌鼓掌
1693118425# #日本3天连发5次地震。日本加速走向灭亡。。日本整个国家的人性沦丧。。。天灵灵地灵灵，地震速速再显灵。。天灵灵地灵灵，台风速速来显灵。。天灵灵地灵灵，富士山火山爆发速速来显灵。
1696522546# #宫崎骏新作《你想活出怎样的人生》（台译名《苍鹭与少年》）将于今天10.6日在台湾省正式上映可怜
1693129291# #【印花税减半，股民朋友如何操作？】。关于证券交易印花税实施减半征收各位A股股民该减仓？追涨？还是持股呢？。。各位股民如果有股票明天可以持股到IPO继续发新股！为第一波反弹！。。当然明天没任何反弹的个股还是先平仓比较合适！！！。。别看自媒体说的A股这波能够如何如何？这次跟以往的救市完全不一
1691634051# #湘雅三医院9名医务人员联名举报科主任很多医院把医保当提款机，你们这么认为吗？。医药反腐
1687768321# #美食超话老鼠斑，有着鱼王之首席的美誉。。。“斑中之皇”——老鼠斑。。老鼠斑是一种低脂肪、高蛋白的上等食用鱼，鱼皮胶质丰富、肉多刺少、肉质纤维幼嫩、味道特别鲜美，素有“海鸡肉”之称，海产品的名贵鱼之一。
1699336055# #衡量A股阶段人气的唯一标准
1700434770# #愿你这一生既有随处可栖的江湖，也有追风逐梦的骁勇。早安~
1693999073# #iPhone15国行售价曝光9000元，果粉们会醒一醒吗？。不能NFC门禁开门和USB共享网络，不能小窗口，没长截图，没分屏，没小窗口，没应用锁。。。你们还热衷，看来真果粉啊！。耳边想起：遥遥领先，遥遥领先，遥遥领先。。iPhone15Pro的起步价可能为1199美元，iPhone15ProMax的起步价可能为1299美元，
1700450090# #A股预测：高开，震荡，高走！
1698112363# #又想拉渣男（证券）救A股上证指数吗？
1700927230# #中植系解某某等人被采取刑事强制措施靠不良资产起家的，最终成为不良资产
1694406037# #华为Mate60Pro一周体验评论里说华为华为mate60新手机是可以用谷歌四件套的。
1690515189# #今日早盘证金疯狂买入63亿，真金白银D买入。
1698035341# #新晋雨果奖得主原来是金融人海漄目前就职于招商银行深圳分行。招行90后员工获得雨果奖白天做金融，晚上写小说
1692431962# #四川地震昨天不是刚地震吗？今天又地震，多灾多难的一年。
1701408604# #看到一段话分享给大家看看为何A股不涨，房价不涨
1695968355# #港股趁着我们过节放假，偷袭大涨。。华为概念股遥遥领先，苦逼的A股股民啊！。恒大出许家印被抓，港股地产股跌的厉害。。港股
1688518932# #原来银行并不是五点下班准点下班的只有卷帘门，五点应该只是对外营业时间。
1697768502# #石墨烯板块异动$德尔未来sz002631$涨停。。10月20日，商务部、海关总署联合发布了关于石墨物项出口管制公告。
1700186233# #A股英伟达概念震荡上涨，铂科新材涨近7%，赛腾股份、浪潮信息、中科创达、神舟数码等跟涨。。英伟达H200未来能成算力主角？
1695089800# #【华为在上上周以17%的销量市占率为中国智能手机市场第二】华尔街见闻从供应链独家获得的权威市调机构数据显示，W36（9.4-9.10），华为以17%的销量市占率夺得中国智能手机市场第二宝座。尽管排名第二，但这是华为在遭遇众所周知重大压力下完成的销量份额，并且比排名第一的荣耀（17.2%）仅落后0.2%。
1695881169# #今日A股主力资金流入前十的个股，基本都和华为概念扯上关系。。活跃资本市场
1690685780# #生命安全无小事！京津冀部分地区特大暴雨北京提醒广大市民非必要不外出北方比较少见的暴雨，暴雨红色预警，大家注意做好防范，非必要不出行，安全第一！
1692761885# #A股网上总体情绪是悲观的
1695188608# #最近，有幸聆听了华为首席科学家巴建伟的汇报演说视频。才明白华为是怎样以一己之力，单挑以美国为首的科技届的。
1700175964# #中美关系的大门是由人民打开的我家大门，常打开，开放怀抱等你。
1695739104# #【苹果新增“霸王条约”，库克还不死心】。在一众有关苹果新机的曝光信息中，网友震惊地发现，iPhone15全系将会配备苹果MFI认证的USB-C接口。。。这就表明，即便统一接口，也还是无法互相使用！更过分的是，想要USB3.0的传输速度就必须加钱买大杯版和超大杯，iPhone15和iPhone15Plus仍然是USB2.0级别。。。
1696643616# #【这样蹭热度，太搞笑了吧】亿田智能：公司未代工麒麟9000s芯片。
1692798202# #对A股不同机构、股民，基金分别是这么认为的：。。1）25%认为，国家会救我们；。。2）60%认为，没有人救得了我们；。。3）15%的人，仍然相信诗和远方。
1697682523# #由于上证50个股大跌，北向资金，证金持股，内资几个不用看都是清一色出货的。。都在比跑得快。。如果今日上证50这样跌都不破3000点，那么这个位置可能会带来一定的反弹，或者就是雨哥说“进二退三”的走势。。今日看盘
1703159632# #印度北方邦政府日前宣布禁止生产、储存、分销和销售具有清真认证的食品，立即生效。穆斯林人口最多的邦之一。。印度这么任性吗
1687401717# #银川烧烤店爆炸事故31人经抢救无效死亡不光煤气罐，现在每年都有一两次煤气管道泄露导致的爆炸，国内城市最早的煤气管道，大概是上世纪70,80年代修的，现在已经很老化了，相关部门该重视起来了。
1700461940# #私募高管2年收入近亿偷税3182万私募经理人家是真的稳赚不赔二哈。。才罚1600万？。洒洒水。。。。反正亏的是基民，么事么事。
1690450008# #罗刹海市之A股怪相！。众泰汽车。。中央商场。。山水比德。。天房发展。。人人乐市值3分钱。个个都是垃圾中的垃圾，一个比一个亏损厉害，却在这个A股罗刹海市越垃圾越受欢迎。。村长在哪里呢？该管管了。今日看盘
1697582435# #神经病啊！A股大概率有超越5年一遇级别的牛市足足十六年过去了今天是A股6124点16周年目前A股沪指基本腰斩。。IPO，量化，融券。。。。招招致命。。大股东清仓式减持，再融资，注册制股价哪个不是上市即巅峰。
1688273582# #雨哥看盘超话400亿救不了“中国电车天花板”高合汽车？。花60万到80万买台电动车，还是一个名不见经传的品牌，很多网友会觉得匪夷所思。。从销售数据上看，2022年高合汽车累计销量为4349辆。。资料显示，高合汽车的主体运营公司是成立于2017年底的华人运通。创始人丁磊（与网易创始人丁磊同名，非同一
1701097191# #外卖酸菜鱼的生存环境老默我不想吃鱼！
1695694112# #今日A股主角变成新型工业化+AI。。资金面，继续持续流出。节前，震荡市，周一开盘前就通知大家了。。别追涨，别起贪念。。活跃资本市场
1688524692# #30分钟级别的回踩，还会继续！
1691809603# #雨哥看盘超话金融圈辟谣之夜。金融圈辟谣夜：中基协、3家信托、多家私募澄清了这些传闻。
1697784570# #沪指跌破3000点大关证金买了10亿，结果还是银行保险个股，如何能救市啊！。白买的。
1701926150# #马上要2024年报了A股暴雷的个股会越来越多！！！。远离莫名其妙的的概念股！。什么龙字，什么中发白。。。
1690245859# #【打新必读】华虹公司：晶圆代工企业(科创板)；。你要不要申购，自己看，我不申购。。发行价52元人民币！！！。华虹半导体港股25港币不到一股！。1人民币≈1.0866港元。。行业可比公司：。台积电、格罗方德、联华电子、中芯国际、世界先进、高塔半导体、晶合集成、英飞凌、德州仪器、华润微。。
1700714744# #体育主科，【人大代表建议把体育由副科变主科】教育部答复建议将体育变为主科能不能先提高体育课时…高考体育算多少分？。高考招生不算分，一切的一切都是假的。。参考“劳动法规定一天工作8小时”。
1690947295# #洪水救援队称涿州救援难度高于北京房山洪水自救。。这份暴雨洪涝自救指南，超详细实用！
1693711734# #京东方A(sz000725)超话房地产政策套餐配送中
1693303816# #【降低存量房利率，就是利益和财富的再分配，让利于民。】。千呼万唤，终于要降低存量房利率了，39万亿的资金利益要重新分配了。。交通银行拟于8月30日（本周三）召开个人住房贷款存量利率调整项目启动会议。。降低房贷利率属于让利给老百姓了，别管是商业银行让的，还是央行让的，老百姓得到实惠就行了。
1689373414# #9000元补贴能缓解独子养老焦虑吗在父母已老，子女尚小时，一睁眼，周围全是依靠自己的人，找却不到自己可以依靠的人时，这又是多么的悲凉。。这是每一个独生子女，将来必须面临的痛。。网上曾经有句话说：“世界上最遥远的距离，莫过于你的爸爸躺在地上，可你却在通讯录里。”
1689549695# #中国女排vs土耳其女排1vs1加油！！！中国必胜！！！
1687154998# #A股的池子本来就没水了，现在被港股抽走了一些！南向资金午后净流入超50亿元以后，A股日子还怎么过哦！
1693959805# #近两周，政策面上，降印花税、放宽两融、收紧IPO、规范减持、认房不认贷、降息，对量化割韭菜进行监管，设立民营经济发展局。。如此大规模大利好，为何A股还是无动于衷呢？。那是因为，A股赚钱的环境没了，韭菜没了！钱没了！！！。剩下的只是量化。。。和追涨的游资。。量化是否左右了a股市场
1698462567# #进口化妆品价格不到半年腰斩结果特斯拉涨价了！。10月27日一早，特斯拉官方微博发布消息称，国产ModelY高性能版价格上调1.4万元，调整后售价36.39万元。
1689744703# #A股用两个字来形容？。你会用什么词语呢？
1688511698# #人间烟火气，最抚凡人心
1690783520# #门头沟主干道泄洪水深0.5米门头沟、房山发生塌方和小规模山洪，我的天啊！。希望所有人平安！！！
1697633453# #这个世界并没有变得更好，是我们幸运了
1700106285# #0.999无限循环和1到底哪个大有意义吗？。答对了，家长加工资？还是学生可以当班长？。别老是用这种无聊的议题糊弄大家。。。
1702047845# #【射手座年底前好运到爆！】狮子座争的不是输赢而是感情射手座争强好胜，不管是在生活中，学习中，还是工作中的射手座他们都是严格要求自己，希望自己在方方面面都不比别人差。输这个字，在射手座的字典里绝对不允许存在。他们总是在默默努力着，在射手座光鲜的背后是他们不断坚持，不断挑战的努力付
1692844690# #【中字头补跌，那么基金赎回压力继续加大】A股中字头个股震荡下挫，中国交建、中国铁建跌7%，中国中铁、中国电建、中工国际、中油资本、中钢国际等跟跌。。股民已经焦头烂额。
1693532390# #今日A股如果没有一根巨阳大盘还得继续下探！。所以别乱追涨买股票！！！
1691451637# #中兴通讯暴跌的一个隐藏风险！。。中兴通讯控股股东3月1日大宗减持了14.22亿。。接盘方的成本是30.31元/股。按照大宗交易6个月的锁定期。这14个亿将于9月1日解禁。。。解禁后大概率接盘方是要卖的。。。即使按照今日暴跌后的36.75元计算，接盘方目前仍然处于大幅获利的状态。。个股解析
1694530857# #送你一弧弯月，轻道一声晚安✯☽
1688887871# #实盘跑赢大盘，成功不是击败别人，而是改变自己。。。跟上雨哥稳稳的幸福。。。好看的股评千篇一律，有价值的逻辑万里挑一！。透视主力资金紧跟主力的步伐，赶紧来订阅，跑赢大盘从这里启航！。目前雨哥两种盈利模式:一个跟着主力资金买入法，一个是跟着主力机构买入法。。VPlus会员我是为你
1701141374# #全球首位由AI生成的AV女演员木花愛！你会买？
1689035039# #富士康退出和印度合资的半导体公司，违约也认了，并不令人奇怪，其实我相信台积电在美国的芯片公司也会是一笔烂帐。
1693696613# #北京众多市民涌入干涸河道捡金粒第一反应想到是北京房山有什么古墓被北京上个月的大雨冲出来了。
1689657321# #三大指数午后集体翻红，Chiplet、一体化压铸、汽车整车、零售等板块涨幅居前。
1695267780# #9月21日午间收评：沪指跌0.59%失守3100点。。深证成指一度跌穿10000点两市逾4100股下跌。。A股稳中向好，稳中向好！！！。每天都确保4000个股待涨。。华为产业链持续活跃。。Mate60不会放过每一个逃单的人苹果手机就可以逃单。
1691800906# #卡努已在辽宁庄河沿海登陆卡努韩国登入，台风卡努从朝鲜半岛扫过，韩国全国成了灾区。👌
1688956786# #从资金面上说，今日主力资金流出的还是AI的几个老妖怪头上，科大讯飞、新易盛、鸿博股份、昆仑万维、工业富联等等。。你们还玩AI吗？
1697524763# #【总结贪腐人员被抓的】。绝大部分都是原配+子女洗出国了，国内就留下房产和给小三、小四、小五的钱。
1698024568# #工业富联几个跌停能止泻？。别去抄底，在没有官宣之前，各位投机客，别伸手。
1697421160# #华为鸿蒙起来了！！！。纳米压印概念股继续发酵，汇创达冲击20cm涨停，美迪凯大涨超13%，苏大维格、利和兴等纷纷冲高今日看盘
1693528355# #上证报：存量首套房贷利率涉及调整的贷款规模或达25万亿元。。降存量首套房贷利率
1694218511# #男子在长白山天池拍到神秘生物不就是黑瞎子吗？他出来抓鱼吃。
1693972449# #【怎么A股的地产股没点动静？】港股地产开发商板块拉涨，融创中国涨超60%，世茂集团涨超40%，花样年控股涨超30%，中国恒大此前一度涨超30%，佳兆业集团、融信中国、正荣地产等多股涨超20%。。量化是否左右了a股市场
1703943267# #预测2024外资流入A股资金超2000亿用2023年流行的话：买不玩，根本买不玩。
1690333150# #台风杜苏芮感谢杜苏芮拉动一波消费！
1695273054# #蔚来手机上市有自己的东西？NIOPhone6499元起！真贵！。NIOPhone搭载高通骁龙8Gen2领先版，最高可选16GB+1T内存组合；搭载蔚来SkyUI系统，以安卓系统为底层设计；0系统软件、0商业预装；最大续航5200mAh,支持66W有线快充、50W无限快充。
1697423436# #四川长虹止盈早了。。。居然封死涨停了。。今日看盘今日早盘选择了华为汽配个股挖下去。
1688642438# #我们如何面对抑郁症目前，周边的人根本不能帮你解决抑郁症，只会让你加剧。还是得找专业的医生吧！
1703822370# #华为近日展示了其“一秒一公里”液冷充电终端，并投运了首座新能源超充站。。。该企业计划到2024年度部署超过10万个超充桩，预计未来市场空间将达到近600亿。。华为预计23年营收超7000亿元
1689131609# #这个新闻挺有意思的！。我们需要支持法国人民的正义事业？
1686820003# #高速上前车突然停车，后车：避不开！根本避不开！高速路上违法停车惨剧多。。下面视频白车司机该如何处罚，才能大快人心！
1689894996# #每天早起打卡生活原本沉闷，跟你一起奔跑就会有风。。总有一段路，你会一边哭着一边走完。
1699484484# #【智能不“智”，懒人不“懒”】扫地机器人让中产失望了扫地机器人其实就是扫掉发，好用。。喜欢干净的人不合适。。都在收割谁呢？。追觅X30Pro原价7699起，科沃斯X2原价6789起，石头G20原价6119，叠加商家以及电商平台活动折扣后，这些新款的扫地机器人售卖价格依然高达5000块以上。
1702433361# #国新文化涨停了机构玩的溜吧
1688915709# #巨轮这个位置非常尴尬，机构被套，游资割肉。
1694846879# #iPhone15使用标准USBC端口这算是今年苹果手机最大的提升了吧！不用再备上苹果的充电线了。
1702184585# #【酒驾最新检验标准发布】。该标准将于2024年3月1日起实施。最新酒驾标准有哪些变化？。。从人体血液中的酒精浓度变化来看，正常人喝一杯200毫升的啤酒后，酒精浓度即可达到20mg/100ml的饮酒驾驶标准。如果喝了3两低度白酒或2瓶啤酒，酒精浓度可达80mg/100ml的醉酒驾驶标准。。如果只饮一杯啤酒或
1689212204# #今日证券板块主力资金加大流入量了
1702645883# #B站崩了B站评论没了不是你手机出问题啊
1703388059# #教育局通报老师被指打伤学生这个老师也是被逼急了。。真不能下手，可以交给家长处理，现在的家长一般明事理的。。老师绝对不能动手打学生，可以语言教育，学生学不好老师不会受处分，同时你过于认真教管学生，现在的学生都是惯大的，还是放手吧，爱学不学，情绪激动动了手就要受处分了！带来的后
1692574658# #我国又破获一起美国CIA间谍案信息量很大啊，一个留学生，就得到中情局的重点关注，说明他家背景不一般，不一般到毕业后可以选择到中情局希望他去的部门工作。。。是这样吗？
1692239960# #看看印度股市创出历史新高，再，看看A股，中国专家担忧什么？
1698127688# #A股的平均股价19.39，高？距离2022年4月27日最低平均股价18.63近在咫尺了。。A股的问题是投资者普遍赚不到钱A股差不多快要触底了。（短期底）。大趋势还是向下的。。除非给一个公平的交易法规！！！
1687922777# #房屋养老金制度城市试点或已在路上。。不评论了！。你们评论吧！
1690164303# #雨哥看盘超话三大运营商终于等到你了，启动了。
1688344122# #【打新必读】信音电子：连接器的研发、生产和销售(创业板)；。谨慎申购：发行价格21.00元/股偏高。公司2022年营收出现下滑，毛利率也逐年走低，结合下游消费电子行业回暖趋势尚不明朗。。。同行业可比公司：。。立讯精密、得润电子、兴瑞科技、创益通等。个股解析
1703150680# #【中欧班列，泼天的富贵】红海危机可能会破坏美联储降息前景。。红海紧张局势促使美国在周一晚间宣布了一项新的国际护航行动，由于航运公司改变了货运航线。。如果危机持续三到六个月，美国可能会受到影响，并将对其他国家产生多米诺骨牌效应。胡塞武装多次袭击红海及附近水域目标
1702772696# #乌克兰或在明年3月前破产美国爸爸没钱了，都送给以色列爷爷去了。
1698634829# #【飞美国机票，部分价格已经“腰斩”】美国总统拜登在白宫会见王毅美国这是要嘴上主动求好！！！。上海-洛杉矶的机票价格已经由年初的1.5万元，降至暑期1万元，9月降至8000元左右，目前查看11月价格已降至7000元，价格相较今年内最高点已经“腰斩”。
1702420098# #创业创了一半老板去考公了先帝创业未半，而老板跑去诏安。。。。报考和上岸是两回事让你放心，不会失业的。
1693029284# #雨哥看盘超话美国支持日本福岛污水入海决定是因为他们的美国地图跟我们中国平面地图不一样。
1696240617# #中秋国庆消息一个比一个劲爆:。1、恒大地产大佬许家印父子被抓。2、大宗商品黄金现货，国际金价大跌50美金，跌回1833美元左右。3、年仅38岁私募大佬离去（灏四方善祥一号净值跌幅超过60%，二号更是超过64%。）
1698384804# #今日A股主力资金非常分散，千万别追涨！。小心明天你又为美军打击叙利亚东部2处设施买单了！
1687505772# #A股和外国股市的区别：。。一个是索取，一个是回报。。。为什么欧美的股市会一直涨个不停呢？。。主要是下面原因：。。如果没有必要的话，是不会同意随意企业上市融资的。。。股市的目的是做一个居民财富的增值，或者说作为一个公民居民的投资场所。而不是一个单纯给企业融资的地方。
1695261669# #A股沪指破3100了，可喜可贺！！！。那么深成指什么时候破10000点呢？。活跃资本市场
1702870732# #12月18日A股收评：$宁德时代sz300750$大跌导致创业板指半日跌超1%，航运板块逆势走强，原因是以色列在红海袭击一艘伊朗船只，航运个股短线会有反复。
1694488081# #A股华为板块主力资金难道都在等今晚的苹果苹果新品发布会掉链子？
1687587409# #福建高考分数线可查了吗？。好多人都祈求，分数线降一点。
1693365039# #降低存量房利率，就是利益和财富的再分配，让利于民。
1699482336# #ChatGPT崩了不可能吧！英伟达也有不行的时候吗？
1702256007# #京东股价较年初跌幅超50%今年的港股，A股太多这样的腰斩的个股了。。数不过来。
1686804212# #【看看两组数据】社会消费品零售总额同比增速、。规模以.上工业增加值同比增长速度；。做空A股的又有小故事可以讲了。。这些鬼东西。。。。就不能希望A股好吗？
1697955285# #中国足协负债12亿解散得了。或者就倒闭吧，让职业团队自己管理中国足球。
1690990087# #雨哥看盘超话美股三大指数下跌，道琼斯下跌近1%，纳指跌逾2%，标普跌1.3%。股昨日暴涨60%的美国超导，今日跌20%。热门中概股全线走低。A50期指下跌0.27%。推特能成为第二个微信吗不能
1700200249# #这两年，我们看到了很多的雷：房企的暴雷，银行和金融机构的踩雷，信托的暴雷，地方债的展期。
1691631764# #新股临停多了，A股热钱火拼了！！！喜迎台风卡努？
1697409635# #京东方A(sz000725)超话每天早起的我：虽然肉体不活动，但是灵魂在骚动😭
1692151284# #【华尔街的失业潮能有多猛?】HowfarwillWallStreetjoblossesgo?。第二季度财报还没公布，华尔街的金融机构就纷纷开始裁员。高盛第一季度裁掉了3200人；5月30日有报道显示它还要再裁250人——这一次大多是高级员工。摩根士丹利在第二季度裁员约3000人。美国银行（BankofAmerica）和花旗集团分别
1698533989# #厦门超话世上，没有走不通的路，只有想不通的人。早安，每一位！💙💙💙
1699842571# #A股一个小时“分水岭”对央妈、证监会利好的态度，可以充分体现：股民不买账。
1698804559# #雨哥看盘超话茅台涨价20%哪里贵了？原来是贵州茅台股价贵了。。没有真金白银，股市低迷是正常的。。等是最好的机会。
1695087454# #【A股AI板块再度大幅下跌】机器人、减速器概念股盘初走低，昊志机电跌超8%，中马传动、威力传动、光洋股份、通力科技、双飞股份等跟跌。。活跃资本市场流动资金越来越少了。
1692599259# #A股技术上就需要今日下午或者明天早上必须迎来30分钟级别的反弹。
1703323936# #雨哥看盘超话独角兽一份《普华永道中国独角兽CEO调研2023》显示，只有40%的受访独角兽企业表示在过去12个月中估值有所增长，部分企业面临估值下跌的压力。
1697379804# #普京回应美报告鼓吹准备与中俄同时开战拜登为了选举？还没睡醒吧！。美国最大的特点是代理人战争，战争远离国土，只要把战争引向美国国土，总统立马下台。
1695172159# #华为或将发布中端5G手机华为或将于10月至11月发布一款中端5G手机——新一代nova，预计将掀起新一波高潮。华为Mate60系列全线缺货，华为mate60pro超线程12线程全开。
1701820642# #我国卫星互联网技术试验卫星发射成功祝贺🇨🇳卫星互联网技术试验卫星发射成功！赞赞赞。a股6G卫星互联网启动吧！
1692941764# #今日A股又要跪下了吗？。主力资金净卖出268亿。。。
1691028342# #主力资金继续呈现流出状态！。地产、AI、商业百货、汽车流出靠前。。要大家消费，又没给发钱，只能卖股消费吗？
1693202095# #有钱人不在乎。。。
1689822529# #这发生交通事故保险公司赔吗？。为何这么多人迷信迷信SACC巡航系统呢？。视频里这样卡S方向盘？这路是笔直的？自动驾驶方向盘也会转的！！！。。部分品牌的汽车使用手册上说，使用SACC期间禁止离开驾驶位，禁止完全脱离方向盘控制。。自动驾驶
1700618275# #CPO概念股震荡走低，跃岭股份触及跌停，九联科技、中富电路、中际旭创、剑桥科技、新易盛等纷纷下挫。
1687914859# #【打新必读】天承科技：PCB所需要的专用电子化学品(科创板)；。建议谨慎申购；天承科技经营活动现金流量净额低于净利润，公司解释为主要原因是公司客户的账期相对较长，且使用银行承兑汇票结算比例较大。。公司上市规模较小，但是营收也就那样，相对上市市值也不便宜。。。行业可比公司：。。三孚新科（68835
1691114241# #目前主力资金流入前十个股：证券占据八只。。方向非常明确了。
1693008025# #【难得一次赞同韩国人说的话】李在明：日本政府和岸田文雄作为“反人伦的环境战犯”，尹锡悦政权作为共同主犯将一起载入史册！日本一天内两次地震天要灭了小日本。富士山可能要喷了，双日本台风速速登入吧！历史会记住日本政府这一笔
1691722162# #广东朋友发过来的。。。。安全出行大家一定要集中注意力，做到“一停二看三通过”！宁多等一灯，不多抢一秒！！！
1694482607# #华为个股，最高操盘指示！。高抛昨日买的，低吸今日标的。等华为细分，再细分，轮动，再轮动。。活跃资本市场华为王炸
1688103180# #【整点播报】主力资金净买入前五的分别：。宁德时代5亿。紫光国微4.2亿。沪电股份4.1亿。华西股份3亿。拓邦股份3亿。京东方A2.1亿。资金流向依旧科技股为主。
1701244144# #官方回应阿里西藏全区公务员为一人献血当事人丈夫否认阿里全体公务员为其妻献血这个新闻挺有意思的，能这样联系那样联系，关系确实不差。。余华老师的《活着》人都是一样的，手伸进别人口袋里掏钱时那个眉开眼笑，轮到自己给钱了一个个都跟哭丧一样。。人是为了活着本身而活着，而不是为了活着之外
1688972842# #毕业五个月换了四份工作挺厉害的，还有第五家单位敢要你吗？
1690759273# #每天早起打卡绿色因雨水💧的冲刷而浓郁，因阳光☀️的照射而耀眼，因雾气的缭绕而缥缈。早安！
1698805757# #京东方A(sz000725)超话华为半导体：韩媒称华为明年智能手机出货量目标为1亿部。
1692325802# #就目前这样的A股次新股的玩法，股民朋友你们还要求T+0？。量化基金玩的最牛的就是T+0，一旦实现T+0，那么散户基本就灭绝了。
1697069651# #今日华为在迪拜重磅官宣5.5G！！！迪拜跟国内时差4小时！
