1688176316# #新能源车电池竟然长这样。
1703558012# #12月22日，四川。电器店门口一群小学生围着看电视，一个个神情都很专注。一下子让我想起小时候全村人挤到邻居家院子里看《霍元甲》了，那个时候，全村就有唯一一台14寸的黑白电视机，那时却很快乐。现在有了半面墙大的电视，却很少打开。
1700634019# #咦，这个说法新鲜。
1696150641# #女儿出嫁当天，妈妈躲在洗手间掉泪儿，从小和姐姐关系最好的弟弟眼泪也失控了，这一幕被家人记录下来了。
1702630045# #天津大雪中的暖心瞬间点赞天津
1688013888# #【员工盗公司游戏代码半年赚了1.5亿】据上游新闻6月28日报道，上海3名员工盗用公司游戏代码上线新游戏，半年盈利1.5亿。目前，犯罪嫌疑人已被普陀警方依法采取刑事强制措施。今日灼见员工偷赚1.5亿，公司呢？游戏除了给公司带来利润外，给社会带来什么？
1691456696# #【精诚团结抗洪必胜】据央视新闻8月7日消息，这是8月3日晚，吉林省舒兰市常务副市长骆旭东，在下乡巡查途中，给平安镇党委书记发的语音。这也是目前找到的骆旭东生前最后一段语音。致敬！。。今日灼见当前洪水逐步向下游排泄，给涉洪河流的下游地区带来很大的泄洪压力。据8月8日天津日报报
1697176775# #萌娃用电话手表，记录婚礼现场，“这架势是当摄影师的好苗子”。
1696853313# #女儿有好爸爸，妻子有好丈夫，有责任心的男人。
1697870248# #结婚纪念日老公送老婆一束“花”，妻子看到后开心得合不拢嘴！
1696233656# #泪目！父子驾车时不慎遭遇车祸，救父心切的儿子虚弱地请求消防员：“我是癌症晚期，先救我父亲！”
1703428088# #为见义勇为的大哥点赞！(大象新闻)
1699187846# #11月5日,哈尔滨，听说全网都在等哈尔滨下雪，路边大型扫雪车已就位！网友：气氛已经烘托到这了，雪你啥时候下？(极光新闻)
1692329404# #缅北受访者称噶腰子仅是段子难道说国内出现了内鬼不成？不让去缅甸是夸大其辞了吗？诈骗是存在的，噶腰子也有人挨过，近段时间多个媒体一直在重申缅甸的危险性，国人也好不容易有了些防范意识，现在为什么又郑重说它是段子？团伙偷渡缅甸2年诈骗超千万警方捣毁水军团伙涉案金额超千万
1692491238# #哥哥背着妹妹去学校上学，领营养餐只拿一份不多拿，老师见状多给一份。
1698043929# #这个男人在想什么？神评请看评论区。
1689470335# #她是生命中最重要的人，不是亲人胜似亲人，一定要好好对待这位妈妈。愿每个人都能被温柔以待
1697260943# #高中校运会3000米比赛，学校鸵鸟跑得飞快，体育生：跑不过！根本跑不过。
1701820080# #包里装的不止是棉衣还有奶奶的爱。
1699444704# #当代大学生有多能装大学生假装领导视察校园工作，主打的就是一个分不清大小王。表演一次还行，总这样就不好了，弄不好遇见校长，还真分不清谁是真的领导了。还是要把心思用在学习上，用在思考上。（王小娱）
1688885540# #姐弟俩打了25年了，这不，孩子放假了，姐姐带着孩子回娘家，俩姐弟又开始了！能不能早点开学啊，老年人心脏受不了！
1698887615# #【双11超级派】KONO亮泽奢护滋养护发素深层滋养受损发质修护今日灼见的精选超级购物节清单。【推荐理由】。【现价】29元。
1699577585# #央行回应取消跨行提现手续费希望银行的跨行手续费、银行卡年费等像以前的打电话双向收费改为单向收费一样，改革更加利民便民亲民。
1688650777# #小男孩看到停车位上的标识，很可爱的上演“看图停车”。网友：一个很守规矩的小孩。
1703391364# #【2024会是新能源大考年吗】随着全球对环保和可持续发展的日益重视，新能源汽车市场持续繁荣。中国汽车协会近日发布预测，2023年新能源汽车销量将达到约940万辆，而到了2024年，这一数字还将增长约20%。这个趋势引发了人们的关注：2024年是否将成为新能源大考年？。。今日灼见新能源汽车市场的繁荣
1697885206# #网友：受不了了，快给它吃快给它吃！
1687862963# #摩托车行驶时遇到对面冷藏车压线转弯，两人都被撞倒在地所幸无大碍。
1689147434# #7月10日（发布）山东（发布）妻子：哭了一路怎么也哄不好，自责为什么没有拿一瓶新的给她。愿每个人都能被温柔以待
1703349717# #12月21日，甘肃麻池岭，看到解放军官兵严寒中为灾民搭帐篷,70多岁的奶奶感动落泪。
1699331956# #肚子瘦不了可能是骨盆在作妖小腹突出怎么瘦也瘦不下来～总是腰疼的产后妈妈大多可能是骨盆前倾导致的。学会这个动作，让你轻松找到肚子瘦不下来的真正原因，把骨盆前倾会导致小肚子快速减下来。还在等什么？快来一起练吧。
1693043200# #8月26日，河南平顶山。25岁消防员肖坤琦休假期间为救落水男童牺牲，队友提起他泣不成声：多好的人。消防员肖坤琦休假期间勇救落水群众不幸牺牲
1698579597# #这老头又在看美女，我要不要告诉他老婆？
1692884569# #爷爷生病孙女们回来看望他，妹妹一口气抱起爷爷，她自己也才八十斤，老人高兴的合不拢嘴。
1696261365# #主人不在，狗狗爬上躺椅享受，没想到下一秒直接翻车。
1689497556# #大雨过后路面积水，路过行人扶墙而过，网友：不要笑他们，都是坚强的上班族。
1699187500# #今日灼见的精选好物推荐沁晚香【送茶杯】青桔百香果茶100包1000g冻干金桔柠檬片冷饮冲泡。【推荐理由】沁晚香【送茶杯】青桔百香果茶100包，采用1000g冻干金桔柠檬片，冷饮冲泡简单方便。青桔百香果茶富含维生素C，具有提神醒脑的功效，适合办公室人群。冻干金桔柠檬片为茶汤增添了一抹清香，口感更
1702388165# #双胞胎宝宝帮妈妈包饺子，妈妈包饺子，他俩一个擀皮，一个摆放，配合默契，干得有模有样。
1698568509# #亚残运会4×100混合接力赛中国队夺冠，网友：他们都在用自己的方式努力奔跑。
1689568571# #人间自有真情在。男孩父母去世多年，他想翻盖家里的老房子同村的哥哥们听说后纷纷赶来帮忙！
1686900126# #今日灼见有球迷跑进赛场，成功与梅西拥抱，和门将击掌
1692839721# #妈妈带儿子出来玩，下一秒小女孩的举动亮了……被这个宝宝惊艳到了
1699245812# #美到震撼！黑龙江漠河，红色与绿色极光交相舞动。网友：为这梦幻的美点赞！
1691294498# #网友爆料：青海银河谷某驿站停车10分钟被按车上人数收费50元，拍视频遭老板威胁：“你还想不想出谷！”
1687085970# #生死关头，又是奋不顾身的一跃，将轻生女子救起。丁成闯，谢谢你！
1690979376# #7月31日，风太大导致溜车女孩求助，店老板护人心切撞碎玻璃门，网友：祝老板生意兴隆！
1691496997# #弟弟端玩具枪挑衅姐姐被一招制服，还得乖乖喂姐姐吃瓜。
1701823090# #青春是最好的滤镜。国标生的表演时刻引欢呼。
1687501463# #端午节，天津海河龙舟大赛超燃进行时！你好天津点赞天津寻美中国
1688084417# #前方高能！看网友农村散养土鸡开饭时！
1688530958# #什么样的爱情才能配得上这个拥抱？他即使被一箭冲穿心，也忍住穿心之痛去见你一面。她即使明知生命代价，也会奋不顾身拥抱你。
1700198458# #老祖宗的审美不容怀疑，在地铁拍“女儿国”国王。
1699007706# #寻美中国【火情就是命令！消防员休假遇餐馆起火原地破窗灭火赞】休假消防员突遇火情就地上岗近日，四川广安。一名正在休假的消防员晚上逛街时，发现街上一家餐馆起火，出于职业习惯，迅速上前观察火情，在发现餐馆的门窗紧锁后，消防员毫不犹豫地原地“上岗”徒手破窗，翻入店铺内，利用店内
1698109109# #两车路口相撞起火，小货车司机被困驾驶室，危急时刻小车司机迅速下车砸窗救人。网友：不管谁对谁错，我先把你救出来再说。
1691396127# #痛心！巴西男子指导11岁儿子飞行，飞机坠毁父子双亡，妻子在办完葬礼后举枪自杀。今日灼见孩子意识不到危险，大人再意识不到，就麻烦了。有些错误犯了就没有弥补的机会。
1701317075# #南方人爱吃米饭，北方人爱吃面食，不知道屏幕前的你是南方人还是北方人？
1694174108# #有勇有谋的英勇大叔！
1687229372# #马云指出淘宝天猫未来三个方向世界在不断变化，曾经的业界巨龙也得寻找新的拐点，互联网行业已经经过了高速增长的时代，市场饱和，用户发掘也达到了顶点，最终走向就是维稳，改革，重回初心，马云的判断一直很准确，核心指出了用户为本的关键，听到做到就能生存下来，不被用户所淘汰。
1694566089# #这就叫自投罗网。
1698991362# #你能接受千元以上的国产羽绒服吗这个不单单是看价格吧...就好像一件上千的羽绒服能穿十年，和一件200块过一年就穿不了的，对比的围度就是不一样的，我们挑羽绒服的时候也不能只从一个方面来选择吧。
1692093561# #从此又多学会一个摸鱼技能最近，有上海的网友表示，自己的办公室里卷起了“摸鱼”，而且卷的是“如何用AI摸到更多的鱼”。HR开始自动生成撰写招聘文案和面试问题，策划开始用自动生成文案框架，绘图小哥开始自动生成参考图，甚至法务都开始自动生成法律报告......当代打工人靠AI续命了以前靠咖啡续
1698543647# #杭州残运会的青年志愿者，向世界展示了中国青年的青春力量！人民有信仰，国家有力量，民族有希望！点赞祖国，点赞中国青年！
1693199291# #看护孩子一定不可大意。
1696557912# #张一鸣的创业笔记（机器之心2）来源：网易公开课
1691370705# #猫咪不听话被关客厅，它把心爱的玩具拿给主人示好。网友：开门它都没先进去。愿每个生命都能被善待
1698902091# #任正非：捷达是世界上最好的汽车。
1700309650# #海底捞已经可以提供"科目三"服务了，果然是服务至上。
1689494165# #暖心一幕！绿灯亮了直行车辆无人起步，只为等老人安全通过。
1700111168# #吃完饭后，妈妈想跟宝宝多待一会，无奈工作时间到了，妈妈只能依依不舍地离开。
1699842006# #【爸爸通过监控显摆生日吃12个菜】父亲65岁生日当天，在外工作的儿子通过监控祝爸爸生日快乐。今日灼见孝亲敬老美德存，家和万事皆如意。出门在外的游子，就常回家看看。父母不期盼子女能大富大贵，只希望子女能平平安安。
1691570893# #大儿媳生宝宝时婆婆不管不顾，如今二儿媳要生孩子，婆婆千里迢迢准备前去照顾，大儿媳：我生宝宝时你在哪，觉得不公平不让婆婆坐车走。今日灼见当父母的，生活中不能一碗水端平，难免会造成家庭矛盾。
1701954886# #【尹烨称人不是越干净越好】人们普遍认为，保持身体和环境的清洁是健康和美好的必要条件。然而，过于追求清洁也可能对健康产生负面影响，甚至引发一些疾病。本文将探讨为什么说人不是越干净越好，以及过度追求清洁可能带来的不良后果。。。虽然保持身体和环境的清洁对于健康至关重要，但过于追求清洁可
1697380331# #这真是个相亲相爱的大家庭！点赞！
1700049237# #游客偶遇清水池鱼，原来语文课本《小石潭记》是真的，“皆若空游无所依”。
1690674629# #新加坡总理李显龙引用中国顺口溜：保护好自己健康，自己不受累，家庭不受罪。
1698746610# #【消防员训练途中遇车辆坠河1秒出警赞】老人骑三轮车避让车辆冲下河近日，江苏兴化市安丰镇专职消防救援队在训练返回途中，恰巧遇到一辆三轮车冲入河中，车上两人被卷入水中，消防员发现后，上演了一出最快出警，将两人救起。路过群众也赶来帮忙，在众人合力下，三轮车很快被拉上岸。
1696551728# #中国经营者：80后的互联网财富神话（上）。来源：网易公开课
1690940990# #7月31日，上海。公司大门被锁住，一群员工等着猫咪开门，它真能打开。猫咪：要不是我，你们全勤奖都要凉了！
1690630799# #这个杜苏芮台风太恐怖了，船体横摇近40°，海员航行记录。
1696397170# #俩大爷在超市聊天，就地吃起了坚果，这就实现了坚果自由？
1700543743# #【专家称皮肤保养最重要的是好好睡觉】。。今日灼见如何护肤才能让皮肤焕发出健康的光彩呢？中日友好医院的专家给出了宝贵的建议。他们强调，充足的睡眠是护肤的首要任务。当我们在夜幕降临时，身体会进入一种修复模式，此时皮肤细胞也会进行更新和修复。如果缺乏充足的睡眠，皮肤就会失去光泽，变
1694383438# #这一扶看似举手之劳，实则是救了老人一命，跑过去的样子真帅！
1690597880# #雨中他们一次次奔向需要的地方，网友：人民子弟兵永远值得信赖。你永远可以相信中国军人
1689587334# #孙子被国防科技大学录取，爷爷在门口挂起条幅，无比骄傲自豪。
1694151027# #【诺奖得主称股市不用对AI反应过度AI概念股可不可以买呢？】近日诺贝尔经济学奖得主席勒（RobertJamesShiller）在外滩大会首度给出明确答案：“投资那些真正在做人工智能的公司是正确的，但要警惕有些高科技公司定价过高。”。。席勒认为，人工智能的影响力需要时间认证，不宜在股市炒得过热。举个
1699248150# #秒懂了赚钱的意义。
1698190076# #弟媳患病去世，弟弟在外打工，留下三个孩子跟伯母一起生活，95后伯母被迫放弃工作，在家照顾七个孩子。
1689563909# #老人暑假回老家亲戚闻讯赶来，24口人打地铺相聚，儿媳：三代同堂其乐融融。
1700843706# #为了让子孙后代包粽子方便点，留守村民把公路边上种满了箬竹。这真人前人种树，后人受益。
1687397276# #山水之间，灯光璀璨……"巨龙巡游"在广西阳朔遇龙桥河段上演。
1691471908# #【被这个宝宝惊艳到了】小朋友身上挂着鱼狂炫矿泉水，“今天收获颇丰，就是有点口渴”，奶瓶代表着年龄，小鱼代表着“战绩”。
1692513585# #女子欲跳桥轻生，四位路人狂奔过来合力将其救下，网友:请善待自己，一切困难终会过去。
1692694939# #天津着火大厦火情已被控制高层建筑体量庞大、功能复杂、人员密集、危险源多、火灾荷载大、一旦发生火灾、人员疏散和火灾扑救、依旧存在较大难度、如何让自己“全身而退”，也是每个人都应该了解并掌握的技能。天津海光寺着火
1702642230# #零下40度打开窗户是什么体验？三小伙在漠河住酒店尝试打开窗户，零下40度的气温让室内水蒸气直接“可视化”。
1693099082# #遇见美女
1697813287# #男孩假期时告诉妈妈自己想回老家看太奶奶，回去后第一时间去地里给已故的太奶奶磕了三个头。
1693099594# #遇见美女
1699398655# #立冬意外总是来得猝不及防…
1698931543# #47岁中国女子赴美失踪案最新进展中国女子赴美见男网友失联新进展：失联女子遗体被发现。那么多人去了美国发生生命危险，不长记性。（中国侨网）
1690618486# #武警退役战士李天龙勇救落水父女。你永远可以相信中国军人
1686900270# #今日灼见淄博又掏出一张“中医牌”，中医专家在街边摆摊义诊。
1694695706# #人生没有过不去的坎，好好生活。
1700169486# #这就是对白头偕老最好的诠释了吧。
1700544321# #【今日灼见战争没有赢家和平值得努力希望各方不懈努力早日看到和平曙光】今天是世界儿童日，然而，巴勒斯坦和以色列之间的冲突仍在持续，加沙地带的儿童们遭受了巨大的痛苦。据报道，已有4600多名儿童在冲突中丧生，还有许多儿童处于危险之中，这让人感到痛心和震惊。。。以人道的名义，以孩子们
1697888106# #相同的年纪不同的人生，有的人可以拥有，而有的人只能看别人拥有……让人心酸又心疼的年纪。
1692598480# #消防员高温灭火后出现中暑干呕，他还是个孩子，父母看见该有多心疼！你永远可以相信中国消防
1703164180# #他靠捡垃圾为生，却在14年间捐款百万无私大爱让人感动。
1696649315# #骑电动车小伙用竹杆整理被挂住的国旗，国旗就应该让它迎风飘扬。
1703806877# #明事理的好婆婆
1696500429# #男子摆地摊为当地老人拍照。
1687219641# #【618即将结束】感谢一路相伴！我的年中福利盛典优惠和福利，今晚活动结束后就恢复原价了，最后一波福利！平台“红包奖池”加码了，新增了不少现金大额红包，先领券-后订阅-再开红包↓
1687910131# #不要高估自己和任何一个人的关系，更。不要低估了人性的逐利规则。任何时候。都不要赌人性，别觉得自己特殊是个例。外，要做好输的准备。亲疏有度，远近。相安，边界感是成年人最好的修养。
1697822324# #网友晒出自己充满遗憾的婚礼，婚礼现场下雨妆花了婚纱也湿了。
1699395863# #今日灼见的精选超级购物节清单好物分享山海经小学生三四五六年级经典名著无障碍悦读开心教育。【推荐理由】山海经是一本适合小学生三四五六年级的经典名著，它为小学生提供了无障碍的阅读体验。通过阅读山海经，孩子们可以开心地学习到丰富的知识，同时培养对文学的兴趣。这本书还有助于孩
1687138790# #漫步在云南昆明的斗南湿地公园，寻觅油画般的夏日浪漫，体验光影云南。今日灼见波光潋滟三千顷，莽莽群山抱古城。四季看花花不老，一江春月是昆明。
1701924568# #【今日灼见的精选好物分享好物推荐】【荐见美食】潮汕绿豆糕，由三十余年糖饼世家精心打造，口感外酥脆，内绵柔，给你不一样的味蕾享受。每条320克，内含8个，让你尽情享受美食的同时，也能分享给朋友们。。【现价】38.8元。【拼团价】28.8元。
1697459076# #两只狗狗抢东西，主人没有一碗水端平，网友：不患寡而患不均，狗狗的心思都写在脸上了。
1694749879# #两名小学生探险发现“炸弹”，带着警察蜀黍去“排雷”！网友：奖励辅导作业本我没听错吧？
1699830115# #柔情在家，傲气在外！男人为爱下跪，可以挽会一个家，值！你们觉得你的呢？
1698145427# #原来婴儿可以用婴语交流。
1698240414# #9岁残障男孩练习上楼梯被一群孩子围观，这时人群中有位家长说：“你们为他加油吧”现场瞬间暖曝了！残疾男孩首次练爬楼梯小朋友围观加油
1690093083# #人穷志不短。
1703374174# #经过400多名工人3天的建设，甘肃积石山首批500间简易过渡房完工。
1689494546# #身着唐代“背带裤”的小女孩和爷爷在长沙街头送莲花。
1694501309# #你的小骆驼为什么眉清目秀的？女子新疆游玩，骆驼软萌贴贴，“这大眼睛搁谁不心动啊”。
1691542428# #刚睡醒的萌娃打电话110报警，萌度超级高！你永远可以相信中国警察
1697500881# #10月15日，湖北，女生和闺蜜吃海底捞，闺蜜失恋大哭，女生叫来许多男生一起来安抚她。来源：京山融媒
1688682362# #轿车坠河，休假武警付一豪一人连救两命。
1694277829# #今日灼见为师姐感动骄傲！军中霸王花，雷敏大校16岁破格成为女特警！57秒徒手攀爬5层楼，世界女警记录至今无人能破！！！。偶像中国军人中国女兵。
1698888178# #今日灼见的精选超级购物节清单好物分享【立即抢购】PMPM千叶玫瑰粉盾水乳套装舒缓敏感肌保湿修护屏障。【推荐理由】抗初老,改善干燥,敏感肌救星,修护受损肌肤,双重功效,舒缓修复,修复干皮敏感肌救星,滋养肌肤,缓解敏感байкоо。【现价】349元。【券后价】229元。【优惠券】100元。
1693496006# #两个小朋友路遇警车，停下脚步立正敬礼。你永远可以相信中国警察
1699693326# #每一处都是爷爷对孙子无微不至的关爱。
1688288236# #霸气！“别（biè）瞎吵吵，只有中国人民解放军才能保卫台湾！”
1703163810# #一方有难，八方支援。各地踊跃向甘肃地震灾区捐款捐物。
1697862268# #老外不信按摩体验后光速打脸，体验过免费的正骨按摩后，两名老外一脸震撼眼睛放光，好似发现新大陆，彻底爱上中式按摩。
1698490705# #司机集体给救护车让道后憨憨原地待命司机集体给救护车让行，交警敬礼示意可离开后，“4排车道又在原地等了两三分钟。”
1696553419# #张一鸣的创业笔记(对话钱颖一)（上）来源：网易公开课
1690786098# #【门头沟河水暴涨汹涌翻滚】据，北京门头沟龙泉西公交场附近，河水暴涨汹涌翻滚，路上的积水也像河流一样。降雨还在持续，注意安全！北京暴雨
1687829353# #我真的不是故意的，只是提醒你别撞上车允悲允悲允悲被这个宝宝惊艳到了
1693875920# #习近平主席服贸会致辞释放鲜明信号9月2日，国家主席习近平在北京向2023年中国国际服务贸易交易会全球服务贸易峰会发表视频致辞，再次释放中国坚定不移扩大高水平对外开放的鲜明信号。
1693203875# #“以后不用妈妈帮我穿裤子了。”女孩因车祸失去一条腿，在医院扶着栏杆坚强锻炼。
1689742333# #高温下老人骑车十几公里收废品，好心男子送水被拒绝，愿每个人都能被温柔以待。
1694673027# #司机人行道让行电动车，下一秒电动车车主的举动让人暖心，网友：小车和电动车的双向奔赴。
1690754891# #7月30日，河北武安一男子驾车被困河道，救援队紧急赶往现场救援。
1698566099# #情侣之间打打闹闹，太暖了吧！女生被一套摇头晃脑拳打乐了。
1688863179# #来泰安品巍峨泰山一睹人间盛世颜——泰山日出。
1703068914# #救灾一线，西部战区陆军炊事员的话令人破防~
1698027109# #10月20日，江苏。女生们在夕阳下玩朋友游戏，这可能就是青春最美好的样子“四个人都是甜妹”。青春就是最好的滤镜
1690555733# #我被这娃娃感染了，笑得肚子疼，哈哈哈！被这个宝宝惊艳到了
1694229727# #女子屋顶持刀挥舞，消防员飞身夺刀。你永远可以相信中国消防
1692323053# #宝宝记录爸爸给妈妈涂指甲油的幸福时光。宝宝记录下爸爸给妈妈涂指甲油
1699003313# #今日灼见的精选超级购物节清单好物分享火姬火祭红叶祭多肉植物花卉大全象征日子蒸蒸日上红红火火阳台办公室。【推荐理由】【火姬火祭红叶祭多肉植物花卉大全】多肉植物是如今最受欢迎的室内盆栽之一。火姬火祭红叶祭多肉植物花卉大全为您提供了各式各样的多肉植物选择，无论是阳台还是办公室都
1688506617# #这就是北大与西安交大的区别。
1697780245# #公公七十大寿，俩儿媳抬着公公庆祝生日快乐！
1700839560# #老铁说股超话当下A股市场知名游资的操盘手法。
1697538693# #一带一路，大道共通，行稳致远。
1697773624# #10月20日，广东茂名。洪水来袭女子险被冲走，众人奋力拽上岸。知情人：那是一条河，挺深的，掉河女子幸亏抓住了树枝，呼救后被救起。（后浪视频）女子被大水冲走众人合力救回
1698024754# #高燃时刻！亚残运会开幕式，中国亚残运会代表团入场，全场爆发出热烈欢呼声！
1690166663# #大暑这一天，郑州的气温高达38度，户外工作者在这样的高温下还要坚守岗位，更加辛苦。不过我看到了一则让人心暖的新闻，高温天郑州劳动者收到2000斤西瓜解暑郑州市总工会联合外卖平台给户外劳动者准备了大量西瓜解暑，当天共送出数百个、重达约2000斤的西瓜。爱心驿站所在社区负责人表示，近期郑州
1698202434# #姥爷酒后思念亲人失声痛哭，宝宝给姥爷擦眼泪安慰。
1693660770# #受日本福岛核污染水排海影响，韩国超100万条鱼死亡。
1702254579# #儿子睹物思人，一口饺子没吃，瞬间泪崩，扭头回了自己房间。
1693797021# #开发商把住户研究透了。
1703041338# #泪目！你们都是最可爱的人。甘肃地震，山东救援人员来支援，进行水域搜索之后的救援人员回到岸上冷得喝热水时都在发抖。
1686975325# #室友参军入伍无法参加毕业典礼，男生制作立牌，为其圆梦学位授权仪式。大学毕业，友谊不毕业，青春不毕业。
1696577964# #老铁说股超话庄家洗盘和出货的区别。
1696244814# #女子:外婆最后的近乎央求，她说“不要去检查，这么大年纪了，活也活够了不怕死”从来无私的外婆说这种自私的话，却不知我怕……
1694777373# #9月13日发布，广东，男子偶遇流浪汉翻垃圾桶，将身上所有吃的给了他：我是警察，你别怕。
1689425740# #【津夜烟火气十足】7月15日晚，“津夜有你·第四届天津夜生活节”启动仪式将在津湾广场盛大召开。。。为提升活动影响力，营造良好宣传氛围，本次启动仪式将融合五大重点活动共同参与，分别为——。。7月15日晚20:00，由华润万家联合伊利共同举办的“全民健身，跑亮中国——天津站”；由华润万家牵头的“
1690760824# #你永远可以相信中国消防“你看巴啦啦小魔仙吗？”男孩手指卡进铁管，消防员“唐僧式”救援。男孩手指卡进铁管消防员唐僧式救援
1698976402# #今日灼见的精选超级购物节清单好物分享洗头刷水晶透明头部按摩洗头刷洗头按摩刷硅胶浴刷洗发梳洗头梳干湿两用活络经脉按摩梳。【推荐理由】洗头刷水晶透明头部按摩洗头刷是一款使用硅胶制成的浴刷，外观透明水晶质感十足。它可以帮助清洁头皮，去除头皮上的污垢和屑，并且通过刷头的按摩作用，
1692008876# #四年前男子为救陌生小孩成植物人，意识渐渐恢复，用尽全力给儿子盖被子。妻子：这就是我坚持下去的动力。植物人父亲用尽全力给儿子盖被子来源：烟台晚报
1701908355# #【小朋友一份土豆想分两碗摊主秒懂相送】12月5日，四川成都，男孩买一份土豆想分两碗装。摊主瞬间会意，直接两大碗加量不加价，摊主：为你们保留好面子，也帮你们两个小家伙增进友谊。今日灼见点滴之间见温暖，为这位细心摊主点赞goodgoodgood
1691653286# #6岁女孩在篮球赛中表现惊人，敏捷度、爆发力惊艳全场。被这个宝宝惊艳到了
1697858147# #美国总统寻求巨额拨款援助以色列和乌克兰，美国这个搅屎棍，必遭报应！
1699332720# #今日灼见的精选超级购物节清单好物分享重庆万州橙子柠檬橙香四溢果肉饱满更多汁。【推荐理由】橙子柠檬比常见的柠檬皮薄一点，水分多一点，酸度淡一点，可以直接剥皮吃，泡水喝，没有其他柠檬硬，有的捏起来比较软是因为橙子柠檬皮比较薄，水分比较足的原因，不是坏了。。。皮薄多汁，果皮光滑
1690196936# #男子放弃工作独自照顾重病的父母，别等到失去的时候才懂得珍惜，为你点赞。
1698052566# #泪奔！全国仅有200多只的导盲犬，它们每天的生活居然是这样的！
1688052016# #看了，威宁彝族火把节要来了，游客:还让不让我走出贵州了！
1690407197# #成都开往拉萨的火车上，女孩缩成一团睡在过道上，兵哥哥悄悄给她盖上被子。
1694407263# #给这些在家从来没吃过苦的哥哥姐姐展示一套武术。
1687092673# #董路说贵州村超像跳广场舞董路说贵州村超像跳广场舞，改变不了中国足球。贵州人民：我们踢的是人民足球，目的是强身健体，纯粹快乐。你赞成董路的观点吗？来源：百姓关注
1700634103# #说太对了
1689644525# #老人过马路时车辆正驶来，车主主动停了下来，帮助其过马路，网友：后面的车辆也在默默等候，都好暖！愿每个人都能被温柔以待
1703409093# #万物都有灵性～
1702052020# #我就喜欢跟聪明人在一起。
1691388225# #员工勇救落水女童，公司奖励1万元。
1700697442# #北交所两周新增近14万户，有券商将北交所开户纳入考核。没有过硬操盘技术，就别去，30%涨跌可不是玩闹的。（来源：第一财经）
1688289337# #假如空姐说天津话这个真没想到。。来源：小可艾欧尼
1691638619# #这个拥抱太让人感动了。
1691044008# #真的势不可挡了🔥梅西凌空扫射破门上演梅开二度，率队3比1击败奥兰多城晋级！近3场比赛打进5球！梅西连场梅开二度梅西连续3场破门来源：K球直播
1688397397# #生死营救！女子误入闸口被吸入暗流底部，50岁男子跳入湍急水流救人。行善积德之人必有福报
1703200230# #【恽代英：“中国青年的楷模”】。。“浪迹江湖忆旧游，故人生死各千秋。已摈忧患寻常事，留得豪情作楚囚。”这首荡气回肠的《狱中诗》，是作者革命生涯的写照和革命豪情的抒发。他就是中国共产党早期重要领导人之一，中国青年运动著名领袖，无产阶级革命家、理论家和宣传家——恽代英。。。恽代英，字子毅
1687735145# #女生喂猴反被打，一嗓子把猴子喊懵了。
1697370646# #【男子跑全马腿抽筋老人点穴三秒恢复】10月15日，菏泽东明。2023东明马拉松一马拉松选手跑完全马后突然腿部抽筋，疼痛难忍时，74岁的邢银泉老人闻讯赶来，从背部着手，反复几下后运动员抽筋的状况得以缓解。事后，记者采访得知，老人出身武术世家，缓解运动员抽筋就是用了武术点穴法，经了解，
1688491811# #这才是招生界的天花板，村长，你别干村长了，去当校长得了允悲允悲允悲来源：曲靖老村长
1703304963# #邻居给了一个苹果，放了好几天了还在口袋。她说等妈妈过年回来一起吃。
1691913922# #被这个宝宝惊艳到了看起来两位妈妈对今天的这场教育都很满意。
1687167787# #6月12日发布，西沙群岛。人在塔在！小伙发现外籍偷捕船只，警告对方无果后，小哥果断“摇人”。
1696399169# #暖心！大叔坐公交车没有乘车码，热心男子见状主动帮忙扫码。
1700578407# #【20年经验大厨教你做正宗水煮牛肉】广受川渝地区人喜爱的水煮牛肉，你真的会做吗？今天教大家做一份传统的水煮牛肉！保证让你胃口大增！美食美食真香现场
1697615573# #女子结婚后不舍得花钱，穿的衣服便宜又普通，弟弟知道后立马给姐姐买了两件大衣送过去。
1700618028# #年轻人如何了解传统文化【转存！诗词藏着中国山水间的绝美景致哇】咏花朵：“天赋仙姿，玉骨冰肌。向炎威，独逞芳菲”；咏水果：“并刀如水，吴盐胜雪，纤手破新橙”；咏风景：“道由白云尽，春与青溪长。时有落花至，远随流水香”。你对哪句描写美景的诗词印象最深？（央视新闻）
1694567084# #【那年今日丨老人穿15元的鞋却给家乡捐了1000万，致敬！】八旬老人转账300万银行报警竟是乌龙马旭，我国第一代女空降兵，曾和黄继光在同一部队，参加过解放战争、抗美援朝战争。2018年的今天，年过八旬的马旭夫妇去银行汇款，因数额巨大，银行工作人员担心老人被骗报警，民警赶到现场后，核实发现
1698893479# #儿媳下班偶遇公公婆婆，婆婆坐在电瓶车后座搂着公公，网友：看把人家老两口吓一跳。
1699361514# #2023年10月31日至11月30日（共30天），广州市公安局公开征求公众对《广州市电动自行车管理办法（征求意见稿）》的意见。
1690759231# #河水上涨，老桥临时封闭禁行，俩警犬值班引围观。
1687076888# #【你好天津】天津市河北区不仅有意风区、北宁公园等网红打卡地，更有海河之北十全食美，快点先来一饱眼福。点赞天津
