1562483710# #《山楂树之恋》，很泪崩的一部电影！其它的影片没有在意。
1558209702# #《象棋：史上“最恶毒”的弃子反杀，已载入史册，供后人揣摩学习！》我和3.5万人都在看，快来一起围观
1566162150# #懂球帝狮子：能换种死法吗？-西土城站地铁口大爷还有3209位网友也喜欢这篇文章；更多精彩内容，尽在懂球帝
1578541589# #《特朗普回应伊朗袭击美军基地：伊朗没有伤到一个美国人》我和20万人都在看，快来一起围观
1550327856# #小米运动小米运动
1565789130# #4-1了，对久违胜利的上港而言，这场及时雨(赛前一场大雨)显而易见是非常难得的。
1565445234# #胆小如我！
1581453654# #美国的基础建设比中国落后15年，这绝对不是危言耸听。同样，美国的基础工业比中国至少落后5年。跟新浪看热点
1570085604# #我在看：【满排40000吨:我国又一艘准航母下水】跟新浪看热点
1555105401# #这韵很险。赞赞赞
1547265707# #我自个下碗长寿面，健康平安才有快乐。
1551777998# #傍晚好！我的时间点很准确。
1561996425# #《小伙自制捕鼠陷阱，看到一群老鼠在水里挣扎，你们过瘾吗？》我和1.6万人都在看，快来一起围观。。老鼠们争先恐后参加奥运会游泳比赛！
1585171341# #我正在看【美国新冠肺炎确诊病例超6万累计809人死亡手机新浪网】，分享给你，一起看吧！美国新冠肺炎确诊病例超6万累计809人死亡手机新浪网
1582726543# #懂球帝欧冠1/8决赛首回合里昂VS尤文图斯！
1583095389# #“五星出东方利中国”八个大字并不惊奇，请欣赏《推背图》，李淳风、袁天罡的实体推测发生在盛唐贞观，与汉代出土的棺椁中展现的“五星出东方利中国”遥相呼应，这是历史赋予的使命。而《推背图》推测至近数百年来的史实，包括八国联军、中华民国、抗日战争及新中国的诞生。历史从来就不是巧合，是真实
1564193348# #把这男的拉进去阉了，用化学品阉更好，一了百了。
1560120702# #分享图片
1582174062# #要求会被打折，所以我们应该多要些。折扣后，多半会得到心理价位。我没有你的能说会道，但我清楚把棋子落到它该去的位子。也许这枚棋子被劫，而我成活了大龙。最不该出现的状况是接不归，大龙不能成活。说的是棋，人生如棋，胜败常事，但不能常败，好像用舍得比较贴切。我乱说的，没有思维逻辑，见谅。
1561924378# #《200斤中国拳王两次打趴美国对手，重击一拳打趴KO瘫倒擂台》我和50万人都在看，快来一起围观
1564832616# #山东奥体中心的球场草皮十分漂亮，这对双方球员的发挥有着积极的帮助。
1554861321# #新的一天，新的收获！
1547618189# #旧闻变新闻，翠瓶装成酒。既然两人早有恋情，而且名义上与谢霆锋的孩子都是星爷的，为什么两人不早结婚？为什么还要到谢霆锋那儿转几年？娱乐圈一个乱字了得，周星驰的灵感来了。
1568340947# #在这里根本不算事儿，早有人把账轧平了。
1549912091# #一推二让三收下。这叫却之不恭，受之无愧。
1582625261# #分享图片
1602227384# #凤凰新闻分享凤凰新闻：美国疫情实时动态：新增43936例，累计确诊7820799例来自
1566910931# #可以敬而远之，也可以避而远之。人心不可怕，可怕的是我们自己于人心背后的犹豫不决。好人好运！
1552165272# #『我的昨日数据报告』
1553284299# #快来森林驿站，招待滚滚的小伙伴！和熊猫守护者一起刷微博，攒能量，收获爱心，守护更多野生动物吧！.赞赞赞『森林驿站』
1559593200# #我在看：【一大波制裁即将到来！为了封杀俄罗斯，美国连盟友都卖了】跟新浪看热点
1564045392# #女孩可爱不用理由，因为可爱本身就是理由。
1595396148# #我在看：【不瞒你说：“穷不走水，富不涉淫”，此处的“淫”是指啥？】跟新浪看热点
1580472608# #你有两个家，娘家和婆家。我曾有过无数个家，四海为业处处家。如今已然归隐一家为尊，反而觉得云淡风轻逍遥自在。家！永远的港湾，总有一盏灯指引着回家时的门庭。外面好冷，转回家来方知家的温暖。
1587475427# #《敦睦拼音释义百度汉语》百度汉语敦睦的解释:使友好和睦。例：～邦交。，英文翻译，五笔，拼音，组词，例句，用法
1579724922# #我想我以后不敢吃猪肉了！
1565877862# #小米运动小米运动
1580481893# #不让评论还不让转发吗？转发后照样可以评论。黄岗卫健委对这位主任被火线撤职无可厚非，问题是他怎么会成为领导干部的？一个一问三不知的领导，国难之际居然把全民抗疫当儿戏？建议查查他的背景，一党独大更不能成为这些人的绝对权威。彻查彻查彻查，还有余笑背后的政治势力！
1552033744# #昨晚吴子嘉作客《新闻龙卷风》参与政论节日。他虽说是《美丽岛电子报》董事长，但他超越党派的声量在民进党内部无人比肩。台北民进党党部开除其党员身份，这只能促使吴子嘉更加痛恨蔡英文与陈菊。他是中国人，他希望两岸循序渐进走进统一谈判之程序。
1601701015# #凤凰新闻【特朗普入住军事医院！病情这么严重？白宫新冠毒源找到了】特朗普宣布自己新冠确诊后，有不少人都怀疑他是不是卖惨，上演苦情戏？如果是的话，这出戏也太逼真了！在过去不到24个小时内，特朗普的病情听起来并不乐观，白宫透露的消...
1551630710# #不依赖别人靠自己吗？我依赖别人等同别人依赖我，人与人之间本来就是相互依赖、彼此扶持。冲锋陷阵时要有战友掩护，厨子再好还要有切配配合呢！哈哈
1580691231# #人们总说时间可以改变很多事，但事实上必须由你自己做出那些改变。——安迪·沃霍尔
1564067551# #分享图片
1550424502# #守平不啻是西班牙人的幸运，两队之间的差距还是很明显的。
1550661040# #蹲在粪坑洼洼处闻味儿，心里不拧巴吗？（拧巴是听老刘学的，学以致用。）
1559583389# #有视频有真相，美粉还敢造谣吗？跟新浪看热点
1569848779# #分享图片
1570125870# #就一个菜啊？也太好养活了。
1565446340# #日本人比较注重细节，整体能力机械而缺乏整体构思。日本人的愚昧无知，伴随他们的是在重大议题上失去智慧支撑。日本人的特质是欺软怕硬，愿赌不服输。只有彻彻底底泯灭日本人的民族根基，才能让日本人跪地舔屁。高丽棒子跟日本人差不了多少，但是民族自尊比日本人强。跟新浪看热点
1578838556# #我都懒得看，有英超不看判三年！
1552770047# #半场平局，下半时开始了。
1551625909# #小米运动小米运动
1560470872# #分享图片
1561756415# #想亲自问安倍：你祖上安德海怎样教育你个数典忘祖的狗东西的？见到大傻特朗普如此卑躬屈膝为了啥？真它妈东洋狗🐶
1681429013# #没去过，据说家博会里的产品都很好。
1564659105# #小米运动小米运动
1570863448# #现在道歉已经晚了，再说现在道歉的诚意已经大大打了折扣。作为NBA掌门人的肖华，在莫雷发表不当言行的初始阶段就应该当机立断灭迹消痕，而不应该火上浇油惹怒所有中国人。美国人的傲慢无礼也反应在彬彬有礼的肖华身上，他根本就没有顾及到国民认同空前高涨的中国人民会做出如此强烈的反弹。看到国人如
1567885235# #《香港终审法院的释法争议》香港终审法院对除了《香港基本法》外的香港法律具有最终解释权。基于香港终审法院对刘港榕案的判决，香港终审法院仍可就《香港基本法》作解释，但没有最终解释权。因基本法第158条规定，基本法解释权属于中华人民共和国全国人民代表大会常务委员会；人大常委授权香港
1551311126# #《回顾：最欠打的日本选手！多次激怒200斤中国勇士结果26秒被KO了》好看视频-分享美好，看见世界
1578625504# #你就吹吧！
1611624877# #四十八级是最高等级赞赞赞
1565411927# #前世今生有因果，莫道来世不识君。
1552830247# #《妄图反制“一国两制”，送给蔡英文的一大波巴掌已上路！》台湾岛内两位政治人物的政治态度，完全可以从3月下旬他们即将开始的行程中看出端倪。
1550080834# #类似这样的问题很多，问题是消费者却拿不出证据证明企业的欺诈。既没有第三方机构的证明，又没有依据保障消费者权益，大概只能长此以往了。
1563719884# #《【孙杨400米自由泳四连冠，霍顿拒绝登领奖台与孙杨合影，赛后孙杨正面回应】男子400米自决赛中，孙杨顺利收获该项四连冠，创造历史，然而在颁奖时霍顿却迟迟不肯上领奖台与孙杨合影，这一行为引发争议。对此，孙杨正面回应：“你可以对我有意见，但颁奖是非常神圣的；你可以不尊重我，但是你必须尊重
1606458687# #凤凰新闻美国政府正式过渡Day1，拜登携六大国安和外交提名人亮相，一一介绍。...
1550588675# #《第55届慕尼黑安全会议落下帷幕默克尔：拼起全球拼图的碎片需要共同努力》好看视频-分享美好，看见世界
1563023885# #0-2还嫌输不够，再输一球成0-3；罚下一人嫌不够孤独，再来一张红牌。苏宁易购怎么了？连输球带输人简直对不起自己，拿着几百上千万的工资，就这种表现，简直是作死。刚进聊天室转了一⭕，苏宁易购球迷骂翻了天，他们开始怀念江苏舜天。与球迷离心离德，苏宁管理层双手❌裤袋，玩(完)蛋了。
1613993689# #为啥跳车？这才是问题的关键。
1570626591# #我在看：【"霸气！莫雷处罚结果出炉后，姚明官宣两大决定，一点情面都不给"】跟新浪看热点
1567544540# #转发微博
1583104022# #《“我不是中国人”，华人女子获美国绿卡，慷慨对美捐赠20万只口罩》此视频已有6万次播放，快来一起看看！
1569988829# #看过记实报道“赶尸”，阴森森挺吓人。“赶尸”是湘西独特的风俗，神秘而蛊惑，比老梁讲述的翔实许多。毕竟湘西地域的某些现象无法解释，当真就真，作假不假，我是信的。
1579359850# #《小区惊现“骷髅”家族，一家八口都成了皮包骨，胳膊只有筷子粗！》此视频已有45万次播放，快来一起看看！
1559568081# #怎么弄了个秃驴苏正娼的头像？彻底贬损了特朗普的形象？秃驴准备用掃帚把子跟大陆打到底，神经病，拉票拉到臭不要脸。
1548872938# #懂球帝调查机构：找到疑似萨拉失联飞机的坐垫当地时间1月28日早晨，法国安全调查机构找到疑似萨拉失联飞机的坐垫。调查机构表示，他们在法国科唐坦半岛附近海域找到一个坐...
1553185670# #《“联合国报告”说台湾是“亚洲第二幸福国”？绿媒尬嗨，结果真尬》今天，一份《2019年全球幸福报告》让台媒嗨了↓。
1550090059# #《中国买家或撤离，加拿大经济学家：加拿大或出现68年来严重衰退》好看视频-分享美好，看见世界
1580830466# #《男子入狱十年，妹妹不离不弃送衣送药，他出狱后却将妹妹送进监狱》此视频已有42万次播放，快来一起看看！
1552482305# #既然特朗普不适合当总统，那就应该弹劾。跟新浪看热点
1553353410# #转发微博
1549767408# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1579538943# #向法院申请财产保全，哪儿有现在这么复杂的事？姓郑的缺乏正常人的思维，难怪被自己的女人玩得一愣一愣一愣一愣的。
1568374836# #《一道非常经典的奥数题5+5=5，想到答案用时更短的学霸，智商更高》我和9万人都在看，快来一起围观
1549947787# #哈登累了，明星赛期间应该抽空好好休息。
1559518204# #风景一半在眼中，一半藏心里。前方的路，不一定在脚下，有人帮我们探索总比我们身体力行好许多。做人生有意义的事，譬如你喜欢写诗，可以让别人插图，相得益彰就美。您说是吗？我喜欢说教，有时候却说服不了自己，怎么办呢？凡事不求甚解，说服不了自己才精彩。哈哈！
1591770676# #结果主人抱不动，哭的更伤心了>>结果主人抱不动，哭的更伤心了
1563889508# #《荒漠里突然出现一座城堡，男子进去听见哀嚎声，几具骷髅朝他扑来》我和2.8万人都在看，快来一起围观
1561121268# #小孩的背诵能力很强。
1568701572# #午安！
1572146140# #转发微博
1567850140# #明天郭台铭退出kmt，荣誉证书一并退还。马英九与郝龙斌导演的一出丑剧如何收场？为了让韩国瑜下架，kmt的精英高层丢尽了脸。不管怎么说，先看韩国瑜明天新北造势。
1579724778# #《实拍农村杀年猪，第一次见两个屠夫给猪鞠躬，差点把我牙齿笑掉》此视频已有18万次播放，快来一起看看！
1555877900# #醉就一种，心喝了假酒。
1550078989# #我分享了【女子在浴室洗澡，总是听到奇怪声音，最终发现镜子后居然有人】，快来看吧|
1558876322# #喝点酒，诗性会更浓！
1565711759# #懂球帝塞尔电台：马竞6000万敲定罗德里戈，愿5500万放科雷亚去米兰据西班牙媒体塞尔电台报道，马德里竞技与瓦伦西亚谈妥罗德里戈的交易后，准备放行科雷亚加盟米兰。马德里竞技与瓦伦西亚已经就...
1562939284# #分享：世界上最大的无主之地，石油储量1000亿桶，却不属于任何国家
1548360684# #他让整个南非陷入恐慌被判2410年有期徒刑！(分享自
1548076432# #懂球帝全体起立！懂球帝本周国际赛事MVP提名揭晓大家晚上好！欢迎来到懂球帝本周国际赛事MVP的评选现场。在本周的各项赛事中，狼队最后时刻绝杀莱斯特城；巴萨国王杯晋级八强...
1563375750# #《滇池发现“怪物”，它乌龟不像乌龟，鳄鱼不像鳄鱼，咬力惊人！》我和1.1万人都在看，快来。。。巴西龟麽？
1565814353# #好戏刚开锣，现在评论，所有一切都是最不能接受的安排。着重表示一下，神灯是我最喜欢的球员之一，现在做了蓝军教练。至于红军，你永远不会独行！
1563203230# #别人让你不是怕你。
1562187415# #95分钟打平进加时。
1551806781# #白宫，家族企业，这是特朗普的风格。
1548615641# #跟新浪看热点我在看【卖糖葫芦商贩被打死？警方:死者儿子虚构想多要钱】
1570859019# #估计是以色列干的。跟新浪看热点
1558043099# #《台民众出现最大共识台媒喊话：为了台湾未来蔡英文你下台吧》我和4.6万人都在看，快来一起围观
1564378375# #中午好！太热了，只能躲在家里喝茶抽烟看电视。高温天气，多补充茶水，少出门，健康才能快乐平安！
1568594667# #《老梁观世界：坑爹星二代层出不穷，李双江之子李天一的案件记得吗》我和5.2万人都在看，快来一起围观
1564585085# #和尚都还俗了，释永信差不多也该回家经营他的商业帝国了。
1559524572# #鞋楦！这是种最简易的，只能做布鞋。
1558124483# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1568774567# #以前记忆力超强，能背诵的课文真有千万！如今记忆力下降，好在理解力增强了不少。这叫失之东隅收之桑榆，舍得之间便是历史的过往。我们能记载的是昨天，而昨天恰恰成了今天的历史。诠释是领悟的载体，领悟是诠释的资源，大概这就是记忆与理解(学以致用)的过程。给自己点赞！赞赞赞，大言不惭！
1551357160# #懂球帝瓜迪奥拉谈罗塞尔：很难理解一个人入狱两年后又临时获释在曼城与西汉姆一战的赛后发布会上，瓜迪奥拉对前巴萨主席罗塞尔昨天的出狱表示欣慰，亦为后者鸣不平。相关阅读：【前巴萨主席罗...
1564424694# #空气炸锅做出来的炸鸡很不错，而且还安全简便。升级版的澳柯玛空气炸锅现在有售，不到500块钱吧。
1550295591# #孙安佐虽然假释回到台湾，但依旧在玩枪。狄莺就一弃妇，与孙鹏早就分心离异，所以才会与成年儿子同浴共寝。狄莺与儿子在一档综艺节目曾接吻数分钟，创造了接吻吉尼斯。她之所以与儿子同枕共衾是为了报复孙鹏的嫖娼宿柳，不过狄莺在台湾娱乐圈的口碑确实很差。
1566847899# #《落魄男子卖瘦马，客人只愿出10两购买，哪料全市的马都比不上它》我和45万人都在看，快来一起围观
1574255360# #哈哈哈！
1556907395# #我分享了【男子捞到2米长手臂粗黄鳝,拍照炫耀,看到留言后,果断丢出百米远】,快来看吧！|
1555973869# #王伟！中国英雄！跟新浪看热点
1560201780# #武僧，在我的字典里就是野和尚。酒肉不忌，路遇不平好动个拳脚，打别人和被别人打是常事。武僧一龙可能是个俗家弟子，心中有佛却人在江湖。拳脚了得，靠打架养家糊口。打拳的人一般不太注重武德，靠武力摆脱世事。一龙很可能是另类，以拳养身以武交友。谁知道呢，我连凡人都做得够呛，妄评评武之人。
1556980786# #三个女人一台戏，何况是五条女汉子？
1565117899# #《鲁迅很粗暴的名言，却一针见血地骂了很多人，让人不得不佩服！》鲁迅很多语录都是很刺耳，很一针见血的，很多人读完就感觉被骂了一样，更感觉骂了好多人。
1571689109# #《非你莫属现场，51岁博士求职，底薪却自定为0元》我和18万人都在看，快来一起围观。。华而不实，但自我感觉太好的傻子。每个国家的企业文化不同，美企既然好，你回来干嘛？我知道了，华而不实，喜欢向老板打小报告的傻子。
1580478703# #特朗普总统处处受掣肘，美国老头心里怎么想的？如果不能连任，特朗普将失去豁免权，接下来的十大罪状和牢狱之灾紧锣密鼓必然将美国老头关到死。其中爱泼斯坦死于狱中与特朗普与克林顿都脱不了干系，玩弄未成年少女所涉及到的强奸、轮奸及拉皮至少是50年以上的重罪。特朗普咋办？跟新浪看热点
1578033223# #张起淮律师参与公益司法，这事感觉有点扯。
1561554032# #上港让我欣喜若狂，让我感同身受，让我唯真不变。与恒大携手进东亚半决赛，很有可能两队在东亚决赛中再次碰面。北京国安去哪儿了？难道先被淘汰了吗？我怎么不知道？真是的。6月30日山东主场打北京国安，希望山东好汉下脚无情，多赢几个当下酒菜。
1555560601# #上篮哈登32分三双迎里程碑，火箭胜爵士大比分2-0领先，保罗17分哈登32分三双迎里程碑，火箭胜爵士大比分2-0领先，保罗17分
1580727064# #《鹿肉可以治风湿？别再听信偏方了，科学才是最健康的》此视频已有22万次播放，快来一起看看！
1567191916# #可怜的陈水扁，先被郁慕明用椅子砸，后被韩国瑜一组组合拳打进医院。表面上陈水扁总被人拳脚修理很可怜，其实这是他最需要的政治與论，这对他未来登大位起了重要作用。陈水扁的城府很深，蔡英文给他打洗脚水还差不多。李登辉？就一二皮脸，但很适应台湾人的政治诉求。跟新浪看热点
1576308181# #我在看：【陈水扁一再挑战底线，邱毅终于忍无可忍放硬话：赶紧回去服刑】跟新浪看热点
1547599755# #今天的重头戏不是中韩的亚洲杯，而是上午的NBA，由西部的两强勇士对金砖。近几天的新闻不是国足膨胀，而是媒体滥调炒作。原来心灰意懒的里皮赢了两个软蛋球队后感觉心情亢奋，似乎亚洲杯唾手可得。殊不知中国队的实力也就排在亚洲十名左右，而且重大比赛时往往发挥失常。我不想打击国足，且行且珍惜。
1571443780# #《转投东森平秀琳全新栏目《平论无双》本月17日登场》为了帮平秀琳打气，那个非常自以为是也经常倚老卖老的沈富雄，还特意为她录制了一个小视频，以告白的方式向她致敬。
1561666645# #《回顾特朗普会晤普京，导致美国国内一片指责，为什么会这样？》我和12万人都在看，快来一起围观
1566878860# #围观围观围观
1549613661# #我在看【马杜罗终于下决心：军事逮捕临时总统，可惜时机已晚】跟新浪看热点
1566208705# #本来是个简单的人，出家人钻进了铜钱眼里，于佛法不顾，坏身坏心，给出家人做了最恶质的示范，可以说罪大恶极，永世不得超生。。【近代最强的少林方丈，身怀72绝技，如今身价上亿，名气很大】（来自
1557172145# #转发微博
1547942623# #张召忠：带你瞅一瞅中国是怎么“救”俄罗斯的(分享自
1566710674# #桂林山水甲天下。桂林的山，多石少土，倍显干净。大自然自有其鬼斧神工的匠心独运，千奇百态、光怪陆离。石头山的特点是轮廓分明，线条简练。远远观之，有骆驼大象，猩猩兔子。溶洞内风景别致，神奇瑰丽。
1575961194# #只有中华人民共和国有能力建设如此宏伟的大桥。跟新浪看热点
1558519946# #恒大赢球情理中，预估3-1，恒大反超大邱出线。
1547600693# #转发微博
1556643825# #《外星人会吃人类吗?科学家证实外星人真相》百度搜索精选视频，打开看看吧！
1570887592# #难得仨兄弟一起来，60年未遇的台风，加上火山爆发和地震，小日本遭受了前所未有的大灾难。老天有眼，因果报应，据悉再过五六十年，整个日本将面临陆沉的绝对崩溃境地。
1549791613# #男人和女人，有事才会在一起，没事才有分开。
1568383912# #据悉，中印边境各支的部队关系不错，双方都有敬烟借过的往来，很少发生冲突。当兵的各为其主，双方都有一定的默契度，正常情况下不会发生不愉快。跟新浪看热点
1553977007# #《麻酱油麦菜怎么做》好看视频-分享美好，看见世界
1567125805# #《开车到明故宫附近，男子在丁字路口撞车，下车发现竟变成十字路口》我和4.4万人都在看，快来一起围观
1590508954# #当心揍你哈哈
1555856547# #唉！一场令人难堪的比赛，索尔斯科亚大概过了蜜月期了，新婚后恋床的疲软尽显绿茵场。
1567212568# #《这才是我见过最牛的牛，有本事别逃！》我和4.1万人都在看，快来一起围观。。臭不要命的！
1569345078# #《我歌唱每一座高山，我歌唱每一条河，王菲献唱电影我和我的祖国主题曲MV正式上线，电影《我和我的祖国》930不见不散。国庆档》拍视频看视频得现金，好玩又赚钱！
1553998260# #转发微博
1566023962# #胸凶！跟新浪看热点
1559178914# #转发微博
1601180674# #老年痴呆了。
1584705419# #跟你走，一醉方休！
1565410548# #天天期待您的问候！
1550511263# #转发微博
1560148724# #为活而生，因生而活。平淡是生活的本质，但是平淡中依然能见新奇。
1559577149# #有些北京人确实善于放大话，所谓的“京油子”指的就是这些人。其实每个地方都有放大话的人，不过那些放大话的北京人比较有意思，放大话比说真话还溜。
1552588572# #玩视频上火山LG冷萌少女在火山上分享了视频，快来围观！传送门戳我。好像是棒子们欸！
1578360598# #《自驾夫妻零下26度，海拔5200米睡车里，整个车都冻上了，太难受了》我和28万人都在看，快来一起围观
1547577999# #跟新浪看热点断代不难，包浆会说话。
1580498367# #《女孩当男友面拒绝上司求爱，涂磊对小伙说：这时候你可以亲一下！》此视频已有131万次播放，快来一起看看！
1561696559# #过程重于结果。
1582891330# #分享图片
1570889982# #《库尔德人怒了：美国人出卖我们！》“美国人出卖我们”针对此前土耳其军队对叙利亚北部库尔德武装发起大规模军事行动之际，华盛顿方面突然“背后捅刀”、抛弃盟友的撤军行为，留守在叙北部美军基地的库尔德武装部队愤懑不已。
1562809337# #熊猫手信我是今日第645位红外相机照片兑换者，守护者们累计兑够5万张就能募集到1台红外相机，用于大熊猫等野生动物的科学监测，戳链接加入熊猫守护者一起助力公益。
1562672395# #小米运动小米运动宝宝的少女心
1549743733# #我的数据没过10万，够衰吧。『我的昨日数据报告』
1569333303# #长辈说：今生是来赎罪的，赎前世的罪。当赎完前世的罪，同时也修得了来生的平安健康。所以今生很苦，因为我们在赎罪，也为修护来生。母亲在世时曾为所有家人超度了寿生经，目的就是修护来生。佛法宏达，宗旨是劝人为善；曾与玉佛寺和尚悟性坐禅，原意是僧俗两界毕竟有别，而各循规矩，一样能殊途皈依。
1613697797# #转发微博
1561918495# #英国人貌似正统，心地最坏的就数英国人。可以相信德国人、法国人、俄罗斯人、西班牙人，就是别相信英国人。英国人掠夺的土地超过英国本土50倍，财富不计其数。跟新浪看热点
1547647683# #一边倒的比赛，国足除了身材高大外，在场上几乎没有作为。我也不完全是妄自菲薄，挑出个顶比较，国足完全不落下风，为什么在整体配合上会明显相形见绌？大概这就是问题所在了。输球可以，但不能输得太多。
1551962256# #小米运动小米运动厉害了我的哥！
1549972364# #美媒顶个屁用，谁当真谁就是个无知无识的傻子。
1569586173# #转发微博
1555103718# #挺悲催的，令人情不自禁。许多时候，能说清楚的是情，说不清楚的永远是缘。情深而缘浅，那都是命！天生注定。
1549830927# #《神秘来电！男子深夜接上千神秘电话报警发现电话登记人已死亡》就在大家一筹莫展时，辖区一个电话营业厅反馈，有人给神秘号码进行话费充值，警方立即赶到营业厅调取监控，最终锁定神秘人陈某。
1607357770# #大雪丰年！
1566443804# #凤凰新闻分享凤凰新闻：30岁美女从不找对象，妈妈生气闯进她的房间，刚开门直接傻眼了-创一科论来自
1595465532# #只有买家才做卖家。
1571186212# #亚洲还有四十强？说梦话吧。想赢叙利亚？国破家亡的叙利亚人饶我们一个主场也未必有用。让农村老太太当国足教练成绩也差不到哪儿去，这不是危言耸听，国足队员自身的应变能力足够打平菲律宾。。里皮老了，六十岁爱子，七十岁爱财，在国富民不富的大中华A点钱不成任何问题。年薪两亿人民币不算多，够3000
1547433543# #转发微博
1552419947# #落马“巨贪”案款是如何执行的？最高法这么说(分享自
1564067780# #分享图片。老鼠成了救命动物
1579414243# #太棒了，我在熊猫守护者认领了一块保护地，将在四川省平武县金丰村帮助守护一平米的野生滚滚栖息地，你也快来加入吧！
1590265195# #离开老家2个月了。今天和我妈通话开的免提她喊芒果名字，说想芒果了。芒果就发疯似的在屋里找她，都没找到>>离开老家2个月了。今天和我妈通话开的免提她喊芒果名字，说想芒果了。芒果就发疯似的在屋里找她，都没找到
1587241686# #我在看：【视频|海峡焦点|台媒：大陆决定“武统”之日即美国“弃台论”付诸实】跟新浪看热点
1565461532# #两小时后雨渐停，今天白天阴转多云，暴风雨后出晴天。终于可以走出家门享受蓝天白云的洗礼了，整整两天半，六十多小时埋在家里吃喝拉撒。结束了！
1578280339# #给你加十分，叫十分满意！🙏🙏🙏鲜花鲜花鲜花
1550521209# #博格巴头球又下一城。萨里坐不住了，如果切尔西至死不悔的话，阿布肯定要换帅。
1581821460# #《夫妻二人将女儿送去外地，不料三个月后，却在寺庙见到女儿的尸体》此视频已有13万次播放，快来一起看看！
1602722654# #这不叫暗恋，叫一厢情愿。现在的小编因为烂到无极限，所以根本就不会斟酌遣词造句。这很像时代的风潮：泥沙俱下，鱼目混珠。不瞒您说，现在不多大学生能写出一手好字和一篇好文章，可能在其它实际应用方面还行，尤其是造一份简历，具有工匠精神的意味。我不是挖苦现在的小编们，据我所知，小编都兼职。
1552501606# #很可能是未来的江洋大盗。
1552883427# #日本之所以敢挑衅世界共识，一是有美国的支持，二是中国的纵容，问题是两者之间的所处的位子迥然不同。日本对美国不但唯唯诺诺，而且是自甘做一条自备口粮的狗。日本对中国从来鄙视，不但过去是，现在是，将来也是。我们这儿的精日分子却是无处不在，而且数量不少，否则中国怎么可能出那么多的汉奸？这
1566258622# #男人需要被认可就像女人需要被理解，我想幸福的家庭都是相似的，不幸的家庭各有各的不幸。前一句话是我说的，后一句是列夫-托尔斯泰在《安娜-卡列尼娜》里的开宗明义。。十多年前，老房子新装修的时候有上千册图书寄放在一位主动请缨的朋友家家，后来朋友把我临时存放在他家的图书一股脑卖了，其中有一
1551754085# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1597014687# #我在看：【小视频|他懂，他只是不想再喝药了】跟新浪看热点
1557930712# #抄东洋婆子就能赚中国人的钱，我明天去移民。
1572270161# #我不会，我喜欢随遇而安，不与世人争高下。体现自身价值很累的，职场既是考场又是战场。让别人去争吧，我只要能守住自己的一亩三分地就好。别人的我想要也要不来，所以不要；我自己的别人想抢也抢不走，除非我放弃不要。人生不过百年过客，“终朝只恨聚无多，聚到多时眼闭了”。《好了歌》说对了。
1587862939# #凤凰新闻分享凤凰新闻：中国国土面积究竟有多大？还以为是960万平方公里吗？看完涨知识-中华五千年来自
1576703610# #《九人登山遇意外尸检结果竟然是非自然力致死迪亚特洛夫事件》我和2.4万人都在看，快来一起围观
1569914452# #幻想置身于深海的中心，与天际溶于一体，感受这无边的静谧，心中这一方蓝天，终回归于广阔的自然。
1564382598# #我是恨钢成了铁。
1551558675# #阿涅利的看法怎么可以跟我的一样？难道汽车大亨的眼神也跟我一样？
1550419022# #转发微博
1605664354# #公益活动很重要。
1564356974# #意识形态是中国人几千年来沿袭的专利，美国人刚学了几天意识形态就躲在被窝里意淫意识形态了。意识形态即阶级斗争，阶级斗争即争权夺利。中美不同的是美国主要打国际意识形态牌，中国打的主要是党争牌，即以人民的名义肃清不同党派的意识形态。当日本侵略者打来的时候，党争的意识形态照打不误。
1597520232# #懂球帝曼城克星！加西亚破坏不远，科尔内禁区外打入近角，里昂1-0
1582725300# #没有男人女人就红不了吗？跟新浪看热点
1563673291# #不买就是了，管它好不好吃。
1570239816# #分享图片
1582260962# #感觉问候早安的时候已经午安了。我都不知道走在了时间的前面还是后面，反正经常是黑白(白天黑夜)颠倒，幸好还没有黑白(是非)不分。又说笑了，被窝在家里不太好受，说笑可以解乏，而且还可以轻松解嘲。疫情期间各自祝福，我想这也是一种认同。如果能拔高这种认同的话就是国民认同。国民认同，共体时艰！
1583158462# #现在确实很难认定美国是新冠病毒的吹哨者，但是美国有投毒的黑历史，而且是多次投毒，可以说是罪恶深重。据台湾媒体透露不确切消息，蔡英文在大选前接受了美国某些人的指示，指示台商在武汉的工作关系实施投毒。如果消息确实，蔡英文将成为全球通缉罪犯，由受害国受理审判。跟新浪看热点
1559443338# #由俄罗斯去灭美国最好，灭就灭到美国三百年不能翻身。跟新浪看热点
1562729987# #狮子偷袭一头水牛，紧紧咬住水牛后背，下一秒是这样(分享自
1558437079# #我说的是蔡英九马英文，一对活宝你中有我我中有你！
1560562714# #转发微博
1559684058# #转发微博
1580142340# #可以肯定是隶属于美中央情报局的客机，机上人员至少83人，其中有中情局高官。塔利班已经公开承认该机由他们击落。跟新浪看热点
1567717659# #猫腻藏在细节中。跟新浪看热点
