1693979411# #被一个美吹的逻辑震惊了！。都讨饭了，还在鼓吹制度优越？？？。。不负责任转发
1689144428# #我也笑了！
1699023547# #感觉整个伊斯兰世界都在认真听这个演讲，但其它人类都漠不关心。
1701795062# #这属于日常辱以了。。巴以冲突
1698508011# #这桥能受得住吗？
1696419733# #太壮观了，一定要带咪蛋去敦煌看一看哈哈哈哈哈哈憧憬憧憬憧憬
1691144513# #发布了头条文章：《八只脚的蜘蛛们，不是昆虫！》。。魔女屋lyl动物世界
1690963682# #早起先做一个后期，这本书真的很棒是jk罗琳最爱。。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1687539811# #AI作曲，终于来了！——Google已经发布了一个用于生成音乐的AI。。只需简单描述你想要的音乐，音轨就会被创作出来。这个音乐AI可以免费使用。。这是一个处于测试阶段的Google演示，显然，它并不意图取代音乐家或制作人。。网址：
1698752156# #朱杨柱父母见证儿子凯旋激动落泪这种题材，可不够好莱坞拍几部大片的？中国的那么多感人事迹都不被歌颂，太低调也不好，只能坐等文化精神侵略呢晕晕
1698933978# #魔女屋LYL超话今天找了一堆动物主题图纹，先来一波鹦鹉吧！。。魔女屋lyl
1697909060# #发布了头条文章：《华丽描绘中的悲观主义——西班牙女画家MiriamEscofet作品欣赏》。。魔女屋lyl
1687450269# #中国贵州省黔东南苗族侗族自治州，龙舟赛开始前的狂欢游行。。。好多人啊！。。不负责任转发
1696780093# #一张图两个雷点，1，乌贼变鱿鱼，2，美帝居然资助炸自己爸爸？？。。不负责任转发以色列正式向哈马斯宣战
1694588580# #啊哈哈哈，我来手动翻译：一个女人没有了男人，就像一条鱼没有了自行车！。哈哈哈哈哈！。。不负责任转发
1695663699# #古希腊最有名的交际花，甚至是阿弗洛忒蒂模特儿，因为太美还被审判。。魔女屋lyl。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1695632284# #女子被闺蜜PUA8年骗走百万看呆了，骗子就在身边，还是闺蜜？可怜可怜可怜。PUA无处不在啊黑线黑线黑线
1695378229# #开始洗白美国没有投过原子弹吗？？？。我们亲眼看着这世上的人颠倒黑白啊，主要就是昂撒和日本人！衰衰衰。。不负责任转发
1694532148# #机翻：2019年，泽连斯基以结束东方战争和结束腐败的承诺为基础，以73.22%的绝大多数当选。2023年，78%的乌克兰人直接指责他腐败，导致多达100万人在战争中死伤。。他现在拒绝举行选举。。不负责任转发
1698605080# #前面发的在俄罗斯达吉斯坦机场发生的事件，是这样的，当地人直接向从特拉维夫起飞的飞机抗议，不欢迎“儿童谋杀犯”。。这个世界从未如此愤怒过，这都是因为长期的不公正，有个网民说得很对，现在整个世界的人民都在极度愤怒中，而美国和以色列还以为他们安然无恙！。。哈马斯持续向以色列发射大量火箭弹
1695365057# #中秋国庆假期错峰出行更划算有没有每年这个时间都窝在家里不出门的人？哈哈哈哈人多的时候去哪里都玩不好啊汗汗汗
1701530583# #TheTwoLeonores-KarlFerdinandSohn。明天来做一期美女闺蜜们
1687222102# #乌克兰国防部情报总局中校DenisDesyatnik表示：“乌克兰可以放弃顿巴斯以换取和平（给他们这些领土是正确的）。这是乌克兰的领土，但人口完全亲俄，那里的人是无法改变的。”。遗憾的是，暴力政变和武装镇压开启的战争已经过去了9个年头，已经死了很多人，他们才意识到这一点，而且未必会有人去改变
1689788864# #乔治·爱德华兹GeorgeEdwards。1694年4月3日－1773年7月23日。是一位英国博物学家和鸟类学家，被称为“英国鸟类学之父”。。爱德华兹出生在西汉姆，然后在埃塞克斯郡。早年，他广泛游历欧洲大陆，研究博物学，并以彩色动物画，尤其是鸟类而闻名。1733年，他被任命为皇家内科医师学院的执事。。。魔女屋lyl
1687585110# #发布了头条文章：《老照片欣赏——百年前的日本人》。。魔女屋lyl摄影
1704102875# #石家庄一男子疑因无人机表演取消下跪道歉哈哈哈，竟有此事，中国无人机是不是太发达了，过几年要出台空中管理条例了吧？笑cry笑cry笑cry
1695730692# #蛤？现在学阿拉伯语还来得及吗？。商机滚滚！小费滚滚！哈哈。。不负责任转发
1694416423# #TechnoMechanicus，这名字。。。酷啊，有钱人就是任性，再生一百个也没事！哈哈哈哈哈哈
1698850212# #网易云音乐高级副总裁张栋已辞职高级副总裁，还有啥高级总裁？低级总裁？我晕了。。。。。
1701329762# #美国炸了德国北溪管道，导致欧洲现在天然气暴涨，谁是大蠢货？。普京不点名大家也知道。。。不负责任转发
1695197542# #治愈系小咪蛋超话昨天咪蛋拿来给我说是母亲节给我画的卡片，打开一看，超有爱的。萌娃萌画儿童画
1694330175# #老师谢谢你今天特地找了一些2023最美的手捧花设计，来送给老师们！。。魔女屋lyl
1694429975# #还有多少？？？
1698690816# #小胡子当年也没这么狂吧！。还警告全世界？？？。。巴以冲突
1703322832# #美国没有足够的战舰在红海护航。。。。。。。。。巴以冲突不负责任转发
1697666897# #昨晚读了四个短小说，这个最短。。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1694591877# #魔女屋LYL超话今天打算出一期“画成歪瓜裂枣也行？”的肖像画吐槽贴。。魔女屋lyl。。哈哈哈哈哈哈
1692729414# #很久没见你啊笑cry
1690882500# #发布了头条文章：《荷兰黄金时代的绘画大师——“夜晚的杰拉德”GerardvanHonthorst》。。魔女屋lyl西方绘画艺术
1696689529# #治愈系小咪蛋超话今天咪蛋为了来动物园，忍受了漫长的旅途跋涉，花了比平时多一倍的时间，和满满一车厢臭臭的黑人挤了半小时，来到了心心念念的动物园，结果一半的笼子都空了，猫科动物全都不见只看到了一只豹子的屁股。。。气得蛋总开始画老虎🐯，但我看来还是一只猫。水深火热的巴黎
1693759901# #一张有爱的晚安图——我们会不会永远是好朋友？
1694163633# #这个，叫人怎么不爱懂王呢？。建议，对排核污水没有意见的人，都去福岛现场沐浴，喝一下，我保证从今以后再也不提这核污水三个字！。可爱可爱可爱。。不负责任转发
1699612869# #刚写了一章小说，现在来看新闻，真主党要把以色列的观察塔楼都打掉。。图2现场惊人，居然是各种快消品牌工人罢工，这个视频我稍后转。。。不负责任转发
1694414624# #啊哈哈哈，都身怀绝技啊！。我怎么只记得中学时的语文老师，喜欢手托香腮喃喃自语，说话越说越轻，最后听不见是他的绝技。。。不负责任转发
1699107653# #法国拟对“侮辱以色列”的人处以两年监禁和7.5万欧元罚款。。。谁tm要侮辱以色列了，以色列天天在自取其辱！。。巴以冲突
1693988697# #发布了头条文章：《乐器知识——扬琴的前世今生》。。今天要继续研究扬琴！。。魔女屋lyl乐器
1697617236# #美国纽约街头灯箱：以色列轰炸医院，拜登为此买单。。。巴以冲突不负责任转发
1696681059# #17人台湾旅行团受困以色列今天这个突发战争震惊世界了，但其实平时看到很多以色列欺负巴勒斯坦人的推特新闻，因为没有主流媒体报道，巴勒斯坦一直有苦说不出，大家只关注俄乌，不知道巴勒斯坦吃了多少哑巴亏。
1689324998# #苏格兰爱丁堡的纸艺艺术家和定格动画师CharlesYoung一直在致力于一个基于日本艺术家和田三造的《配色事典》的独特项目。。该项目于2020年5月开始，以《配色事典》为灵感，将色彩引入艺术家的作品中！。。魔女屋lyl纸雕
1695511759# #今晚开了一个专题，专门来说交际花的故事。刚录了前言和第一段，可以说的故事太多了。。。魔女屋lyl。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1693896575# #这是芬兰设计师KlausHaapaniemi为芬兰剧院上演的著名捷克作曲家LeošJanáček：狡猾的小狐狸，创作的一些海报和周边。。。这个品牌可是我的大爱，如果你还不知道，赶紧点进来：伦敦的芬兰民俗设计品牌——克劳斯·哈帕尼米KlausHaapaniemi＆Co.魔女屋LYL超话魔女屋lyl插画分享
1699101378# #昨晚我在看一个电影《少年乔乔的异想世界》，本来这是一部讽刺纳粹德国的电影，现在看起来就另有一番味道，尤其是犹太女孩攻击乔乔这一段——这些话我现在觉得就是犹太人植入在好莱坞大片里的种族优越论，和以色列前总理说的没啥两样。。当你带着这种思路去看美国影视片，各种植入的意识形比比皆是！。。
1689930362# #开始写公众号之前读一篇。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1702548772# #以色列将提出与真主党达成“现实协议”的提案，如果真主党拒绝，以色列将被迫采取军事行动。。报道称，以色列将基于以下两个条件向真主党提出“商定的现实”（即暂时和平）的提案：。1.将真主党撤至距离边境至少5-7公里的地方，这样就不可能直接向北部以色列定居点开火。。2.真主党被清除后，该地区没有变
1694325930# #下周就回去抱抱小可爱可怜
1689522834# #纽约数字设计师CharlesBentley在杜兰大学获得了版画本科学位，接受了正式的美术培训，但他还是花了几年时间为零售品牌从事数字和网页设计。在他的作品集中有一些很棒的动态混合媒体拼贴画。。。艺术家的艺术作品利用时尚摄影和自然世界来创造动态、超现实的构图，呈现个人成长和衰退的隐喻过程。Charl
1691685670# #服了
1701508621# #呀，中国和俄罗斯，伊朗要在波斯湾进行联合军演啊！。外国网民认为这会是世界上最强大的军事联盟了。。。兹事体大。。巴以冲突
1696761731# #叫咪蛋描红写字，六个字没写几遍，旁边每个画了一个兔子老师吐，庆幸蛋总不在国内读小学，否则我要天天气炸。治愈系小咪蛋超话带娃日常萌娃萌画
1689318753# #很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧每一天的精神食粮（分享自
1695226048# #发布了头条文章：《醉心于画蘑菇房子的女生NicoleGustafsson妮可·古斯塔夫森》
1697176642# #美国准备撤侨。美国管不住以色列滥杀无辜吧，还是把美国人都撤出，剩下的随便两方厮杀也不在意。
1700429949# #来了解下诈骗行业的数据资料！。哪种人容易被骗？。杀猪盘损失中，男性被骗平均19万，女性28万，70后-90后公职人员占比最高，硕士被骗的最多，平均68万——为什么硕士被骗最多？？？笑cry笑cry笑cry
1696593162# #魔女屋LYL超话折纸艺术家RobertLang的作品
1701072407# #法国本来就是一个落后的国家。。不负责任转发
1695462064# #那个沙滩地面，看着真觉得会踩在沙子上呢哈哈哈哈哈哈
1696958255# #欢迎全世界国家来微博上用中文互怼！。哈哈哈哈哈哈哈哈哈哈哈哈。。不负责任转发
1692084662# #*泽连斯基禁止乌克兰11个反对党。。*德国希望禁止AFD（21%票数）。。*摩尔多瓦取缔亲俄政党。。*荷兰提出新法取缔破坏民主的政党，针对FVD推动“大复位阴谋”。“我们希望取缔这些政党，这样我们就可以保护民主”。但后来……2006年，荷兰拒绝取缔一个宣扬恋童癖的政党/其中一位创始成员因1987年猥亵
1698620339# #这个tag我不太懂——“不给以色列石油”。这是推上民众又发起的一个呼吁，前一个是“给巴勒斯坦星链”，马斯克同意有限的使用星链，已经很好了，毕竟他是川普的好朋友，川普可是死顶以色列的。。。哈马斯持续向以色列发射大量火箭弹
1692632769# #啊哈哈哈笑cry
1698617640# #约50架美军运输机在24小时内飞抵中东。这是个坏消息。。。美国是要全面参战了吗？。。哈马斯持续向以色列发射大量火箭弹巴以冲突
1696793073# #所有人都奇怪，哈马斯居然敢打以色列？以色列正式向哈马斯宣战。以色列一向以疯狂报复著称，今晚的加沙就是火光冲天。。对于跑来说以色列挺好的民逗们，应该都送去openairprison开放式监狱，体验一下巴勒斯坦人民的生活处境吧，我觉得这个机会很好，别错过了！。。不负责任转发
1690352820# #弗罗斯特牛肝菌Exsudoporusfrostii。通常称为弗罗斯特牛肝菌或苹果牛肝菌，是一种牛肝菌，于1874年首次被科学描述。属于牛肝菌科的一员，由该真菌产生的蘑菇具有管状和气孔，而不是菌褶。分布于美国东部从缅因州到佐治亚州，西南部从亚利桑那州向南延伸到墨西哥和哥斯达黎加。作为一种菌根物种，其
1697119842# #来闺蜜家吃大闸蟹，39欧一公斤的大闸蟹，吃了四个，过来亲自示范海派包馄饨，吃high了。。。水深火热的巴黎
1696879432# #看一波推上“加沙”热搜的新闻吧，什么样也不用说。。全部机翻。。不负责任转发以色列炮击黎巴嫩南部地区
1694026925# #“我把没有价值的东西变成美丽的物体”——如何将垃圾变成奢侈的可穿戴艺术。。LyleReimer，一个多媒体艺术家，通过深刻的个人视角探索可回收物品的装饰作用。。。魔女屋lyl面具魔女屋LYL超话
1698920426# #真主党公布以色列损失：。●120名士兵阵亡。●9辆坦克。●33架雷达。●1架无人机。●140个监控摄像头。●69个通信系统。●17个干扰系统。●27个情报系统。。2，乌克兰仍然是欧洲最大的诈骗中心。。中国担任联合国安理会本月轮值主席不负责任转发
1692641409# #今天魔女屋lyl的内容，就是研究了一下西方油画肖像里的发簪。。更多内容还是要看公众号。。。艺术分享
1695566285# #发布了头条文章：《历史时尚八卦——十九世纪著名的交际花CoraPearl》。。又是快五千字了！。。魔女屋lyl交际花
1690568340# #刚传了这首和一起合唱的去喜马。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1694329330# #还是喜欢和小伙伴们一起pia戏玩儿。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1699484001# #我不懂武器，5万美元的导弹射下来3200万美元的飞机，好像值了？。。巴以冲突不负责任转发
1698418993# #这位加沙半岛电视台台长兼记者，他的家最近被轰炸，亲人都死了，但他又回到了镜头前。。以色列袭击杀死了他的妻子、儿子Mahmoud(16)、女儿Sham(7)和孙子Adam(18m)，不到24小时后，回到镜头前报道以色列对被围困的加沙的攻势。。这是他对他们的回应。心。。巴以冲突不负责任转发
1695290669# #一张图看懂，全世界说“左翼”，含义是不一样的。亚洲左，东欧左，阿拉伯左，和白左！。。不负责任转发
1703491468# #omg，看得我晕死！嘘
1699141268# #美国历史上最大规模的亲巴勒斯坦集会今天在华盛顿特区举行！！！！！！。超过30万人走上街头，前往白宫游行，谴责乔·拜登资助加沙种族灭绝。。。巴以冲突
1701515232# #俄罗斯发生的令人震惊的好事清单——（摘自《华盛顿邮报》文章）。。🔹得益于战争经济，制造业蓬勃发展投资飙升，因为俄罗斯寡头无处可存旅游业和餐饮业蓬勃发展。事实上，俄罗斯人说现在的食物质量好多了。。石油/天然气出口强劲。甚至欧洲也在通过印度和土耳其等中介购买俄罗斯能源。。中国货取代了西
1687586988# #再看点新闻，准备工作！。。不负责任转发
1693805029# #哈哈，不是有一种经典爱尔兰咖啡就是加酒的，冬天我比较爱喝那个，现在可以喝茅台咖啡，哈哈哈
1698145894# #双11省学指南许多APP新装时候都有各种超省钱的货品，一分钱，一块钱就能买啥的，如果你每个月装几个新APP，一个月的家用消耗品基本上就是白捡的，大家说对不对哈哈哈哈哈哈哈哈哈哈
1698476083# #不仅没买过，连图片中说的好多都没听说过，只知道一个李佳琦晕晕晕
1695894399# #㺢㹢狓（学名：Okapiajohnstoni）。英文简称：Okapi“欧卡皮”。长颈鹿科内目前唯二的物种，非常有趣哦！。。魔女屋LYL动物百科
1690788010# #发布了头条文章：《细致、有趣的想象力——瑞典宝藏儿童插画家AdelinaLirius》。。魔女屋lyl儿童插画
1691907225# #来看新闻了，第一图说的是：尼日利亚人包围法国军事基地要求法国人“回家！”。。不负责任转发
1697458360# #所以说，巴以冲突不仅仅是中东地区的战争，会波及全世界的。。又一个无辜的小朋友死去了！。。中方向巴方提供紧急人道主义援助
1698484494# #看一些X新闻。。巴以冲突不负责任转发
1697666248# #明天还会发生什么？？？。更多死去的孩子？？。。巴总统宣布全国哀悼三天不负责任转发
1700647783# #巴以临时停火，划重点：以色列则释放约150名被其拘押的巴勒斯坦妇女和儿童（卧槽，不要脸的以色列绑架的人质比哈马斯多多了！！！）怒。。巴以冲突不负责任转发
1697822825# #大家都奇怪，哈马斯怎么还有攻击力？搞得堂堂世界最先进的军事国家以色列下不来台，都不敢报自己真正损失。
1701328578# #有人在基辛格的维基页面写了这句话：他现在正在地狱里烧烤。网友赶紧截图，在维基被删除之前。。。不负责任转发
1701863073# #BenGiles是一位英国艺术家，主要从事拼贴画创作。他的作品曾发表在《纽约时报杂志》和《华尔街日报》等多家国际出版物上，并接受了AppleMusic、Google和Vice等公司的委托。。。贾尔斯的作品探索了玩弄我们预期现实的概念。乍一看，有些图像没有经过明确的处理；然而，经过进一步探索，人们会注意
1698485774# #美国人民正在X上反思，其实我一直不喜欢美国，我以为欧洲是一个更有文明更有思想的地方，直到我来到法国，我才发现遍地美式文化和思潮，欧洲早就被美国同化。。的确如图2所写：欧洲的美国化是最大的悲剧，美国扼杀了它的灵魂。。。不负责任转发巴以冲突
1688029171# #刚看到这个，还以为又发现了什么神奇的物种，谁知是蝙蝠的胚胎！。话说蝙蝠小时候怎么这么可爱，最后却长成了一张猪脸......。。魔女屋lyl动物
1697020796# #巴勒斯坦曝光以军使用白磷弹画面这也不能改变任何事实，以色列仗着美国撑腰几十年来为所欲为，就差一次灭绝性大屠杀了。
1690999656# #这篇文章挺有意思，一个失去了一只脚的男人看着街上的行人来来去去的，心生忧郁。。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1692369656# #呀，这里可以看岩论了
1697644928# #继续反人类，美犹邪恶轴心。
1697643314# #2023年10月17日晚，加沙阿赫利浸信会医院被炸，死伤无数，这是巴以冲突以来最黑暗的一天，随后，各地愤怒的人群去大使馆抗议。。。巴总统宣布全国哀悼三天
1688659233# #最近几周，一个名为“MalorussianLiberationArmy”（缩写为MOA）的组织出现。。MOA声称是一群乌克兰异见人士，他们反抗占领了他们的国家和杀害了他们的兄弟姐妹的基辅政权。他们离开ZSU是因为不想毁灭他们的人民并跟随寡头和外国人的节奏起舞。。他们相信与俄罗斯军队的合作将帮助他们夺回家园。。。
1688573543# #私立学校的英国政客子弟：中文要达到一定程度才能开玩笑、打口水仗，谁成绩不好就是卢瑟，所以，学中文是未来精英必修了吧！。。不负责任转发
1688891478# #这，会不会被夹？？？。。不负责任转发
1692959111# #发布了头条文章：《为什么日本有那么多的妖怪文化？——继续说《百鬼夜行》》
1699375151# #以色列人与巴勒斯坦人拥有同等的被炸死的权利，这个平等了吧？
1696799019# #以色列枪杀2岁儿童爆头，全世界都有目共睹，所以这次正常人都在说以色列活该，就有些美粉要支持以色列，其实美国人都一大半支持巴勒斯坦酷
1698570239# #拿图了，转发哈哈哈哈哈哈
1697703988# #加沙医院医生在地板上动手术这些医生一直坚守医院不撤离，已经是人性最大的善，一周来以色列轰炸了加沙各种医院高达五十多次，罪恶滔天，人类之耻。
1697297492# #这世界的善恶非常分明，不分明的是——掌握媒体霸权和武器霸权的都是坏人。。。巴以冲突不断升级面临失控风险
1694092207# #骑车听这首还很爽笑cry笑cry笑cry很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1700117512# #昨晚更新了一场纯女生的对手戏。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1697385732# #治愈系小咪蛋超话昨天写了一篇关于亲子手工的文章，今天就和咪蛋一起来试试看，效果喜人。。魔女屋lyl
1698147462# #10月22日，波斯尼亚的萨拉热窝，成千上万民众声援巴勒斯坦。。。巴以冲突不负责任转发
1696500825# #今天又起晚了，上推看点新闻。。。不负责任转发
1703927876# #纽约人拿着洋娃娃来代表被以色列杀死的巴勒斯坦儿童！。。巴以冲突不负责任转发
1698003100# #今天，10月22日，在法国最高法院解除了禁令之后，革命老区又充满了人群。。上周我对巴黎还是很失望的，其实法国人很老实的，政府说啥就听啥。。。巴以冲突不负责任转发
1696703383# #以前我到法国觉得街上人都很有礼貌，客客气气，现在觉得完全是滤镜效果。刚才几百人抢着上因为地铁坏了补发的班车，没有一个成年人让老人小孩的，全都挤在一堆，就是一群丛林野兽。咪蛋快被挤成肉饼了，好不容易抢到最后几个座位。这几周，地铁修好前，不打算进城了。怒。。水深火热的巴黎
1697443947# #了解一下周边地区国家的立场：。。🇪🇬埃及。🇯🇴约旦。🇶🇦卡塔尔。🇹🇷土耳其。。以军和哈马斯加沙南部临时停火5小时
1703775843# #巴以冲突3个月内，以色列在美国帮助下对巴勒斯坦造成的伤害列表，每一分钟都在增加。。。不负责任转发
1687584694# #哈？外网炒作了几年了武汉病毒，还有国内那帮汉奸，现在要不要自己打脸吃自己拉的大便？
1693219759# #饿了么？吃点啥？AI绘画
1698323731# #所有香蕉人都只能活在自己意淫的世界里
1696590338# #哈哈哈哈，太好笑了，啥都是普京的错，然而西方媒体全面封杀了俄罗斯的讯息
1698184952# #哇，感觉是艺术品一样，非常高级啊！
1691129495# #塞内加尔政府今天宣布，将派遣军队去尼日尔。到目前为止，西非国家经济共同体（由美国和法国控制）的尼日利亚、塞内加尔和科特迪瓦成员国均表示将协助对尼日尔采取军事行动。。。下面是网友点评：。任何与尼日尔作战的非洲国家都将不得不面临本国人民反抗本国政府的风险。。非洲人非常清楚哪个政府是主权政
1688468274# #发布了头条文章：《名人之家——维多利亚式庄园改建的早餐旅馆》。。魔女屋lyl
1699971071# #刚在我常去的川菜餐馆吃饭，和伙计们说我上次被偷手机，结果小哥说他也被偷过，后来用定位查到就去找黑人小偷要，小偷问他要两百欧，他只有一百欧，给了之后就从垃圾桶里翻出来手机还给他。。。。。。水深火热的巴黎
1698419280# #加沙的卫生部刚刚公布了7028名巴勒斯坦人的名字，其中包括在Gaza遇难的2913名儿童。翻阅这个实在是太痛苦了。前88个名字都来自同一个家族！下一个72人来自一个家庭！而难以形容的痛苦仍在继续。没有言语。。。巴以冲突
1697046579# #别忘了百分之九十西媒掌握在犹太人手里
1699625355# #发布了头条文章：《长得像画一样，专吃海星的虾——油彩蜡膜虾》。。其实里面还介绍了棘冠海星和大法螺。。魔女屋lyl
1693734725# #看点魔幻现实主义！。。不负责任转发
1699285858# #气候组织背后金主挖一挖，说不定又是犹太人。
1701342358# #呼吸道感染高峰下的儿科急诊一夜中国的儿科医生真的是最累的，之前我有个好朋友是瑞金医院儿科的，一天要看七八百个孩子，实在太累了，去了私家医院，一天只看十几个，国家要重视保护儿科医生的待遇啊。
1697041986# #联合国9名人员在以色列空袭中丧生。这就是加沙，太密集了，在这里丢一块砖头都能砸死几个人吧！晕。不负责任转发
1697569764# #全世界人民都记住了，英法美日四国对巴以冲突停火决议投了反对票。。。联合国称以色列可能构成国际犯罪
1696595750# #发布了头条文章：《非洲有一类食虫的小可爱——先来看金毛鼹吧！》。。魔女屋LYL动物百科
1695977445# #啥？嫦娥生了12个月亮？啥？嫦娥曾经是癞蛤蟆？。那些关于嫦娥的你不知道的故事！。。魔女屋LYL神话故事
1691477360# #早起刷推，刷满九宫格！。。不负责任转发
1701014240# #首都2环的军旗这是什么梗？
1692587484# #V+粉丝福利聚惠来了，这次主打一个“回馈”主题，参与活动订阅我“必返大额现金红包+抽现金红包”，用“返现红包券”订阅核销，最高直返现金×××元，订阅年费再开最高奖8888元的现金红包，点击下方卡片订阅↓↓↓
1697802740# #魔女屋LYL超话年轻的迭戈·德·莫拉（DiegodeMora）在他位于巴黎的工作室里结识了亚历山大·塞雷布里亚科夫（AlexandreSerebriakoff，1907-1995，二十世纪最著名的室内画家），当时他已经很老了。。。迭戈很快就开始创作自己的室内画，委托范围包括：从马德里皇宫到圣莫里茨的滑雪俱乐部，从博斯普
1701514599# #这个宣传片很震撼，如果你一开始跟着以色列说“哈马斯是恐怖分子”，其实你一直不懂什么是“民选的政权‘，哈马斯就是加沙地带的正规军，这个视频出来，大家应该知道，哈马斯虽然武器落后，但他们是巴勒斯坦加沙地带的正牌武装军事力量，尽管他们用头巾蒙面，但不是恐怖分子，话说世界上第一组恐怖分子
1700915472# #MariaBrzozowska，从现实到非现实只有一步，就是想象之眼的睁开和闭上。玛丽亚·布佐佐夫斯卡为我们开辟了穿越神话般的梦想世界的新道路，建造不可能的塔楼，在奇妙的动物中飞行，在城市上空跳舞或生活在鲸鱼的背上，在艺术空间中探索新世界。。。魔女屋lyl绘画艺术
1693738954# #刚我一个朋友在质疑这个饿死的女学生到底是不是没钱吃东西，我去翻了一下她的推特。你说她没钱吧，她还要买漫画，健身，还要喝无糖可乐。。我觉得也不像一个厌食症，她明明对食物充满热情，有食欲，但是在线乞讨是真的，煤气费也没钱交？。。不负责任转发
1688303007# #法国的骚乱蔓延至瑞士洛桑，推上一位法国人说：这令我震惊，我在洛桑生活过七年，从未目睹过一次抗议活动。。。不负责任转发
1702835892# #美国要准备打胡赛了吗？。毕竟现在红海上面，以色列损失很大的。。巴以冲突
1700932778# #上次带咪蛋出来被偷手机后，蛋总一直不肯再去巴黎，今天天气还不错，说给她买圣诞礼物才出来了，吃了好久没吃的兰州拉面，这家店真的太咸了，没法吃了，今天加了一大壶白开水。之后去看巴黎春天的圣诞橱窗很可爱的鸟类主题，老佛爷的橱窗今年很可怕一片地狱狂欢景象，咪蛋说吓死了吓死了。之后买了个小
1692858544# #今天，看着推特和微博，心情都不会好。。。不负责任转发
1693034487# #美海洋专家称日方数据不透明不全面。所以我们怎么质疑日本人都没用，必须欧美人出来质疑，才会有人当回事吗？。我周围有些人的论调就是，怎么国外没人抗议啊？外国人咋不关心啊？。那么这些水如果排到地中海会怎样呢？我也很好奇。
1687164954# #意大利有一个“不存在的村庄”——Furore是位于阿马尔菲海岸的一个小村庄。沿着一条风景秀丽的道路，这里有一个俯瞰大海的小聚居地。没有中央广场，也没有密集的房屋群，从海岸线也看不到通向村庄的小路和楼梯，因此Furore对于路过的旅行者来说几乎是隐蔽的，这为Furore赢得了“不存在的村庄”的
1698751128# #梨泰院今年一点都不敢过节，大把ptsd！
1695220870# #怪不得刚才看到红白蓝三色喷气机在空中飞过，把在公园玩的孩子们都吓了一跳
1698751834# #你这光头红脸先死一死？怒
1694440735# #国产仿生机器之二：打破世界记录的“云鸮”！西工大航空学院研开发出代号“云鸮”的仿生扑翼飞行器，该项目已经实现飞行器连续飞行154分钟的成果，成功打破了仿生无人机单次充电续航时间的吉尼斯世界纪录。。。呀，好有趣。。不负责任转发
1693314943# #太惨了，还要这样当街宣传！。。不负责任转发
1687949195# #刚有个人来找我，说要加联系方式可以花钱解，腾讯就是助长歪风邪气，正常途径没法解，要花钱就行？？？？腾讯微信客服来解释下为什么会有这种灰色产业存在？？？？
1699803142# #蛋总今天画的两个猫小姐可帅气了。。。治愈系小咪蛋超话萌娃萌画儿童画
1694761660# #12306回应余票充足仍需排队昨天就有大学生孩子们说要抢票，我还没意识到，这都是抢的十一的票吗？憧憬可怜可怜
1692835592# #我正在参加V+粉丝福利聚惠活动，我给大家发红包了，点击订阅最高领取8.00元现金红包，订阅我领现金↓↓↓
1696419874# #别错过好机会哈哈
1691654695# #唉，她也去世了！！！泪
1688791404# #刷推，看一会儿新闻，还是好困。。。不负责任转发
1691343960# #用AI绘画创作出梦幻般的图像——SadWonderer。。AI绘画魔女屋lyl
1704114582# #一套新艺术风格的日历。。魔女屋lyl
1697296892# #这是约旦，成千上万的民众上街支持巴勒斯坦，我还看到爱尔兰，法国，德国街头都有部分游行，等下搬运。。。巴以冲突不断升级面临失控风险
1703495520# #难能可贵啊，日本街头也有支持巴勒斯坦的民众！。。巴以冲突
1694169441# #走路记得小心小草这个tag很可爱啊，现在人走路的时候都在看手机吧，要小心自己不要撞到树才是哈哈哈哈哈哈哈哈
1694253376# #竟有此事？？？哈哈哈哈。中国要影响美国选举干嘛？让他们两坨屎对攻不是挺好，谁上台不都一样？。哈哈哈哈哈哈哈哈。。不负责任转发
1694168678# #呵呵呵，加拿大有很多华人呢doge
1691484548# #感谢，这种帖子实在！
1698057572# #美国纽约人继续上街声援巴勒斯坦，外国人都震惊了，这个城市不睡觉吗？。已经好几天了！。。巴以冲突不负责任转发
1688404910# #发布了头条文章：《嘟游记——超美的米兰大教堂》。。嘟游记魔女屋lyl就爱旅行
1694266433# #是是是，对对对
1703155778# #发布了头条文章：《拥有八座非遗建筑的美国建筑师：弗兰克劳埃德赖特FrankLloyd》。。魔女屋lyl建筑设计
1695730643# #阿姆说，当一个白人是多么羞耻的，我想杀了我自己。。。。。。。。不负责任转发
