1695609060# #真心希望这个是摆拍吧！（视频源于网络真实性不知）。。日常想法
1690100759# #气质美貌丢了，就连老伴也快丢了
1693486860# #日本不听劝核废水排海。中国反制之后，俄罗斯准备动武！
1700983226# #国家卫健委介绍冬季呼吸道疾病防治情况。。这波流感为什么这么强，危害有多大，为什么小孩比较易感，患病后如何科学就诊，如何做好预防？
1687177020# #什么是985什么是211，这位老师说的太棒了！
1689392192# #老师晒体育课时小学生不跑步的理由，网友：请假理由比大学生专业
1687445640# #小小的动作却爱心满满
1703686252# #被铁链拴着的小狗执着地咬绳，看到全景后才知道为什么！
1698898896# #一个动作，告诉你们谁才是家里的大家长！
1697977860# #中东有一支硬核的团队“胡塞武装”。。巴以冲突
1693313160# #一餐厅后厨煤气泄漏，蓝色火焰顺着下水道蔓延，当事人：腿都吓软了
1698735683# #这导航，还带交接班的呀允悲允悲
1699611551# #吴艳妮说我真抢跑了又怎么了记者问吴艳妮林雨薇没来比赛是不是失去一个强力对手，她表示其实她们两个人旗鼓相当！。。吴艳妮加盟竞燃之夜
1696331032# #这届啦啦队太会啦！太飒了
1695797160# #这…这不是一颗草吗？这剧本厉害了允悲
1695299742# #十个生活小妙招，方便又实用。。我的幽默搭子定格
1700798580# #粉丝二楼大骂裁判不公记者沉默。全红婵多次观望众粉丝。心中明显也不是那么平静的
1698739920# #不管工资再高，都怕家里七个背书包，存了半年的私房钱又没了，看来这个鼓励方式得换，不然太废钱了允悲
1693472460# #男子腿受伤要求快递员送货上门遭怼：我看看你哪条腿断了
1696381260# #两车剐蹭引发大堵车，男子气不过下车一番怒斥。网友：这是“公路判官”啊。
1690606380# #我想尽办法来为难她，结果却让我懵圈了……
1702263636# #以后再也不偷吃草毒了
1693634460# #停车下车之人走车溜，监控下的惊险一幕
1699434774# #牧羊人猎杀狼群，狼王为保全狼群，一代狼王就此陨落
1690550492# #再多夸几句连你都会买了！
1698806701# #这女人喝酒我是真烦啊笑cry笑cry笑cry
1696733328# #教的认真，学的聪明赞
1688033400# #一般人看不懂看懂不一般
1703841694# #监控下的一幕，婚姻不易且行且珍惜！
1699403460# #上个世纪八十年代，一位母亲和他儿子的合影，母亲颜值很高，她曾经是香港工展小姐选美的冠軍，儿子继成了母亲的高颜值，在不久的将来靠着出色的外形和自身的努力，慢慢成长为了一位一线明星，不知道大家能不能认出他是谁？
1701247728# #有一个不扫兴的另一半是种什么体验
1702447477# #我刚好在吃饭笑喷了
1695564960# #看来给孩子多读点书是值得的把我都整不会了。。涨姿势想法
1700881260# #在兵马俑的嘴唇边发现2200年前工匠的指纹，他激动到哽咽：这是全世界最棒的工作！
1689222600# #有些错误一辈子只能犯一次，上天不会给你改正的机会，暑假期间一定要注意孩子的行踪安全。。。镜头里的欢乐瞬间
1700567815# #这就是幸福家庭的仪式感吗一家人重拍17年前的视频，幸福大概就长这样
1702026960# #不行，我要拿我儿子试试，我眼睛已经学会了理发坏笑
1687338789# #姐姐长期被家暴，爸爸和弟弟上门找姐，发现后直接暴揍姐夫
1695104160# #硬核女骑这什么水平？。。我的幽默搭子定格
1695392160# #环环相扣，血压已经摁不住。。我的幽默搭子定格
1697036959# #出发北冰洋这也太炫酷了吧！
1695716526# #本来一直忍着，结果结尾敬礼给爆笑了！
1687995558# #调皮可爱的国外小姐姐
1697957622# #大哥年轻时候好像有点虎，哈哈。成龙梅艳芳
1702025161# #离婚后彩礼和猪肉都全部退回两个人结婚才一周左右选择离婚
1699085352# #夜市蛋炒饭，8个蛋8元
1688810760# #一顿饭能看出一个孩子的修养和教养，您是怎么教的呢？
1687265578# #偶遇性感美女富婆逛太古里购物被街拍团团围住拍摄，美女富婆身材真是绝绝子啊，街拍太疯狂了追着美女拍路人都惊讶了
1695522660# #差点交代在这。。涨姿势想法
1689930539# #幼崽们真实的嫌弃允悲允悲
1691076660# #女一号不敢拍花1000元请替身帮拍
1690341639# #你怎么看
1689562906# #这才是一个民族精神凝聚力与团结力，想成为一个合格的骑手就得不怕困难勇往直前年轻人应该有的永不服输的精神
1687537444# #全网身材最好的模特浅浅开门不小心撞上她的男朋友，结果生气的头也不回就走了！
1700372760# #陈浩民老师演技真好
1689996115# #“'愿我们都是喝完酒能被接回家的人，而不是深夜只会用酒精麻痹自己的傻子”
1694835960# #小伙爱国主义精神深深的感动了，爱国人士赞勿忘国耻永记历史。
1692693960# #过去了很牛逼，过不去全村吃席
1700299815# #世上任何事情皆可努力，唯独相爱全凭运气
1687525009# #教你挑黄瓜你学会了吗？
1694429160# #练拳击的小胖真的很勇敢
1698283020# #奶奶严厉训斥孙子上课要认真听讲，该教育时绝对不溺爱！网友：东北人小时候都是这么过来的
1692614760# #狗子从鸭妈妈一家面前小心翼翼走过，全程扭头，生怕误会被一顿薅，狗子：经验都是从实战中总结出来的。
1689438315# #街头上演“路怒”打斗，情侣被打的无还手之力，女的被打掉一颗牙齿...
1694013480# #这个菜我真是第一次见到啊！
1695026820# #古法炼金，让我们一起探索点石成金的奥秘。。。我的幽默搭子定格
1696989660# #爸爸要结婚了，闺女给置办的三金，哈哈哈
1698384660# #乌镇戏剧节偶遇，杨子黄圣依刘芸马伊琍孟美岐
1697098625# #只能说，这姑娘打小就嘴硬~
1693035960# #豹子的追杀瞬间
1703242860# #1950年，抗美援朝长津湖战役中，令人难以忘怀的一幕：寒风凛冽，大地冻结，一队队志愿军战士坚守在阵地上，保持着持枪瞄准的动作，枪口对准美军经过的方向。他们的身体和积雪融为了一体，成为了一尊尊跃然而起的“冰雕像”。
1700889059# #全网第一只养主人的狗doge
1700909220# #你心中最美的八字短句是什么？
1698545640# #老爸今年是73买个鲤鱼窜一窜，一窜窜到130。想给老爸磕个头，老爸啥都不愿意
1698544054# #又鸟爱上苟苟营
1693403441# #公交车里竟有一个大洞，网友：放在整个公交车界也是相当炸裂。
1702723380# #盘点令人窒息的暴怒场面，本来以为只是切磋，没想到拳拳到肉！
1696574460# #教你如何分别真假牛栏山！
1695739620# #这是为嘛呀，我不知道啊
1696924920# #多年老师傅，主打就是一个直😂
1694334660# #中国足球郑智和球迷发生冲突，踢不过别人，还不让球迷说话。。。。我的幽默搭子生活
1701229575# #这几个人一定要记住勿忘国耻！
1694484960# #未来儿媳妇们，我是你婆婆，咱以后主打的就是婆媳和谐，不内耗，开心过好每一天😎
1693700460# #弟弟一看就是个狠人嘻嘻
1696569540# #小人，帮你搞掂了。下一站，顺风顺水
1692596760# #理发师真的耐心太好
1701397091# #君君你就哭出来吧，反正云霄会轻声安慰，还用手给你擦眼泪…陈丽君李云霄
1688649118# #盘点那些公交司机的感人瞬间！
1692717360# #安全第一注意安全
1695985560# #外甥女连拖带拽，让舅舅付款买榴莲，这一幕太温馨了！
1695375960# #历史老照片民国时期的飞行员基本上是非富即贵，为了家国情怀搏命长空。
1695345360# #这员工应该重用赞赞赞。。我的幽默搭子定格
1695366060# #道长功德无量张至顺道长。。。我的幽默搭子定格
1690995890# #落落大方，好好生活，远离让你不开心的人和事。慢慢你会发现：干净的语言，变小的圈子，自律的生活，独处的时光，积极的工作，最让人舒心。
1703469660# #婆媳之间儿子的传话有多重要
1702103460# #盘点婚后才懂的那些事，男人真是神奇的物种，毛巾破洞枕头掉色！
1690428571# #这口才有点离谱了嘻嘻
1694163660# #不是不报，时候未到，海水倒流了，，所有国人拍手叫好，小日子的报应来了👏👏
1688905484# #你是世界上最干净的钱作揖goodgoodgood
1691160900# #很多国人批评她身上纹身、比赛化妆，《环球时报》评价她是划时代的标志性人物，改变了中国的审美标准，你怎么看？
1693666860# #11岁女孩身高175，比周围同学高出半个身子。。网友:这是传说中走在路上要联系方式，然后亮出了电话手表偷笑
1700731860# #活了二百年才知道还有这么多生活小技巧
1690255860# #远嫁非洲最惨女孩陈怡，值得所有女孩引以为戒！！。。。。镜头里的欢乐瞬间
1700188858# #完了兄弟们，醒不过来了！
1694565660# #杨千嬅开演唱会，任贤齐探好友
1698639521# #佛钟的制造过程，原来佛钟是这样生产的，见者福泽安康。。。微博喜剧现场快乐
1689257652# #受委屈的娃也会出口成章！！！
1695076561# #他真的好有礼貌，但一点不妨碍他继续毛躁。。我的幽默搭子定格
1693917960# #你大爷永远是你大爷
1701342575# #流感防治七问七答你真的了解流感吗？流感治疗预防知识7问7答
1694442660# #“两弹一星”指的是什么？
1689861509# #真会审时度势，硬的不行来软的。这么点的小孩这么厉害赞
1695394020# #陈佩斯偷吃断头饭，没想到刽子手当成罪犯，差点被斩了。。我的幽默搭子定格
1702774860# #剑圣于承惠1984年实战记录，双手剑连挑两名武术高手。
1693018802# #全是熟悉的国粹味道允悲
1686996600# #挺经典的段子
1692666060# #这个采访者提的问题真的无语了…
1691041680# #男的进厂要保护好自己
1698031680# #校运会男子跨栏冠军竟然全程穿着裙子跑…
1696240260# #顾客酒店吃饭自带酒水，被收50元开瓶费，酒店：1瓶收50元封顶200元。
1699440576# #11月7日，湖南长沙。罗翔现身大学，面对热情学生一路鞠躬回应。
1693637160# #老师台下领舞跳得满头大汗负责的老师
1689150787# #我奶又要做饭了，“拆盲盒”式做饭你们见过吗，不看到最后你永远不知道她做的啥饭……🤦‍♀️🤦‍♀️心里默念没看见没看见，闭着眼睛造吧……可爱
1692457723# #8个闺女都好漂亮🙏赞
1693582260# #你会支持吗？你会这样做吗？
1692763320# #外卖员带运动相机遭女子质疑其偷拍，“你给我等着，马上开庭！”
1689423463# #弄坏了就要赔，这是原则！
1702374911# #心眼坏的人身上这4个特征特别明显
1688002080# #中文好难吾辈之光
1703216988# #董宇辉谈读书的意义：读书不是为了把你变成书呆子，而是能够做出，自己认为更合理的决策。
1703825323# #当事人发视频称，高端月子中心的工作人员这样对待新生儿，摇晃头部，提拉手腕，强光照射眼睛，大家怎么看？
1694700960# #郑智曾建议球迷：中超要当笑话看！
1701558420# #除了帅还会个球，这个你说谁能模仿doge
1694610060# #据说每个家庭都有一个爱干饭的！
1702978560# #群众有困难的时候，他们就会出现！西部战区战士在地震灾区搭建流动厨房，为受灾群众提供热食。
1689594625# #女子在监控里发现男友踢自己的狗后还对镜自赏，回来后第一时间分手让其离开再来纠缠就报警，女子：很生气又后怕人前人后两面派。
1694930460# #艾跃进霸气演讲定3海里干啥，定12海里！中国硬不硬！。.
1694929560# #大美新疆的地狱之火🔥。。我的幽默搭子定格
1688354100# #这一屋的陪护是怎么做到统一的
1703824241# #大狗咬小狗，大狗主人阻拦小狗主人去救狗
1696760447# #网友：“男才女貌，天作之合！”这才是我们应该追的星！点赞送祝福！
1693654260# #这只是采访者的万万万分之一！！公道自在人心！！黑的永远变不成白！！
1694642460# #懂得感恩的孩子不会太差。
1689060244# #哪里口音求大佬翻译
1699394760# #世界网友口舌之争之塌了
1703728860# #愿得一人，风雨人生...
1690992060# #游客一大早去看升旗仪式，看到护旗手激动握手，网友：摘下手套那一刻好有礼貌。
1702037760# #有一种饭菜端上桌但没做熟的无力感
1687666863# #叫你得瑟，本来清澈的河水非得去破坏！
1698141900# #这才是真正生活小妙招
1695381540# #真人手办？这手感太惊人了！。。我的幽默搭子定格
1694179860# #这样的同学聚会，不参加也罢！网友：有这样的老婆换谁多会离婚，支持老公👍
1694069161# #哈哈真可爱这宝宝嘻嘻
1694339160# #女人的观点和做法正确！赞支持（剧情演绎，无不良引导）。。我的幽默搭子生活
1690994580# #成都大运会外国运动员
1691296920# #虽然这想法不对，但貌似蕴含很深刻的道理。
1694861160# #1907年拍摄。郭沫若拆了的北京古城墙。。我的幽默搭子定格
1691497898# #他没有错，错的是这个时代
1700025840# #张译来西安了，作为东道主必须尽尽地主之谊……
1693026960# #香港明星在他们本地跟我们普通人一样，我们大陆明星一出来几个十个保镖允悲允悲允悲
1689337320# #不懂潮汐规律对潮水凶险特征无知的游客，千万不要到江滩上游玩，突然的涨潮太可怕了，发现时潮水已到眼前，大潮来了逃都来不及
1702299830# #周海媚19-57岁荧幕颜值变化，哪个角色最深刻。。周海媚工作人员拒绝回应网传消息
1691684442# #小伙黄山旅游下山，无视告示牌建议坐索道下山
1694160074# #大一体育新生开学各显神通，宿舍走廊内以武会友，网友：男儿该有的阳刚之气！
1694928660# #开脑洞！蜡烛秒变小火炉。。我的幽默搭子定格
1693144860# #为什么全世界都无法阻止日本排放核污水
1697893913# #以色列女兵执行作战任务还不忘抽空拍个视频！。。巴以冲突
1694771160# #男生好像什么也没说，但你也不能说他说错了吧？
1695629223# #伊朗队赢了日本队后全场欢呼！抗日我们是认真的。。涨姿势想法
1691717493# #拿个蚊帐拿成这样，说是不小心拆烂的了，这还怎么点？我想打人了😭
1689067020# #看热闹不嫌事大笑cry笑cry
1689909215# #晚上女孩在海边拍照上一秒：好美好有氛围下一秒：药效发作网友：气质瞬间一点不剩
1699500576# #美国人民已经觉醒了暴风雨的前奏啊！让黎明来的更猛烈一些吧！
1693458900# #孤勇者！哈哈哈哈哈哈哈哈
1699544273# #国内最最奇葩的小区，也不知道设计师到底是咋想的，这样的房子你敢住吗，这也太吓人了吧
1701666960# #老人躺在椅子上晒太阳，老伴叫了半天没人答应，走近查看才知道老人已经离开...
1694010186# #梦泪婚礼炸出AG新成员吃瓜侠这是给梦泪送的新婚贺礼嘛，这车真是金光闪闪，礼重情更重，梦泪你要多照顾这位新加入的成员啊哈哈
1695265260# #太爷爷走了11天了，重孙每天坐这等太爷爷回家😭😭😭…
1696675565# #摸狗被咬完整版2分22秒。江苏盐城，滨海县立新支路，女子带小孩狂逛街，看狗狗可爱去摸，结果脸部被咬伤流血。。在外面还是远离陌生的大型犬。。。
1689906983# #这小孩为什么会要求妈妈换个姓王的爸爸？
1694870161# #关于国足我们还是听原声吧！
1698764855# #网友直呼：我大中华传统中式婚礼奢侈起来根本没国外的奢侈品什么事儿，你怎么看？
1693368960# #人类生病了可以看医生，海洋中的芸芸众生生病了又该找谁呢
1691552940# #这劳资见过最讽刺的视频！必须赞赞
1689435900# #顶级进藏线丙察察，通往甲应村的这一段云端天路，会满足你对自驾旅行的一切想法，不建议新手司机前往！
1699923660# #猝不及防倒霉瞬间哈哈哈
1691422500# #但凡失误一次都中嘻嘻
1701061800# #懂事的狗狗和有爱心的老板~
1689832884# #照大牛啥时候来的？差点给自己整下岗了~
1697947555# #五星级大厨都不会告诉你的切菜小技巧
1701168420# #如果相亲很扎心，以后就别再相亲！（我好像说了句废话）。
1692671460# #75岁弟弟生病不肯打针，83岁的哥哥拿着棍子教训75岁弟弟，这么大年纪了还能被83岁的哥哥教训真幸福，半生父母恩，一生兄弟情
1693374360# #爱自己的一百种方式
1700022300# #盘点抓拍到猝不及防的倒霉瞬间
1698025195# #果然布达拉宫的墙是甜的色色
1696826760# #想吃，饿得很啊。这就是婆婆带娃
1693134060# #我Co幽默风趣落落大方爱死你了
1693549860# #家人们帮忙赐个名吧
1702802081# #00后情侣穿军大衣加双buff当代年轻人平替尺度有多大。。当00后都穿着军大衣来上课doge
1703737860# #1921年孙中山就任非常大总统，妻子宋庆龄跟在身旁，现场人山人海
1687150920# #脚踩日本人没有最狠只有更狠
1687512518# #我费尽心思的想这一出，就是想为难她，结果话还没说完就结束挑战了…
1688484720# #姐姐怎么也没想到，当初非要让我给她生的弟弟，如今成了甩都甩不掉的小尾巴，好不容易放假想和同学出去看个电影都要跟着，有这么个狗皮膏药，姐姐以后能找到男朋友嘛😂
1699610339# #女生晒出自己怀孕到现在的变化，在爱人的呵护下越来越漂亮&nbsp;
1697375820# #这就是传说中的神射手吗？
1695634260# #活了30年才知道卫裤上的绳子是这样系。。涨姿势想法
1694688360# #中国足球国足输叙利亚。.
1702909592# #网友在美国中餐厅拍到的一幕，服务员追出来找顾客要小费你们吃完饭不给小费的么？
1695611760# #无论多大年纪，还是跟娘家人亲。。涨姿势想法
1693268160# #核电站的工作原理
1700023140# #鄙人今年22在校男大学生，穿行政夹克去学校。。。。微博喜剧现场平凡
1696552860# #坐飞机你得抢座允悲
1696159201# #高铁上的一幕，这位大叔躲在厕所里抽烟被抓到了，罚款2000拘留半个月，然后他老伴不干了！
1694326560# #勿忘国耻，铭记历史。
1691496070# #你是多么销魂，多么上头啊笑cry
1692792060# #85斤女友晒和320斤男友幸福日常。“父母不同意但我们还是在一起了”
1695702943# #爱国一家三代行，满门忠烈！！！。1990年北京亚运会举全国之力筹款只有25亿筹备资金，远远不够，霍英东老爷子一下就捐了一个亿。唯一一个享受国葬的爱国商人霍英东，毕生将爱国一次次付出实际行动，为祖国建设付出杰出贡献。
1693555260# #监控记录下警察逮捕犯罪嫌疑人，网友:飞踹、抱摔，帅呆了！
1689484322# #女生分享自己高中时的视频，最好的年纪，最美的青春，扑面而来满满都是青涩。“这又会是谁心里的白月光？”
1696746660# #测评这招真的能快速做出蒜泥？
1701000924# #盘点尴尬至极的*社死瞬间
1692800160# #穷人的生活你根本无法想象
1699329601# #小区进行消防演练，消防教白发老人灭火“你对准啊”，老人：“对准就没了没了。
1687758240# #哈哈哈哈哈热的眼里直流汗允悲嘻嘻
1699487341# #历史上哪个朝代时间最长？。。。微博喜剧现场平凡
1695207660# #杨幂一身黑好酷这身材什么水平啊？。。.
1697043268# #巴勒斯坦🇵🇸加沙地带正在遭受以色列的猛烈空袭。。直击巴以冲突升级
1696566764# #一个小饭馆两位老人，一份花生毛豆、一份炒面、一杯酒，他们拿起老年机联系还没到场的朋友，等到了这个年纪会有老友陪你喝酒吗？
1687852006# #网友在新疆旅游时拍下惊险一幕：一匹马帮的马儿跌下悬崖掉入天堂湖刺骨的冰川水中。由于条件所限人员无法施救，只能靠马儿自己坚强游上岸来。据悉，所驮货物是一支户外徒步队的必需物资。
1693442460# #军训期间因不允许点外卖，学生与工作人员发生争执，对此您怎么看？。
1694483160# #挑战用甲骨文还原3000年前的战争场面！商周两军对垒，一场推动华夏历史发展的战役，就此开启
1691323920# #孩子：。爸爸40多岁了，能力有限，今生你是我的孩子，委屈你了。爸爸管你，你嫌我顿，但爸爸却十几年如一日爱着你，宠着你，并不是爸爸欠你的，而是深深爱着你。。爸爸为什么逼你读书？是想你将来买东西的时候可以不看价格；在累的时候可以随意打车回家；想旅游的时候可以想去哪里就去哪里；更是为了你选
1701238860# #打断手脚摘除器官人贩子为了钱真的什么都能干出来真该死啊
1693104360# #如果是你，遇到这种情况该怎么办？
1693040460# #金星怒怼大学教授：中国的发展你说了不算，不要在那里阴阳怪气！
1690384140# #刀郎&amp;田震倾情合唱新作《罗刹海市》
1695014400# #反派男团！很帅，但更狠毒！。。我的幽默搭子定格
1695343260# #笑一笑十年少。早上好。。我的幽默搭子定格
1700015160# #马拉松超强补给网友：大哥是最了解男人的
1693620960# #近日，在英中国留学生在街头科普，日本核污染水排海的危害。
1688704740# #这位大哥座驾好新奇。
1691331840# #昨天TFBOYS演唱会，昨天粉丝就烈日下排队了！前晚上就来了，已经一个通宵了！真的太卷了！
1695995366# #不错啊！
1700368260# #老人舍不得吃舍不得穿遗留下来的这些钱
1688966778# #少数民族回族婚礼现场有人懂么？。。镜头里的欢乐瞬间
1694359860# #萌娃刚开学就要回家，眼神坚定话语坚决“不吃！不喝！回牧区！”
1703477926# #一时的失意不算什么，坚持在路上最重要
1687277132# #炎亚纶承认与未成年发生关系网友爆料炎亚纶曾对17岁男孩下手，事后求和解被对方拒绝！
1695460560# #都以为在拍戏，结果他玩真的
1688989020# #网友机场偶遇张柏芝过安检，44岁了还是这么美，状态真好
1694412060# #金甲战马今还在犹见当年穆桂英
1693710960# #9月1日，日本方面的媒体爆出大料。日本媒体爆料称，带领一众官员食福岛海鲜的日本首相岸田，突然传出急病被紧急送往医院，在医院大约逗留了1个多小时后，在天亮时连夜返回官邸！。真希望他有事儿！
1699846620# #妹妹：醒酒我是有经验的嘻嘻
1690039724# #发小的情谊还需要验吗？
1687518120# #大家注意，防止此类事件再次发生
1702863060# #人生的第一桶金就什么快乐的到手了笑cry
1699602360# #纯真的爱情你遇到过吗
1694177220# #富贵一点没享，辐射却一点没拉下
1698998558# #网友：喂110吗！这里有人被天鹅拧了~~~笑cry笑cry
1700199960# #这男孩太厉害了
1695483720# #鹅污交战。。涨姿势想法
1694919660# #你最喜欢那场比赛？。.
1701495600# #还是西安会玩，西安城墙女将军最近又火了，各大媒体都在报道，几乎天天都能刷到
1699230866# #医生都被气笑了！男子凌晨三点心梗，父亲接通知以为是电诈，幸好……
1697798568# #坐船6分钟就可以去俄罗斯吃一顿俄式早餐
1703233892# #小姐姐性格很活泼，是个好女孩
1703408460# #12月24日是长津湖战役的胜利日！正有你们才有祖国的平安之夜！
1694694660# #上海幼儿园幼童疑遭虐待
1688719601# #疼你可以，但是我老婆是我底线
1689162936# #00后女孩打工时工作没做到位，被老板责骂。
1698892780# #凤凰衣。现在又有几个懂呢？
1689398242# #忘拉手刹的男司机监控下的一幕
1695964497# #这是许家印人生最高光的时刻，可惜最终还是没能过上2023年的中秋节！
1688462760# #学生被“孙悟空”硬拉拍照。拍完就要钱不给不让走。城管：报警！要为自己站出来
1694991660# #上辈子是绣女?。。我的幽默搭子定格
1703830057# #本来字已甲天下，为何露腿惹自渣
1700110980# #三十年前割麦场景你还想回去吗
1696816860# #猫咪咬住小鸟后，主人说要帮忙拿，结果下一秒鸟就飞走了......
1693390560# #当被那英狂打三巴掌后，杨紫才明白，娱乐圈有多现实。这一幕发生在某档综艺里，第一期大家见面后，那英得知杨紫就是家有儿女里的夏雪，一激动直接狠狠的连拍他三巴掌，力气大到杨紫连人带椅子差点摔倒。在后期录制中，一开始杨紫拿到了卧底剧本，他用精湛的演技将所有人骗得团团转，本来只是场游戏，输
1693441260# #小车电车出现在同一地方，一般会发生什么事？
1699413052# #希望这个冬天可以锻炼瘦下来
1689477641# #你救人的样子太帅了！
1695190560# #酒楼偶遇卢海鹏陈百祥，不得不说陈百祥真的像40岁的人啊！。。.
1689472140# #7月15日，重庆。地铁上，男孩的母亲怀疑女孩偷拍自己儿子，争执中将对方头打破了，男孩则夹在其中一直劝架。
1702558980# #当女生把鞋子放到雪上对比。。是谁说的穿白色显白的，现在给我站出来！
1689917619# #外国男子与外卖小哥发生冲突，男子想要离开，被外卖小哥锁住并报警处理
1689585194# #乘客站在前面招手网约车司机没发现，乘客上车后第一句话是“你瞎吗”惹怒网约车司机
1699952700# #盘点那些失误倒霉蛋…
1694084460# #女孩上学第二天突然想回家，收拾东西说走就走
1698213167# #弟弟买房子娘家妈妈让姐姐出钱，称：“你是她姐，应该出的”！女子回应：弟弟结婚我买房出钱是情分，不出钱是本分！你还是我妈呢，我结婚你陪嫁一分了没有？姐姐的彩礼钱也拿回去给弟弟买车子了……对此你们怎么看？
1696781343# #一女儿和母亲真实对话录音曝光，结果太扎心了……你品，你细品～网友：这妈不太熟呀😂
1696821364# #北京颐和园保洁员都这么说话吗？让专家们都震惊了！网友：真·扫地僧！事了拂衣去，深藏身与名！虽然我好像还是没听懂，但不妨碍我送上膝盖！。。微博喜剧现场快乐
1699057860# #哈哈哈哈真人工智能dogedogedoge
1695046305# #这些小技巧很多人不知道…
1690642920# #最好的旅游攻略就是：不带老公，多带点钱！出门惹我最上火就是老公，同款扫兴老公的有木有？
1700476920# #这究竟是什么牌子的小可爱
1687144620# #再也找不到挨打也不敢还手的那个人了泪
1695216660# #嫂子训完小叔子又训公公婆婆，真是连环训。。我的幽默搭子定格
1697191354# #以色列一公司要求中国男性工人，不得与以色列女性发生关系或结婚，以此作为获得工作的条件
1699500840# #这首歌只能唐僧迟重瑞唱才对味
1692773160# #公路上有东西挡路，热心猪猪上前挪开了阻拦物，“猪猪我呀为你们的安全操碎了心”
1692579660# #让你模仿，没让你超越啊允悲允悲。。趣过夏天生活
1691033700# #杭州“人模人样”熊火到外网！新西兰新闻主持人在演播室笑到破防…。。趣过夏天生活
1700036400# #有时候，文化入侵更为严重...
1702036860# #你的家乡建房子上梁时也会撒欢团吗？
1702094460# #1979年于承惠在西雅图全国武术大赛上展示双手剑，场面非常震撼
1694738460# #带你见识一下什么叫狂风骤雨，路人预感危险停车观察，男子善意提醒进屋躲避，下一秒…。。。我的幽默搭子定格
1689863232# #这是什么神仙操作啊？好有气势啊
1702177609# #“我”生活感悟
1699056060# #金晨这一笑也太美了
1689055602# #偶遇大连城市名片城市。。人民广场女子骑警队🎠🎠🎠
1703940482# #今天大唐女将军率领的西安城墙娘子军再一次亮剑，你说帅不帅？
1701590289# #三星级无障碍环境长啥样有一次看到一个孕妇在厕所里东西掉出来了，因为空间太小捡不起来，马上上去帮了她一把。其实这些残疾人、老年人等等弱势群体遭遇困难，相信每个人看到都很揪心。。。无障碍设施不仅是基础设施，更是社会文明的体现。它关乎每个人的生活质量和尊严。希望我们的城市可以真正做到
1692601260# #即将失传的我国非物质文化遗产。。。。。要保护好啊嘻嘻
1696221060# #暖心但生活经验不太足的新郎
1700566560# #⚠️不要靠近野生动物！
1691593260# #伟大的妈妈，第一反应就是保护孩子
1691312975# #网友：他就是错过公交车都不舍得打车的男人，看望叔叔却执意拿出一千块钱给他……真男人！
1689473418# #一女子三更半夜跟司说要找鸭店，司机一脸懵逼！
1691633289# #月球空心说很有可能是真的趣过夏天生活
1691230500# #软乎乎的好可爱，好想摸摸他允悲允悲允悲
1699798597# #老家才是疲惫生活的解药，每当开上我的小车车，就会忘掉所有烦恼！
1700802120# #海底捞居然真的有科目三舞蹈！
1694412960# #马杜罗：我就在用华为手机美国人窃听不了
1692851460# #温柔的小姐姐，温柔的细狗狗！。
1697271545# #2023年10月13日，巴以。冲突又开始了允悲允悲允悲.......
1702793339# #虽然年近50，但依旧宝刀未老，意气风发！在线教导年轻小助理！
1695214860# #想跑不可能的允悲。。.
1690609620# #检验车质量的时候到了嘻嘻嘻嘻嘻嘻。。热带低压杜苏芮停止编号
1701165720# #林青霞，永远的东方教主，70岁了，还是这么优雅大方。
1686978262# #这应该不是摆拍吗？
1696556760# #女子放假回家和家人团聚，刚进门就换上旧衣服包上蓝头巾，跟着家人到地里掰玉米
1688043796# #霍金表示，如果人类想要活下去，就必须移居其他星球
1692792960# #女子街头突然晕倒警车恰好路过急忙下来查看女子几秒后醒来
1689729011# #当着男朋友的面亲人家的女朋友也是没谁了😂
1699867920# #你这也一说瞬间觉得全职妈妈好有见识啊赞赞赞嘻嘻嘻嘻嘻嘻
1701919506# #新船下水这次下水就是一辈子了
1704023744# #乱世女人一碗面，盛世女人百万金。
1694313960# #再过三十年，还有人记得这些吗？
1687351472# #我滴个乖乖丫头，又开始改裤子了，好家伙，成品你们想都不敢想，大牌设计师也不敢这样设计吧，裤子也能改成旗袍，关键她还做得这么好看，关键还那么合身，我滴个老天爷，你真是牛人嘻嘻嘻嘻嘻嘻
1694700060# #部分国货真的伤人心，定价太离谱，没有关税，运输成本低，工人工资也不高
1695085260# #狗妈妈在城市找不到草地，只能在花坛埋葬孩子🙏心。。.
1696317747# #有知道这排队是干嘛吗？
1699963500# #高手在民间啊！这些手艺人太牛了！作揖goodgood一个比一个厉害！！
1698579721# #监控下电动车的倒霉瞬间简直太离谱了！
1691552017# #三个黑人小伙坐车不给车费还拍照讽刺，司机立马抓住一人行李，僵持之下，最终黑人付了车费。
1693068300# #可怜的海洋生物，它们将何去何从
1689558079# #我好奇的是这种互动结束她出来是否完整
1688460955# #不管是一婚还是二婚，主要是遇到对的人，祝有情人终成眷属！
1690465130# #父亲带着患重病的儿子身无分文，在地铁上向乘客要一口粮食，网友：不是生活所迫，谁甘愿如此
1691768520# #男子买饮料回家，突然他往水边跑去，下一秒他竟然从水里拉出一孩子，网友：找到他，我要送他一个月的饮料喝。
1689730344# #费翔他用一生证明了，非叶倩文不娶
1693287960# #日本核污染水已入海，海水呈现两种颜色明显分界
1692750660# #小姐姐，希望你以后所遇皆美好,所行皆坦途……
1692930660# #爱恨就在一瞬间笑cry笑cry笑cry
1697938273# #人类幼崽的新朋友
