1701961393# #有很多疑团等待揭开
1701744660# #【城管酒后执法疑用私人二维码罚款称:喝啤酒不算喝酒】据大风新闻报道：近日，网传江西高安一身着城管制服者酒后执法，私人二维码收取100元罚款，称“喝瓶啤酒算喝酒吗？”12月4日晚，记者联系到太阳镇政府，工作人员表示，高度重视，正在核实调查。官方回应城管酒后用私人二维码罚款
1699974482# #河南武陟一中学发生踩踏事件焦作武陟县一中学发生踩踏事故，涉及校园安全，事发一天，当地官方悄无声息。武陟融媒、武陟发布、武陟县教育局等信息发布平台，暂未发现情况通报。。当地主管部门武陟县教体局正在忙着迎接上级检查验收组。焦作超话热点舆情
1692022003# #看警情通报，王某2不是故意撞击，被拘留的原因是什么呢？。王某1起初没有报警，王某2当天支付医药费后，又分2次支付5000元。5日，王某1报警，向派出所后提出自行协商，8日，协商未果。。派出所出具了不予调查处理通知书，当事民警因工作失职被禁闭并将追责……。这个通报写的很多，看的却不明白！
1700468425# #周口联通抖音评论区。成为吐槽专区。
1696844741# #转发微博
1696906731# #南阳迷笛这是解决问题的正确方式！从一开始就应该如此操作，舆情不至于过度发酵升温。
1700835204# #转发微博
1698747053# #警方不予公开中学男生被逼吃粪案件这个作家嘴里吃翔了吧，出口成脏。。居然在网上煽动情绪，呼吁网民采取非法手段人肉，“人肉他祖宗十八代”。
1702885534# #追问下允悲允悲
1702458874# #设施养护不到位，存在安全隐患，居然被美誉成为“草坚强”。利辛发布宣传在上海培训果然有成效啊，出类拔萃。
1697693717# #上海走失女童案排除刑事案件蜡烛
1701060953# #怎么看？
1693391497# #鲁山县通报花700多万建牛郎织女雕塑一起舆情处置不当，引发连锁反应。。网友清醒！：。“七百多万，一个县城管局长当不了家……”
1699067517# #国内网络大V，第一墙头草是谁？
1698887098# #允许的叫“捡拾”，不听劝阻的捡拾，不就是抢吗？官方不要和稀泥！
1698893813# #文章的第一作者：张行秋，湖南桂阳县教育局党委书记、局长。张局长是个大笔杆子。@湖南省政府门户网站
1696920425# #转发微博
1693242879# #→→
1692510364# #我在佛山机场乘机，我啥都不说。可爱可爱
1695183422# #男子带抑郁症妻子送外卖疑似摆拍摆拍
1701763230# #又是一起摆拍，癫痫症还是哮喘症？假的令人尴尬。
1703513937# #00后少年让流浪老人命运的齿轮开始转动【内容不实的宣传，引发负面效应。撒谎绝不是正能量！】。媒体不要跟风，且行且珍惜！原作者的28条抖音作品已经清空。。一、网传老人约70岁，实际本人只有56岁；。二、网传其患有癌症，实际本人并无癌症；。三、网传被亲属遗弃，实际其本人与哥哥共同居住生活，并享
1703296486# #清朗行动上游新闻微博账号，千万粉丝，评论区里经常见这几个微博账号在评论区刷屏。。最“敬业”的网友，没有之一。维系着千万粉丝的媒体微博账号评论区活跃度。评论区里看热点舆情
1700809077# #福建医科大学让子弹飞一会儿，等调查结果
1701871031# #标题确实抢了风头
1694387624# #警方通报重庆女子持刀袭警被击伤死亡应该加大宣传，公安民警有依法使用武器警械的权利，要敬畏法律，尊法遵法！
1694960129# #宿州萧县被自然资源部通报
1701758708# #今年鼠患不断，舆情多多
1698019649# #“外媒”？安徽青年报衰衰衰这个说法不妥吧，不严谨。
1699527142# #体育馆遇难者家属称遭人施压签协议严查坍塌建筑前前后后的猫腻！
1703688348# #热点舆情今天接通知必须全员注册，教育部网站本来邀请这个专家讲座，被80后举报下架！。教育部没想到会因为一次讲座招惹来这么多的吐槽！
1696925490# #转发微博
1692523688# #转发微博
1704096094# #@淮南日报社
1698156465# #该新闻事件发生在2020年7月3日18时46分。旧闻新炒，不注明出处和事发时间！
1702698511# #东方甄选孙东旭被免职这个公司的新闻真的很重要吗？？？连续上热搜
1703716529# #美国霸气小护照，德国良心下水道，日本夏令营呱呱叫…..
1702562375# #现场打脸
1699975374# #河南武陟官方通报中学发生踩踏事件
1699016979# #蜡烛蜡烛蜡烛
1698156096# #转发微博
1700753079# #四川两县回应禁止私熏腊肉原因乱作为的成本太低，道歉了事。以环保为名，拍脑袋做决定，个别人获利。
1696989369# #热点舆情最“头铁”的是老鼠了，经过高温蒸煮油炸，头颅和胡须还在，细思极恐的是，鼠身不知去向。。有了上次“鼠头鸭脖”舆情的教训，这次舆情处置，涉事高校不会再犯低级错误。。面对负面舆论来袭，最好的办法是主动认错，敢于自嘲，勇敢自我批评，果断切割。。认错不丢人！。综
1702773658# #罗永浩炮轰东方甄选在东方甄选这次热搜话题之前，我从没看过他们的直播。。为什么话题持续不断？。谁给了话题源源不断的媒体资源？
1695932114# #转发微博
1698920222# #西游记中的冒充领导类诈骗哈马斯公开表示感谢乌克兰泽连斯基援助的武器……。严重怀疑哈马斯进修了“孙子兵法”
1693870116# #锦州一干部要求每一块砖缝无尘土沙粒【不接地气的干部，指导基层工作就是在折腾基层】这个不止是形式主义闲得蛋疼，这是彻底丧失了生活的感性。。。央视文旅：【曝辽宁锦州一女干部要求每块砖缝无尘土沙粒】近日，辽宁锦州，一段女干部在布置卫生工作时的视频引发争议。视频中女干部要求下属打扫时，
1700477209# #“肥大”，祝贺
1695108313# #【车辆在陕西乾陵景区台阶上越野司机已到案配合调查，未对景区文物和设施造成破坏】警方回应车辆在乾陵景区台阶上越野近日，有网友反映称，一辆越野车从陕西咸阳乾陵景区内的台阶往下方行驶，不知车辆是如何开进景区的，担心造成破坏。9月19日，极目新闻（报料邮箱：jimu1701
1700125832# #山西永聚煤业火灾省政府成立调查组吕梁今年的舆情比较多
1701759171# #沪指再失守3000点资本赚钱散户亏
1701218471# #老胡，善于长篇大论，左右骑墙。老胡，付国豪是不是你心里的痛？
1704112148# #笑哈哈
1702296319# #还有脸说安检？
1703645893# #➕1
1694911778# #爆料属实，纪委要启动问责追责；。内容造谣，爆料人要承担法律责任！
1692542849# #转发微博
1703401944# #转发微博
1696169082# #老胡懂得如何蹭网络热点，赚到流量就是赚钱。
1699647924# #
1695712182# #未成年人犯法受到了“保护”，让渣人更加有恃无恐
1692610838# #建议明天把微信步数关一下【宿州网友吐槽】原本整洁干净的汴阳一路，美丽安静的小黄河景区绿化带，都成了这些商贩的垃圾场和露天厕所……
1698840327# #转发微博
1697773331# #再去误人子弟？
1698288459# #神十七发射现场【历史时刻！直播神十七发射威武】神舟十七号载人飞船瞄准今日11时14分发射，乘组由汤洪波、唐胜杰、江新林3名航天员组成。多路记者带你近距离看神舟十七号发射！中国载人航天20载，要强20载所向皆星河！为中国航天加油！
1695043846# #转发微博
1702221915# #转发微博
1702906193# #证据呢？
1702349695# #“利辛公交车停运，公交公司发紧急告知函，群众出行受影响，谁来解决这个问题？”这位粉丝要求提出质疑的人给利辛公交捐款……逻辑不通啊！
1699197910# #清朗行动11月5日，微博号评论区由以下三位网友值班。。敷衍的认真！每条都评。。认真的敷衍！糊弄而已。。迷惑行为大赏
1697806348# #陕西绥德警方公开征集一女网红违法线索“随意辱骂他人、吃霸王餐、乘坐交通工具不给钱、强行打广告以及其他违法犯罪行为的线索”。公安机关将严格依法保密，依法保障举报人、被害人各项权利。。低俗网红必须整治！警方加大打击力度，网络平台更要加强自律，不能让这种低俗庸俗者成为网红。
1697612360# #为了点流量，毫无底线可言。@安丘发布
1701010164# #胡进之后立即退。进退自如
1699592391# #大律师利用了媒体造势，制造舆论，给法庭施压….
1699282474# #清朗行动大皖如此抢素材，采访不成功、不核实就发稿，早晚会翻车！。大皖小编怼人有一套，把怼人的能力用在采编工作上，新闻质量或许能提升不少！。不打招呼就从群里拿素材，被怼了吧？
1698728473# #宿州网友爆料，女生宿舍内安装了监控摄像头，有泄露女生个人隐私的风险！学校增设安防设备的初衷应该是为了学生安全，但应该考虑周全一些，可在教学楼、宿舍楼走廊，楼道等处安装必要的监控装置。。校园安全固然重要，也要考虑公民个人隐私保护，避免侵犯学生个人隐私。
1697371086# #转发微博
1702264655# #A股唉😮‍💨股
1694161445# #为什么油条都是两根一起炸三根在一起容易炸成麻花
1701156393# #镇政府称不掌握表演内容；亳州12345热线“演出已结束，无从查证”。当地如此态度，主打一个不作为！当地扫黄打非办公室怎么看？文旅部门怎么看？@亳州发布
1701701537# #允许这种测试吗？
1693364338# #🐻好可爱。快乐星期三，小熊送送送中奖概率大大的
1697010456# #澳大利亚籍人员成蕾被驱逐出境澳籍人员成蕾被依法执行驱逐出境！
1701862912# #阿里献血事件小姑姑系退休工人认真看了新闻报道，事件真相确实如此。多年来，自损形象的虚假报道严重损害媒体公信力，导致会遭到公众质疑。。我相信这就是事实真相！。提醒一下当地警方，肇事司机承担事故的全部责任，造成重伤的，涉嫌交通肇事罪，请依法处理。
1696844661# #中方第一时间启动领事保护应急机制中国外交部新闻发言人指出，解决巴以冲突循环往复的出路在于恢复和谈，落实“两国方案”，推动巴勒斯坦问题早日通过政治方式实现全面妥善解决，使各方的合理关切得到保障。中方将继续同国际社会一道，为此作出不懈努力。巴勒斯坦
1698724033# #根据网传截图，华商报大风新闻记者注意到，23篇获奖作品中，仅5篇文章的作者不在《裕州心声》编辑部名单之中。其余18篇均为《裕州心声》编辑部成员。其中，总编郭某栓1篇作品获二等奖;副总编熊某祥2篇作品分别获二等奖、三等奖;主编乔某笠12篇作品获奖;副主编李某雁1篇作品获一等奖;编委成员梁某锋1篇
1700231236# #有一说一，这微博能活到现在确实是也没想到的，感谢大伙还有大佬的支持作揖作揖现在只希望贵校得能给个处理，这种人现在还是学生就敢弄虚作假骗组织，骗取荣誉，那真走到工作岗位上不得更欺上瞒下，还能给老百姓办好事儿吗？！期待贵校能公正处理！
1691244260# #转发微博
1702348656# #部门不作为，还不能说吗？
1699401436# #记者同志，节日快乐！
1701439159# #律所写知乎，媒体当新闻；
1703147158# #她是不是没教师证考了几次没考过被停职然后卖螺蛳粉的那位
1699446270# #11月7日17时40分左右，四川雅安境内一油罐车发生爆炸燃烧，引燃旁边两辆货车。据记者了解到的最新救援情况，四川雅安S8邛名高速名山服务区（成都方向）内的危化品运输车辆发生爆炸燃烧事故已致2人死亡，另有2名伤者已紧急送医救治。四川雅安境内一油罐车发生爆炸燃烧四川雅安一油罐车爆燃引燃两货车
1696224531# #想起一句话：要做战士，不做绅士。
1701758902# #A股无力吐槽。无计可施。无地自容。无比期待！
1700477280# #蟊贼把这个流传多年的网上段子搬到了现实中。
1704092343# #@淮南日报社
1702369551# #中央网信办整治短视频导向不良问题评论区里歪风歪气
1703418542# #老胡微博曾经公开发布，胡的父母亲是虔诚基督徒。没人搞对立，你自己心里清楚。
1692542626# #交通安全猛于虎！
1699931648# #支持老罗允悲
1697205702# #令人失望的判决结果
1695095217# #这次的通知改了措辞，读起来就顺畅许多。。暑假期间，组织教育系统搞培训，首次发文，措辞不当，培训叫停。。其实，接到通知的，大多是乐意去拥有驰名景区的城市去培训的。何况培训费也不贵，才收900元，良心价格。。九华圣地所在的城市，物华天宝，也是值得的。
1702683103# #主要道路和桥梁没有积雪，未结冰。但是，还是要控制车速！
1696078331# #请微博辟谣请转发一个。
1702825013# #挖鼻挖鼻允悲
1697971789# #马院…
1703687083# #中共中央印发中国共产党纪律处分条例著名造谣神文夏令营的较量的作者孙云晓被教育部又请出来了。。结果，被80后家长怼到视频下架。。日本小学生在他的笔下变成负重日行100公里的神娃。。就是这个网站，强制学生必须全员注册。请的居然是在意识形态存在问题的所谓“教育专家”。。教育部搞摊派式强制注册
1704126321# #中美两国建交45周年放弃幻想吧，胡锡进。当前的中美关系是靠实力争取来的。
1703382050# #有争议的话题
1702299380# #河南省体育发展基金会相关人员表示：“太高尚了，太有爱心了。“
1702260768# #公交停运，群众出行受影响而已。当地县委书记和县长的日常出行并非公交🚌。气温下降，希望当地群众身冷心不凉。
1699087858# #迷惑行为大赏新闻现场，如果新闻不够精彩，就跟执勤民警发生点摩擦，新闻之外的新闻点就有了，记者与警察冲突，焦点热点就来了。。因此，各地还是要加强培训，提高民警的现场处置应对能力。避免执法执勤民警成为负面新闻主角。。多年之前就提到：要适应在镜头下执法，面对镜头，不卑不亢，依法履
1693434859# #转发微博
1700370522# #转发微博
1701960586# #GQ的小船尴尬给上游新闻点个赞。账号运维形式多样，昨天，旗下矩阵官方账号在评论区集体留言。为了避免网友阅读疲劳，今天，官号退出评论区，四个铁粉刷评，敬业精神值得点赞。。上游新闻官方微博账号粉丝一千万，评论区里被四个铁粉牢牢占领，鲜有其他网友留言。足以证明，上游新闻有足够强的舆论
1701247634# #当事人丈夫否认阿里全体公务员为其妻献血人家没有吹牛，确实是自费的医疗专机。
1699324828# #多次晕倒在法庭的律师。
1702266045# #下雪后的北京秒变北平多次出现类似话题，“北平”是有历史寓意和政治色彩的名词。比如“北平和平解放”“解放北平”…..。话题主持人跑了….
1691811360# #想旅行的猫仔猫咪超话
1704032747# #宋茜王鹤棣亲上了吗的微博账号被淮南日报小编打理的清清爽爽……。微信公众号的内容则多次引发争议。
1700630906# #迷惑行为大赏阜阳国祯燃气官方微信发布，目前还没查到数据异常的原因，但是燃气公司已经先给出了答案，是升级系统导致的，原因待查。。问一句，为什么升级只造成了数据比实际使用的增加，为什么不出现减少呢？。国祯燃气自身出现问题，自查缺乏公信力。如果不是媒体曝光，燃气部门还没发现
1701737022# #发一条短信8元钱？暴利
1692203815# #宣传的轰轰烈烈，为什么要删呢？
1694996193# #918勿忘九一八！
1692167548# #衰
1693654022# #晚霞
1691655128# #转发微博
1704112254# #网红欧可爱因车祸溺水离世近年来，已经发生多起网红因为交通交通事故离世的案例。交通事故猛于虎，遵法文明出行保平安。
1696592035# #南阳女主持人含泪控诉迷笛声称已经掌握证据，有组织在花钱抹黑南阳和迷笛，抛出这个阴谋论，请把证据交给当地警方，依法处理。。不正视问题，遮遮掩掩，刻意洗白，适得其反！
1695091599# #上网要饭还要提前声明不公开账目允悲
1701247416# #伤者好转先在抖音上炫一波。“现在妻子仍在住院治疗，因遭到指责心情低落，已经哭过一次。”
1695907759# #许家印已被依法采取强制措施传言属实，许家印因涉嫌违法犯罪，被采取刑事强制措施。
1697623027# #这些在网上给以色列尽孝的都是谁呢
1701061877# #转发微博
1701695423# #新国标将血液和尿液中乙醇的检测方法分为两种，分别是气相色谱法和电化学传感器法。旧国标只规定了气相色谱法作为实验室检测方法，而没有规定现场检测方法。（擦亮眼睛，这是新国标的变化！神马50mg/100ml降为20mg/100ml，是胡说八道！）
1702297085# #老胡是哪里都插上一脚
1693391533# #笑cry
1697895721# #喵星人出差几天，回来后腻着。
1702348930# #你先换个账号来洗。挖鼻
1704159267# #热点舆情微博内容长期存在“零转发、零评论、零点赞”的现象，淮南日报社微博官方账号把舆论阵地做成如此传播效果，合适吗？缺乏传播力，是没有能力做好，还是恃才傲物，不屑去做呢？。如此效果，无异于拱手让出舆论阵地！
1696498116# #新闻大众网你看看这个新闻，自己能不能看明白？。某某某某某某某某……
1703989504# #这算不算指尖上的形式主义汗汗汗
1695253157# #这是出现“伪诗经”舆情的大学，官方上当受骗。。部分学生“上钩”，不足为奇。
1701833987# #官方回应没收老人过冬煤球河北一镇政府到老人家没收过冬煤球并让其购买特定煤场的煤球。官方回应没收老人过冬煤球12月5日，网传河北赞皇邢郭镇多名镇政府工作人员前往村民家中查煤，将其购买不久的1吨多煤球，以劣质散煤名义查收。对此，老人称自己买的煤更贵，且烧的旺，没有味。同日，当地镇
1691420496# #【八名游客被困青海无人区断水断食其中有4名老人2名儿童民警连夜搜救转移】8月7日，记者从青海警方获悉，8名游客被困无人区后已获救。6日，海西州警方接到广东一女子报警称，其母亲等8人被困在无人区且断水、断食，乘坐的车辆出现故障。8人中有4名老人和2名儿童，茫崖、大柴旦两地警方投入
1701877393# #转发微博
1699154609# #热点舆情【网曝宿州逸夫师范学校疑似出现食品安全问题】网友爆料：11月2日，多名学生吃了学校超市的三明治之后，发生重度腹泻，目前在皖北总院治疗。埇桥区疾控中心已对面包进行抽检送检，结果还未出来。。一个多月时间，宿州逸夫师范学校发生两次学生“不适”问题，希望能够引起校方的高度重视，
1703862436# #完美闭环
1701699615# #隆裕死于1913年，鲁迅这篇文章写于1925，隆裕怎么看的鲁迅这篇文章？
1698719438# #转发微博
1703640171# #转发微博
1696408382# #转发微博
1702304004# #周海媚工作人员拒绝回应网传消息看她的连续剧，眼睛最好看。
1699446793# #清朗行动网上造谣，社会影响极其恶劣，。为什么不公布处理结果？
1699153059# #清朗行动发布虚假信息，造谣能骗到流量，这条视频点赞数是平时作品的几十倍。。造谣能获利，还不会受到处罚。这会误导更多人加入到造谣的群体中。历次大的网络事件中，通过短视频平台造谣言，带节奏，误导舆论的现象越来越多。。快手抖音群体中，这两年新增了几千万农村用户，尤其是文化水平较低的中
1704084837# #转发微博
1696224178# #该事故发生在2023年七月份，当地交警做的警示教育宣传。被谣传为9月30日发生的事故。
1703719371# #转发微博
1702389160# #周海媚去世网传死讯，多方发声辟谣，一天之后，证实去世。这次舆情传播像极了袁老去世时的传播形态。。一路走好！
1702824639# #媒体泄密小米汽车将赔三百万罚金这个热搜话题是不是又一次营销炒作啊
1701088161# #转发微博
1702655578# #最新：宁洛高速太和道口分流河南方向车辆
1697514248# #多么熟悉的操作
1694559525# #4000万中央资金建3个项目竟全烂尾鲁山那尊价值七百多万的雕塑事件，市级调查组有结论了吗？
1694233739# #猫仔睡姿
1699974565# #转发微博
1700278449# #FBI那都不叫“进”，是一脚踹开，一个进字太温柔了二哈
1693230120# #美团共享单车的安全头盔，不符合安全要求啊。敷衍，不把客户安全当回事，纯属糊弄。
1695373800# #丈夫如厕常不关门妻子下跪磕头恳求家里室内安装的监控，这个剧情大概率是摆拍。媒体喜欢用监控视频说故事。迷惑行为大赏
1694567432# #全民反诈在行动，全民参与，人人有责good
1701696244# #关于“酒驾新标准”的错误报道，媒体、自媒体集体翻车大场面！。新国标将血液和尿液中乙醇的检测方法分为两种，分别是气相色谱法和电化学传感器法。旧国标只规定了气相色谱法作为实验室检测方法，而没有规定现场检测方法。。【提醒：神马50mg/100ml降为20mg/100ml，是胡说八道！】
1698839413# #给你们提供一个线索，2017年就被曝光是“假记者办的假周刊、假媒体”，2023年，这个假媒体“法制江西”还在网上蹦跶。
1693921106# #老胡写的很长很啰嗦。天天洗，不应该闭嘴吗？🤐️
1699113232# #外卖深夜1400元牛杂汤疑为非法服务媒体把网上恶搞的段子当成新闻，认真采编完成这条新闻。。段子新闻化，搞来流量就行，达到媒体所预期效果。。就是一则谣言！。但凡用点心，对网曝内容做个简单核实，存在明显破绽。
1695138509# #为了反诈宣传，公安民警真是拼了哦，文县公安倾情打造的又一洗脑神曲“十不该”！。唱功好不好暂且不论，这份创意，这股勇气，这对歌手，绝对值得点赞👍。PS：二位，要是被逼的，眨眨眼😉一起来投票
1701233956# #观察者网是胡锡进的签约机构吗？
1692200265# #转发微博
1691939570# #该谣言有49家蓝V账号发布，谣言传播范围广，影响恶劣！官媒造谣危害更甚！
1699401569# #买卖孩子，魔鬼在人间！严惩重判！
1703419197# #胡锡进的父母是虔诚基督徒，所以，相信他对基督教是有信仰的！。胡锡进不要再网络制造对立了。
1701865509# #转发微博
1691293528# #【安徽亳州一对男女被人按着头拜堂，知情人：男方精神残疾女方智力残疾】知情人称被按头拜堂男女不是买卖婚姻。近日，安徽某地一对男女全程在他人帮助下完成拜堂仪式的视频，在网络引发巨大争议。浙江桐乡市传媒中心官方账号“桐响视频”称：安徽，一对新人结婚，在大伙的帮助下完成了拜堂，网友看
1698885378# #清朗行动视频号和抖音账号在前天（2023年10月31日）发布“武汉男子驾车袭警民警依法开枪将其控制”的视频内容。没有标注事发时间和准确地点，误导舆论，不少网民误认为是新近发生的突发新闻。。该新闻事件发生于2020年7月3日，洪山警方处警民警依法开枪控制袭警嫌疑人。陕西检察身为
1700754744# #成功很重要，但幸福比成功重要；成才很重要，但成人比成才重要。
1696951816# #华北理工食堂被曝吃出鼠头有了上一次“鼠头鸭脖”舆情的教训。。有错就认，错了立改，。舆情不至于失控。
1703389477# #转发微博
1692199729# #转发微博
1703514836# #今天晚上，应该会有很多人在韶山自发地为伟人守夜！心
1695888170# #微博辟谣不造谣不信谣不传谣！宿州
1701419731# #转发微博
1691800040# #转发微博
1699931220# #【重返巴厘岛通往旧金山】中美元首旧金山会晤将是继去年巴厘岛会晤后，中美元首再次面对面会晤。在中美关系止跌企稳的关键时刻，中美元首会晤备受期待。这段时间以来，中美开启了互动模式。多互动，多走动，关系才不会冷冻；多握手，多合作，两国关系才不会滑坡。“重返巴厘岛，通往旧金山”，把中
1692931445# #口是心非
1695730899# #转发微博
1696909384# #官方通报北极鲶鱼事件【没有移交司法机关…….】决定给予钟庚赐开除党籍处分，按二级科员确定其退休待遇；收缴其违纪违法所得。
1703688928# #擦亮眼睛看看！
1695539380# #警方回应网传大同小学生霸凌事件未成年人保护法的条款，在某种程度上来说，是在保护未成年人犯法……。媒体使用了“极端欺辱”这个词描述霸凌情节，可见情节的严重。
1695551165# #早安政务账号自嗨群嗨的舞台，数据越疯狂，越尴尬，非正常传播，有传播风险。所谓矩阵，互相评论，刷点数据，自欺欺人。。真正遇到情况，有多少账号可以挺身而出，力挽狂澜呢？晚安早安超话
1695648880# #→→→→
1695138640# #good
1701418815# #热搜第一☝️上海法治报关闭了评论区……
1694082146# #转发微博
1699593145# #大律师单方诉说，制造一波舆情，现在官方有了回应！
1696385011# #按的采访逻辑，只要有人说，他就作为新闻的信源采用，不分辨真伪就公开报道。新闻的生命就是客观真实。
1699401504# #转发微博
1700904090# #看了视频，应该处理。
1693467696# #平顶山就牛郎织女雕塑成立调查组平顶山这个通报姗姗来迟。
1697345332# #顶起来，端着。
1704167321# #河南宁陵县通报一学生坠亡事件【宁陵县育华园学校学生杨某某坠亡事件调查情况通报】通报内容很详细，该事件在网上、在线下都造成了极大的影响。网上谣言满天飞，线下人员聚集。。是教训，从通报情况看，对网传不实内容做了回应，下一步要积极应对那些恶意造谣的账号。
1693608093# #政策利好变成了开发商的利润空间衰衰衰
1702183191# #转发微博
1703678124# #官方通报因大气污染叫停面条加工庙小妖风大，水浅王八多。一个菜场都能整出这玩意来。
1695204221# #自认为很牛X，其实啥都不是！
1700903971# #我本是高山，值得一看！。一部让公知不舒服的主旋律电影。
1703222598# #话筒
1694125499# #删了四十多条评论，被删除的这些评论大多是质疑李波在脱口秀中地域黑。
1698455848# #“一夫两妻”事件如果是真的，就涉嫌重婚罪，依法处理。如果是摆拍的段子，官方就应该及时澄清辟谣。@泗县发布
1696434875# #你这个南阳人说的很对哩，都是别人的错，俺们南阳人没错哈哈
1693803636# #瑞幸回应喝茅台联名咖啡能否开车来一杯，不要咖啡液….
1700056743# #转发微博
1695678303# #看见你们抗议，就放心了，证明肯定没抓错人。
1694914127# #媒体到底掌握在谁手里，一目了然。
1696223886# #西安公安交警超话【辟谣声明】网传“9月30日，我市某景区发生儿童被撞交通事故”的视频。经核实，视频中事故发生时间为2023年7月23日。@微博辟谣
1702723081# #胡不在乎
1692547248# #迷惑行为大赏8月19日晚，宿州……皖北煤电集团办公楼发生火灾……宿州
1701326877# #持续优化营商环境，支持goodgood
1699782802# #警方回应未让大G加塞遭多次别车交通违法行为,包括危险驾驶的主办单位是交警，寻衅滋事由派出所来处理。。根据举报人提供的视频资料来查车找人，证人证言结合道路监控视频来给案件定性，是行政还是刑事。。一点忠告：遵守宣传纪律，不了解情况，不要贸然表态。。看似无心之举，随口一说，惹麻
1698930779# #你看你急成啥样了…
1698910576# #转发微博
1700703450# #寒潮来袭
1703058530# #A股大跌这个热搜经常会出现在微博上
1692933436# #中国好声音暂停播出中国好声音暂停播出！！！
1703024447# #灾区回民较多缺少清真食品大灾大难之际，有媒体制造了这个话题，昨天冲到热搜第五。感觉苗头不对，很多官博删帖跑路。。张雪峰是对的。。少数民族和信奉宗教不是一个概念！。这家司法的微博还在坚持。。据了解，“当危及生命的时候，是可以吃的。”迷惑行为大赏
1699456431# #仲尼在巴厘岛遇难不认识，没听过这个名字。
1703860416# #为了考核弄虚作假，被巡视指出后依然继续变相要求组织中小学生完成学习活动。马鞍山当涂县团委书记黄月仪受到党内警告处分。。形式主义，弄虚作假，劳民伤财，耗神费力！
1698073776# #好事！明眼人都看得见，女拳、同性恋和狗奴，就是搞乱中国的三张牌。之前官方半遮半掩，现在冲冲新华社，让博主及上层清醒清醒也好！
1701695162# #新国标将血液和尿液中乙醇的检测方法分为两种，分别是气相色谱法和电化学传感器法。旧国标只规定了气相色谱法作为实验室检测方法，而没有规定现场检测方法。（擦亮眼睛，这是新国标的变化！神马50mg/100ml降为20mg/100ml，是胡说八道！）
1701127771# #辟谣
1701674797# #转发微博
1704095491# #转发微博
1696591420# #发布失实新闻，造谣传谣。当事人深受其害！身为官媒，应当自律。清朗行动
1693777975# #华科新闻学院院长回应张雪峰挤眼挤眼挤眼
1703583893# #这个账号不是蠢就是坏！
1693351279# #河南鲁山县住建局长被免职鲁山这个住建局长只是免职，招投标是否存在猫腻并不难查。等后续
1694599813# #交通局称北极鲶鱼炫富事件不予公开衰衰衰衰衰权力的傲慢
1701087646# #用视频形式发布文字信息，不伦不类的回应模式，阅读不适，难以传播📣。
1702373441# #专家建议发放3万亿生育补贴恒大是被哪位财经专家忽悠瘸的？
1701597765# #转发微博
1703505271# #【内容不实的宣传，引发负面效应。撒谎赢得了所谓公益救助，绝不是正能量！】。也提醒自媒体、媒体不要被假相蒙蔽，盲目跟风，且行且珍惜！。一、网传老人约70岁，实际本人只有56岁；。二、网传其患有癌症，实际本人并无癌症；。三、网传被亲属遗弃，实际其本人与哥哥共同居住生活，并享受低保，无遗弃情况
1693840266# #瑞幸真茅台这波营销，两个品牌都赚大了。
1703950385# #转发微博
1691413009# #亳州【安徽生态环境保护督察典型案例二】亳州市利辛县、蒙城县畜禽粪污资源化利用推进不力畜禽养殖污染问题突出
1699580019# #秦始皇陵为什么没发现女俑花木兰从军，这个故事了解吗？
1697702042# #@以色列驻华使馆
1696551906# #你报道的新闻事件貌似要反转。当事人亲属在网络发声谴责媒体造谣！
1698390757# #忙中出错，标题一旦出错，只能删了重发。影响力越大，责任越重！
1693225492# #博主游川西5天曝光2次拦路收费网络是柄双刃剑！曾经，当地网红文旅局长刘洪一怒撂下狠话：“谁砸了我们甘孜旅游的锅，我一定砸了你的饭碗。”。结果，甘孜文旅出现舆情，网红局长这个网红元素导致舆情更加热闹。。当网红，享受网红带来的红利，也要有承受网红反噬的思想准备。。网络是柄双刃剑！
1692197479# #宿州涉及未成年人犯罪，父亲是服刑人员，不满长辈管教投毒……清朗行动
1695443801# #【超炫！以彩墨画方式打开亚运会历史】杭州第19届亚运会今晚开幕！在吴冠中的彩墨江南画里，vivo杭州亚运会官方手机用影像讲述亚运历程。此刻，来一场视觉盛宴吧。最忆千年杭州，交融多彩亚洲！
1701701640# #转发微博
1704115501# #转发微博
1699246221# #转发微博
1701418352# #这小伙子没有因为家境不好而自卑。他大大方方，坦坦荡荡，眼神清澈明亮。他没尝过甜，所以他没感觉到苦！身处逆境，很阳光的男孩，坦然面对苦难，难能可贵！
1701695470# #新国标将血液和尿液中乙醇的检测方法分为两种，分别是气相色谱法和电化学传感器法。旧国标只规定了气相色谱法作为实验室检测方法，而没有规定现场检测方法。（擦亮眼睛，这是新国标的变化！神马50mg/100ml降为20mg/100ml，是胡说八道！）
1700873814# #现在想想，秦始皇真的太残暴了，确实不应该“坑儒”，正确的做法是：剁了
1704092198# #@淮南发布
1702295459# #看看官方辟谣
1693654363# #西安市第一医院两名医生被停职调查2021年的视频，这家医院相关科室真敢说：没有发现医疗领域腐败问题…..。那纪检监察部门应该认真查查，就这两位医生违规收取现金吗？
1704031285# #湖南卫视跨年晚会看看热搜的样子
1692022317# #无论是否能谈妥赔偿，公安机关接到报警后，都应该依法调查处理。不能因为双方谈妥了赔偿金额就不处理了。公安机关不该成为双方谈判的砝码和工具了。王某1有造谣的嫌疑，制造舆论要挟……
