1647212856# #转就收，不转不主动要，对领导、同事、下属没有分别。
1647276562# #他吹出一盒来他一个人全吃掉？就没有更卫生的方法吗？
1691806814# #这个是真牛逼！十字固愣扛过去了，还反杀。。
1636457833# #小腕儿抖得不错
1668359551# #米兰那张，像香河家具城允悲
1648808650# #白猪本色。
1649214125# #你说多余没用，发出来宣传效果好。
1661942601# #地铁脱鞋，真没素质。。
1645082780# #去新疆建厂就全力支持！
1624691265# #由于没有地、壁、顶之分，实际有效使用面积可以增加2倍左右，按这个算每平米估计在2亿左右吧二哈
1689831631# #手掌心长过一个腱鞘囊肿，后来有一次和人搏斗，给别人一个马东锡式大逼斗，手疼了一下，完事一摸，没了。。
1625563694# #鸡翅。。怎么会有鸡翅？鸡翅算是主食么？doge
1641190517# #52式765公安枪，在64之前，公安队伍装备不少这种国产PPK
1634998921# #捡到张图，这个P图者缺乏常识，空间站无重力环境下，火焰不会向上流动，只会呈球形均匀包裹在燃料周围，如此也就无法形成对流通道，将燃料周围的氧气耗尽火焰会很快熄灭，因此空间站里无法用传统化学能燃料，用传统方法烤串，电烤、加压喷灯理论上可以。
1690611498# #这算是哪种包扎。。哆啦A梦吃惊
1680763848# #允悲
1689033638# #为什么海淀人消费欲望比较低下？都在卷孩子。。
1679916521# #看看的编辑记录。。所谓的网络媒体就是这个diao样。
1645115855# #哦，头一天听说doge
1689155539# #仲尼。。。孔嫂啊？哆啦A梦吃惊
1644842660# #哇。。。
1688961164# #也分怎么扎，拿军用炸药按照军用炸法肯定没戏。。doge
1680488856# #敬她两杯酒，请她站桌上来一段K-hiphopdoge
1680446935# #迅猛龙是侏罗纪公园叫法吧。。
1693922670# #当年我老娘心衰住CCU时，第二天也发生了狂躁症状，意识不清，不认人，完全不配合抢救和治疗，挣扎力气很大，折腾了大半天才救回来。。
1670039566# #赶不上时代了，b21为什么叫“水哥”？
1696930648# #南方疯马职业学院？
1686477966# #全天候服务。。
1644976931# #和服是特定服装，对和服宽容度低，与中国是不是一个包容性强的国家，以及汉族有没有文化自信没有任何关系。
1639153382# #这是在拍子弹时间？
1676350849# #应该是汤姆汉克斯吧？萨利船长、萨利机长，再来个萨利车长。。就是别让杰拉德·巴特勒演，一演就“陷落”doge
1662132972# #疫情之前写的吧？疫情之后哪个傻子还会去坐邮轮？doge
1661959757# #你那个病五块万瞧不好。。doge
1669703123# #哇呕。。你很会嘛哆啦A梦吃惊
1655720585# #最后一句毁童话。。
1675477649# #你。。你可学点好啊！哆啦A梦害怕
1659545624# #仨老爷们儿找个桃园拜天地都可以呢。。doge
1633626855# #一国两制被证明并不成功，开始试验一港两制？啥时候才能挺起腰杆解放它？
1637732808# #然而一辆V22，能买10辆灰狗吧？运力还差不多。。
1681224989# #他喊得再响，中国人信不信放一边，问题是美国人并不这么认为
1672302524# #5个发动机的阵风。。
1669814193# #刚开完十九届五中全会，这篇大稿是十四五规划和2035目标建议的说明。
1685099889# #想给闺女找一个动画片，叫做《唐老鸭漫游数学奇境》，这是我小时候看的，作为数学开蒙很有帮助，让小丫头也看看她爹小时后看片的档次。。找遍了网上资源倒是不少，然而要么是英文配音，要么是髮文配音，就是没找到当初的普通话配音版，哪位大神能帮帮忙找找国配版？
1633757223# #不为抽奖，中了送左边←←
1662523904# #美丽的嘉玲姐。。
1625300098# #大麻国赶紧脱离英联邦独立吧？自己订《宪法》，这样小土豆兴许能当个总统，再也不用看老娘们儿脸色，跟美国总统平起平坐。。doge
1687352013# #岳云鹏口中的“一分裤”？
1640664875# #我实在受不了这个系列的台湾版配音。。。
1639912620# #争夺孩子抚养权，很大程度上是争夺财产主动权。
1673279714# #看“艺画开天”的《三体动画》就是这种感觉。。。二哈
1668359413# #这个颜色，可是比家鸽还好看。。
1695478988# #你为什么不买个10000001块钱的房？这样你出1块钱就可以了。。
1695544546# #宰完了再洗多省事，皮一剥就行doge
1649911453# #这是你几岁时候？doge
1678522227# #盖，读“戈”
1662820426# #刑法中，宠物造成重伤，饲主才可追刑。
1638233388# #反正都是在丢人就对了，甭管是什么地方，因为什么
1627546918# #下腹部脂肪（装甲）越厚，XX越显短小。。
1688635996# #胯下无物，不知有什么好觊觎的。。
1627432451# #这个问题我竟无以答对。。
1668475565# #机械增压差不多。。
1633184553# #我以为是罗非
1675337860# #这裤子能看出什么牌子来？
1662391270# #开拳馆的遇上这种心中没数的菜逼，教育一下给他个教训就好，方显大人之才，毕竟实力相差悬殊，没必要下狠手、脏手，倒地了还补一脚有点过了。
1692953368# #这叫什么官方回应？？？
1690814083# #坡起3档带油门。。。怕不是个师娘吧？柬埔寨驾校？
1696551456# #南阳官方通报音乐节盗窃事件“一些【爱心组织】和【志愿者】在【场地】【找到】手机、身份证等【遗落】物品多件。。”通篇没提发生了【盗窃】案件。。。写这个通报的人可能有些过于自信了，自认为文字编排水平超越绝大多数观众，真蠢！不如不通报。
1694648307# #就这份处心积虑、卧薪尝胆、山后练鞭。。搁在什么事上恐怕都会有成就，当然，也包括害人与复仇二哈
1626699494# #借鉴了某亮风格，挺好玩，做的不错，坚持下去！
1670923552# #这个人只是吸了两口烟就被判刑了？我们强烈抗议！！！。。对，他用这根烟点燃导火索，炸掉了一个加油站。。摊手二哈
1633991825# #我说拘那个把视频发上网的，你以为拘谁？
1638103369# #小盆友有潜力。
1685330622# #很爽有没有？护个航、撤个侨，打个海盗反个恐什么的
1633489040# #现实中，有几个正常中国人这个打扮？
1628674021# #搞对象这个事，怎么能跟见义勇为相提并论？
1677833295# #剪辑很不错！
1696546762# #这是什么表演/选秀？
1669722116# #昨天晚上9级，我在车里被晃晕了（车停着）
1647480940# #擦。。太酷了
1644076129# #？
1655775603# #王锦蛇吧，没毒。
1665620481# #文丑丑。。
1647517879# #如果那是一杯液氧呢？如果那是一杯液氢呢？二哈
1682721358# #不再来个当警察的么亲？哥几个一起出来喝点？单位不让。逢年过节一起出去旅游？抱歉不休。什么时候回家见一面？可能得下礼拜了。
1696732949# #说的好像你们那有冬天似的。。doge
1689347347# #学到了泰森的精髓
1649823965# #人是逼出来的，压力越大能力越强
1695783402# #跟我想的差不多，折箩帝荣登榜首。。
1636167888# #换个思路，小朋友学点脏话，人贩子和炼铜屁都能退散吧？毕竟控制的难度和成本都要高不少。。二哈
1640423495# #渣浪是舍不得她。。
1642293247# #果然你到不了第三句就得开车。。允悲
1662874436# #好臀！awsl
1640518060# #你丫D了？哆啦A梦吃惊
1634703671# #麻了吧？
1650198318# #M249S
1678324602# #有没有可能，ta的文字说的是。。。盾构机？思考
1671377356# #嗯，鼻腔吸气冰凉感觉确实挺难受。。
1687169913# #行不行啊，细狗。。
1626962636# #呵呵。。
1657947555# #四个老妈子掺着一个老妈子出来了。。
1635989212# #这厮其实也是黑人
1643097256# #有点像早年间的叶倩文
1684553788# #买什么园景房。。这不就是个温泉酒店吗？
1660904524# #口味不轻。。doge
1630766387# #张美玉：你侵犯了我，还一笑而过，我形象难堪你P图损我，女工本弱，辩解是多余的，求你删帖你却笑着说，能帮我火。。悲伤
1681472561# #责是他责，但是白车真是傻逼，不配开车上路。
1696240329# #嚯。。超载吉他版《渔舟唱晚》
1671467148# #不过这样说来。。少吃管用吗？它已经攻击胰脏了，少吃就能保住胰脏功能吗？
1649602797# #好舒服。。
1657511897# #这玩意还不好吃吧。。
1659499179# #早，裙子不错
1691504521# #白鲢子，刺多多。。
1669623434# #2D妆
1664959850# #你是不是胖了？
1696957109# #世界是巴勒斯坦的，也是乌克兰的，但是归根结底是犹太人的。
1649782118# #对面来的坦克到底是谁家的？
1676591340# #全都被《球2》带歪了，太空电梯用火箭助推，天宫空间站在同步轨道。。允悲
1679583093# #去尼玛的吧，与其如此不如让民进党上台，倒也干脆利落些，宁与匪盗，不与骗子，气得我血压飙升。。
1668382345# #作死的画蛇添足。。
1679023229# #这什么剧情？得亏是在我国，善良的民众是主流，要是在日本、欧美。。后果无法想象二哈
1634771859# #在拔什么东西啊？哆啦A梦吃惊
1688016797# #连身段带步法，还有锣鼓场面。。
1673973787# #卖相是不错，价格是贵了点。
1679889769# #那再出去怎办呢？
1683948254# #别问，问就是为了轻量化。。
1662764268# #假定你说的是真的，所以全德国，乃至全世界，做这个东西最终只能指望一个老头的自身“技术秘籍”。。。你管这个叫做先进？德国老中医么？二哈
1658291250# #砸那个佐料可刚了得咧，香菜末、韭菜末、辣椒油、花椒油、精酱油、大蒜瓣儿，拌好了之后你扒拉着吃啵。。白煮肉？豆腐渣！二哈
1657848431# #酱爆胖成这样了。。
1656153826# #打制石器时代。。
1641868287# #400万缅币，相当于。。不到2万人民币，就天花板级墨翠了？
1637662614# #陈漫道歉陈漫道歉了，不知是真心认识到错误，还是迫于舆情压力，采取的危机公关，这篇道歉文显然经过深思熟虑，字斟句酌，不排除有专业人士捉刀。无论如何，希望这篇文字是陈漫女士心里话，而不是为一顿饭的苟且。。。不吹也不黑，陈漫的问题并不在于有一张图，如果单单一张图引发争议，完全可以从艺术
1627379497# #赌场规矩：九出十三归，一分手续费三分利钱。
1681992833# #比谁坚持时间长吗？他们是不是对“金枪不倒”理解有什么误差。。doge
1643158052# #好特么厉害。。
1628813394# #这小孩，工作和生活分得很开啊。。
1655544347# #你要写成“婶婶靴子”都不算你文盲，至少你知道怎么念。。。（网图疑似段子）
1660121715# #豆豆挖鼻挖鼻挖鼻
1659923385# #这个牌子不是做丝儿袜的吗？没事做什么包啊？
1663584176# #有点儿意思。。
1655109404# #宋老虎的弟弟颇有点地主傻儿子的骄横劲儿，加上普通话不太好，所以耍起狠来有点搞笑。。允悲
1661431581# #哈哈哈哈哈哈哈哈，好活！
1697271631# #擦。。哆啦A梦吃惊
1649297802# #good
1646922345# #现代战争先别说信息化、网络节点战啥的。。拼的还是“组织动员”、“后勤保障”，以及“指挥协调”。。这是现役战术得以落实的基础。
1694770039# #可以加横栓
1646137128# #我想倒回去看看那女的发的原贴，通报里好歹把网名贴出来嘛。。真有这挣钱不要命的傻❌
1628983993# #我们的仇恨宣传不是太多了，而是太少了。
1676599199# #连滤镜也没有用。。
1665535452# #对，日本人看不起性暗示，人家都性明示doge
1661939905# #非法出版物，扑朔迷离了还。。
1675492222# #你问这心理指导师救活过几个想不开的少年？见着一个死的玩命蘸馒头。。
1634981133# #这玩意要能抓起700公斤的哑铃就牛叉了
1675609467# #每一个拉面人的。。。拉面梦
1687576614# #不觉丢人。。
1631184595# #没有过多关注过这个事，个人意见，产品代言人对产品质量负责是应该的，但要求代言人对企业经营问题负责有点过了，他并不参与实际经营，这是两个问题。
1649156441# #哇。。
1634386964# #没错！我也这么想
1658805683# #看牌路也得看气势，张扬者气短，加两次注都打不跑就应该开牌了
1651014762# #好样的
1662810000# #多种干果仁处理不好也容易出现变质，跑油、霉变而影响口感。
1649725076# #艹。。
1668439142# #熟的三文鱼，不能凉了吃，凉了奇腥无比，即便再热都非常腥
1674646096# #看的大概是那种《8分钟看完xxx》，小帅、小美、佛波勒的dy版。。二哈
1641970194# #那就是拍公房咯？公房也不拍？那只能拍母房咯？
1626589030# #谁啊？谁被谁强奸啊？
1694664895# #无牙仔。。
1690090410# #最后一个太帅了。。
1692349211# #哆啦A梦吃惊二哈
1640793254# #这种水，这杠味，这胶感。。
1635902081# #开会少打一份文件该补打赶紧补打，该认错诚恳认错，该担责勇敢担责，都明面上的攒儿，非抖机灵除了让人感觉油腻厌恶没有什么好处。
1688514752# #这俩人能出一副对子：文能提笔刚锡进，武能下场斗保国。。
1662368192# #所以“激光照射PET材料制造钻石”跟“天王星和海王星内部下钻石雨”之间的逻辑关联是什么？这谁做的文案？
1662639957# #哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊
1659190227# #恨国，整大翻译挑事拱火是它们，火真烧起来了要开仗了，哭喊“为什么不替海外华人着想？”的也是它们。。摊手
1698047433# #狼可以生活在可可西里，你爹不行因为那是自然保护区，因为狼是野生动物，你爹不是。doge
1640061140# #你可以倡导食素，但：1、不该对不吃素的人群进行道德上的歧视与侮辱。2、不该对未成年少年儿童饮食进行干预甚至食素建议。3、不能拿西方标准作参照，或者推行具体西方产品。4、应从逐步减少食用开始，而非一下禁绝，同时应保留蛋、奶食物的摄入需求。
1636534068# #两面，一面贴一条氚光管吧。。
1625186813# #保密协议也是协议，所谓“协议”，必须是各关系方都已认可，方可签署协议，这个事明显死者娘家一方不认可，仅凭绿城和林两方怎么可能保守得住秘密？
1671325157# #被解救的愚众
1695304846# #原来“多”就=真？。这逻辑也是没谁了。。允悲
1675336456# #姑娘一听忖不住了。。
1690285568# #艹。。。吐
1673199729# #是啊，这谁能想到呢。。最不值的恐怕是医疗和殡葬业，我们这一天天打仗一样忙活个寂寞？
1650992044# #首付30万，每月3000多。。也叫压力？
1674952307# #这特么谁的墨宝？
1659368065# #看这小腿的。。“倍径”，身高应该不超过155
1636862903# #这段更多是逻辑上的悖论，征服了每一个角落，还怎么“潜伏在暗中”？称霸不留名？图的什么？
1646584019# #有朝一日美国对中国用这招时，希望能把在美华人/华裔一视同仁，最好连日韩什么，只要长黄脸的都一锅烩了，这样美国财政能收入不少doge
1671669007# #好棒！
1630397288# #个人以为，大学军训，最起码应该教心脏急救技能。
1644750810# #说的是变速箱没（润滑）油了，干转飞半小时。
1646960828# #我看不上张网红，。你粉你护张网红，。这都正常，很正常。。。但是，你给我解释解释，歌颂雷锋的人怎么了？雷锋不该歌颂吗？这就是你们张粉三观？。。得亏我这有截图，自己知道说的不是人话，删了评论还倒打一耙，这就你们张粉品行？
1661181780# #我一直喜欢他做的欧洲小猎，我个人审美倾向于图1
1632263512# #素贞开始褪皮。。
1647156860# #开学季
1670121252# #10年前空军总医院就有仨这玩意，后来据说出了事故给拆除了。。
1663208897# #挺好一条鱼，捣烂、炒干、调味，最后。。直接倒厕所
1677950470# #不是钱的问题，是观念问题。。所谓的“肉不能埋饭里”，特效是用来炫耀（你看我花了几百万做这个大场面），还是为剧情表达服务（让观众看着舒服）？
1679841064# #卧槽。。直接脱鞋了哆啦A梦吃惊
1693611968# #鮣鱼，不是咬，是用头上的吸盘吸住了，这是摆拍的。
1690464726# #殖乎GPT答题doge
1679506651# #真特么闲的。。
1682211589# #哈哈哈哈哈，捧哏的不错
1657507936# #好像没有裤衩doge
1646487918# #泰国人发明的？国内早多少年就有了。。
1671593438# #来吧我准备好了。。awsl
1696673951# #你举着个光屁股的小胖子说麻烦我。。喵喵
1670409490# #豹21900万欧元？？？这比日本坦克还贵啊。。哆啦A梦吃惊
1636162752# #弹道硅胶做的填充体吧？破碎，翻滚，成渣。。就是略偏硬，手感不好doge
1684676135# #谁公认？抖音公认？盗扒短视频二创界公认吧。。
1661789779# #黄巢小时候抖的机灵
1681064763# #上海同乡会真特么闲的，这是跟祖国人民有多大仇。。
1681749047# #电车痴汉马老板→→
1691301895# #您还是去吧。。
1689827644# #一直觉得90很帅
1674581045# #
1672149589# #俩人聊了半天星巴克啊。。
1677720531# #目测一下，看好《检察风云》，如果没有包某某，票房估计能超过30。。
1692576416# #乌尔恶。。吐
1662714822# #我这么系鞋带。。doge
1696557652# #卧槽，丝瓜、莴笋也生吃。。
1692099459# #退美国籍了？
1676105543# #吹毛求疵一下挑点小毛病：《流浪地球2》这片子调色我个人觉得。。。怎么说呢，还可以更好吧。事实上包括《流浪地球1》整个系列的调色都色温偏低，锐度、解析度不太够，现在这种色调比较容易使人产生疲劳感，尤其那些强调很多细节的画面，希望色彩可以更加丰富、锐利、色温再高一点。不知道是不是限于技
1651288344# #我相信这才是真正的上海人。
1637740216# #禁了吧。。摊手
1637465306# #这问题并不难解决，只要想解决，问题是怎么让所谓的“领导”想解决。。第一金额只100多块，第二反正不是扣自己的钱，所以。。他们有足够的理由不想去解决doge
1660203216# #跟肯德基卖炸酱面差不多。。
1693362239# #如果搭档是孙悟空呢？（中国版）
1660970424# #脱啦！脱啦！脱啦！珍珠港：卧槽。。哆啦A梦吃惊
1677647056# #喂，我是谢参谋，对对对，我就是谢密doge
1662774649# #妥善率可能不足以满足实战需求，用200辆得调1000辆。。
1670694382# #太特么乱了。。小夫，我们还是出去吧
1683346829# #没来段二人转是给面子
1627402900# #没想到有那么多特效道具做出了实物。。换现在恐怕电脑CG能占到90%以上，有能力没能力都得上CG
1650097232# #不好意思，没有。
1670670881# #如果我不是假阳，那么很可能奥密克戎病毒也遭遇了挤兑，一时间要发展的“客户”过多，“服务”难免打折扣doge
1663862125# #太瘦了有点，注意身体！
1645355742# #这成品，有点像老师那里的藏品二哈
1659006049# #腰窝不错，不知上脑怎么样。。馋嘴
1695127346# #那叫水雷，鱼雷是会游动的。
1656404956# #我觉得ta就是成心
1639974261# #赌桌出老千怎么办？剁手指。。更别说这不是赌桌，谁跟你赌了？
1636696156# #你是女二号？不够骚啊。。doge
1633003677# #所以这俩口径都是58？图5之前是轻型，图6之后是通机？
1629860288# #B1b：远程重型战术轰炸机
1687840772# #也许全世界我也可以忘记，就是不愿意失去你的消息，你臀上的痣，我总记得在哪里。。
1631787521# #特别是家养的小狗初见家里又增添了一个小生物，而且看起来地位还比自己高，却不如自己能打。。
1657809012# #从娃娃抓起都说了30年了吧。。还是这个样，毁了一批又一批。
1633062360# #装什么孙子？他要不是出名谁会请他，他哪有当场噎人的机会？自己在家随便呕。。
1655722589# #
1656995400# #我先举荐个候选人：包某尔doge
1643211304# #打捞上来一个后桥
1651397780# #艹。。人乳头瘤病毒真害人
1663133585# #那个猫头吓我一跳。。允悲
1647325660# #见过用白薯做的炸弹和烟雾弹吗？熟白薯搁微波炉里可以炸，生白薯搁微波炉里可以冒烟，下次可以拿微波炉试试。doge
1688318744# #斯大林惊了我一下
1661749014# #亡羊补牢，犹未为晚，希望唐山相关部门和领导同志，对事件反映出的社会问题和管理短板认真检讨，深刻反思，知耻后勇，积极整改，还唐山百姓一个清朗的社会环境。
1690945256# #大陆第一艘核动力航母，可以就叫做台湾号
1624760766# #看上去像一个没长好，或者残疾的奇异虾doge
1655196220# #与尽量少杀、不杀，逐渐趋向废死的大方向相悖。
1663990118# #有一种脏，叫做拳台上过度留情面。
1677300287# #丫丫回国流程进行到哪一步了翻了点资料，“熊猫外交”其实古已有之，公元685年年武则天就送过日本活熊猫作为“国礼”。。。近现代“熊猫出国”更是频繁，1936年美国服装设计师带回熊猫幼崽苏琳，1938年英国人通过某种手段带回三只熊猫唐、宋、明，1941年宋氏姐妹送给美国一对大熊猫。。。解放后延续了这
1645173184# #哦，原来这样啊。。为什么不戴帽咂？！！怒骂（最右）dogedogedoge
1645204854# #手枪主要应该练击发动作稳，据枪瞄准没必要这么浪费时间。
1678682611# #艹。。。这什么怪物？哆啦A梦吃惊
1685886226# #飞马那个姿势有些过于羞耻了。。
1684147273# #这位女同志坐哪儿？
1683635136# #胡军演过乔峰了啊，不过貌似黄日华也演过乔峰
1646016032# #卢宇光呼吁不要拿战争开玩笑到底是哪个喷子战争期间，拿人国家的美女开玩笑？思考。（现在这俩贴原博都删了）
1625107096# #教出来的么？思考
1681607285# #美人鱼浮上海面唱道：海燕呐。。。
1694567945# #真的是偶遇吗？怎么看怎么像蓄谋已久。。doge
1680453470# #敲诈勒索未遂被判7年，还二审维持原判。。？这里面肯定还有事。
1661878075# #这事感觉可信度不高，。为什么？。还记得上次无人机事件是怎么曝出来的？。无人机飞手先把蛙兵画面发上网，。然后台伪军方被迫回应。。。如果这次也是大陆飞手干的，。蛙兵居然敢开枪那画面一定满网飞了，。可到现在谁看到飞手视频、图片了？。。所以个人推测，。很可能台伪军方强行挽尊，。自编自导自演的一场戏
1645757466# #哪吒。。
1657749293# #这笔一年能赚几个亿？？津巴布韦钱？
1694833122# #我就不是现在的我了，我家里很困难，吃了上顿没下顿，十冬腊月还得上街卖报去，我穿件塑料的旗袍，就袖口有一两棉花，小风一刮，雨夹着雪打在脸上跟小刀子似的。。衰
1688306743# #“我炸尼奶奶个球的，还要获得你的许可？”doge
1655112525# #美与沙雕完美融合。。你是50克的偶像包袱都不背啊微笑
1696670691# #卫生巾当做无菌敷料，用于外伤止血是可以的，不过如果伤口深，敷料得加压。
1689137460# #好家活这脸长（cháng）的。。二哈
1647105268# #最右叹为观止了。。
1665808451# #我没怨天怨地“白天不属于自己”啊。。所以玩就是玩，放松就是放松，不用非给自己找那些高大上的托辞。
1645979616# #平端是对的，反坦克地雷的爆炸方式是向上射出很窄的高能量的射流，这么端着万一爆炸了，基本可以保留人形doge
1693751020# #晚安馋嘴
1674445125# #有一种东西叫做“车衣”
1636506572# #真实在！已打赏
1627699271# #昨天无意间碰瓷了张艺兴，。其实我本人对张艺兴这个人没任何意见，。当时只是不太明白安徽团省委发的微博，。祝马龙夺冠为什么要带上张艺兴的话题词？。毕竟之前有人说过某些地方团组织用官号追星。。真不是有意阴阳怪气，。更不是针对张艺兴。。。后来安徽团省委也做了解释，。说是因为张艺兴作为优秀五四青年
1660711869# #卧槽，我以为还有一种创作方式叫做“原创”二哈
1671008684# #哈哈哈哈哈哈，知道为什么吗？因为头上戴着头盔，警察没法对他头部进行击打（美国警察不忌讳对嫌疑人头部击打），同时催泪瓦斯也伤不着，衣服厚，太色也不怕。。笑cry
1686325342# #掐好时间，趁他落地前10分钟，宣布几个制裁措施，或者抓它几个间谍，驱逐个大使领事什么的，都是他们娘们儿的惯用伎俩。。doge
1645348643# #doge
1655213430# #蹲一个蓝底白字通告。
1678728140# #再晚点，你会听到它偷偷嚼东西的声音。。doge
1633491296# #房是用来住的，不是用来放琴的。。
1643030037# #这种逼人逼事儿，当地警方就没辙？真尼玛新鲜了。。
1626098085# #比亚迪代工
1668523468# #屌儿响叮当。。
1625933846# #问题确实有，主要出在法律规定，而非执法人员。
1682681799# #我只觉得他不配得到这么多关注，我不愿骂他，但是我能理解骂他的人，因为他亲口说过“就算打起仗来我也是会死守在台湾的人。”
1684623039# #这案子都新鲜，强奸大嫂，出狱后屡次实施报复杀人，终致一死一轻伤。。凭哪条判死缓？然后还使被害人家属错过了抗诉期，不得不怀疑是有人在故意搞鬼。。
1675574223# #能把这堆字写下来发出去，是要有多么大的勇气，多么低的智商？我都怀疑是友军了。。
1684302650# #这小畜牲死不了，因为有《刑法》49条，也可能正因为有这条“法律保障”，他才在16周岁的年纪这么干。。怒。。好吧，未成年人不适用死刑这规定咱忍了，但是能不能把法律改一改？把无期的限制减刑上限提升到50年？小b崽子出来也得6、70了哼
1659416732# #谁按这张做一个吧。。
1646141828# #丹尼尔克雷格暴揍杰瑞米雷纳二哈
1640927975# #后面中间还有个妹子呢。。
1685584223# #骑士也敢惹？脑子多少有点儿病。。
1674998141# #刚开始看，石兆琪（安长林）演得真好。
1640423167# #画面中的女生是消费者。。
1689119270# #确实很好看。
1697548490# #别到时候来个“外国人可不实名”
1687075211# #外面就是战场，全球两大顶尖力量在全世界开战，斗争无处不在，而战场的态势，全部缩影在这小小的会议室里。。谁沉不住气了？谁更从容？
1668852826# #一直不喜欢这个艾跃进，就是个穿军装说书的。。
1676722712# #派儿所儿的失职
1662363205# #陨铁胎鎏金。。
1643955990# #总觉得博主像谁，死活想不起来，昨天晚上陪你闺女看美队终于发现，博主贴上胡子就是冬兵啊。。doge
1629360964# #下一天雨了。。
1690423578# #牙膏涂脚心
1649823229# #这种时候拳尸就视而不见。。
1666766208# #也挺好，收割的都是殖壬，请尽量多多收割，不必在意中国人感受。。
1661054986# #别用“战狼”，毕竟“战狼”是中国电影。。要用美国电影名称、角色的话。。Predator大使吧
1631527213# #你是有毛病么？
1627831172# #没啥可说了，擦擦眼泪先。。
1628694327# #这帮国民党的2B，非招得共、民两党一块打丫的才算痛快，从另一个侧面说，也算为两岸共识做出点贡献吧（共识：国民党是傻逼）
1640793197# #大指甲盖子。。
1641465331# #跟国外比？我挂出来是基于“中国防疫标准”，你要拿这跟国外比还是算了，只要不瞎都能看清楚少数人不作为，和系统性不作为之间的区别。
1657474475# #“大男人打女人”警告doge
1635760718# #你看领子，没有一个那样豁着，全部都有风纪扣。
1666834589# #拿激素当借口骚扰、性侵的畜牲能逃脱法律制裁吗？
1628095305# #等着报警吧，这两天警情不断。。
1658884802# #BigBangz
1697758295# #它们主张视流浪猫狗如父母，却又不请回家去自己孝敬。。这也算驰名双标的一种了
1661428950# #剥皮。。馋嘴
1656996256# #只见博主：头戴镔铁盔，二龙斗宝朱缨飘洒，上嵌八宝轮螺伞盖花罐鱼肠，身披锁子大叶连环甲，内衬皂罗袍，足蹬虎头战靴，手使万里烟云兽，胯下丈八蛇矛。。。二哈
1626261836# #图3飞行服外面套了个。。45P小棉袄？热不热呢？
1689137646# #怎么已知？她把诊断证明或残疾证贴脸上了？她主动攻击男子男子被迫自卫锁喉制服叫做殴打女生？
1683553331# #有，这不是广义的公共场所，只是服务合同缔约双方，经营方场地产权方有权选择做谁的生意不做谁的生意。
1695432906# #鲨人烛芯抱一抱
1693922322# #历任浩克
1669395407# #试图理解剧情逻辑。。失败！
1659354953# #你脑补一下，配条背带，远比能不能换弹匣有意义得多，一个滋水枪，换不换弹匣又能咋的？
1676855434# #瞬间，三个家庭的天塌了，父母、妻儿、战友的心碎了，这一条烂命怎么偿还得起？
1651966157# #保时捷底赛？还是魅特❌？
1692716711# #对于汽车这类商品，无论从功能、性能、品质，乃至品牌溢价来说，30万美元已经足够要啥有啥了，3000万美元。。。只是为了拉开身份的阶级差距。
1649383268# #早安～
1668879557# #午夜xiong铃哆啦A梦吃惊
1685266261# #中航技这种一不呲牙二不笑，面带忠厚骂人不带脏字的基本功，真是十分具有民族特色，底蕴没谁了。
1680236050# #大口鲈。。介横有二斤多doge
1695350741# #拍这种误导人以身犯险视频的人为什么不去死？
1679720140# #说的不错
1640494481# #片子拍的怎么样，形象设计如何不聊，这歌儿是真好听！偶然听了一耳朵，搜了半天终于找到好音质版本。。某动画电影插曲《纸飞机》。。————编辑分割线————。。这首歌曲今天上午我刷某视频时候偶然听到，是视频博主做自己的视频是用作BGM，并非那个电影的片段，乍一听我耳朵就种草了，搜到之后就发微
1644997516# #你说准咯，是气的是馋的？
1624802648# #【工匠精神！高级技师攻克空间站焊接难题】高级技师郑兴，18岁特招进入中国航天科技集团五院529厂。来厂第一天，他就被标语吸引：“每一个焊点关系到航天员的生命安危”。这些年，他经常在五六十摄氏度高温下工作，攻克了空间站等大型航天器的焊接难题！“我们是给航天员造太空房子的人，焊缝不能
1663213431# #早
1675518679# #撤职报告？那叫辞（去）（现）职报告，系统内就叫辞职报告，辞（去）（公）职报告也叫辞职报告。
1628225537# #一年一度的。。doge
1659584542# #傻逼，甭说你了，你祖宗活着时候问它敢递戈么？
1678716800# #话国髮
1684124379# #少年于谦儿doge
1679811318# #灰色哑光，无法抗拒！哇
1674993133# #是鞋掉了吧。。这个重量、速度，至于切腿？哆啦A梦吃惊
1685842136# #霄云路8号。。
1660883622# #天，我特么以为早用这里面水蒸米饭呢。。
1625532804# #doge
1627354228# #嗯，但是是谁导致他离家的呢？思考
1673785194# #doge
1649559075# #啊。。？
1697550788# #降噪耳机是亮点
1628687616# #我什么时候说过普通人被杀慎用死刑？另外，杀警察、检察官、法官是对法治的挑战，确实跟杀普通人性质不同，这都有的杠？
1683808576# #目前为止评论中还没有猜对的，不过这个天线，可以给漫展上的一些妹子做耳朵。。馋嘴
1626596769# #杜鹃
1679650934# #牌角都穿帮了。。
1679399231# #“奸出妇人口”实在是十分先进的制度设计
1633445766# #温都尔汗好风光啊。。
1648699775# #眼睛太大没办法，闭着眼就比好多人睁着眼大。。
1642053433# #体重150以上的除外，怕吃穷我doge
1695380683# #it'ssobig！！！doge
1655949914# #鞋嘴鸟
1649646011# #早。
1636601248# #哈哈哈哈，神经病。。允悲
