1702177068# #外籍旅客优先登机致一女子滞留机场蜡烛蜡烛蜡烛阿弥陀佛！
1696677214# #央视主持人张泽群实名举报朝阳区法院🙏🙏🙏阿弥陀佛！……
1696780234# #校外培训行政处罚暂行办法将正式实施🙏🙏🙏阿弥陀佛！
1689193654# #7月13日早报。。1.国际数学奥林匹克竞赛中国队全员金牌再夺冠，比亚军美国队多18分。。2.杭州发布今年首个高温红色预警，中午全国最热前十全在浙江。。3.台媒持续关注大陆造船业成为世界第一：大陆造船业口碑已打开。。4.北约峰会公报称中国对跨大西洋地区构成“系统性挑战”，中方：坚决反对。。5.宁夏一医
1691832443# #警方回应水果捞纠纷案件调查处理结果不偏不倚各打五十大板，🙏🙏🙏阿弥陀佛！
1697410137# #足协换届仅孙雯留任先换汤然后换药，如果还不管用？
1700090086# #新乡教育局回应被指毁约40余名应届生蜡烛蜡烛蜡烛阿弥陀佛！
1700788622# #河南一救护车多次载人跨市买毒品用救人的车🚑买毒品。
1693854876# #网曝重庆一医生值班时被患者家属捅死🙏🙏🙏阿弥陀佛！
1693704841# #中国男篮或将连续缺席两届奥运会视频分享……
1693286829# #警方通报足浴店故意伤害案看看最后如何处理……
1702693439# #有网友正式起诉新华字典为什么会这样？倭寇是什么意思？
1691998618# #贵阳第一人民医院原院长张云强被查腐败分子和蟑螂有一拼。
1692003440# #中国电信无故多扣费🙏🙏🙏阿弥陀佛！
1698030556# #青岛啤酒视频拍摄者已被警方控制🙏🙏🙏阿弥陀佛！
1694933621# #体检报告上写智商偏低的医生已被停职医生在体检报告上写智商偏低，会影响工作吧？？
1688542571# #北京政法职业学院回应男生被退学7月4日晚7时，当事学生李某通过网络平台晒出《学生退学申请书》，网传疑似被劝退。
1699621014# #佛山一妇产医院被曝贩卖出生证明这是第二家，接下来会有第三家第四家吗？
1699427780# #为9万多家电商刷好评嫌犯被刑拘货可能是假的，好评也可能假的。
1697068924# #北极鲶鱼爷爷退休16年后被捞出🙏🙏🙏阿弥陀佛！
1695507497# #核酸大王张核子进军预制菜🙏🙏🙏阿弥陀佛！
1703104308# #警方通报2男子烧烤店殴打女店员刀是随身携带的？？？
1703418021# #别朱令广陵散蜡烛蜡烛蜡烛阿弥陀佛！
1691802417# #妻子实名举报医生老公每年药品回扣十几万医疗反腐让百姓看到了这个环境里有多乱。
1703898735# #专家称2024年A股价值投资将大放异彩蜡烛蜡烛蜡烛阿弥陀佛！
1690820784# #四川一公职人员被曝涉不雅聊天上次的病毒喜欢丝袜，这次是……？
1694140898# #男子每天抽烟百根啤酒当水喝患多种癌症抽烟百根（五包烟）啤酒当水喝，有钱也不能这么做。
1692145393# #官方回应企业成立3天将获93万财政补助这么巧？有贵人相助？
1697233058# #10万元存款被银行员工转成理财银行的说法就是耍流氓，银行在纵容员工犯罪。
1694219275# #公职人员理发不满意举报店家偷税漏税郯城县农业农村局还监管理发店？她男人是做什么工作的？？
1694915457# #警方通报女子高铁拒换座被打还手算互殴……？？？
1692398926# #如何看待网红二驴被封禁如果不处理视频平台，这样的事情还会发生。
1693615932# #女子蒸大闸蟹核辐射检测仪警报不断找技术监督部门问问这个检测仪是不是真的。
1698441596# #中小学生连厕所时间都快没了是什么原因造成的？
1697066776# #男子举报一烟草厂长出轨并生女做领导真的不容易，工作，家庭，女人……
1702531711# #教育局回应老师让男生打女生耳光老师情绪失控让全班女生自扇耳光老师因家庭和自身问题情绪失控……
1689860500# #央广网评补习机构包装中考回流生这事曝光后会断了某些人的财路，白花花的银子呀。
1696988066# #北极鲶鱼的恨国论也该严查官方回应北极鲶鱼爷爷处罚过轻质疑🙏🙏🙏阿弥陀佛！
1702767127# #高校回应教学楼地面塌陷该学校所在大学城是养殖池塘回填后建成。
1702030872# #老公胃癌晚期老婆要卖房治疗医生劝她冷静蜡烛蜡烛蜡烛阿弥陀佛！
1699154976# #超市老板猥亵14岁小女孩被行拘9日家长说行拘9日处罚太轻。胳膊能扭过大腿吗？
1700734029# #网曝珠海一企业用水枪驱赶讨薪工人，管委会：工资系劳务公司拖欠，企业用水枪驱赶行为不妥，已批评教育|海龙公司网易新闻网曝珠海一企业用水枪驱赶讨薪工人，管委会：工资系劳务公司拖欠，企业用水枪驱赶行为不妥，已批评教育,工资,水枪,讨薪,海龙公司,管委会（分享自
1697198691# #银行回应拒为无工作人员办银行卡🙏🙏🙏阿弥陀佛！
1692484421# #解救被困缅甸的中科院博士中科院博士被骗至缅甸一年🙏🙏🙏阿弥陀佛！骗子太多防不胜防。
1701403202# #警方通报网红校长郑强被传包养情妇造谣的人已经抓到，会如何处理？
1690259780# #齐齐哈尔市4个月前刚完成安全检查安全检查刚过去4个月，当时喝的什么酒还记得吧？
1703393695# #曾参与朱令铊中毒抢救诊治医生发声曾参与朱令铊中毒诊治的医生发声了，曾参与案件的JC能不能发声？？
1691185814# #黑龙江尚志九江村整村失联🙏🙏🙏阿弥陀佛！
1699325138# #女子转售父母生前处方药被判贩毒罪🙏🙏🙏阿弥陀佛！这个过程好似🎣🎣🎣🎣🎣🎣🎣
1691873612# #18岁女生回应遭网约车司机性侵18岁女孩被性侵涉事网约车未备案这个流氓司机的背后有多少不能说的秘密？？
1703450420# #12月25日早报。1.一名中国女游客在日本滑雪场摔倒后被雪掩埋，不幸去世。2.我国未成年网民突破1.93亿，九成未成年人拥有属于自己的上网设备。3.河南安阳6村民吃火锅3死3伤，镇政府回应初查系一氧化碳中毒。4.四川一家长称6岁女童报班习武摔倒致瘫，武馆质疑孩子在外受伤。5.湖南一派出所原教导员被双开
1693165978# #男子称按处方吃24粒头孢腹泻进急诊这种超大剂量服用头孢会对肝肾有伤害吧？？
1697678101# #广州宝马车撞上桥墩侧翻起火🙏🙏🙏阿弥陀佛！又是人命关天。
1699744906# #常州一企业主被连续约谈后自杀约谈的杀伤力太大了。
1699912090# #11月14日早报。1.广西大学已对设置在摄像头下的书记、院长信箱彻底整改。2.日本大阪府部分居民血检异常，疑与水体受污染有关。3.涉嫌贩卖出生证的南宁城和医院，前副院长骗医保获刑，有患者药物过敏死亡。4.美国军机在地中海水域坠毁，5名美军人员死亡。5.贵州一老人到精神病医院戒酒被打骨折，院方涉
1695414609# #9月23日早报。。1.中美成立经济领域工作组，包括“经济工作组”和“金融工作组”。。2.美驻日大使称中方反对日方核污水排海是“经济胁迫”，外交部：美方应停止偏袒日本。。3.中国女足火力全开16-0大胜蒙古，王霜一人打入5球。。4.陕西紫阳县成功预报两起地质灾害避免2户4人伤亡，被通报表扬。。5.宁波开行8
1696883631# #北京商品房销售明码标价新规能把房子卖出去就是好办法。
1699688292# #小学校长9年强奸猥亵22名学生这种人渣是如何当上校长的？
1703896626# #武大书协通报活动获奖44人39人为干部“珞珈书院”活动获奖44人，其中39人是该协会干部，5人是前任干部。
1701823947# #清华多部门证实未开设过国学班国学是什么？被用来骗钱的国学还是国学吗？？
1695106250# #好声音起诉李玟经纪公司华纳音乐蜡烛蜡烛蜡烛阿弥陀佛！
1697766606# #武汉一未拴绳杜宾犬咬人被没收遛狗不栓绳→→害人害己害狗。
1692235560# #西安一大学生失联疑被骗至缅甸欲望是无形的鸦片，会让人坠入无尽深渊。
1695006836# #人贩子余华英被判处死刑🙏🙏🙏阿弥陀佛！苍天有眼！
1688772842# #取2.5万存款被盘问用途合规吗法律对骗子太温柔，所以骗子越来越多……
1690161704# #刀郎新歌因为这首《罗刹海市》昨晚又熬夜了。
1694546902# #9月13日早报。。1.中共中央、国务院：支持福建探索海峡两岸融合发展新路、建设两岸融合发展示范区。。2.广西玉林多地发生山体滑坡已致10人遇难，紧急避险转移5967人，强降雨致5.56万人受灾。。3.被困缅甸的中科院博士已回国：称已配合调查，将回应公众关切。。4.中国民营企业500强发布：京东阿里恒力位居前
1690019091# #中介称20万就能买国企身份这里面是否有顶戴花翎的影子？
1698788072# #11月1日早报。1.神舟十六号载人飞船返回舱成功着陆，空间站应用与发展阶段首次载人飞行任务圆满成功。2.宁夏灵武一儿童掉入污水井，2名成人入井施救死亡，儿童正在救治。3.中国籍女程序员在美疑酒驾致男伴死亡后离境失联，被指隐瞒男方死讯。4.国安部：数百非法涉外气象探测点实时向境外传输数据，分布
1696590136# #男子168元买羊腿变4根羊骨杀鸡取卵，一锤子买卖。
1691275242# #女歌手演出时被数名男观众扯腿拽下舞台？山西晋中警方通报|女演员网易新闻警方通报女歌手被男观众拽下舞台（分享自
1700522923# #黑龙江一女童疑注射阿奇霉素后死亡蜡烛蜡烛蜡烛阿弥陀佛！
1702040224# #女子实名举报武汉大学教授嫖娼赌博收回扣教授的爱好真多→→常年嫖娼并包养情人，通宵达旦赌博。
1695128035# #男子考科三遭私家车别停蜡烛蜡烛蜡烛阿弥陀佛！
1695941256# #许家印已为儿子设立信托基金这个萝卜有点大，能带出来多少泥？能洗干净吗？
1702242186# #12月11日早报。1.国家安全部发声，加方间谍内讧自我打脸，危安行为证据确凿。2.菲4艘船只企图向仁爱礁非法“坐滩”军舰运送物资，我海警依法管制。3.香港2023年区议会一般选举举行，李家超表示，新一届区议会是落实爱国者治港的最后一块拼图。4.广西一马戏团让孩子骑老虎拍照还收费，已被责令整改。5.
1691261448# #8月6日早报。。1.河北：强降雨已致220多万人受灾，蓄滞洪区转移96万人。。2.洪水侵袭涿州一水产养殖场，老板：近80万斤鱼死亡，急需无害化处理。。3.舒兰市委常委、常务副市长骆旭东等4名公职人员在抗洪抢险中失联。。4.上海一医院停车场收费人员拒收5角纸币并撕毁，被行政处罚。。5.多地回应方舱医院去留问
1702939341# #田笑蜜未还朱丹1600万垫款成老赖说谎话也是有成本的。
1696626570# #班级订演出服疑用完剪坏退货老师订10余套演出服用完立马退货这样的老师，这样的家长，这些学生长大后会是什么样子？
1697014936# #男子离开编制后父母觉得天塌了今天，有钱人未必有权，有权人一定有钱。
1699621538# #东北人一到冬天核心就收紧了走冰雪路面是东北人从小开始逐渐适应的，真的不是现学的。
1697757844# #胡锡进炒股浮亏首次突破3万元这种学费换来的是痛苦。
1696364340# #10月4日早报。1.泰国曼谷购物中心发生枪击事件已致3死2伤，其中中国公民1人遇难1人受伤，凶手年仅14岁。2.嫦娥八号拟2028年前后发射，与嫦娥七号等组成月球科研站基本型。3.假期前三天国内旅游出游3.95亿人次，文旅市场持续升温。4.部分地区倡议“腾城迎宾”：为外地游客让出路线和游览空间。5.湖南一
1690714687# #男子闹市抢女孩手机强行让其扫码光天化日之下，就敢这么做？阴天大老爷都在忙什么呢？？
1697855673# #妇联回应揭阳27岁已婚女子跳楼身亡正在调查中……，等着吧。
1692764408# #17岁少年目睹爷爷被人殴打后投河身亡是什么原因让犯罪嫌疑人如此嚣张？？
1694741845# #超9成网友认为北极鲶鱼事件应公布结果超过九成又如何？？？
1694087744# #国企董事长扎小人报复举报人这也太阴暗了，这种人也能被提拔？？
1697437840# #网传外国游客无人机撞损文峰塔外国人的飞机在河南……
1701249812# #男子一路尾随女子趁等电梯多次猥亵没看到这个这个人渣的正面照片。
1692764259# #女生学校宿舍产子作案人系同学父亲镇雄县的小梅被同学父亲多次性侵……
1689039597# #男子隐瞒婚育和同事生子拒付抚养费这不属于重婚罪吗？
1701727356# #12月5日早报。1.美舰擅闯中国南沙仁爱礁邻近海域，南部战区回应全程跟监警戒。2.每年近百万只次候鸟迁徙经过，上海崇明东滩迎来最美观鸟季。3.大熊猫“阳光”和“甜甜”将离开英国爱丁堡动物园，返回中国。4.《咬文嚼字》编辑部发布年度十大流行语，村超、显眼包、人工智能大模型等入围。5.河北亿万富
1695845002# #9月28日早报。1.美方将部分中国实体列入出口管制“实体清单”，商务部回应。2.广东阳江一学校如厕需持通行证，校方：仅晚自习试行，已取消。3.赖清德称希望有机会和大陆方面吃饭，国台办：赖皮话，自讨没趣。4.北冰洋科考取得新突破：成功布放并回收7台海底大地电磁仪。5.成都地铁上被误认偷拍男子发文
1690474547# #刀郎罗刹海市静下来听歌，歌曲影射谁那是因果。
1692829197# #亲属称被殴打的爷爷伤情鉴定重伤二级谁知道这个行凶者的直近亲属是做什么工作的？
1703193477# #老人嫌男子未让座强行坐其腿上为老不尊，他家里没有晚生后辈？
1694080442# #被老师打破头骨女生已清醒🙏🙏🙏阿弥陀佛！
1690667518# #浙江一小吃店疑遭同行投毒致10人中毒投毒，等着牢底坐穿吧。
1702857922# #网红零食也“学历造假”对于造假……，轻描淡写的处罚能起到什么作用？
1703645747# #失孤原型案人贩子1人死缓1人无期蜡烛蜡烛蜡烛阿弥陀佛！🙏🙏🙏祈愿天下没有人贩子。
1700201547# #新乡教育局被指毁约后续这一次筛选机会，能有几人入选？
1690129770# #罗刹海市那英只听歌，不联想。
1697267464# #浙江17岁少年杀害65岁房东蜡烛蜡烛蜡烛阿弥陀佛！
1690508905# #公公嫌儿媳乱花钱一脚踢裂其脾脏新世纪的替儿嫌妻。他就没想过自己卧床不起的时候怎么办？
1689317184# #南宁通报道路停车收费处理结果🙏🙏🙏阿弥陀佛！
1695278046# #逼女孩喝酒的未成年曾逼男孩吃粪便责令监护人严加管教。如果监护人能够严加管控教，还会有这样的事情发生吗？？
1696901828# #王海举报国企转账私人账户近6亿九位数而已，一个不予公开就可以打发。
1692042858# #去年我国遭遇网络电信诈骗总金额超2万亿2022年，中国遭遇网络电信诈骗的总金额超过2万亿。
1694818848# #东方时尚董事长被逮捕蜡烛蜡烛蜡烛阿弥陀佛！
1691793415# #医药代表性贿赂医生医药领域反腐要警惕某些怪论老鸨子担任药企销售科科长？？
1703722421# #男生被教授催眠后眼睛无神🙏🙏🙏阿弥陀佛！这种学问不可轻传。
1691347709# #高校1.31亿科研经费成果转化率为0🙏🙏🙏阿弥陀佛！
1700471991# #大学生实习连续五晚通宵直播后猝死蜡烛蜡烛蜡烛阿弥陀佛！吃人不吐骨头……
1694559424# #男子耍流氓被女子狂扇耳光踹裆对待流氓就不能手软。
1703896371# #人民日报评禁放烟花问题出在狗身上。
1690965820# #李铁涉五宗罪这五宗罪会牵扯到几个人？谁给的李铁犯下这五宗罪的机会？
1695434894# #关系户承包学校食堂比预制菜更可恨数字经济智库高级研究员佘宗明也表示认同，“学校后勤是个透明度极低的系统，能承包学校食堂的，不是校长的小姑子、书记的小舅子，就是其他有关系的人。”
1694436882# #父亲到校将猥亵女儿的副院长打伤🙏🙏🙏阿弥陀佛！
1693346063# #奖励初婚女性1000元能提升生育率吗用1000元来提升生育率？知道一个孩子从出生到大学毕业需要多少钱吗？
1699279556# #卫健委通报医院贩卖出生证及婴儿医院贩卖出生证明及婴儿……，这是有执照的人贩子？
1690087922# #女子面包吃出生面团却被门店踢出群聊🙏🙏🙏阿弥陀佛！
1690838456# #刀郎破世界纪录🙏🙏🙏阿弥陀佛！
1697137881# #10月13日早报。1.巴以新一轮冲突已致超2500人死亡；已有3名中国公民在巴以冲突中不幸遇难，2人失联，数人受伤。2.以色列空袭叙利亚大马士革国际机场与阿勒颇机场，损坏机场跑道，导致两机场瘫痪。3.美P-8A反潜巡逻机过航台湾海峡，东部战区：跟监警戒，依法依规处置。4.刚果（金）发生武装袭击，造成中
1697074995# #北极鲶鱼捕捞后也要有晾晒怎么晾晒？九位数都拿回来了吗？不予公开的事情能公开吗？
1696563106# #张掖七彩丹霞景区回应游客挖土带走应该从重处理，起到震慑作用。
1703300128# #朱令朱令去世蜡烛蜡烛蜡烛阿弥陀佛！也许天国会有公道。
1695867162# #国企董事长安排19名亲友担任要职传说中的一人得道鸡犬升天也不过如此。
1697211160# #武大肖某某12个月不能评奖评优12个月不能评奖评优……这个处罚很严重吗？肖家人偷着乐吧。
1703136075# #商业银行存款利率最高飙至6%蜡烛蜡烛蜡烛阿弥陀佛！安全第一，利息第二。
1702602836# #女生称遭男童袭胸老人护孙摔断腰椎🙏🙏🙏阿弥陀佛！
1694069156# #女子称景区拍照被僧人持棍追打🙏🙏🙏阿弥陀佛！禾几马户不得无礼。
1690884379# #焦点访谈曝光甘肃榆中搞面子工程这事会一查到底？还是一查到顶？甘肃榆中再斥巨资造面子
1702900043# #上海女子言语骚扰站岗哨兵这个怎么处理？
1694217942# #男子河边用钢筋磨针坚持2000多天能不能磨成针不知道，拍视频可以赚钱是真的。
1695117340# #湖南一高校疑918办演出升日本国旗选在918这样的日子做这样的事情……，需要多少稀泥才能把这事抹平？
1701331725# #应公布阿里公务员献血事件小姑姑身份蜡烛蜡烛蜡烛阿弥陀佛！
1702365134# #探访“花10万买彩票中2亿”门店：挂牌“休息中”
1698965817# #香港房价暴跌给内地楼市敲响警钟敲响警钟，警钟的作用有多大？
1689499971# #陕西一女干部用法院监督员身份帮放贷丈夫出庭讨债🙏🙏🙏阿弥陀佛！
1702331016# #物业回应小区业主欠水费800余万元小区用水费400多万，业主一家的水费800多万。
1696545830# #山东一地支持农民进城购房开发商解套，银行放贷有收入，农民被套牢，一举三得。
1693488431# #男子捡手机疯狂转账民警从浙追到鄂胡某被依法处以行政拘留……
1697836617# #与宝马相撞出租车所属公司称司机已尽力刹车🙏🙏🙏阿弥陀佛！
1699393240# #坍塌体育馆承建方从经营不善到招标大户经营不善而负债并转让，随后成了桦南县政府的招标大户。新老板的能力巨大。
1699054412# #一副市长被前妻实名举报打苍蝇蚊子很重要，清理垃圾堆臭水沟更重要。
1688881649# #如何看待留学生获生活补助🙏🙏🙏阿弥陀佛！
1692311759# #男子高铁抽烟列车长上前制止反被骂高铁上吸烟的凤毛麟角，楼道里电梯里吸烟的太多了。
1698094676# #10月24日早报。1.王毅会见不丹外交大臣，尽快完成中不边界谈判并实现建交。2.驴友在大连一景区攀岩失足坠落，1人重伤、1人无生命体征。3.足协新领导班子集体亮相，抓好青训，绝不再出奇葩政策。4.可可西里野狼“被投喂变胖成网红”，专家称不应干预动物生存法则。5.攀枝花一岁男童家门口失踪已2天，家
1701858677# #农行回应女子30万存款无法取出蜡烛蜡烛蜡烛阿弥陀佛！
1702378054# #新冠新冠病毒阴魂不散……
1694373172# #襄阳盛世唐城景区发布致歉信引发网络关注，我们深表歉意！至于事情的起因……你猜。
1689457362# #银行副行长旷工补贴家用被开除清正廉洁两袖清风。
1689071813# #运河魅影有些玄幻……
1702600841# #记者举报洗浴提供色情服务后被警方回怼年终岁尾都忙着为春晚的小品提供素材。
1693362643# #鲁山牛郎织女雕塑被疑未招标就已开工前几天说的符合流程是什么意思？？
1701205098# #11月29日早报。1.超20省份公布前10月财政账本，财政收入恢复明显，卖地收入仍旧下滑。2.中国米粉节12月在南昌举办，今年前十月江西米粉出口全国第二。3.大连多个海鲜店用鬼秤，3家商户共被罚40万元。4.多名外贸商涉生产销售枪支零配件被诉，深圳有企业主被判无期。5.黑龙江一煤矿发生事故11人遇难，初
1697161866# #孙海洋说人贩子无任何悔意且傲慢是人贩子不死给了人贩子底气。
1697317065# #男子车内当孩子面将妻子捅成重伤这样的场景会影响孩子的一生。
1689900737# #中建八局回应山东莱荣高铁事件截图分享。
1698905370# #东莞老人摆摊被收4000元摊位费村委：外包公司收的无权插手……
1689621096# #7月18日早报。1.今年第4号台风“泰利”在广东湛江登陆，中心附近最大风力13级，为今年首个登陆我国的台风。2.G30连霍高速山丹段发生8车相撞事故，已致8人死亡6人重伤。3.网传上海南站发现弃婴，警方：不实，母亲把孩子交一旁女旅客暂时代管。4.宁波发生两船擦碰事故：运沙船沉没，集装箱侧翻人员安全转
1702869690# #给住院婆婆吃泡面博主被拘蜡烛蜡烛蜡烛阿弥陀佛！说谎话是要付出代价的。
1693561987# #官方回应制服人员多次踢踹男子🙏🙏🙏阿弥陀佛！！
1696743381# #网曝高校女生被要求抽签进男生宿舍搞卫生🙏🙏🙏阿弥陀佛！
1696297789# #秦始皇想不到两千多年后六国子民花钱来拜先拜嬴政，接下来拜胡亥？？
1697916093# #10月22日早报。1.广西平果工业园区一企业发生爆炸事故致6死4伤，高温铝液泄漏到冷却水池内发生爆炸导致。2.台军宜兰外海演习时炮弹砸中赏鲸船，造成船长室玻璃碎裂，船头扶手凹陷，无人受伤。3.广东揭阳通报女子产后跳楼身亡，符合高坠死亡，排除他杀。4.四川科技职业学院回应学生涉嫌虐狗，已报警并给
1688589565# #7月6日早报。。1.歌手李玟轻生去世，年仅48岁，数年前不幸患上抑郁症。。2.我国首个开源桌面操作系统“开放麒麟1.0”正式发布，拥有操作系统组件自主选型、独立构建的能力。。3.绍兴警方侦破利用ChatGPT技术团伙制作虚假视频案。。4.报道称美批准4.4亿美元对台军售，国防部回应：坚决反对。。5.湖北一学生高
1689364033# #7月15日早报。1.今年总票房已破300亿，直追去年全年，《满江红》居榜首。2.贵州发现新类型稀土资源：选冶分离难度极大，已研发出相关技术。3.江西重拳整治网络谣言，多人在胡某宇事件中造谣被追究刑责。4.北京月最低工资标准上调至2420元，今年以来至少已有7省份上调。5.马英九73岁生日感言：促成大陆
1696711736# #六安地震🙏🙏🙏阿弥陀佛！祈愿平安！
1698129403# #吉林一小区爆炸致1死16伤🙏🙏🙏阿弥陀佛！
1700533858# #江苏无锡一纺织厂起火致7人死亡🙏🙏🙏阿弥陀佛！
1693472803# #中国男篮vs安哥拉男篮视频分享……
1698469119# #中小学生连厕所时间都快没了孩子来到这个世界上就是为了上课？
1693458793# #吐槽鲁山天价雕塑被威胁导游称已报案然后呢？发邮件的人是悟空？还是六耳猕猴？
1697183066# #沈阳通报幼儿园老师逼孩子吃呕吐物这事辞退就可以了？法律去了哪里？
1701350024# #江苏新增艾滋病例3584例蜡烛蜡烛蜡烛阿弥陀佛！
1690621781# #8岁女孩练习南拳南刀动作超飒少年强则国强。
1702378234# #成都地铁偷拍案影响扩大系男方责任蜡烛蜡烛蜡烛阿弥陀佛！！
1696536025# #陈某煽动误导村民拿东西被刑拘被煽动被误导的村民……
1692862850# #女子晒短裙和礼物称＂高副处长送的＂官方回应
1694296686# #已婚男嫖娼法院以珍惜亲情为由不准离婚🙏🙏🙏阿弥陀佛！
1697451591# #博主100元吃遍东北早市被指造假这种造假的视频有多少？谁来管？
1698042783# #因鼠头鸭脖等事件两地政府负责人被约谈被约谈了，接下来……
1697138276# #网传被举报性骚扰男生为武大保送生武汉大学学生工作部工作人员回应，不方便透露学生身份，学校正在调查此事。
1689398739# #学生疑被老师罚站太阳下中暑去世这个季节太阳底下罚站，太狠了。
1688615515# #天津路人大爷一铁锹拍蒙歹徒看评论留言……
1698119375# #学者称股市涨1000点居民财富多25万亿🙏🙏🙏阿弥陀佛！
1691883772# #警方进一步回应水果捞纠纷案看12号的蓝色通报上说不买的原因是怀疑分量不够。那么分量是不是真的不够……
1691609397# #8月10日早报。。1.四川雅安陇西河涨水多名游客被冲走：已致7人遇难，4人获救，巡河队员曾劝阻“汛期不能下河”。。2.截至8月8日24时，北京因灾死亡33人、18人失踪，暴雨致房山超2万户房屋损毁倒塌，6300余辆汽车被淹。。3.电脑故障致569名已派位儿童未被录取，广东普宁：按故障前派位入学。。4.重庆丰都通
1693347676# #鲁山县通报花700多万建牛郎织女雕塑县住建局局长免职，骂记者的工作人员记大过。给视频评论牛郎织女塑像的导游发威胁邮件的人如何处理？？？
1700629984# #五保户在银行存一万变保险退保亏3500这是神州特色，已成默认模式。
1702723662# #俞敏洪致歉能把网友拉回直播间吗微博热搜被承包了？？
1695552359# #小学老师操场脚踹训斥女学生流浪狗咬人～不需要负责。
1694722560# #入职体检报告写表情呆滞智商偏低体检人病史上写着：表情呆滞、反应迟钝，体检报告给出的体检建议是：智商偏低，用人单位酌情考虑。体检报告上写有体检医生的名字。
1702687412# #国家公祭日男子身贴日本国旗出行这货不怕挨打？？
1689317049# #公摊面积为何不能取消夏天里的蚊子能不喝人血吗？别问喝多少……
1698221466# #除夕A股正常开市年年难过年年过。
1697058365# #武汉大学🙏🙏🙏阿弥陀佛！
1703812488# #班主任怕学生冻腿用纸箱围课桌挡风教学楼没有暖气？
1691181809# #8月5日早报。。1.黑龙江五常、尚志局部降水量或破历史极值，尚志堤防出现重大险情。。2.东航C919大型客机首次“双机运营”沪蓉快线。。3.重庆：事业单位招考个别考生作弊属实，已抓获组织团伙成员。。4.河北涞水涿州满城等多地启动募捐：受灾群众多，经济损失重。。5.聊城通报“城管拔走小贩车钥匙被民警要
1695291313# #福建一小学家长需要轮流每周去教课🙏🙏🙏阿弥陀佛！只要孩子在老师手里，家长真的很听话。
1689311871# #制伏上海地铁辱华女当事人质疑警方通告🙏🙏🙏阿弥陀佛！
1690820584# #8月1日早报。1.北京门头沟区强降雨已致2人死亡，平均降雨达320.8毫米，五个镇手机通信中断，部分地区电力中断。2.广州警方通报男子地铁安检门外持刀挟持女子：已被制服，无人受伤。3.四部门对部分无人机实施出口管制，大疆回应：严格遵守执行。4.马来熊被疑“人假扮”，杭州动物园：熊在山中坐，热搜从
1698720973# #山西一患者疑被医生输入禁忌药物致死蜡烛蜡烛蜡烛阿弥陀佛！人命关天。
1689786478# #7月20日早报。1.谢丽君将参与女足世界杯首轮执法，系唯一中国裁判员。2.西安警方通报出租车司机被乘客殴打：两人涉嫌寻衅滋事被刑拘。3.广西阳朔通报景区筏工殴打游客：3名筏工被拘，公司领导停职。4.一连三天，马英九陪同大陆高校师生团走访三所台湾高校。5.广东廉江通报男子反复扇打婴儿：已采取强制
1694761704# #警方通报初中投毒者为2名13岁女生13岁女生投毒，这么小的年龄做出这么恶毒的事情。
1701303673# #妻子用离婚威胁丈夫婚前房产加名明抢呀？不应该制裁吗？
1700648968# #女童被安排收拾全班餐具20天遭开除孩子累的腿疼不能上学耽误了继续收拾餐具被开除。
1703812843# #武汉大学书画大赛获奖44人39人为干部一共44名获奖人员中竟然有39名是武大书邪的干部，剩余5名则是武大书邪前任干部。
1701824163# #糖尿病开始拖垮年轻人🙏🙏🙏阿弥陀佛！年轻人太不容易了。
1703996861# #机场判官称在昆明机场被打蜡烛蜡烛蜡烛阿弥陀佛！处理……
1694662256# #区委副书记醉驾被查找人顶包🙏🙏🙏阿弥陀佛！🙊🙈
1697855553# #老师上课没收学生手机被2次锁喉🙏🙏🙏阿弥陀佛！
1702089416# #警方通报中学生被同学刺伤致死蜡烛蜡烛蜡烛阿弥陀佛！
1699279880# #警方回应医院与中介合伙贩卖出生证医院与中介合伙贩卖出生证……，，，，太黑暗了。
1698371066# #西安机场为什么会这样？可以追责吗？
1688442700# #男子故意1次取1元逼哭柜员银行关心储户钱的用途？也许就是随口一问，应该不会跟踪钱的具体用途。
1694210808# #大学生贷款参加就业培训后自缢身亡教育产业化……
1692742888# #中国驻缅甸大使馆回应中科院博士被困🙏🙏🙏阿弥陀佛！
1703736376# #银行理财惦记上了你的年终奖蜡烛蜡烛蜡烛阿弥陀佛！
1697183659# #孙卓被拐案一审宣判拐骗者获刑5年获刑5年，真便宜，这是遇到打折优惠了吗？
1694473986# #重庆被霸凌女生家属发声🙏🙏🙏阿弥陀佛！事发已10天，仍无处理结果……
1694633631# #9月14日早报。。1.泰国将对中国游客施行5个月免签政策：自由行热度上涨253%。。2.成都一癌症晚期患者被拒乘飞机引热议，国内多家航司称医生开证明可乘机。。3.中华儿慈会千万救命款被卷走，负责人柯某孝已被河北警方拘押，正接受调查。。4.上海一女子“痛不欲生”20年每天剧痛几十次，植入电极缓解疼痛。。5.
1698189371# #陕西一交通局拖欠男子770万工程款🙏🙏🙏会有公道吗？
1698119550# #已缉捕电诈集团重大头目和骨干387名斩草要除根。
1688888316# #＂宝马女司机撞人案＂受害者用写字板表达诉求:我要抗诉
1695884857# #因证据不足14岁女孩被认定为卖淫女【荆玉柱因涉嫌强奸罪被刑事拘留。但最终被起诉时，【罪名为嫖宿幼女罪】。是谁发明的嫖宿幼女罪？？
1694983703# #夫妻偷渡到缅北后因业绩太差被打感谢政府部门对骗子的手下留情。🙏🙏🙏阿弥陀佛！
