1679806719# #人口下降雪崩，没有人，谁来买房子？现在已经够几十亿人住的房子，没有人来接盘。
1679442228# #看A股的消息，媒体传播天天向好的正能量，难道他们不知道股市的设计主要是从市场无成本抽血以解决企业的纾困融资吗？
1662421425# #早ﾉ☀。昨日风雨，今天阳光灿烂，台风轩岚诺已然过去了。
1690189526# #个税在税收总收入中不可或缺。从1980年～2022年，40多年来，个税在税收总收入的比重总体上是不断提高的.。最低是1980年，个税0.0016亿元，税收总额571.7，个税占比0.0003%；。最高是2018年，个税13868.59亿元，税收总额152981亿元，个税占比9.01%；。
1695761746# #底层人的觉悟就是，仇日反美亲鹅！
1692071321# #看似鸡零狗碎的生活，都是正常的，诗和远方代替不了一日三餐，你的信念终究要有一个栖身之所。。面对显赫的人，不要太害怕，因为他们也曾走过你今天走过的路，有多少闪光，就有多少至暗时刻。。任何时候都要看清自己，别觉得自己那么伟大，也别觉得自己那么渺小（李健）
1679226061# #当前加密货币总市值为1.19万亿美元，比特币市值占比为43.8%，以太坊市值占比为17.9%。
1686087998# #多么锥心的话：普通人生娃不是传宗接代，而是传递苦难。
1665868285# #早ﾉ☀。原来，吃饭还有这般讲究。
1657616120# #今日沪指跌势至今，业已三连阴，第一根阴线跌破5日均线，第二根阴线跌破20日均线，第3根均线跌破120日均线半年线，且5日均线和20日均线、日MACD、日kDJ形成“三死叉”，短期空头气氛弥漫，若不能在短期内收复半年线，对市场的信心是个重大的打击。。深指、创业板也是三连阴，但下方的半年线仍构
1686600477# #大饼比秃就在26000下方波动，上不去，也不会深跌，不会深跌不代表不会跌，想想微策略手里有几十万枚大饼比秃，平均成本在29800，在明年减半周期到来前，肯定会有所动作。
1665199521# #黄胄先生画猪
1687313305# #王健林和王思聪父子王思聪王健林致我们终将逝去的青春
1699485758# #小银行几乎没有存在的必要，因为土壤、气候——人情、私欲无所不在，还有随时强势介入的权力之手，内控非常薄弱，只有PPT非常好看。
1690661965# #大饼比秃坚守29000上方，慢慢苦熬，静待日线指标转强。
1662946347# #美国海军陆战队喷气登航测试
1689888676# #为什么要打民营经济这张牌？因为就业如救火，而不是经济。。国企的正规编制不可能开放的，派遣制员工也基本饱和，不可能再增加派遣员工，国企承担的基建项目，需要分包或招聘临时用工，但数量有限，就业还得靠民企。
1657745768# #奇怪，美国三大股指收盘都是阳线，可是道琼斯跌0.67%，纳斯达克跌0.15%，标普跌0.45%。原来股指都是低开再向上拉，成交平量或缩量，实际是无力反弹，又想把图画得好看一点，收盘＞开盘即为阳，实际比昨日是下跌的，假阳实阴允悲
1702241304# #大饼比秃燃起了“冬天里的一把火”比秃技术指标
1659833672# #行将就木的老韭菜根允悲
1660994165# #自性本清净，起心便是妄。
1671705702# #很多企业躺倒一半的人，一波一波疫情接踵而至。
1684096508# #大饼比秃周、日、4小时、1小时周期kDJ都处于死叉状态，昨夜上插针至27200又快速回落，画了个门，回到寂寞的起点，在27000～26000之间波动。
1675205221# #美股三大指数红盘报收。。比秃币等加密货币没有跟涨，反而出现了下跌态势，比秃币6小时、日MACD、kDJ都出现了死叉下行的迹象，只有周7天MACD、kDJ尚处于金叉，但各自的快线指标出现了走平迹象。因此，比秃币短期调整，中期看多，特别是比秃币脱离17000～22000箱体成本上方，几乎没什么盈利空间，
1682968393# #比秃币回到28500～26500箱体平台。
1664630051# #（转）以下总结拟上市IPO企业死法十式：。1、脱离券商规范辅导要求，我行我素；。2、各方关系不摆平，仇家举报起诉；。3、财务造假；。4、关联方控制了发行人的生产、销售环节，独立性存在严重缺陷；。5、内控摆样子，不能合理保证企业财务报告的可靠性；。6、会计核算薄弱，不规范，没有高薪请有水平的财务
1677039740# #有信息传闻，全国共有6亿栋楼（是栋，不是户，不是间），平均两个人一栋楼，房产过剩到了什么地步？
1656487083# #白鹤到水稻田，真正的绿色生态。
1660862893# #早ﾉ☀。要感谢那些困难的日子，让你学会了成长。
1656809467# #我们每个人都是在自己的认知范围内，站在自己的视角看世界看别人，而且大都觉得自已是正确的，可是每个人视野有高低，。对外部世界认知的深度和广度不同，决定了每个人的精神层次不一样。（张以荣）
1690492330# #“抠门”的郭德纲，传给了曹云金一身相声功夫。甭管郭德纲在经济上怎样抠门，老郭夫妻曾经是把曹云金当亲儿子看待的。曹云金生日宴反出师门，以行动欺师灭祖是坐实的。。曹云金一身相声技艺，还不是郭德纲呕心沥血倾囊相授的，这种“无形资产”，“非专利技术”，曹云金全部学到手了
1701499956# #笑cry
1656976305# #地方城投高息“续命”。一些地方城投不惜以10%的成本融资。这类定融产品对外推介名称中一般有“定融计划”、“债权资产”等字眼，融资主体不仅有区县城投，还有AA+发债主体。。其原因在于地方财政收入尤其是卖地收入大幅下降且融资渠道没有明显改善，地方城投不得不通过高息定融“续命”
1663841174# #美国国防部长奥斯汀普京的核讹诈：我们早已经准备好了，至于外界传俄罗斯动用核武可能性，那完全是无稽之谈。俄罗斯的核武处于我方24小时监控中，有等于无！他们只会找个借口掩饰他们的失败。
1689762541# #八角笼中王宝强姐姐王永芳饰演姐姐，戏内戏外两人都是亲姐弟。
1703554840# #大饼比秃继续盘整，等待一触即发
1657491257# #当心日线级别“画门”。4天前比秃鼻成交没有放大的情况下，以成交平量画出大阳线，促成5日20日均线金叉，次日即以成交巨量收长十字星，昨天，今天分别以小十字星、中阴下跌，日线图上可以清晰地看出“画门”的痕迹，上涨无量，下跌放量，这不是好兆头，至少是现货市场短期诱多，但是日线图上，
1663949689# #中国秋分时节，美股三大指数都是跳空低开+长阴暴跌。
1670760003# #上证指数月、季度、年线：在大三角形内的矩形箱体内震荡，矩形箱体上轨3731.69，下轨2440.91，中轨3086.3
1672023711# #今天是毛泽东主席诞辰129周年
1661817821# #8月30日，上证指数报3240.73点，上涨0.14%，成交额3637.30亿。。深证成指报12018.16点，下跌0.34%，成交额4820.77亿。。创业板指报2630.51点，下跌0.37%。总体上个股涨多跌少，两市约3000只个股上涨。两市成交额8458亿，较上个交易日缩量834亿。。盘面上，热泵、油气、HJT电池、虚拟
1670809632# #股市医药相关板块涨幅居前
1692667545# # 截至2023年8月18日，据经济观察网统计，短短10天内，TOP50房企中，就有金茂、融创、远洋、中梁、路劲、雅居乐、保利置业、宝龙地产、时代中国、碧桂园10家港股上市房企发布了亏损警告
1658950701# #州杰的文字是真实的，现实就是这样，这是个诚实的孩子。。二舅的视频是摆拍的，让你安心做韭菜，还能活出哲学家的高度。
1679179011# #比秃币小时级别顶背离进行调整，小插曲是夜间突然下插针再快速拉回，估计是“半夜鸡叫”先爆多再爆空的老套路。日周期技术指标保持多头态势，春季攻势继续。
1699669082# #退休后才发现，除了家人，什么同事、同学、朋友，都是人生过客，最终都会全军覆没，什么攀比、计较、面子，都越来越没有意义，都是些折磨人的东西。（莫言）
1694118222# #”三十年河东，三十年河西“，风水运势，普通人在30年左右有很大的改变，就每个人的个人的纵向来看，无论怎样，三十年左右的时间，该发达的已经发达了，平常的就平常，过了三十年，基本成型，到了老年就是乐天知命。横向比较，发小，同学，同事，朋友，都是一样地老去，有的却已经走了，有的官运财运不
1670112203# #勿在别人心中修行自己，勿在自己心中强求别人。（三毛）
1670538190# #早ﾉ☀。周末到了
1697922902# #形势是好还是坏？。江苏在编人员下海创业可留编3年，原单位缴纳社保，正常晋升薪级工资。
1667865758# #比特币5周即将金叉20周均线之际，“将金不金”，开启涨势的火候未到，周kDJ快线由上行转为走平，比特币走势继续在17000～22000箱体内震荡。
1663195525# #比秃鼻日K线，长阴之后下跌中继，周K线波澜不惊，“底部”堆量，明显有资金进场。
1670761094# #皮亚佐拉古典吉他《遗忘》
1666307033# #10月20日，上证指数报3035.05点，下跌0.31%，成交额3400.91亿。。深证成指报10965.33点，下跌0.56%，成交额4561.51亿。。创业板指报2401.72点，下跌1%，成交额1583.59亿。。两市合计成交7962.42亿。总体上个股跌多涨少，两市超2900只个股下跌。两市成交额8053亿，较上个交易日放量4
1689850882# #布里丹之驴。驴子会根据眼前利益作出判断，选择吃离它更近的东西。如果你把两捆干草放在离它等距离的位置，它就无法在两捆干草之间进行判断并做出选择，这样持续下去，驴子就会活活饿死。
1660948066# #8月19日，上证指数报3258.08点，下跌0.59%，成交额4578.63亿。。深证成指报12358.55点，下跌1.27%，成交额6623.49亿。。创业板指报2734.22点，下跌1.5%，成交额2329.23亿。。总体上个股跌多涨少，两市超3500只个股下跌。两市成交额11202亿，较上个交易日放量661亿。。盘面上，
1669940886# #隔夜美股三大指数一涨两跌，纳指涨，道指、标普跌，目前都在5日均线上，缩量，尚属短期强势。
1666593217# #市场信心遭到打击，两点半，上汽集团跌1.76%，招商银行跌4.7%，贵州茅台跌7.13%……白马股怎么了？
1677221254# #比秃币日、4小时、1小时的kDJ目前都处于死叉状态，短空情绪。
1668657275# #彭博11月17日消息，知情人士透露，加密货币放贷机构BlockFi正在为几天内申请破产保护做准备。该公司以FTX倒台带来不确定性为由已经暂停客户提款。
1664537626# #乌克兰有好几个核大国承诺的核保护。
1690324738# #德勤将完善ABCDR五大方面布局。A：AI，人工智能，包括人脸识别、图像识别、，自然语言学习等。。B：blockchain，区块链团队。C：cloud，云计算。D：Bigdata，大数据和数据分析。R：RPA，机器人流程自动化。
1690491007# #学会幼儿园或者小学一年级加减算术，就有了基本的逻辑。。某国一年只有正常的几千例人体器官供应，却能做几万例人体器官移植手术，巨大的缺口从哪里来？大多数不是从缅北交易市场买来吗？
1664493080# #天青色等烟雨。比秃鼻在17000～22000箱体中轨19500附近震荡，上下振幅不大，成交量阶梯式温和放大，等待突破契机。
1668041338# #全球首家“元宇宙”图书馆年底在上海临港开馆
1693662649# #说得是李嘉诚吗
1669765170# #美国商品期货交易委员会（CFTC）主席RostinBehnam表示，若CFTC获得对现货市场的监管权，可以更容易地打击不良行为，这将保护普通加密货币投资者。。Behnam表示，参议院正在审议的立法还将提高对交易平台的透明度要求，这将有助于确保它们不会将客户和公司资金混淆，就像FTX那样。
1666818155# #早ﾉ☀
1661213544# #去年下半年“元宇宙”最火的时候，国外一宗虚拟地块的价格甚至高于北京的一套别墅，然而，近期根据WeMeta平台数据显示，有的虚拟地皮暴跌超过80%。
1663106677# #咨询行业巨头Gartner将元宇宙定义为“虚拟世界和实体世界的下一级交互”，并发布元宇宙技术短期采用的6大趋势：游戏、数字人、虚拟空间、共享体验、代币化资产和空间计算。
1686285281# #励志
1693349732# #隔夜美股三大指数涨势收盘，老美涨，基本是经济的晴雨表。这锅的，房事、汇率、就业、经济摇摇欲坠。这不，股市煽动起来，强行逼涨，造成经济欣欣向荣的景象，一边给有背景企业或者没有背景企业创造背景零成本上市融资。拉到高处，再收割韭菜，补充社保等部分窟窿，一边找几个没背景的小庄家开刀以平民
1671017291# #今天股市收盘，上证指数尝试收复5、10均线，无功而返，kDJ死叉状态中，macd红柱缩短即将死叉，短期空头占优。
1659388713# #隔夜美股三大指数受阻于半年线微跌，日Macd“蛟龙出水”支持做多。
1692244863# #医疗如此
1702071941# #进攻的斜率变陡，有在减半周期前制造一个顶部的架势，然后再暴跌，再盘整再涨。比秃技术指标
1687645591# #78岁老者和他的“小棕熊”
1668226361# #币圈恐慌气氛增加16%
1689825410# #作揖
1656631845# #命中曾经有过的灿烂，终究都要用寂寞偿还。。人生终将是一场单人的旅行，孤独之前是迷茫，孤独过后便是成长。。——哥伦比亚·马尔克斯《百年孤独》
1674469000# #为什么要救房地产？。地方债务+财政收入→银行→开发商卖房+拿地→韭菜上车。房地产各种政策放开，就是要把地方债务和财政收入的一部分，传导、转嫁到韭菜头上。
1692576444# #一个家庭想往上走，父母的作用不可或缺：。父爱则母静，母静则子安，。子安则家和，家和万事兴。。一个家庭走向衰败：。父懒则母苦，母苦则子惧，子惧则家衰，。老无德，父无能，妻受罪，子劳苦。
1696291355# #许家印的“大红包”允悲
1669760840# #莫听穿林打叶声，何妨吟啸且徐行。。竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生。。（苏轼）
1669679645# #朋友圈刷满了生意经。优秀的人都去从事保险了，买了保险就会逆袭灾难下人生的跨越性富有；这橙子那橘子土鸡，美颜，健身，能够健康大补、包治百病；这培训那培训，上了它们的课，逢考必过，境界升华，傻黑甜白富美……至于链接、积分、优惠、好评，波涛汹涌……打着“低息”贷款的高利贷直接勾
1661206835# #隔夜美股三大指数皆跳空低开低走，跌破20日均线，日kDJ、MACD均发生死叉，开启短期下跌调整。
1670923820# #今天股市收盘，上证、深指、创业板、科创50集体缩量收跌，且都继跌破5日均线后，再破10日均线，日kDJ都处于死叉状态中，短线调整气氛。
1702861795# #因2018、2019、2020年半年报及2018、2019年年报存在重大遗漏，2019年年报、2020年定期报告虚增其他流动资产、虚增利润，R艾格（400118）被证监会责令改正，警告，并处以500万元罚款。9名责任人被警告并罚款，其中时任副总经理、董事会秘书、财务总监、董事刘汉玉被处以350万元罚款。
1676155616# #交易是心理游戏
1666649086# #10月24日，上证、深指、创业板分别大跌2.02%、2.05%、2.43%，成交金额分别增加796亿元、891亿元、331亿元，市场呈现明显的价跌量增。只有科创50一枝独秀，涨0.16%，成交金额增加57亿元。。市场上涨家数：下跌家数为1438：5081，大盘和小盘平均涨跌幅为–2.9%：–0.8%，白马股茅台、招行等大跌
1669246239# #早ﾉ☀。颈椎病犯了，睡眠、饮食差多了
1688243110# #大饼比秃周指标，kDJ低位金叉，MACD空中加油，不必为短期涨涨跌跌患得患失。
1656620803# #美国三大股指“短发长腿”十字星收盘，抵抗跌势，怎么看都像下跌中继。
1656710683# #早ﾉ☀。昨天出梅，凉爽许多。起床啦ヾ(￣◇￣)ノ〃
1701764690# #帝国主义亡我之心不死。12月5日，穆迪评级公司发布报告，维持中国主权信用评级不变，但将评级展望由“稳定”调整为“负面”。
1659566653# #反弹动能未竭。比秃鼻依托5周均线窄幅震荡，低位放量，周kDJ保持金叉状态，反弹动能仍在。后面等待周MACD能否金叉，若金叉成行，大概率向上触碰三年来“双头”颈线位28000。
1667830324# #黄梅戏也可以唱得如此妩媚而俏。
1664053918# #早ﾉ☀。今早新冠核酸大筛。
1660611786# #美国加息，中国降息，能遏制资本外流吗？
1680436443# #对加密货币持反对态度的知名经济学家“末日博士”NourielRoubin在最近一篇MarketWatch专栏文章中断言大多数美国银行在技术上都接近破产，从资本质量来看数百家美国银行已经完全资不抵债，不断上升的通货膨胀通过增加银行的“存款专营权”（一种不在其资产负债表上的资产）来降低银行负债（存款）的真
1680905227# #为“穷”所困
1680291709# #隔夜美股三大指数三连阳，反弹有力。
1697831683# #大饼比秃日、周kDJ都处于金叉状态，微策略等很多机构的平均成本在29800附近，“彩虹图”处于第二色带，现在还是处于底部区域，耐心很重要。
1666568574# #比秃鼻回到17000～22000箱体中轨19500附近
1666914964# #比秃鼻昨天反弹，最高上摸至21000上方，受到20周均线压制，会落到20000偏上区域盘整。总体走势仍在17000～22000箱体内，大概率这个区域是下次减半行情发动前的底部区域。
1668397635# #火币科技与火币
1669017576# #空中流星陨石，砸中非死即残。
1660260684# #8月11日，上证指数报3281.67点，上涨1.6%，成交额4273.99亿。。深证成指报12474.03点，上涨2.05%，成交额6392.75亿。。创业板指报2721.49点，上涨2.37%，成交额2378.93亿。。两市成交额达10667亿，较上个交易日放量1005亿，盘面上，券商概念、消费电子、Chiplet概念等板块涨幅居前
1668372987# #早ﾉ☀。昨晚开始，温度骤降，有初冬的味道了。
1664493583# #欧盟反洗钱法规修正案涵盖DeFi、DAO和NFT等领域。欧洲议会成员针对在反洗钱（AML）和反恐融资（CTF）监管条例的立场而起草的一系列修正案，新的修正案将法规的范围扩大到DAO、DeFi协议及其开发人员，以及交易NFT的用户。元宇宙也成为洗钱的潜在依据，加密资产服务提供商在处理超过1000欧元的交
1703400912# #赞
1663806394# #戴维斯双击：低市盈率买入，高市盈率卖出，价格P=每股收益EPS/市盈率PE
1686811275# #人工智能深度神经网络，模糊识别，模糊思考，不会犯迷糊吗？
1666115725# #早ﾉ☀。听有声小说《古董局中局》里面有这么一段话：人生在世，总得要坚持一些看起来很蠢，而自己愿意做的事。
1670966071# #新冠疫情发展到现在，病毒毒性大大降低，但是一旦中招，有得有持续几天发生高烧、浑身酸痛的症状，熬过这个痛苦的几天最为紧张，关键是退烧，现在退烧药脱销了。
1666756228# #小狗，小猫，还是小狐狸？分不清了。
1656090995# #早ﾉ☀。窗外大风暴雨，甚是凉快。
1667914603# #【格隆汇】“私募魔女”李蓓最新路演：先做多A股，后做多港股，最后做多商品。
1658339104# #早ﾉ☀。思考未来允悲
1662626143# #9月8日，沪指跌0.33%收于3235.59。。深指跌0.86%收于11746.92。。创业板跌1.86%收于2523.01。。科创50跌0.84%收于1040.77。。四个市场都呈现价跌量缩，共缩量1095亿元。上涨家数：下跌家数为1137：3630，涨停：跌停为49：7，一带一路涨停12家，国资改革涨停7家，军工涨停7家，光伏涨停7家。。
1668025957# #FTT跌势不止，加密市场的情绪安抚不下来。
1666993991# #早ﾉ☀。秋意浓，岁月柔🍂
1658357352# #“所见即所得”现房销售才保险。近日，福州市永泰县土拍要求“现房销售”，购房5年限售，限最高溢价率20%
1664061228# #“天地视万物为刍狗”，是怎样，就怎样，贫富贵贱，爱恨情仇，生老病死，一切都安排好了……
1657415382# #世界各国、地区房贷利率，中国大陆最高
1685354589# #女子四七，筋骨健，发张极，身体盛壮，但是到了五七，也就是35岁，皇帝内经又说了，女子五七，三阳脉衰于上，面始焦，发始堕。
1660715661# #VR，虚拟现实；。AR，增强现实；。MR，混合现实”（PassthroughMixedReality），头戴式显示设备，或许能推动头戴设备取代手机，成为下一代个人终端设备。
1697793061# #英大的首席李大霄嘴鬼斧神凿巧夺天工，经常兴致勃勃预测股市，还自自诩是散户利益代言人。。最近的一次预测说这个月上海股市再也见不到3100点以下，这几天股市什么情况有目共睹，特别是今天放量击破3000点，这张嘴真能说。。前几年李大霄有次喋喋不休评说香港股市要涨，结果香港股市那天
1694763327# #东方财富的“短线雷达”，天天能抓涨停，为什么不给养老基金用？这是利国利民的事。。看看现在养老基金，亏得一塌糊涂。怪不得管理层这段时间发布各种利好消息，硬托股市，这是要给他们解套+赚钱呢。
1666216669# #比特币选择了秋天的躺平，微风涟漪，波澜不惊。
1692814806# #美股三大指数集体上涨，特别是纳斯达克涨幅最大，有力地提振加密圈的信心。大饼比秃闻风而动，一举收复了26000实地。
1691098088# #设计的房地产大致这样的走势：一季度、二季度颓势，三季度托住热点大城市板块，四季度及以后托住小城市。。现在托市的思路，先稳住超大、特大城市这些人口在500万以上城市的房价，再伺机刺刺激三、四线及以下的城市的房价。最近的城中村改造，就是托住、稳住一线大城市房市之举。。羞羞
1669246322# #隔夜美股三大指数集体收涨。
1700427004# #大黄
1659100752# #野味的浪漫
1692925388# #2023年全国注册会计师考试开始了注册会计师考试注册会计师
1672095076# #现在第十天，基本康复了，还是偶尔有轻微咳嗽，想买点川贝枇杷膏润润肺，货全部抢光了。
1670882203# #以前感冒发烧，就用三九感冒冲剂对付，现在人心惶惶，担心病毒大流行，看到各种词汇，布洛芬，美林，芬必得……新鲜地听说，都是发烧时用的，但是实体药店买不到，网上也买不到。
1655941636# #MobiusCapitalPartners联合创始人：加密货币是投资者信心的衡量指标。MobiusCapitalPartners联合创始人MarkMobius周三在接受采访时表示，如果你是股票交易员，现在或许应该把注意力转向加密货币。Mobius认为，加密货币是投资者信心的衡量指标，当比特币下跌，翌日道指便会下跌，由此形成了
1665184671# #比秃鼻、二姨太、大狗仍然在5周均线附近震荡。
1692019514# #人生三大错误：。一是向糊涂人，说了明白话；。二是试图和不靠谱的人，做正经的事；。三是和无情的人，谈起了感情，讲起了交情。（曾国藩）
1698300285# #网络谣传，“许皮带”的“皮带”断了，不然会咬出很多人。要知道恒大欠债2.4万亿，其中银行近万亿了，许皮带哪有那么大的能量？。许皮带再不挂，很多人寝食难安，睡不着觉。
1695329489# #比秃维持31800～24800平台震荡，上轨是年初以来反弹最高点，下轨是颈线，也是打破反弹上升趋势线后最后的支撑。
1687556130# #大饼比秃做多为主，机构发力，单这个微策略成本为29800
1660691268# #隔夜美股三大指数一涨两跌，道琼斯涨势收盘，攻克年线。标普、纳斯达克微跌，仍然保持在5日均线之上的强势。
1662765647# #“一人买房全家帮”，想得美，全民皆韭，连韭菜根也不放过。
1681040058# #三浦友和与山口百惠致我们终将逝去的青春
1689366701# #放下即菩提，心静自然凉。。治愈系禅修养心菩提我的佛系生活
1696369866# #大饼比秃受阻与200日均线，回撤至5日均线上方；同样是受阻，姨太跌落与5日均线下方。从前天夜里到现在，大饼比秃和姨太等于画了个门。
1668026210# #“春江水暖鸭先知”，短短几天，与FTX相关联的SOl已经腰斩，下坠之势未消。
1668956033# #总有牛人！16247.16%收益。这不等于一次性过注会全科、税务师全科么。
1660292451# #让战争走开！。亲情爱情友情永驻！
1700885809# #河南周口市住房公积金管理中心针对在校大学生推出预缴住房公积金政策，在校大学生每月预缴1008元公积金，交够半年，毕业五年内可贷60万。
1698311563# #法国强制餐馆给“预制菜”加标识，有望明年出台相关法规。中国可以做到象法国一样吗？给老百姓知情权，让老百姓自己选择。。预制菜
1679431224# #在预期加息25基点，甚至不加息的气氛中，隔夜美股三大指数红盘涨收。
1676000454# #俄国人占领了很多中国领土
1673471361# #冬天寒九天，居然最高温度能达18⁰C，好热哦
1673537800# #世事无常
1671172174# #上证指数kDJ、MACD已经死叉，空头气氛明显，5日均线下拐，如果和20均线接触构成死叉，那杀伤力太大了。成交阶梯型缩小，资金流出ing，岁末年初还是小心一点。
1668483248# #FTT创下新低1.19后再反弹，反弹过后呢？……
1696404250# #美国财长耶伦：人工智能可能对生产率带来完全不同于往常的影响
1680700836# #FUD，即Fear,Uncertainty,Doubt，英文意思为惧、惑、疑，在客户注入疑惑与惧怕，以打击竞争对手。
1659786565# #小刺猬偷西瓜允悲
1688160434# #蔡徐坤？
1658532116# #短暂调整为蓄势。比秃鼻在17000～22000箱体震荡一月，特别是近半个月放量明显，显示有资金进场。在资金的加持下，近日突破箱体上轨22000，最高触及24000附近，现在回落到23000附近波动，日kDJ低头预示着调整，调整蓄势后继续反弹，近期入场的资金才能拉离近期入场成本区。
1665447927# #生者百岁，相去几何。。欢乐苦短，忧愁实多。。何如尊酒，日往烟萝。。花覆茅檐，疏雨相过。。倒酒既尽，杖藜行歌。。孰不有古，南山峨峨。。——唐·司空图《二十四诗品·旷达》
1655859535# #经济日报：比特币暴跌还需警惕归零风险
1689529969# #大饼比秃日MACD处于死叉状态，快慢线继续向下发散，这种情况下是在释放部分空头能量。
1698936108# #尽量地学习，尽量地经历，尽量地旅游，尽量地吃好东西，人生就比较美好一点，就这么简单。”（蔡澜）
1665522476# #早ﾉ☀。不可预知随时封控的战战兢兢，得“备战备荒”，多准备吃的。
1670194408# #早ﾉ☀。梦中仙境
1660430155# # Huobi创始人正在以30亿美元估值出售其在火币的股份。Huobi集团创始人李林正在与一批投资者谈判，希望以30亿美元的估值出售其在火币大约60%股份，据知情人士透露，Tron创始人孙宇晨和FTX交易所已经与Huobi就股份转让进行初步接触，他们要求匿名讨论私人信息。包括真格基金和红杉中国在内的股东
1656113771# #6月24日中国股市概览。上证指数报3349.75点，上涨0.89%，成交额5096.16亿。。深证成指报12686.03点，上涨1.37%，成交额6506.55亿。。创业板指报2824.44点，上涨2.33%，成交额2316.32亿。。总体上个股涨多跌少，两市超3000只个股上涨，连续两日超百股涨停或涨超10%。两市成交
1677104093# #比秃此番调整，就技术而言，是日MACD触发的顶背离，4小时周期有期望的迹象，大致在22000～24000区间附近企稳后，再选择突破方向。
1701954619# #赞
1686290410# #允悲
1690136534# #周日晚七点Jc在马路上查违章停车，周日，晚七点，不嫌累哦。联想到居委会上门查户口，近期可能要召开什么重要会议，或者有什么重要活动。
1672355372# #昨天股市收盘，上证、深指、创业板、科创50都守住了5日均线，今天是2022年股市最后一个交易日，说什么也要拉一下，给阴霾的天空，撒一些阳光吧。
1669760515# #隔夜美股三大指数一涨两跌，道琼斯涨，纳指、标普跌。三指数全部失守5日线，只有道琼斯勉强守住10线。三指数的日kDJ均已死叉，MACD死叉或即将死叉。。美帝股票指数恐慌于加息至2024年的传闻恐不是空穴来风，如此，至少如短期技术指标显示的那样，股票指数欲振乏力。
1672806182# #白萝卜烧汤可以止咳
1656763496# #马云套现千亿享福，曾笑言“对钱不感兴趣”
1692241688# #明朝的反腐：守着垃圾堆打苍蝇
1657350794# #股市、币圈，都是“资本+网络+赌术”的套路，基本分析、技术分析、内幕消息……都是林林总总的千术，所谓交易，就是出老千、识老千、防老千之间的博弈。
1657088603# #据Tokenview数据显示，第三大比特币巨鲸（1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ）于7月6日7:22开始，继续增持134枚BTC。截止目前地址余额为132323.54枚BTC。
1676155571# #窗外雨潺潺，没有那么阴冷了，初春的脚步姗姗来临。
1678601482# #silvergate、硅谷银行、firstrepublicbank三家银行接踵而至面临崩盘危机，下周一，老美的金融市场恐将风雨飘摇。
1701474648# #三只牛肉粉丝煲，一碗热腾腾的胡辣汤。
1665608386# #隔夜美股三大指数集体收跌，标普和纳指日K线六连跌。
1696165993# #欲买桂花同载酒，终不似，少年游。
1657025503# #截至2022年6月28日，MicroStrategy已拥有129,699枚比特币，总价值约39.8亿美元，持仓均价为30,664美元。
1666395039# #10月21日，上证指数报3038.93点，上涨0.13%，成交额3151.11亿。。深证成指报10918.97点，下跌0.42%，成交额3972.13亿。。创业板指报2395.16点，下跌0.27%，成交额1312.38亿。。总体上个股跌多涨少，两市超2400只个股下跌。两市成交额7123亿，较上个交易日缩量930亿。。盘面上
1655873385# #比特币交易所Swan的比特币分析师萨姆·卡拉汉则认为，根据之前熊市的经验，比特币可能会从历史高点下跌80%以上，这意味着比特币将跌至13800美元。
1656201230# #高盛集团正寻求向投资者筹集20亿美元，以购买加密货币借贷平台Celsius出售的不良资产。拟议的交易将允许投资者在申请破产的情况下以潜在的低价购买其资产。
1686057726# #会武功不代表健康，。会生财不代表能享福。
1674318271# #躲过一劫
1665269577# #BTC日K线在箱体17000～22000中轨19500附近晃荡，没啥大波澜。周K线更明显，几乎沉在湖底，不见涟漪。
1665287160# #俄罗斯士兵太寒碜了，战场上穿拖鞋。
1699595484# #突发:哈马斯最高领导人之一辛瓦尔被斩首。。以色列刚宣布，已经发现并包围匪首辛瓦尔，现在已经被斩首了。。据说他的秘密住所，在地下30米，有7条逃跑通道，警卫成群，也没能逃脱追杀。这次行动，辛瓦尔与其家人、医护、警卫共25人，全部被打死，无一生还。
1702241519# #赞
1666999168# #紫色扁豆：短扁豆，扁短豆，短扁豆是扁短豆，扁短豆是短扁豆。短扁豆又短又扁，扁短豆又扁又短。
1681700974# #林俊杰也成了韭菜，其在2022年11月份在元宇宙平台Decentraland购买的$12.3万地产，现在降到了$1万，下跌了91%
1664634215# #秋池野荷
1669381629# #看武侠小说《倚天屠龙记》里的插画，寒山绝壁上张翠山银钩铁画，江湖豪情跃然云霄：。武林至尊，。宝刀屠龙，。号令天下,。莫敢不从，。倚天不出，。谁与争锋？
1657774393# #马斯克：锂电池就是新的石油。
1696919788# #历史上，广东武术家黄飞鸿的遗孀莫桂兰，摄于1972年，时年八十有二。
1666316201# #“呵呵”这句应对，可以显得深不可测，也可不露锋芒，揶揄对方。
1668559498# #比秃鼻在17000～22000箱体下轨偏下方波动，这个区域在16000～17000区间。
1701375960# #知乎在港股、美股市场均出现了破位大跳水。
1662345127# #“胶合板大元帅”允悲。俄罗斯人绍伊古能够坐上国防部长的位置，完全是劣币驱逐良币的体系使然，在俄军内部口碑比较差，因其搞建筑出身，人送雅号“胶合板大元帅”。
1679396943# #技术指标的用法。协同，价格与指标方向同步。。背离，价格与指标不一致。。交叉，运行方向的转折点。技术指标
1673930583# #鸡你太美
