1691455439# #涨知识good
1702796401# #小车上的货物突然起火，火势越来越大，危急关头，两位大姐拿着灭火器霸气出手……good2023温暖中国的瞬间正能量蜀黍说安全
1690704001# #网友投稿：奔驰车逆行，还怪视频车不让路…费解蜀黍说安全
1700134200# #女子高速上行驶，突然道路上飞来钢板。。。但事后竟然停在快车道，这是嫌命太长？汗蜀黍说安全
1702825201# #【男子无证醉驾撞死2岁女童逃逸】12月13日，河南新乡。姜女士一想到自己2岁的小女儿，就忍不住落泪。2022年11月2号，她骑电动三轮车带两个女儿回家，突然冲出一辆车把她们撞飞了。姜女士双腿被撞骨折当场昏迷，被送往医院后听说小女儿被撞得面目全非，不幸身亡。肇事司机徐某当天喝酒从中午喝到晚上7
1689470474# #兴趣是最好的老师！“追星”成功还得到网友认可！真不简单good
1700725069# #好险！车上竟然还带个孩子，这骑车的真是幸运！哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊蜀黍说安全超话
1687232150# #小红书回应女幼师疑给幼儿喂避孕药警方通报女幼师疑给幼儿喂避孕药事件。
1694842201# #网友投稿：在十字路口的施工路段发生的这起交通事故，是双方责任还是单方责任，想听听各位网友的看法。费解蜀黍说安全
1702819801# #【外卖员大雪中送餐陌生人谎称顺路捎了他10公里】12月14日，山东德州。外卖小哥冒着大雪徒步送餐，陌生小姐姐“顺路”“捎”了他10公里。好人一生平安good2023温暖中国的瞬间正能量
1696429801# #女子晚上下班回家车位被占了，打电话让对方下来挪车，对方拒绝挪车还骂人：大晚上的，你打电话？汗蜀黍说安全
1697878370# #志愿者好样的good
1694914206# #很励志，佩服自强不息的女孩赞
1688277601# #网友投稿：变道遭遇连环撞车，“求助该怎么定责？”后续来了：变道车与白车无责，奔驰suv全责，涉嫌危险驾驶。衰蜀黍说安全
1689517800# #网友投稿：保安与外卖小哥？这是何必呢……哆啦A梦害怕
1700656200# #网友：一个普通的汇入路口，就是这样给堵上的！允悲蜀黍说安全
1693752005# #投票：现在你还发朋友圈吗？doge为什么好多人都消失在朋友圈了
1700750700# #路怒斗气要不得，你认为视频车是故意的吗？黑线蜀黍说安全
1691900547# #这名围观起哄者的心理太阴暗了，必须让他受到法律的惩处。怒
1702220401# #网友投稿：前面道路空空如也，俩司机故意压车不走，你觉得白车和电瓶车之间是不是有猫腻？汗蜀黍说安全
1694934001# #小车转弯遇到炸街摩托车，你认为谁的责任更大？衰蜀黍说安全
1692756002# #网友投稿：广州突下大雨，电动车直接停在机动车道中间天桥底下躲雨，看看后面堵了多少车？！也有网友认为，下冰雹的时候汽车不是也停在天桥底下躲避吗？为什么汽车可以在桥底避雹，电动车就不能在桥底避雨？你觉得电动车避雨可以理解吗？黑线蜀黍说安全
1701589359# #赞
1691126400# #哪里有困难，哪里就有人民子弟兵！重温98抗洪，向人民子弟兵致敬good武警出动全地形车搜救受灾群众洪水
1690720796# #码了慢慢看
1703511001# #12月22日广东，网友在街头拍下让人暖心的一幕，一女衣着单薄光脚站在寒冬的街头，好心路人纷纷伸手给予女子温暖good蜀黍说安全圣诞夜
1703340000# #视频车正准备右转，电动车惊吓摔倒在地。这事儿赖谁呢？汗蜀黍说安全
1698332401# #突然冲出路口，险遭灭顶之灾。你认为大货司机冤吗？黑线蜀黍说安全
1703746551# #上帝为你关上一扇门的同时，也会为你打开一扇窗。这嗓音也太惊艳了good
1692595801# #乘客未系安全带6次弹起致骨折乘客坐大巴未系安全带，遇上颠簸路面六次弹起致骨折。衰蜀黍说安全周一
1703556000# #白色轿车掉头视频车没让行，视频车遭白色轿车多次恶意别车，视频车车主：当时车上有孕妇，已报警。网友：压力给到了长沙交警。汗蜀黍说安全厌蠢症
1695635100# #跑马拉松要量力而行！女子跑马拉松身体突发状况，两个安保大哥太给力了！赞赞赞救人瞬间蜀黍说安全
1700632801# #行人高速上被撞身亡负全责，保险公司向其亲属追偿汽车维修费用。法院：驳回保险公司的诉讼请求。你认为保险公司的起诉要求合理吗？费解蜀黍说安全
1699533000# #请您停留1秒钟，向伟大的缉毒警察致敬，英雄一路走好🙏🙏🙏致敬英雄人民英雄永在心间
1697025601# #【后续:第2段视频：接这条:道哥日记）当代人的生存法则
1694755801# #女子骑车通过斑马线被撞飞，不仅受伤还担责。南京交警：需下车推行通过。交警认定：司机主责，骑车人次责。衰蜀黍说安全
1696082794# #已经放你一码了，还跟着上去，结局舒适了吗！允悲蜀黍说安全
1699873201# #错过出口在高速里停车，视频车走神了衰蜀黍说安全
1699437601# #【男子酒驾送妻就医交警拦下后化身代驾】男子酒驾被交警拦住后，表示因妻子腹痛难忍，急着要送她去医院，家里人都不会开车，自己没办法……交警得知后，立马说：我帮你开！随后警车一路鸣笛开道，交警将病人紧急送至医院。所幸救助及时，该男子的妻子已无大碍，他松了口气，不断感谢交警。关键时刻，
1691996401# #网友投稿：每个熊孩子背后，一定有个熊家长……哆啦A梦害怕蜀黍说安全
1700726401# #用脚按电梯，遇到这样的邻居你说怎么办？黑线蜀黍说安全
1702633646# #倪萍老师的眼光绝对犀利，她早就看透了一切。允悲董宇辉东方小孙
1697776200# #网友：这车是不是租的车啊？汗自己会开车后才知道的真相蜀黍说安全
1703458800# #九张动图警示你：珍爱生命，勿闯红灯！衰蜀黍说安全安全出行
1688950876# #【小调查：学车就该挨骂真的是正常的吗？费解】高考结束，志愿填完，传说中的驾考科一、科二、科三、科四如期而至。还记得教练输出的那些金句吗？
1693922402# #女子弯道超车酿事故，致四车受损，交警认定其负全责。衰蜀黍说安全
1692577801# #网友投稿：退一步海阔天空，这是何必呢？拿钱砸可还行……这是摆拍吗？允悲蜀黍说安全替全世界感到尴尬
1701311869# #11月29日，广西贺州。网传一交警在执勤时持棍击倒过路电动车，车主随车倒地后被送往医院。汗蜀黍说安全
1702854000# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1698656401# #网友投稿：我寻思这是我家客厅，这车开的也太随意了吧……也有网友认为视频车太墨迹。费解蜀黍说安全
1693526401# #女子下水救孩子后体力不支，六旬城管大爷叼着烟下水救人：“人救上来了，烟还没灭”，网友：古有关公温酒斩华雄，今有大爷叼烟勇救人！good蜀黍说安全
1690970403# #【一定要注意安全！两武警战士从车内救出孩子路上险被洪水冲走！费解】北京门头沟，暴雨将汽车困住。武警某部官兵接到救人命令后，急忙派出四人小组援救。两名战士救出车水孩子往安全地带送的路上，路面上水流太大大急，孩子和战士跌落洪水中，幸亏其他人员及时赶到，将他们一同救上。为武警战士点赞
1701163800# #马路坑洞测试666蜀黍说安全
1697182200# #网友称在二环见过，老猛了，谁都不让。拜拜拜拜周五蜀黍说安全
1691719201# #小车变道不慎失控，后方厢式货车躲避不及，让速不让道将其撞飞费解蜀黍说安全
1696834800# #行人过马路抄近道，结果翻越护栏被撞飞。衰原来不上班烦恼也挺多八天假期很短七天连班很长蜀黍说安全
1688110313# #网友投稿：男子将私家车停在路上导致拥堵，被路人指责后拒绝挪车，称店门口路就是他自己的。费解蜀黍说安全
1697785200# #你猜他为啥坐轮椅？吃瓜自己会开车后才知道的真相蜀黍说安全
1698400822# #10月27日，知名流行病学家、中国疾控中心流行病学首席专家吴尊友逝世，享年60岁。2020到2022三年，吴尊友青丝变白发！🙏🙏🙏吴尊友逝世吴尊友因病去世
1694140051# #驾照考试科目一考考你：这个标志是何含义？费解蜀黍说安全
1700112601# #女子酒后发疯打民警被制服，你支持民警的果断措施吗？！good蜀黍说安全
1694530801# #网友投稿：高铁上俩老人霸占乘警座位，扬言：你是为我们服务的。费解费解费解
1687239001# #给视频车司机点个赞，这种老人真不该在没有陪护的情况下单独出门。good蜀黍说安全
1697338801# #男子假装右转闯红灯，3个月多达40多次，结果傻眼了吧。费解蜀黍说安全
1687410001# #乱开车门不看镜子，整个车门都被撞废了。摊手蜀黍说安全端午节
1696599001# #女乘客觉得男乘客看他的眼光不对……费解费解费解蜀黍说安全中秋国庆假期国内8.26亿人次出游头一次吃了有文化的亏
1703070001# #他们的背是最坚实的依靠地震已致131人遇难地震来临，车站值班员临危不乱，迅速发出拦停列车的指令，成功拦停确保列车运行安全good正能量
1699882201# #五菱神车厉害啊，400万豪车说撞就撞。谁的责任？衰蜀黍说安全
1699578001# #两岁女童不慎从六楼坠落，两名银行职员徒手接住孩子。好人一生平安，这是一辈子的恩人good救人瞬间正能量蜀黍说安全
1692761413# #驾照考试科目一考考你：下图交通标志是什么含义？费解蜀黍说安全
1702940400# #【九张动图告诉你：警惕“开门杀”事故！衰】蜀黍提醒：停车后，应先将车门开拳头大小缝，观察确认安全再开门，俗称“二次开门”，这样可有效防止开车门事故的发生。蜀黍说安全安全出行
1694826000# #电动车硬闯红灯，货车躲闪不及直接撞飞。你认为电动车该负全责吗？费解蜀黍说安全
1688029201# #网友投稿：吓人！这是什么东西爆了？衰蜀黍说安全
1703676600# #这阿斯顿·马丁开得可真猛，被视频车让速不让道撞飞。衰蜀黍说安全
1698289201# #广东江门，小车高速行驶途中爆胎侧翻三人被困，路过热心司机见状，纷纷停车上前救援。为见义勇为好心人点赞good正能量蜀黍说安全调休
1688893202# #网友投稿：男子轻生，民警和消防人员冒着生命危险救援！这栏杆要是不牢固，这救援人员都很危险。汗蜀黍说安全
1702479600# #两女子开车回家路上遇到路边草丛着火🔥，宝妈立马把宝宝抱给同行女子，自己下车用衣服救火赞正能量蜀黍说安全
1697599800# #斗气车路怒症不可取！你认为这白色比亚迪是故意的吗？晕晕晕蜀黍说安全
1696516201# #宝马X3把羊群给撞了，这得赔多少钱？哆啦A梦害怕返程聪明人蜀黍说安全
1692319222# #于教授讲的太好了，不愧是《百家讲坛》最好的主讲之一。good
1696170600# #西藏堵车震撼全家网友辣评，你的一路青春没有售价，我的一路进藏堵死在318。别说，这个灯带挺美的，我坐在家里如是说到doge堵车国庆节快乐
1691391601# #网友投稿：追尾事故，这人还好吗？费解蜀黍说安全
1700350200# #惊心动魄！小孩突然冲进马路，被白色小车撞飞。你认为司机有责任吗？费解蜀黍说安全
1703597401# #网友投稿：特斯拉司机逆行，视频车没有及时让行，事后特斯拉车主气不过又掉头过来围堵视频车，太嚣张了。汗蜀黍说安全特斯拉
1693008360# #8月23日，江西吉安。司机驾车不慎落水沉没，路过大哥3次潜水救人。幸运人遇到好心人，点赞平民英雄good蜀黍说安全
1701653401# #电瓶车起火，火烧连营了黑线蜀黍说安全
1701081600# #男子凌晨到烈士陵园扫墓发现一名烈士，牺牲时只有十一岁，“你才十一岁呀肯定没有吃过这些”。瞬间泪目泪
1701955800# #【她拼命拍打车窗想叫醒沉睡车内儿子】近日，天津西青，一辆轿车停在路口红绿灯前，司机陷入深度睡眠，交警叫醒无果后，恐其发生意外报警求助并联系司机家属。赶赴现场，破拆前尝试让家属大声呼喊男子，通过努力最终将其叫醒。经了解得知，原是男子姥爷过世，操办丧事过于疲惫在途中睡着了
1700397001# #网友投稿：无语了，高速上竟然撞了逆行电瓶车，视频车有责任吗？费解蜀黍说安全
1693272428# #驾照考试科目一考考你：驾车遇到这种情况怎么办？费解蜀黍说安全
1701320400# #网友投稿：不让你插队就逼停我，这位特斯拉车主咋这么嚣张呢？怒蜀黍说安全
1689858002# #网友投稿：飞机上乘客因调整座椅靠背引发纠纷，后排女子情绪失控，拿起奶茶砸向前排乘客，后被警方处以行政拘留3天的处罚。衰蜀黍说安全
1703593800# #大姐好心，结果害了自己。愿您的善举予以后人警钟长鸣。🙏蜀黍说安全
1702787401# #情绪稳定倒霉惯了几个小伙想踢路边雪堆，没想到雪堆里藏着消防栓，这可太疼了……哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1689067348# #网友投稿：可真刑啊！喝了马尿就不知道自己几斤几两了，想不想看他桀骜不驯的后续？汗心理有问题的人半夜是睡不着的蜀黍说安全
1695096002# #高铁上，男子脱鞋抠脚，被邻座女子指责后怒骂女子，还用抠脚的脏手戳女子脸。这比高铁化妆严重多了，希望多多点赞转发，蹲个通报。汗汗汗男子高铁抠脚女子提醒反被怼
1688464801# #请用一个成语来形容这起交通事故？允悲蜀黍说安全
1699512077# #传统地方戏的坚守者，太不容易了good
1689676200# #网友投稿：见过最耿直的锦旗了！忍不住点赞good允悲
1699668001# #养狗不拴绳，被撞还跟司机要赔偿，遇到这种事故该赔吗？汗蜀黍说安全遛狗请拴绳
1702688401# #今日最佳郑州大学北校区。作揖
1694262468# #驾照考试科目一考考你：这个标志是何含义？费解蜀黍说安全
1692111601# #网友投稿：山洪爆发，岸边露营游客慌忙逃生。有些游客还在捡东西，真是要钱不要命啊。费解蜀黍说安全
1699189201# #交通运输部提醒∶免费通行是以驶离收费出口时间为准！good蜀黍说安全
1699698600# #强行逆向超车不可取！衰蜀黍说安全
1695286801# #小车借非机动车道超车，遇前车右转后失控翻进花坛。交警：翻车驾驶员负全责。你认为这责任认定合理吗？衰蜀黍说安全
1700904601# #11月23日，广东。一男子被制伏后被穿公安制服的人员故意踩脚踝。当地派出所回应：视频是被掐头去尾片段式地播放，但也确实存在不妥行为，目前已经启动调查。
1696127402# #太过分了，这居然是老年代步车？允悲国庆节十月堵车
1689670329# #真变态啊，不要放过这个人渣怒怒怒
1697209202# #【男子酒后开车被前女友举报2次允悲】男子酒后开车去找前女友，不料双方见面后前女友直接报警举报其酒驾。然而，警方在进行案件办理的过程中，竟发现该男子一年前就因被前女友举报醉驾入狱。目前，民警依法对男子作出罚款3000元，行政拘留17天的处罚。周五蜀黍说安全
1698921519# #结局舒适了允悲
1696847401# #出租车违规乱停，结果出不来了。允悲原来不上班烦恼也挺多八天假期很短七天连班很长蜀黍说安全
1693276201# #网友投稿：这是喝了多少啊？幸亏被交警查到了。费解蜀黍说安全
1695391762# #见义勇为好小伙good
1689764533# #网友投稿：四辆摩托车并排行驶占满三条车道，这些家伙太可恶了！蜀黍说安全超话
1695812401# #最有效的救援是预防这个公益视频不错！每到假期都是出行高峰，出行安全说千遍，不如看视频一遍！友情提醒，国庆出游安全第一，切莫掉以轻心。【关注+转发本微博】10月10日通过抽5位粉丝送佑途智能防撞行车记录仪
1701059400# #水泥罐车抢黄灯遇上电动车闯红灯，电动车幸运躲过一劫，但水泥罐车侧翻损失惨重。骑车人该赔偿车主损失吗？费解蜀黍说安全
1692158400# #网友投稿：这个倒车视频火到国外去了……good蜀黍说安全
1701412201# #网友投稿：今日凌晨，一代驾大叔从长春代驾到双阳，回长春电动车没电了，一点点推着回长春，手都冻红了，幸亏我眼睛好使，给他带回来了还送回了家。good十二月狗屎运最旺的星座蜀黍说安全
1700806560# #第十批在韩志愿军烈士遗骸安葬仪式骑警车队护送烈士遗骸山河同念英雄回家，向志愿军烈士致敬🙏🙏🙏
1690698601# #小车免费蹭停车场，一顿操作行云流水，负责人：不是第一次蹭，已拉黑！费解蜀黍说安全
1700445362# #不是亲人胜似亲人！这位老师太暖心了心
1694431296# #驾照考试科目一考考你：这个标志是何含义？费解微博宠粉季蜀黍说安全
1688082282# #【小调查：你认为月薪5000低吗？吃瓜】月薪5000真的有点低
1688533553# #小调查：18万钻戒和18万黄金选哪个？爱你
1699963201# #网友投稿：11月12日，福建福州，一男子疑似偷拍女生裙底，被抓后挣脱转身逃跑，结果又被抓了回来……目击者：最终被警察带走。汗蜀黍说安全
1698922801# #这骑车的人情况还好吗……费解蜀黍说安全
1695636001# #合肥京台高速一起无接触事故，白车随意变道，黑车躲避不及撞上货车，交警认定白车负全责。衰蜀黍说安全
1691406002# #女子近距离观潮，同伴都跑了，她还纹丝不动，结果……网友：又急又气，站起来了居然还不跑？！费解蜀黍说安全
1694694600# #骑电动车男子倒地，路过行人无人敢扶傻眼蜀黍说安全
1699842602# #近日，山东临沂。高速上突发车祸，热心男子见状果断下车救人，给好心大哥点赞！good本周狗屎运最旺的星座
1698847201# #不是一家人不进一家门，可真刑啊汗退款11月你好蜀黍说安全
1687771801# #为逃避高清摄像头拍照，这些百吨王司机连头盔都用上了，真是无所不用其极！汗蜀黍说安全
1698726601# #网友：到底是谁发明的跳舞招手等公交？允悲蜀黍说安全
1704186001# #路口红灯被桥墩遮挡，车主误判信号灯导致三车相撞。长沙市岳麓交警大队认定车主全责，长沙市市政工程有限责任公司：车主应反思自己的驾驶技术。对此，你认为这事故市政有责任吗？费解蜀黍说安全
1692660600# #网友投稿：这种人判她全责，也许下次就不敢了。费解蜀黍说安全
1698580801# #高速上遇到这种求助，你们会怎么办？费解蜀黍说安全你支持禁止老头乐吗
1691146800# #大妈在景区内溺水，游艇司机拽住头发迅速将人救起。网友：救到人就好抓哪里不重要。good蜀黍说安全
1690610401# #太惨了，不抽烟就没这事儿了衰蜀黍说安全
1702117800# #近日深圳，男子开宝马主干道违停送娃，视频车按了下喇叭，被男子辱骂挑衅黄灯别停！汗蜀黍说安全
1701858600# #【气得我肝疼怒跳河救人反被跳河者往水里拉】12月2日，山东，黑衣小伙跳河轻生，好心男子下水救人反被拖下水，获救后一大叔给了他两巴掌。
1689915601# #网友投稿：家长没拉住自家孩子，你说司机冤不冤。。。黑线蜀黍说安全
1694219470# #驾照考试科目一考考你：这个标志是何含义？费解蜀黍说安全
1703568601# #轿车拐弯压坏放在地上的防盗网，店主瞬间就懵了，这种情况需要赔吗？汗蜀黍说安全厌蠢症
1700359201# #小车肆无忌惮闯红灯，这下长记性了吧？衰蜀黍说安全
1695564002# #陌生人的关心，总是让人破防！自己明明过的一地鸡毛，偏偏还看不得这人间疾苦。心正能量暖心
1696561201# #这么嚣张？相互让一下就过去了。汗午睡的时间不能太久了返程聪明人蜀黍说安全堵车
1692714602# #马路中间随意停车下人，女子还用眼睛瞪后车司机。网友：真把马路当自己家客厅了。费解费解费解蜀黍说安全七夕
1697960360# #投票/上四休三工资九折你愿意吗？费解
1688873478# #网友投稿：女生被夫妻占座被指责破坏家庭列车上的一幕，女子买无座票坐在老公身边的位置，买到这个位置的女乘客上车后让她起来让座，她不愿起来，乘务员来调解并查验了双方车票，确定这个位置是女乘客的。女子非常不满的说女乘客破坏她的家庭允悲情绪稳定vs情绪表达
1701671400# #网友：这个就是上路三分责？你认为视频车有责任吗？汗蜀黍说安全
1701496157# #这个好
1696471435# #【女子插队被制止举石头怒砸劝阻者插队还这么嚣张，太恶劣了！汗】10月2日，广东深圳，杨梅坑旅游区，两名女子插队遭到周围游客劝阻，一名女子竟然拿起石头愤怒砸向劝阻游客。提前返程结果1小时开了10公里返程聪明人
1703466002# #大晚上在机动车道逆向行走，第一辆出租车躲过去了，后面那辆可惨了。。。衰厌蠢症蜀黍说安全
1700197202# #网友：变道这个又菜又爱玩，视频车多少带点故意。你觉得视频车有责任吗？汗蜀黍说安全
1694525446# #驾照考试科目一考考你：这个标志是何含义？费解微博宠粉季蜀黍说安全
1699511400# #网友：高铁座椅设计是人性化的，但忽略了人性。汗蜀黍说安全
1687698001# #小车司机开车接听电话导致错过出口，在第二条车道内超低速行驶，后方大车司机让速不让道直接将其撞飞。衰蜀黍说安全
1693870202# #满16岁骑车还载一儿童，路口转弯未让直行被撞摔倒，交警认定：骑车人负主责，司机负次责。费解蜀黍说安全
1697545801# #10月17日，开平南到广州南的C6902动车上，大爷列车上霸占他人座位，不听乘警劝阻，叫嚣“坐的是国家的位置”。这种人该列入黑名单吗？费解蜀黍说安全
1689291001# #网友投稿：三个小孩蹲在路边玩儿，司机直接起步不观察，万幸没有造成严重后果。🙏蜀黍说安全
1692254992# #小小发明家，未来可期good
1693054801# #网友投稿：司机疑似乱停车被喷发泡胶，这样做合适吗？费解蜀黍说安全
1693296001# #网友投稿：精神小伙真扛摔，小脑袋嗡嗡嗡的吧允悲蜀黍说安全
1698554766# #川A大军给华西救护车让行交警指挥交通给救护车让道，工作完成向停车等待的车辆敬礼示意后离开，结果4条车道全“铁憨憨”，车主们“不敢动，根本不敢动”。网友：四条车道：卧、龙、凤、雏。就想问一句，四个憨憨到底走了没？允悲蜀黍说安全
1697279400# #【高速上惊现疯狂逆行轿车费解】9月8日中午，高速交警接群众举报，称在下行线98KM路段，有一辆白色轿车逆向行驶，差点撞到自己，情况十分危险。接到报警后，高速交警通过视频巡查追寻该车实时位置，最终在102KM应急车道旁发现该车辆。经询问了解，朱某因家庭矛盾导致心情不好，自行驾车出去散心，为
1702886402# #这是山东网友拍摄的，她看到一辆私家车雪地行驶打滑，公交车司机见状立即停车后，用防滑沙给遇困私家车撒沙脱离困境，公交司机好人赞赞赞正能量多地迎来今冬最冷白天上海下雪2023温暖中国的瞬间
1691663762# #为英勇救人的平民英雄点赞good
1693486801# #又菜又爱玩，把自己给压了……衰蜀黍说安全
1701644400# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1694493515# #驾照考试科目一考考你：饮酒后驾驶机动车一次记几分？费解微博宠粉季蜀黍说安全
1699750801# #电动车起火爆燃，老哥一个操作救了整个车库，这也太勇了good正能量救人瞬间蜀黍说安全
1689681602# #网友投稿：视频车一路追拍大货车上掉落的轮胎，没想到最后主角是自己。衰蜀黍说安全
1703653201# #电动自行车闯红灯通过路口，结果被小车撞飞。你支持闯红灯的电动车全责吗？黑线蜀黍说安全
1695436200# #因为视频车的一声喇叭，男子追上危化品车，对着玻璃扔水瓶。这事儿你觉得谁占理？费解蜀黍说安全
1689604201# #网友投稿：奔驰女司机疑似酒驾与出租车发生事故！听对话意思应该是私了没成功后报警……大家认为这事故是谁的责任？衰蜀黍说安全
1690855589# #男子下车吸烟，错过发车时间。这能赖谁呢？费解蜀黍说安全
1687827601# #网友投稿：这过马路的老人家还好吗……哆啦A梦害怕蜀黍说安全
1692658800# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1687735801# #网友投稿：仪表盘上出现一只乌龟故障灯，你知道这是啥意思吗？允悲蜀黍说安全
1689303601# #电动车闯红灯被小车撞飞，交警认定骑车人负全责，司机无责任！衰蜀黍说安全
1692019499# #网友投稿：白色蔚来车主的母子车位，被红色宝马车占了，蔚来车主着急出门办事发现车被堵，打电话联系宝马车主，宝马车主不仅不肯挪车还态度蛮横挂了电话，最后蔚来车主直接把宝马车撞开了～允悲蜀黍说安全
1703664001# #新能源车在自家4S店门口烧了起来！这下尴尬了……衰蜀黍说安全
1700877601# #执勤交警一吹一喊，救下祖孙两人good蜀黍说安全正能量救人瞬间
1700532591# #大哥好样的good
1702898428# #这种情况适用实施条例51条第四款规定，也就大家俗称的“灯头让灯尾”。
1693634400# #残疾退伍军人买优惠票乘车，被告知需要补票，售票大姐：“就算你买了票，我也有权利不拉你”，这售票大姐是个法盲吗？费解费解费解蜀黍说安全
1698062402# #网友投稿：又见路怒症！北京石景山金安桥入口，司机不打灯连续变道差点发生剐蹭，之后还逼停视频车竖中指。摊手蜀黍说安全
1697774760# #狗主人遛狗不拴绳，两只大狗扑咬女子，幸好多名好心男子相救。good遭恶犬咬伤女童仍昏迷小狗不觉得自己是在流浪
1689343201# #网友投稿：短短一分钟，视频车主见证了什么叫：大马路就是大客厅。允悲蜀黍说安全
1690812001# #白车走错道想变道往回开，结果与特斯拉撞了。。。衰蜀黍说安全
1692540001# #游客旅游途中遇上碰瓷团伙，叫嚣：“报警有啥用，给200就得了”。遇到这种情况你会咋办？费解蜀黍说安全
1695645001# #27名乘客得救，梁强却付出了全身烧伤85%的代价，靠6000多块植皮，40多次手术和700多天的治疗才保住了性命。向英雄致敬赞赞赞致敬英雄致敬人民子弟兵
1701676800# #【女子全网寻找停放4年的僵尸车主人：车主平安找回我也能放下心了】12月2日，河南商丘。热心店主4年内多次视频，全网寻找停在她门前的“僵尸车”车主。袁女士称，这辆车停放在她门前的公用停车位4年了，还未见车主来开车。因为是停在公用停车位，对自己和他人没有造成困扰，希望车主只是忘记把车忘
1695268802# #院里的摩托车倒了，老人拿着火把去查看，不慎将漏在地上的汽油点燃了，网友：老人没出事已经是万幸了。费解蜀黍说安全
1691979116# #心灵手巧，这动手能力太强了good
1689480003# #网友投稿：不懂交替通行，还跟人家视频车抢道。结局爽死了，一下就气消了，忍不住点赞good蜀黍说安全
1690517922# #驾照考试科目一考考你：下图交通标志是什么含义？费解蜀黍说安全
1691411143# #投票：你觉得微信好友删除和拉黑哪个更狠？费解张晚意朋友圈背景图
1689379201# #济南一小区发生火灾，孩子被困在窗外，楼下的大哥冒着生命危险从窗户爬上去，及时将孩子救下。good蜀黍说安全
1693787753# #涨知识good
1699430401# #【下雪天行车为啥要开窗】11月6日晚，辽宁辽阳，一名车主发现大雪天里，一辆轿车竟然开窗行驶，这让车主好奇心上头。而没过多久，车主本人就亲自体验到了...哈哈哈哈哈允悲警惕让你悄悄变丑的坏习惯立冬
1700807400# #大货车掉头准备倒车时，后面的轿车刹车后继续前进相撞，你们说这究竟是谁的责任？黑线蜀黍说安全
1688046114# #网友投稿：这车倒的也太无语了，行人情况还好吗……哆啦A梦害怕蜀黍说安全
1691679602# #网友投稿：视频车遇到有狗横穿踩刹车减速，后车开得太快来不及减速，驶入逆向车道把狗撞了。后车停车后说是视频车的责任，还让赔狗赔车，视频车声称有记录仪要报警处理，对方才作罢。费解蜀黍说安全
1689827402# #7月18日，山东青岛，外地游客开车冲进海里转圈，这是嫌自己活的太久吗？拍摄者直呼：太危险了！海里有那么多小孩子......费解蜀黍说安全
1697035466# #【司机被货物压倒民警飞奔爬车救人】近日，山东德州，货车司机在整理货物过程中，一铁质重物货品突然歪倒压在了他的身上。听到有人呼喊救人，民警飞奔爬上车将司机救出。网友：好身手，太帅了！good正能量
1690718401# #7月29日，江苏南京开往长春高铁上，8个熊孩子车厢吵闹、说脏话，零食弄一地，列车员多次劝阻无果，一乘客挺身而出获车厢掌声，当事人称之后列车员和保洁向她表达了感谢。good蜀黍说安全
1690074386# #布加迪威龙加塞出事故7月22日，江苏苏州，布加迪车主强行加塞与后车宝马发生碰撞引发双方争执，宝马车主：对方非常嚣张，威胁我以后在路上小心一点。费解蜀黍说安全大暑
1691107200# #关键时刻，人民子弟兵永远都是最棒最可信赖的人good蜀黍说安全泄洪台风杜苏芮
1702296001# #网友投稿：昨天下午，重庆兰海高速华岩出口，一辆黑色特斯拉不打灯加塞，视频车没有让他，那辆特斯拉后面直接路中间别车截停，然后女司机下车辱骂视频车主活该开哈弗……黑线黑线黑线蜀黍说安全本周狗屎运最旺的星座
1693186233# #没有人能随随便便成功good
1693492201# #这三轮车自己下河了？汗蜀黍说安全
1696491000# #返程聪明人这起事故，低速行驶车全责，你怎么看？费解
1696750200# #网友投稿：网上看到这个挺严重的事故。怎么也没想到贴了个卫生巾上去….。这是想止血还是吸血….。哭笑不得。希望人没事汗蜀黍说安全
1704175202# #网友投稿：列车上女子把脚放对面坐席上，结果双方发生争执动手。遇到这种情况你会咋办？费解蜀黍说安全
1696077000# #高架上骑车？生命是自己的，开车的我只能帮你到这里了允悲蜀黍说安全
1687359601# #网友投稿：疑似宝马与电动车发生纠纷，男子爬上宝马开始砸车。摊手蜀黍说安全
1690506001# #网友投稿：7月27日，河北邯郸。某小区一男子被物业举报喝酒开车，实际上一点没喝酒。费解蜀黍说安全
1687140771# #现实就是这么残酷！真话good张雪峰名场面
1696676400# #网友投稿：山东济宁，S69济徐高速，摩托车围堵小轿车。这些肉包铁哪儿来的勇气？汗中秋国庆假期国内8.26亿人次出游没啥了不起只是更较真蜀黍说安全
1703815202# #网友投稿：大家帮忙看下，我是不是撞到她家的车了，对方提供的视频。汗蜀黍说安全间歇性冷漠
1687413601# #大货教科书般的让速不让道，舒服了？汗蜀黍说安全
1695875401# #【轻微事故不撤离二次事故担责任！衰】两辆小车发生碰擦后，驾驶人在行车道下车争论，且车后方未设置安全警示标志，十分危险。。。几分钟后，一辆黄色皮卡车撞向了事故小车和驾驶人......。。交警认定，黄色皮卡车驾驶人因疏于观察导致二次事故，承担主要责任；两辆小车驾驶人发生轻微事故后，不按规定
